Si-28(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00266E+06 0.000316539
1.00482E+06 0.000301125
1.00913E+06 0.000273808
1.01345E+06 0.000255104
1.01560E+06 0.000268100
1.01668E+06 0.000355469
1.01722E+06 0.000692488
1.01736E+06 0.00101472
1.01749E+06 0.00183875
1.01756E+06 0.00284922
1.01763E+06 0.00514039
1.01766E+06 0.00762259
1.01769E+06 0.0122699
1.01773E+06 0.0230469
1.01775E+06 0.0338418
1.01776E+06 0.0505437
1.01780E+06 0.105567
1.01782E+06 0.0857065
1.01784E+06 0.0542172
1.01786E+06 0.0291972
1.01789E+06 0.0176549
1.01794E+06 0.00821644
1.01798E+06 0.00472343
1.01803E+06 0.00309120
1.01813E+06 0.00167309
1.01822E+06 0.00109393
1.01861E+06 0.000462139
1.01938E+06 0.000281509
1.02091E+06 0.000228046
1.02399E+06 0.000204406
1.03014E+06 0.000185119
1.03628E+06 0.000196805
1.03782E+06 0.000221819
1.03936E+06 0.000292008
1.04013E+06 0.000379414
1.04051E+06 0.000456916
1.04089E+06 0.000580405
1.04128E+06 0.000792864
1.04166E+06 0.00119856
1.04185E+06 0.00154984
1.04205E+06 0.00208919
1.04224E+06 0.00294871
1.04243E+06 0.00433508
1.04267E+06 0.00690010
1.04290E+06 0.00873007
1.04314E+06 0.00709415
1.04337E+06 0.00448607
1.04353E+06 0.00321438
1.04370E+06 0.00237004
1.04402E+06 0.00142092
1.04435E+06 0.000952589
1.04468E+06 0.000696058
1.04500E+06 0.000541323
1.04533E+06 0.000441862
1.04598E+06 0.000325734
1.04729E+06 0.000225450
1.04859E+06 0.000183680
1.05121E+06 0.000148163
1.05382E+06 0.000132110
1.06427E+06 0.000105214
1.07471E+06 9.24854E-05
1.07994E+06 9.18912E-05
1.08255E+06 0.000107553
1.08320E+06 0.000125292
1.08386E+06 0.000175864
1.08418E+06 0.000245351
1.08451E+06 0.000435390
1.08467E+06 0.000689258
1.08484E+06 0.00135224
1.08500E+06 0.00418523
1.08508E+06 0.0112213
1.08512E+06 0.0234464
1.08516E+06 0.0616396
1.08518E+06 0.0971790
1.08520E+06 0.115721
1.08522E+06 0.0886483
1.08524E+06 0.0549387
1.08530E+06 0.0142166
1.08536E+06 0.00606739
1.08548E+06 0.00209765
1.08573E+06 0.000671359
1.08598E+06 0.000357649
1.08622E+06 0.000240918
1.08671E+06 0.000153518
1.08720E+06 0.000121705
1.08819E+06 9.80816E-05
1.08917E+06 8.92636E-05
1.09310E+06 7.88795E-05
1.10095E+06 7.30242E-05
1.11667E+06 6.88425E-05
1.13238E+06 7.27076E-05
1.14024E+06 8.12734E-05
1.14417E+06 9.00151E-05
1.14613E+06 9.74547E-05
1.14712E+06 0.000105859
1.14761E+06 0.000125708
1.14785E+06 0.000196698
1.14798E+06 0.000471145
1.14804E+06 0.00150300
1.14807E+06 0.00534428
1.14808E+06 0.0175211
1.14809E+06 0.0547532
1.14810E+06 0.656897
1.14810E+06 1.33655
1.14810E+06 0.682072
1.14811E+06 0.0679854
1.14812E+06 0.0252767
1.14813E+06 0.00740970
1.14815E+06 0.00207423
1.14821E+06 0.000626294
1.14831E+06 0.000239834
1.14851E+06 0.000140895
1.14892E+06 0.000117819
1.14974E+06 0.000116807
1.15137E+06 0.000129233
1.15465E+06 0.000182681
1.15628E+06 0.000240678
1.15792E+06 0.000357881
1.15874E+06 0.000467007
1.15955E+06 0.000648767
1.16037E+06 0.000973578
1.16119E+06 0.00157906
1.16157E+06 0.00199589
1.16195E+06 0.00247426
1.16232E+06 0.00290574
1.16270E+06 0.00310028
1.16346E+06 0.00253177
1.16421E+06 0.00162880
1.16508E+06 0.000981376
1.16595E+06 0.000649718
1.16682E+06 0.000472124
1.16768E+06 0.000370338
1.16942E+06 0.000268981
1.17116E+06 0.000226815
1.17463E+06 0.000207437
1.17811E+06 0.000228070
1.18158E+06 0.000280353
1.18505E+06 0.000377070
1.18853E+06 0.000552271
1.19200E+06 0.000869000
1.19545E+06 0.00137504
1.19890E+06 0.00216489
1.19950E+06 0.00239986
1.20035E+06 0.00274740
1.20120E+06 0.00286279
1.20235E+06 0.00237096
1.20350E+06 0.00171655
1.20525E+06 0.00109667
1.20700E+06 0.000773005
1.20954E+06 0.000520469
1.21209E+06 0.000381265
1.21463E+06 0.000296401
1.21718E+06 0.000241556
1.22226E+06 0.000180018
1.22735E+06 0.000153328
1.23244E+06 0.000148606
1.23753E+06 0.000165878
1.24261E+06 0.000217477
1.24770E+06 0.000332283
1.24988E+06 0.000404657
1.25205E+06 0.000477145
1.25423E+06 0.000521592
1.25640E+06 0.000514970
1.26019E+06 0.000450794
1.26114E+06 0.000467600
1.26209E+06 0.000556944
1.26256E+06 0.000678200
1.26303E+06 0.000946644
1.26327E+06 0.00120802
1.26351E+06 0.00165505
1.26374E+06 0.00247540
1.26398E+06 0.00404401
1.26440E+06 0.00808511
1.26461E+06 0.00672726
1.26482E+06 0.00433488
1.26496E+06 0.00318290
1.26510E+06 0.00239358
1.26533E+06 0.00161524
1.26555E+06 0.00117443
1.26577E+06 0.000905401
1.26600E+06 0.000730606
1.26645E+06 0.000524894
1.26689E+06 0.000412750
1.26779E+06 0.000297406
1.26869E+06 0.000239283
1.27227E+06 0.000146510
1.27586E+06 0.000109368
1.27945E+06 8.80192E-05
1.28662E+06 6.43114E-05
1.29379E+06 5.17234E-05
1.30814E+06 3.91239E-05
1.32248E+06 3.32524E-05
1.35118E+06 2.96250E-05
1.36552E+06 3.19172E-05
1.37269E+06 3.69553E-05
1.37628E+06 4.82997E-05
1.37807E+06 8.51318E-05
1.37897E+06 0.000221193
1.37942E+06 0.000715120
1.37964E+06 0.00236234
1.37975E+06 0.00700425
1.37981E+06 0.0168504
1.37984E+06 0.0310235
1.37987E+06 0.0673040
1.37990E+06 0.138563
1.37992E+06 0.113430
1.37993E+06 0.0715630
1.37996E+06 0.0352517
1.37998E+06 0.0197960
1.38003E+06 0.00846464
1.38014E+06 0.00287787
1.38034E+06 0.000873506
1.38074E+06 0.000266250
1.38154E+06 0.000100506
1.38315E+06 5.91744E-05
1.38638E+06 5.45919E-05
1.38960E+06 6.28610E-05
1.39282E+06 7.94924E-05
1.39604E+06 0.000111267
1.39926E+06 0.000179907
1.40087E+06 0.000247389
1.40248E+06 0.000365661
1.40409E+06 0.000592345
1.40490E+06 0.000782827
1.40570E+06 0.00105469
1.40700E+06 0.00167236
1.40830E+06 0.00207918
1.40960E+06 0.00166419
1.41090E+06 0.00104811
1.41195E+06 0.000712740
1.41300E+06 0.000502825
1.41405E+06 0.000370342
1.41510E+06 0.000283730
1.41721E+06 0.000183356
1.41931E+06 0.000130622
1.42141E+06 9.98611E-05
1.42351E+06 8.05079E-05
1.42771E+06 5.86146E-05
1.43192E+06 4.73647E-05
1.43612E+06 4.10443E-05
1.44453E+06 3.54231E-05
1.45293E+06 3.52250E-05
1.46134E+06 4.17876E-05
1.46554E+06 5.16093E-05
1.46764E+06 6.08209E-05
1.46974E+06 7.61682E-05
1.47185E+06 0.000104296
1.47395E+06 0.000163627
1.47500E+06 0.000220934
1.47605E+06 0.000319765
1.47710E+06 0.000505188
1.47815E+06 0.000875134
1.47990E+06 0.00180139
1.48078E+06 0.00150320
1.48165E+06 0.000965582
1.48202E+06 0.000806664
1.48221E+06 0.000806518
1.48230E+06 0.00105189
1.48235E+06 0.00204874
1.48240E+06 0.0798243
1.48240E+06 0.156407
1.48241E+06 0.0785254
1.48243E+06 0.00371458
1.48246E+06 0.00153135
1.48252E+06 0.000849122
1.48264E+06 0.000630449
1.48287E+06 0.000521610
1.48334E+06 0.000412384
1.48427E+06 0.000282905
1.48520E+06 0.000208115
1.48614E+06 0.000161448
1.48800E+06 0.000109376
1.48987E+06 8.29542E-05
1.49360E+06 5.89476E-05
1.49733E+06 4.97007E-05
1.50479E+06 4.77006E-05
