Ca-43(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
24749.5 2.30772
24765.3 2.25369
24796.9 2.17734
24828.5 2.11554
24891.7 2.00908
24954.9 1.91610
25207.8 1.63656
25460.7 1.50196
25713.5 1.58318
25966.4 2.09326
26092.8 2.66457
26219.3 3.62466
26345.7 5.24117
26472.1 8.00814
26598.6 12.8457
26725.0 21.3353
26887.5 40.0196
27050.0 58.0595
27194.3 54.8987
27266.4 48.2739
27284.5 46.4620
27302.5 44.6153
27311.5 43.6671
27320.6 42.6835
27325.1 42.1732
27329.6 41.6760
27331.8 41.4883
27334.1 41.5174
27335.2 41.7995
27336.3 42.6100
27336.9 43.4780
27337.5 44.9404
27338.0 47.4946
27338.6 51.9772
27339.3 61.6661
27340.0 70.9726
27340.7 68.3796
27341.4 60.3148
27342.0 55.5329
27342.5 52.2107
27343.0 49.8367
27343.5 48.1693
27344.6 45.9816
27345.6 44.6537
27346.7 43.7675
27347.7 43.1304
27349.8 42.2569
27351.9 41.6605
27354.0 41.2043
27358.2 40.5031
27362.4 39.9382
27366.6 39.4432
27375.0 38.5564
27392.2 36.9416
27409.3 35.4585
27443.6 32.7396
27512.2 28.0773
27649.4 21.1828
27786.6 16.5432
27923.8 13.3044
28198.1 9.14081
28472.5 6.52193
28746.9 4.57721
28884.1 3.72010
29021.3 2.90457
29158.4 2.15812
29227.0 1.86334
29295.6 1.71497
29364.2 1.91712
29398.5 2.29394
29432.8 3.01607
29467.1 4.32068
29501.4 6.62976
29535.7 10.6984
29570.0 17.7709
29620.0 36.1425
29670.0 56.0691
29695.0 58.0196
29720.0 53.4553
29745.0 45.1154
29757.5 40.1541
29770.0 34.5961
29776.3 31.5070
29782.5 28.3769
29785.7 27.1568
29788.8 27.0098
29791.9 30.3394
29793.5 35.3188
29795.0 44.9081
29796.3 57.8254
29797.5 76.3939
29800.0 119.709
29802.5 129.605
29805.0 110.686
29807.3 92.4119
29809.7 79.1199
29812.0 69.7248
29814.3 62.9816
29819.0 54.0206
29823.7 48.3502
29828.3 44.3650
29833.0 41.3607
29842.3 37.0023
29861.0 31.3978
29879.7 27.6498
29917.0 22.5748
29954.3 19.1539
30029.0 14.7256
30103.7 11.9444
30178.3 10.0023
30253.0 8.53502
30402.3 6.34486
30551.7 4.59887
30626.4 3.78567
30701.0 2.99973
30775.7 2.30754
30850.4 2.03026
30887.7 2.39077
30906.4 2.85427
30925.0 3.63411
30943.7 4.89234
30962.4 6.87565
30981.0 9.95425
30999.7 14.6445
31019.8 22.1877
31039.9 32.7043
31080.0 55.7117
31100.1 60.5043
31120.2 58.8906
31160.3 47.2198
31202.4 35.8625
31244.4 28.2030
31286.5 23.1111
31328.5 19.5499
31370.6 16.8613
31412.6 14.5602
31433.7 13.3550
31444.2 12.6636
31454.7 11.8441
31465.2 10.7792
31470.5 10.0840
31475.7 9.21042
31481.0 8.06334
31483.6 7.35189
31486.2 6.54435
31488.9 5.68680
31491.5 5.06473
31492.8 5.15379
31494.1 5.99536
31495.4 8.52809
31496.1 11.0226
31496.7 14.7771
31497.6 22.1070
31498.4 32.8579
31500.0 59.4191
31500.8 66.9749
31501.6 67.6301
31503.3 58.1870
31504.6 49.2676
31506.0 42.3135
31507.3 37.1934
31508.7 33.4062
31511.4 28.3301
31514.1 25.1661
31516.8 23.0164
31519.4 21.4763
31524.8 19.4037
31530.2 18.0652
31535.6 17.1220
31546.4 15.8519
31557.2 15.0079
31568.0 14.3861
31589.5 13.4894
31611.1 12.8385
31632.7 12.3221
31675.8 11.5180
31762.1 10.3829
31848.4 9.57318
32020.9 8.44231
32193.5 7.66350
32538.6 6.61927
32883.7 5.92014
33573.9 4.97600
34264.1 4.29173
34954.4 3.67686
35299.5 3.34958
35644.6 2.97637
35989.7 2.51745
36162.2 2.23897
36334.8 1.92180
36507.4 1.58622
36593.6 1.44467
36679.9 1.38202
36766.2 1.53694
36809.3 1.79683
36852.5 2.29403
36895.6 3.20209
36938.7 4.83756
36981.9 7.78011
37025.0 13.0257
37056.3 19.0128
37087.5 27.0983
37150.0 43.7038
37181.3 46.4684
37212.5 44.4441
37275.0 34.7314
37317.6 28.6337
37360.2 23.9518
37402.7 20.4652
37445.3 17.8543
37530.5 14.3177
37615.6 12.0989
37700.8 10.6052
37785.9 9.54165
37956.3 8.13918
38126.6 7.26043
38296.9 6.65858
38637.5 5.88365
38978.1 5.40036
39318.8 5.06509
40000.0 4.61993
40000.0 6.93199
50000.0 6.27790
60000.0 5.79690
70000.0 5.42590
80000.0 5.12930
90000.0 4.88570
100000 4.68140
112500 4.51213
125000 4.34306
150000 4.00530
175000 3.81423
200000 3.62340
225000 3.50155
250000 3.37980
252023 3.37180
276012 3.29312
300000 3.21450
325000 3.15662
350000 3.09880
381514 3.04410
381515 3.04410
400000 3.01720
425000 2.98858
450000 2.96000
475000 2.94054
500000 2.92110
525000 2.90875
550000 2.89640
575000 2.88955
600000 2.88270
607327 2.88150
629175 2.87900
650000 2.87800
675000 2.87920
700000 2.88040
712500 2.88247
725000 2.88455
737500 2.88662
750000 2.88870
762500 2.89202
775000 2.89535
787500 2.89867
800000 2.90200
812500 2.90633
825000 2.91065
837500 2.91498
850000 2.91930
862500 2.92445
875000 2.92960
887500 2.93475
900000 2.93990
912500 2.94573
925000 2.95155
950000 2.96320
951981 2.96420
975991 2.97645
1.00000E+06 2.98870
1.01351E+06 2.99590
1.03541E+06 3.00800
1.05730E+06 3.02010
1.07865E+06 3.03235
1.10000E+06 3.04460
1.12500E+06 3.05960
1.15000E+06 3.07460
1.17500E+06 3.08960
1.20000E+06 3.10460
1.21448E+06 3.11350
1.22646E+06 3.12088
1.23844E+06 3.12825
1.25042E+06 3.13563
1.26240E+06 3.14300
1.26619E+06 3.14540
1.28310E+06 3.15585
1.30000E+06 3.16630
1.31250E+06 3.17399
1.32500E+06 3.18168
1.33750E+06 3.18936
1.35000E+06 3.19705
1.36250E+06 3.20474
1.37500E+06 3.21242
1.38750E+06 3.22011
1.40000E+06 3.22780
1.42721E+06 3.24430
1.42721E+06 3.24430
1.43588E+06 3.24960
1.45191E+06 3.25912
1.46794E+06 3.26865
1.48397E+06 3.27818
1.50000E+06 3.28770
1.52500E+06 3.30192
1.55000E+06 3.31615
1.57500E+06 3.33037
1.60000E+06 3.34460
1.61584E+06 3.35320
1.63168E+06 3.36180
1.64363E+06 3.36813
1.65558E+06 3.37445
1.66752E+06 3.38078
1.67947E+06 3.38710
1.70000E+06 3.39770
1.71719E+06 3.40640
1.71720E+06 3.40640
1.73790E+06 3.41640
1.75860E+06 3.42640
1.77930E+06 3.43640
1.80000E+06 3.44640
1.81273E+06 3.45230
1.82364E+06 3.45705
1.83455E+06 3.46180
1.84546E+06 3.46655
1.85637E+06 3.47130
1.86727E+06 3.47605
1.87818E+06 3.48080
1.88909E+06 3.48555
1.90000E+06 3.49030
1.91161E+06 3.49495
1.92323E+06 3.49960
1.93484E+06 3.50425
1.94645E+06 3.50890
1.94646E+06 3.50890
1.96155E+06 3.51465
1.97665E+06 3.52040
1.98833E+06 3.52470
2.00000E+06 3.52900
2.00336E+06 3.53020
2.01632E+06 3.53470
2.02928E+06 3.53920
2.04224E+06 3.54370
2.05520E+06 3.54820
2.07475E+06 3.55450
2.09430E+06 3.56080
2.10000E+06 3.56260
2.11584E+06 3.56740
2.11584E+06 3.56740
2.12945E+06 3.57145
2.14306E+06 3.57550
2.14307E+06 3.57550
2.15207E+06 3.57810
2.15207E+06 3.57810
2.17287E+06 3.58375
2.19367E+06 3.58940
2.20000E+06 3.59110
2.21906E+06 3.59570
2.23811E+06 3.60030
2.25717E+06 3.60490
2.27622E+06 3.60950
2.29254E+06 3.61310
2.30000E+06 3.61460
2.30181E+06 3.61500
2.31394E+06 3.61750
2.32606E+06 3.62000
2.32606E+06 3.62000
2.34455E+06 3.62337
2.36303E+06 3.62675
2.38152E+06 3.63012
2.40000E+06 3.63350
2.41660E+06 3.63602
2.43319E+06 3.63855
2.44979E+06 3.64108
2.46638E+06 3.64360
2.46638E+06 3.64360
2.48319E+06 3.64580
2.50000E+06 3.64800
2.52056E+06 3.65020
2.54112E+06 3.65240
2.56168E+06 3.65460
2.58224E+06 3.65680
2.58224E+06 3.65680
2.60000E+06 3.65830
2.60265E+06 3.65850
2.60266E+06 3.65850
2.61282E+06 3.65928
2.62298E+06 3.66005
2.63313E+06 3.66082
2.64329E+06 3.66160
2.65780E+06 3.66250
2.67231E+06 3.66340
2.68616E+06 3.66415
2.70000E+06 3.66490
2.70912E+06 3.66530
2.71824E+06 3.66570
2.72736E+06 3.66610
2.73648E+06 3.66650
2.74835E+06 3.66685
2.76022E+06 3.66720
2.76022E+06 3.66720
2.77017E+06 3.66742
2.78011E+06 3.66765
2.79006E+06 3.66787
2.80000E+06 3.66810
2.82500E+06 3.66810
2.85000E+06 3.66810
2.87500E+06 3.66810
2.90000E+06 3.66810
2.91492E+06 3.66790
2.91492E+06 3.66790
2.93288E+06 3.66750
2.95084E+06 3.66710
2.96712E+06 3.66660
2.98356E+06 3.66600
3.00000E+06 3.66540
3.02500E+06 3.66409
3.05000E+06 3.66279
3.07500E+06 3.66149
3.10000E+06 3.66020
3.12500E+06 3.65834
3.15000E+06 3.65649
3.17500E+06 3.65464
3.20000E+06 3.65280
3.22500E+06 3.65045
3.25000E+06 3.64810
3.27500E+06 3.64575
3.30000E+06 3.64340
3.32500E+06 3.64063
3.35000E+06 3.63785
3.37500E+06 3.63508
3.40000E+06 3.63230
3.45000E+06 3.62599
3.50000E+06 3.61970
3.55000E+06 3.61274
3.60000E+06 3.60580
3.65000E+06 3.59829
3.70000E+06 3.59080
3.75000E+06 3.58284
3.80000E+06 3.57490
3.85000E+06 3.56650
3.90000E+06 3.55810
3.95000E+06 3.54940
4.00000E+06 3.54070
4.05000E+06 3.53145
4.10000E+06 3.52228
4.15000E+06 3.51320
4.20000E+06 3.50420
4.25000E+06 3.49467
4.30000E+06 3.48514
4.35000E+06 3.47562
4.40000E+06 3.46610
4.50000E+06 3.44651
4.60000E+06 3.42700
4.62918E+06 3.42130
4.71459E+06 3.40429
4.80000E+06 3.38740
4.90000E+06 3.36744
5.00000E+06 3.34750
5.10000E+06 3.32741
5.20000E+06 3.30760
5.30000E+06 3.28775
5.40000E+06 3.26790
5.50000E+06 3.24813
5.60000E+06 3.22840
5.80000E+06 3.18930
6.00000E+06 3.15070
6.20000E+06 3.11250
6.40000E+06 3.07480
6.60000E+06 3.03760
6.80000E+06 3.00100
7.00000E+06 2.96500
7.20000E+06 2.92960
7.40000E+06 2.89490
7.60000E+06 2.86070
7.76977E+06 2.83220
7.80000E+06 2.82720
8.00000E+06 2.79420
8.11926E+06 2.77490
8.11927E+06 2.77490
8.50000E+06 2.71490
8.64996E+06 2.69190
8.64996E+06 2.69190
8.75930E+06 2.67530
8.91428E+06 2.65230
9.00000E+06 2.63970
9.30368E+06 2.59630
9.30369E+06 2.59630
9.34791E+06 2.59010
9.36545E+06 2.58770
9.50000E+06 2.56920
9.95645E+06 2.50900
