Nb-93(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
603.810 6.90804
603.846 9.73962
603.883 14.4175
603.919 22.2448
603.959 35.5899
604.000 44.4609
604.041 35.5570
604.081 22.2474
604.108 16.1815
604.134 12.0042
604.186 7.14084
604.239 4.65264
604.291 3.25079
604.344 2.39433
604.396 1.83647
604.501 1.18152
604.607 0.827706
604.712 0.616099
604.922 0.386572
605.132 0.271459
605.342 0.205746
605.762 0.137394
606.182 0.104413
606.602 0.0860230
607.442 0.0673374
608.282 0.0585901
609.123 0.0539187
610.803 0.0498499
612.483 0.0495351
614.164 0.0539434
615.004 0.0612645
615.844 0.0822467
616.264 0.110600
616.474 0.138051
616.684 0.186336
616.894 0.283341
616.999 0.373321
617.104 0.524596
617.209 0.807619
617.262 1.05118
617.314 1.42907
617.367 2.05684
617.419 3.19590
617.446 4.13457
617.472 5.49945
617.498 7.54523
617.524 10.5851
617.562 16.9056
617.600 21.1170
617.638 16.8868
617.676 10.5699
617.721 5.97112
617.766 3.66628
617.812 2.44078
617.857 1.73253
617.902 1.29221
617.947 1.00182
618.038 0.656714
618.128 0.468083
618.219 0.354439
618.399 0.230339
618.580 0.167726
618.761 0.131865
619.123 0.0944724
619.846 0.0663047
620.569 0.0560364
622.016 0.0485539
623.463 0.0459875
626.356 0.0445658
629.249 0.0449821
632.142 0.0470816
633.589 0.0493828
635.036 0.0536582
636.482 0.0628244
637.206 0.0719258
637.929 0.0884358
638.652 0.123292
639.014 0.157497
639.376 0.218721
639.557 0.269382
639.737 0.345285
639.918 0.466509
640.099 0.677731
640.280 1.09597
640.370 1.47795
640.461 2.10949
640.551 3.26132
640.596 4.22658
640.641 5.68413
640.687 8.01511
640.732 12.0147
640.777 19.4427
640.822 33.9570
640.861 54.3160
640.900 67.8340
640.939 54.2568
640.978 33.9093
641.008 23.1986
641.039 16.3627
641.069 11.9765
641.099 9.07205
641.159 5.66194
641.220 3.84849
641.280 2.77918
641.340 2.10086
641.461 1.32506
641.582 0.915932
641.703 0.675022
641.823 0.521368
641.944 0.417471
642.186 0.290073
642.427 0.217984
642.669 0.173290
642.910 0.143705
643.393 0.108195
643.876 0.0885379
644.842 0.0687012
645.808 0.0594453
646.774 0.0544409
648.705 0.0496190
650.637 0.0476403
652.569 0.0468755
656.432 0.0472562
660.296 0.0500688
662.228 0.0531745
664.160 0.0589149
666.091 0.0711282
667.057 0.0831833
668.023 0.104950
668.506 0.123132
668.989 0.150673
669.472 0.195361
669.955 0.275074
670.196 0.340806
670.438 0.439069
670.679 0.595461
670.921 0.866488
671.162 1.39885
671.283 1.88103
671.404 2.67102
671.525 4.09390
671.585 5.27015
671.645 7.01860
671.706 9.76604
671.766 14.3448
671.826 22.5303
671.887 37.6662
671.943 60.2397
672.000 75.2900
672.057 60.2442
672.113 37.6722
672.161 24.9595
672.209 17.1633
672.257 12.3278
672.305 9.20857
672.400 5.64125
672.496 3.78917
672.591 2.71690
672.687 2.04421
672.878 1.28257
673.069 0.885416
673.261 0.653033
673.452 0.505684
673.643 0.406623
674.025 0.286114
674.408 0.219027
674.790 0.178628
675.172 0.153427
675.937 0.130267
676.319 0.130056
676.702 0.140553
677.084 0.172893
677.275 0.207573
677.466 0.270799
677.658 0.400390
677.753 0.521636
677.849 0.726238
677.944 1.11003
677.992 1.44076
678.040 1.95433
678.088 2.80822
678.136 4.35892
678.160 5.63482
678.183 7.49825
678.207 10.2820
678.231 14.4153
678.266 23.0234
678.300 28.7347
678.335 22.9973
678.369 14.3948
678.409 8.25272
678.449 5.11446
678.489 3.42639
678.529 2.44314
678.570 1.82850
678.610 1.42151
678.690 0.936239
678.770 0.669619
678.850 0.508223
679.010 0.331315
679.171 0.241474
679.331 0.189648
679.652 0.134932
679.973 0.107897
680.293 0.0923944
680.935 0.0758782
682.217 0.0624600
683.500 0.0568759
685.861 0.0523828
688.221 0.0505511
692.942 0.0497061
697.663 0.0507125
702.384 0.0533417
707.105 0.0587148
709.465 0.0635670
711.825 0.0716906
714.186 0.0875744
715.366 0.102492
716.546 0.128663
717.727 0.182445
718.317 0.234434
718.907 0.326736
719.202 0.402689
719.497 0.516126
719.792 0.696767
720.087 1.01029
720.382 1.62798
720.530 2.18961
720.677 3.11375
720.825 4.78896
720.899 6.18325
720.972 8.27073
721.046 11.5810
721.120 17.1735
721.194 27.3626
721.267 46.6975
721.334 74.6989
721.400 93.3301
721.467 74.6592
721.533 46.6702
721.611 26.6722
721.688 16.4748
721.765 10.9848
721.843 7.79248
721.920 5.79504
721.997 4.47462
722.152 2.89935
722.307 2.03552
722.461 1.51339
722.771 0.942690
723.080 0.654778
