45-Rh_n-tot
> 45-Rh-103:1.000000
2.052350e+02 9.38844000e+00
2.052800e+02 7.74917000e+00
2.053250e+02 6.69703000e+00
2.053700e+02 6.10781000e+00
2.054150e+02 5.76643000e+00
2.054600e+02 5.55751000e+00
2.055500e+02 5.32872000e+00
2.056400e+02 5.21392000e+00
2.057290e+02 5.14788000e+00
2.058190e+02 5.10602000e+00
2.059990e+02 5.05665000e+00
2.063590e+02 5.00916000e+00
2.067180e+02 4.98335000e+00
2.081560e+02 4.92307000e+00
2.110320e+02 4.83911000e+00
2.167830e+02 4.70656000e+00
2.225350e+02 4.59106000e+00
2.282860e+02 4.47574000e+00
2.340370e+02 4.34643000e+00
2.369130e+02 4.27081000e+00
2.397890e+02 4.18329000e+00
2.426650e+02 4.07887000e+00
2.455400e+02 3.95309000e+00
2.469780e+02 3.88519000e+00
2.484160e+02 3.82906000e+00
2.491350e+02 3.82049000e+00
2.498540e+02 3.85039000e+00
2.505730e+02 3.98776000e+00
2.509320e+02 4.20908000e+00
2.511120e+02 4.56814000e+00
2.512020e+02 5.13848000e+00
2.512470e+02 5.82160000e+00
2.512920e+02 7.24536000e+00
2.513600e+02 1.02844000e+01
2.514280e+02 7.35755000e+00
2.514660e+02 6.15212000e+00
2.515040e+02 5.53874000e+00
2.515800e+02 5.05356000e+00
2.517320e+02 4.92543000e+00
2.520360e+02 5.38899000e+00
2.523400e+02 6.41614000e+00
2.526440e+02 8.43894000e+00
2.527960e+02 1.01906000e+01
2.529480e+02 1.28783000e+01
2.530990e+02 1.72427000e+01
2.532510e+02 2.48945000e+01
2.533270e+02 3.10268000e+01
2.534030e+02 3.98775000e+01
2.534790e+02 5.32300000e+01
2.535550e+02 7.45077000e+01
2.536310e+02 1.11095000e+02
2.536690e+02 1.39808000e+02
2.537070e+02 1.80228000e+02
2.537450e+02 2.39326000e+02
2.537830e+02 3.28555000e+02
2.538210e+02 4.67305000e+02
2.538590e+02 6.83308000e+02
2.539100e+02 1.11083000e+03
2.539600e+02 1.41302000e+03
2.540110e+02 1.15347000e+03
2.540610e+02 7.36698000e+02
2.540960e+02 5.29931000e+02
2.541320e+02 3.90471000e+02
2.541670e+02 2.96606000e+02
2.542030e+02 2.31991000e+02
2.542730e+02 1.52842000e+02
2.543440e+02 1.08753000e+02
2.544150e+02 8.19176000e+01
2.544860e+02 6.44237000e+01
2.546270e+02 4.37728000e+01
2.547690e+02 3.24662000e+01
2.549100e+02 2.55889000e+01
2.550520e+02 2.10702000e+01
2.551940e+02 1.79333000e+01
2.554770e+02 1.39440000e+01
2.557600e+02 1.15761000e+01
2.560430e+02 1.00396000e+01
2.563260e+02 8.97646000e+00
2.568920e+02 7.62164000e+00
2.574590e+02 6.80706000e+00
2.580250e+02 6.26827000e+00
2.585910e+02 5.88734000e+00
2.597240e+02 5.38868000e+00
2.608560e+02 5.10059000e+00
2.614220e+02 5.03553000e+00
2.619890e+02 5.09610000e+00
2.622720e+02 5.26520000e+00
2.624130e+02 5.44348000e+00
2.625550e+02 5.75738000e+00
2.626960e+02 6.35878000e+00
2.627670e+02 6.87874000e+00
2.628380e+02 7.68132000e+00
2.629090e+02 9.00338000e+00
2.629800e+02 1.13594000e+01
2.630500e+02 1.59798000e+01
2.630860e+02 1.99469000e+01
2.631210e+02 2.56883000e+01
2.631760e+02 3.82530000e+01
2.632300e+02 4.66020000e+01
2.632850e+02 3.82531000e+01
2.633390e+02 2.56913000e+01
2.633980e+02 1.71361000e+01
2.634570e+02 1.25676000e+01
2.635160e+02 1.00315000e+01
2.635750e+02 8.53021000e+00
2.636930e+02 6.98075000e+00
2.638100e+02 6.32611000e+00
2.639280e+02 6.15440000e+00
2.640460e+02 6.51707000e+00
2.641050e+02 7.10155000e+00
2.641640e+02 8.34960000e+00
2.641930e+02 9.48943000e+00
2.642230e+02 1.12878000e+01
2.642520e+02 1.42509000e+01
2.642820e+02 1.91472000e+01
2.643160e+02 2.77433000e+01
2.643500e+02 3.34544000e+01
2.643840e+02 2.76759000e+01
2.644180e+02 1.90528000e+01
2.644480e+02 1.40267000e+01
2.644780e+02 1.10007000e+01
2.645080e+02 9.14920000e+00
2.645380e+02 7.96749000e+00
2.645980e+02 6.61640000e+00
2.646580e+02 5.90969000e+00
2.647780e+02 5.22514000e+00
2.648980e+02 4.90641000e+00
2.651370e+02 4.60738000e+00
2.653770e+02 4.46018000e+00
2.658560e+02 4.30004000e+00
2.663360e+02 4.20437000e+00
2.672940e+02 4.09838000e+00
2.682530e+02 4.12102000e+00
2.687320e+02 4.23109000e+00
2.692110e+02 4.48262000e+00
2.696910e+02 5.01910000e+00
2.701700e+02 6.19455000e+00
2.704100e+02 7.28705000e+00
2.706490e+02 9.04653000e+00
2.708890e+02 1.20479000e+01
2.711290e+02 1.75935000e+01
2.712480e+02 2.22318000e+01
2.713680e+02 2.91603000e+01
2.714880e+02 4.00619000e+01
2.716080e+02 5.84184000e+01
2.716680e+02 7.25813000e+01
2.717280e+02 9.23417000e+01
2.717880e+02 1.20900000e+02
2.718470e+02 1.63978000e+02
2.719070e+02 2.32445000e+02
2.719670e+02 3.48278000e+02
2.720270e+02 5.57952000e+02
2.720570e+02 7.25028000e+02
2.720870e+02 9.52890000e+02
2.721440e+02 1.55909000e+03
2.722000e+02 1.99320000e+03
2.722570e+02 1.62798000e+03
2.723130e+02 1.03891000e+03
