Cu-65(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
8407.15 14.4689
8408.01 14.4333
8408.44 14.5062
8408.87 14.8534
8409.08 15.3466
8409.30 16.4497
8409.40 17.5136
8409.51 19.2369
8409.62 22.1413
8409.73 27.0918
8409.86 37.7304
8410.00 47.5376
8410.14 44.3055
8410.28 35.3417
8410.37 30.5743
8410.46 27.1253
8410.64 22.9007
8410.83 20.5781
8411.01 19.1950
8411.38 17.6782
8411.74 16.8958
8412.48 16.1218
8413.21 15.7443
8414.68 15.3705
8416.15 15.1776
8419.08 14.9611
8422.02 14.8252
8427.89 14.6315
8433.76 14.4771
8445.50 14.2124
8457.24 13.9759
8504.21 13.1680
8598.14 11.9387
8786.01 10.3240
8973.88 9.28164
9067.81 8.85996
9091.30 8.75221
9114.78 8.63119
9126.52 8.55653
9132.39 8.51082
9138.26 8.45424
9144.13 8.37665
9147.07 8.32268
9150.00 8.24942
9152.94 8.13962
9154.41 8.05917
9155.87 7.94759
9157.34 7.78066
9158.08 7.66175
9158.81 7.50503
9159.54 7.29382
9160.28 7.02742
9160.64 6.92277
9161.01 7.03692
9161.20 7.40434
9161.38 8.41897
9161.47 9.48127
9161.56 11.2652
9161.65 14.3855
9161.74 19.7919
9161.81 25.4688
9161.87 32.9212
9162.00 46.7494
9162.13 45.0556
9162.26 35.2333
9162.36 28.4525
9162.47 23.7965
9162.58 20.5893
9162.68 18.3671
9162.89 15.5473
9163.11 13.8961
9163.53 12.1055
9163.96 11.1789
9164.38 10.6188
9164.81 10.2471
9165.66 9.78687
9166.51 9.51321
9167.36 9.33201
9169.07 9.10544
9170.77 8.96772
9172.47 8.87366
9175.88 8.74935
9179.28 8.66620
9182.69 8.60220
9189.50 8.49700
9196.31 8.39206
9199.71 8.32881
9203.12 8.24809
9206.52 8.13188
9208.22 8.04804
9209.93 7.93217
9211.63 7.75815
9212.48 7.63302
9213.33 7.46542
9214.18 7.23286
9215.03 6.91602
9215.46 6.75628
9215.89 6.76713
9216.10 7.05373
9216.31 7.99313
9216.42 9.06118
9216.52 10.9686
9216.63 14.4799
9216.74 20.9853
9216.80 27.3540
9216.87 35.6076
9217.00 50.8592
9217.13 48.9812
9217.26 38.0783
9217.42 28.3918
9217.57 22.6227
9217.72 19.1332
9217.87 16.8916
9218.18 14.2741
9218.48 12.8389
9218.78 11.9501
9219.09 11.3516
9219.70 10.6034
9220.30 10.1579
9220.91 9.86354
9222.13 9.49948
9223.34 9.28258
9224.56 9.13831
9226.99 8.95665
9229.42 8.84531
9231.85 8.76869
9236.71 8.66708
9241.58 8.59976
9246.44 8.54964
9256.16 8.47545
9275.61 8.37189
9295.06 8.29234
9372.85 8.04717
9528.44 7.66597
9684.03 7.34313
9722.92 7.26423
9761.82 7.17926
9781.27 7.12933
9790.99 7.09973
9800.72 7.06400
9810.44 7.01638
9815.30 6.98405
9820.16 6.94103
9825.03 6.87849
9827.46 6.83419
9829.89 6.77511
9832.32 6.69299
9834.75 6.57988
9835.97 6.52441
9837.18 6.55200
9837.79 6.72043
9838.40 7.32605
9838.70 8.12110
9839.01 9.84795
9839.16 11.4663
9839.31 14.0804
9839.46 18.4490
9839.61 25.7839
9839.81 41.3711
9840.00 55.9457
9840.19 51.1213
9840.39 37.4718
9840.54 29.0585
9840.70 23.4209
9840.86 19.6696
9841.01 17.1034
9841.32 13.9559
9841.64 12.1812
9841.95 11.0712
9842.26 10.3275
9842.88 9.41277
9843.51 8.88079
9844.13 8.53865
9845.38 8.12847
9846.62 7.89390
9847.87 7.74291
9850.36 7.56035
9852.86 7.45370
9855.35 7.38328
9860.34 7.29469
9865.33 7.23973
9870.32 7.20107
9880.29 7.14761
9890.27 7.10976
9900.24 7.07964
9920.19 7.03097
9960.10 6.95339
10000.0 6.88653
10143.9 6.67692
10287.7 6.49073
10575.4 6.15642
10863.1 5.85049
11006.9 5.69940
11078.9 5.61666
11096.8 5.59171
11114.8 5.56002
11123.8 5.53757
11132.8 5.50232
11137.3 5.47238
11141.8 5.41962
11144.0 5.37220
11146.3 5.28864
11147.4 5.21711
11148.5 5.10686
11149.1 5.03271
11149.7 4.96952
11149.9 4.98989
11150.2 5.18090
11150.4 5.47017
11150.5 6.10987
11150.6 7.60686
11150.8 11.4288
11150.9 17.8732
11151.0 23.9909
11151.1 23.0966
11151.2 18.1203
11151.4 14.0838
11151.5 11.6829
11151.7 9.16224
11152.0 8.01679
11152.2 7.41278
11152.7 6.77152
11153.2 6.45101
11154.2 6.13489
11155.2 5.98307
11157.1 5.83402
11159.1 5.76068
11163.0 5.68701
11167.0 5.64894
11174.8 5.60732
11182.7 5.58274
11198.5 5.55036
11214.2 5.52629
11245.7 5.48635
11277.2 5.45043
11403.1 5.31555
11654.9 5.04191
11906.8 4.73118
11969.7 4.63951
12032.7 4.53280
12064.2 4.46665
12079.9 4.42650
12095.6 4.37732
12111.4 4.31064
12119.3 4.26457
12127.1 4.20204
12135.0 4.10782
12138.9 4.03790
12142.9 3.93956
12146.8 3.78794
12148.8 3.67599
12150.7 3.52264
12152.7 3.29873
12153.7 3.14562
12154.7 2.95870
12155.7 2.74067
12156.6 2.59929
12157.1 2.74166
12157.6 3.53046
