29-Cu_n-tot
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
2.633410e+03 3.64160374e+01
2.634540e+03 4.61408307e+01
2.635680e+03 6.07836347e+01
2.636810e+03 8.36236245e+01
2.637940e+03 1.20436202e+02
2.639070e+03 1.80300623e+02
2.640540e+03 3.02166924e+02
2.642000e+03 4.02671207e+02
2.643470e+03 3.46521206e+02
2.644930e+03 2.33021451e+02
2.646240e+03 1.61023205e+02
2.647550e+03 1.16398677e+02
2.648860e+03 8.84828644e+01
2.650170e+03 7.02714241e+01
2.651210e+03 6.18257192e+01
2.652790e+03 4.90187053e+01
2.655410e+03 3.76034784e+01
2.658030e+03 3.07230394e+01
2.660650e+03 2.62193550e+01
2.665890e+03 2.07799880e+01
2.670080e+03 1.82800310e+01
2.671130e+03 1.76631478e+01
2.676380e+03 1.56833599e+01
2.681620e+03 1.42987861e+01
2.686860e+03 1.32679838e+01
2.688950e+03 1.29766956e+01
2.697340e+03 1.18737087e+01
2.707820e+03 1.09361354e+01
2.718300e+03 1.02340870e+01
2.726690e+03 9.78398902e+00
2.728780e+03 9.68419155e+00
2.749750e+03 8.92229391e+00
2.764430e+03 8.51287142e+00
2.770710e+03 8.35796214e+00
2.802160e+03 7.77187279e+00
2.812630e+03 7.59713181e+00
2.839900e+03 7.24815754e+00
2.854560e+03 7.08528584e+00
2.896490e+03 6.70003349e+00
2.915380e+03 6.55414051e+00
2.980340e+03 6.13442495e+00
2.990850e+03 6.07723050e+00
3.064190e+03 5.72837816e+00
3.066330e+03 5.71935755e+00
3.104060e+03 5.57174360e+00
3.122930e+03 5.49818387e+00
3.127650e+03 5.47891340e+00
3.132370e+03 5.45814053e+00
3.134720e+03 5.44638191e+00
3.137080e+03 5.43228885e+00
3.138260e+03 5.42349467e+00
3.139440e+03 5.41289268e+00
3.140030e+03 5.40755929e+00
3.140620e+03 5.40662202e+00
3.140920e+03 5.41441393e+00
3.141210e+03 5.44548126e+00
3.141360e+03 5.48706511e+00
3.141510e+03 5.57624435e+00
3.141650e+03 5.78967723e+00
3.141730e+03 6.00556655e+00
3.141800e+03 6.35601341e+00
3.141900e+03 7.14683130e+00
3.142000e+03 7.85999974e+00
3.142100e+03 7.60086872e+00
3.142200e+03 6.93282096e+00
3.142310e+03 6.40555190e+00
3.142420e+03 6.10401229e+00
3.142530e+03 5.92515079e+00
3.142640e+03 5.81224659e+00
3.142860e+03 5.68289072e+00
