49-In_n-tot
> 49-In-113:0.042900
> 49-In-115:0.957100
3.248280e+01 1.04697607e+01
3.252530e+01 9.14009168e+00
3.261040e+01 7.65458517e+00
3.269550e+01 6.88443616e+00
3.278060e+01 6.43231772e+00
3.286560e+01 6.14298152e+00
3.295070e+01 5.94578775e+00
3.312090e+01 5.69980847e+00
3.329100e+01 5.55599801e+00
3.345640e+01 5.46578963e+00
3.346120e+01 5.46319383e+00
3.363130e+01 5.39956574e+00
3.397160e+01 5.31766530e+00
3.431190e+01 5.26692399e+00
3.465220e+01 5.23241003e+00
3.467890e+01 5.23062755e+00
3.482240e+01 5.22305963e+00
3.490740e+01 5.22480560e+00
3.495000e+01 5.23456964e+00
3.497120e+01 5.24755479e+00
3.499250e+01 5.27370235e+00
3.503000e+01 5.33659966e+00
3.506750e+01 5.26972576e+00
3.508630e+01 5.24376812e+00
3.510500e+01 5.22881795e+00
3.514250e+01 5.21394872e+00
3.521760e+01 5.20234047e+00
3.536760e+01 5.19225175e+00
3.566770e+01 5.17956231e+00
3.590130e+01 5.17239110e+00
3.626800e+01 5.17336908e+00
3.651260e+01 5.17635935e+00
3.712380e+01 5.22430985e+00
3.742940e+01 5.28242007e+00
3.746850e+01 5.29598024e+00
3.773500e+01 5.38997425e+00
3.804060e+01 5.59177469e+00
3.834620e+01 6.00021302e+00
3.849910e+01 6.36615246e+00
3.865190e+01 6.94601423e+00
3.866890e+01 7.05506869e+00
3.880470e+01 7.92661547e+00
3.895750e+01 9.74224965e+00
3.903390e+01 1.12749334e+01
3.911030e+01 1.35996365e+01
3.918670e+01 1.73465903e+01
3.926310e+01 2.39037811e+01
3.933950e+01 3.68326737e+01
3.937770e+01 4.85167127e+01
3.941590e+01 6.75218010e+01
3.945410e+01 1.01203826e+02
3.947320e+01 1.28535612e+02
3.949230e+01 1.68441778e+02
3.951140e+01 2.29320876e+02
3.953050e+01 3.26952614e+02
3.954960e+01 4.91460757e+02
3.955920e+01 6.14264284e+02
3.956870e+01 7.74393754e+02
3.958940e+01 1.24613290e+03
3.961000e+01 1.56939330e+03
3.963070e+01 1.26785881e+03
3.965130e+01 8.01579666e+02
3.966600e+01 5.70006358e+02
3.968070e+01 4.15797357e+02
3.969540e+01 3.13009511e+02
3.971000e+01 2.42919073e+02
3.973940e+01 1.57910225e+02
3.976880e+01 1.11135608e+02
3.979810e+01 8.29385899e+01
3.982750e+01 6.47249853e+01
3.986940e+01 4.95383829e+01
3.988620e+01 4.34492771e+01
3.994500e+01 3.19793321e+01
4.000370e+01 2.50919823e+01
4.006240e+01 2.06283925e+01
4.012120e+01 1.75671453e+01
4.023860e+01 1.37504969e+01
4.035610e+01 1.15627366e+01
4.047350e+01 1.02585715e+01
4.059100e+01 9.74279787e+00
4.068000e+01 9.85379713e+00
4.076900e+01 8.78110296e+00
4.085610e+01 8.05988313e+00
4.094320e+01 7.65183600e+00
4.106990e+01 7.28234819e+00
4.111750e+01 7.14361969e+00
4.146590e+01 6.56453493e+00
4.167010e+01 6.36874108e+00
4.181440e+01 6.23071834e+00
4.216290e+01 6.01478605e+00
4.227040e+01 5.97474659e+00
4.285980e+01 5.75857159e+00
4.287060e+01 5.75635593e+00
4.317070e+01 5.69798437e+00
4.347080e+01 5.64489638e+00
4.355670e+01 5.63343813e+00
4.377100e+01 5.62289094e+00
4.392100e+01 5.62736126e+00
4.407110e+01 5.65068376e+00
4.422110e+01 5.71893437e+00
4.425360e+01 5.75069972e+00
4.429620e+01 5.79543145e+00
4.437120e+01 5.93438878e+00
4.444620e+01 6.20882430e+00
4.448370e+01 6.45706083e+00
4.452130e+01 6.86138362e+00
4.455880e+01 7.58113834e+00
4.459630e+01 9.03103819e+00
4.461500e+01 1.03598019e+01
4.463380e+01 1.25182462e+01
4.465260e+01 1.62276542e+01
4.467130e+01 2.27631480e+01
4.469070e+01 3.32758630e+01
4.471000e+01 4.04422977e+01
4.472940e+01 3.36518554e+01
4.474870e+01 2.32424175e+01
4.476540e+01 1.72524631e+01
4.478200e+01 1.36054977e+01
4.479870e+01 1.13587399e+01
4.481530e+01 9.91876497e+00
4.484860e+01 8.28586976e+00
4.488190e+01 7.45524316e+00
4.491520e+01 6.99335063e+00
4.494850e+01 6.72754114e+00
4.495060e+01 6.72101915e+00
4.501510e+01 6.52766346e+00
4.508160e+01 6.64517106e+00
4.511490e+01 6.85593727e+00
4.514820e+01 7.24639872e+00
4.518150e+01 7.97579590e+00
4.521480e+01 9.44716575e+00
4.523150e+01 1.07664714e+01
4.524810e+01 1.28445440e+01
4.526480e+01 1.62564687e+01
4.528140e+01 2.19240701e+01
4.529110e+01 2.65702355e+01
4.529900e+01 3.09704911e+01
4.530070e+01 3.19176271e+01
4.532000e+01 3.88019318e+01
4.533930e+01 3.24519726e+01
4.535860e+01 2.25809530e+01
4.537670e+01 1.64675636e+01
4.539490e+01 1.28968771e+01
4.541300e+01 1.07669672e+01
4.543110e+01 9.43080598e+00
4.546740e+01 7.94062577e+00
4.547330e+01 7.81743696e+00
4.550370e+01 7.18964140e+00
4.553990e+01 6.76365035e+00
4.557620e+01 6.50116384e+00
4.564750e+01 6.21799650e+00
4.564870e+01 6.21388950e+00
4.572120e+01 6.11383581e+00
4.579370e+01 6.08136679e+00
4.582170e+01 6.08647099e+00
4.590880e+01 6.18709993e+00
4.593880e+01 6.26687308e+00
4.599590e+01 6.44006623e+00
4.608310e+01 7.00200417e+00
4.608380e+01 7.01046992e+00
4.612660e+01 7.53519376e+00
4.617020e+01 8.41386285e+00
4.621370e+01 9.99046504e+00
4.622890e+01 1.11025646e+01
4.625730e+01 1.31835766e+01
4.627910e+01 1.61089015e+01
4.630090e+01 2.08520465e+01
4.632260e+01 2.89620921e+01
4.634440e+01 4.31558339e+01
4.636720e+01 6.62726675e+01
4.639000e+01 8.21306633e+01
4.641280e+01 6.73762942e+01
4.643560e+01 4.45321331e+01
4.646180e+01 2.81462842e+01
4.648810e+01 1.96489349e+01
4.651430e+01 1.50246965e+01
4.651900e+01 1.45389195e+01
4.654060e+01 1.23078363e+01
4.656680e+01 1.05955785e+01
4.659300e+01 9.45387678e+00
4.664550e+01 8.07987334e+00
4.669800e+01 7.31819376e+00
4.675050e+01 6.85359803e+00
4.680900e+01 6.56837150e+00
4.685540e+01 6.34350738e+00
4.696040e+01 6.09181990e+00
4.706530e+01 5.95939182e+00
4.709910e+01 5.94717424e+00
4.727520e+01 5.88702550e+00
4.748510e+01 6.02952143e+00
4.759010e+01 6.23454668e+00
4.767930e+01 6.57436989e+00
4.769500e+01 6.63437054e+00
4.780000e+01 7.48027828e+00
4.785240e+01 8.27798143e+00
4.790490e+01 9.62062705e+00
4.795740e+01 1.21093329e+01
4.798360e+01 1.42169382e+01
4.800990e+01 1.74207085e+01
4.803610e+01 2.25821328e+01
4.806230e+01 3.15015145e+01
4.808860e+01 4.81916852e+01
4.811480e+01 8.10663228e+01
4.813740e+01 1.27602375e+02
4.816000e+01 1.59604576e+02
4.818260e+01 1.30014521e+02
4.820520e+01 8.40797818e+01
4.821920e+01 6.36704594e+01
4.823330e+01 4.93250339e+01
4.825950e+01 3.32658537e+01
4.826130e+01 3.21625610e+01
4.828930e+01 2.31395052e+01
4.831740e+01 1.79571949e+01
4.834540e+01 1.47411518e+01
4.837350e+01 1.26203173e+01
4.842960e+01 1.00918583e+01
4.848560e+01 8.70037768e+00
4.854170e+01 7.85272026e+00
4.865390e+01 6.91197348e+00
4.876610e+01 6.42464326e+00
4.883970e+01 6.23589626e+00
4.887830e+01 6.13705290e+00
4.910260e+01 5.82357523e+00
4.932700e+01 5.66071576e+00
4.955130e+01 5.56233674e+00
5.000000e+01 5.44919990e+00
5.053130e+01 5.37699257e+00
5.054190e+01 5.37558268e+00
5.079690e+01 5.35459505e+00
5.086330e+01 5.34960118e+00
5.092970e+01 5.34545373e+00
5.096290e+01 5.34423372e+00
5.099610e+01 5.34453451e+00
5.101270e+01 5.34589297e+00
5.102930e+01 5.34883958e+00
5.104590e+01 5.35459658e+00
5.106250e+01 5.36516395e+00
5.108130e+01 5.38404655e+00
5.108390e+01 5.38572533e+00
5.110000e+01 5.39661578e+00
5.111880e+01 5.38196690e+00
5.113750e+01 5.36049168e+00
5.115400e+01 5.34767906e+00
5.117050e+01 5.33963950e+00
5.118700e+01 5.33439187e+00
5.120350e+01 5.33073154e+00
5.123650e+01 5.32582701e+00
