La-139(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1425.62 0.0624405
1425.78 0.107602
1425.95 0.230363
1426.03 0.391605
1426.11 0.808998
1426.16 1.33267
1426.20 2.53630
1426.22 3.88820
1426.24 6.44267
1426.25 9.00675
1426.26 12.7896
1426.27 19.1079
1426.28 30.1565
1426.29 48.1180
1426.30 60.4080
1426.31 48.1182
1426.32 30.1569
1426.33 22.7541
1426.34 16.8475
1426.35 10.3039
1426.36 6.82379
1426.37 4.81151
1426.40 2.73402
1426.43 1.75208
1426.48 0.891697
1426.53 0.537982
1426.63 0.257294
1426.74 0.150689
1426.95 0.0704644
1427.15 0.0412721
1427.99 0.0126212
1429.65 0.00746053
1431.31 0.0186262
1431.73 0.0313032
1432.15 0.0671297
1432.35 0.116109
1432.56 0.250523
1432.67 0.429039
1432.77 0.898864
1432.82 1.49059
1432.85 2.03201
1432.87 2.92846
1432.90 4.56695
1432.91 5.94288
1432.93 8.02464
1432.94 11.3624
1432.95 17.1084
1432.97 27.8231
1432.98 48.1703
1432.99 77.4639
1433.00 96.2944
1433.01 77.4642
1433.02 48.1708
1433.04 27.8236
1433.05 17.7093
1433.06 11.6983
1433.07 8.43736
1433.09 6.20786
1433.10 4.83960
1433.12 3.11745
1433.15 2.16950
1433.17 1.59468
1433.22 0.964121
1433.32 0.461333
1433.42 0.269633
1433.62 0.124923
1433.82 0.0722146
1434.22 0.0332394
1434.62 0.0193129
1436.22 0.00555200
1439.41 0.00195140
1445.80 0.000969607
1458.58 0.000674956
1484.13 0.000561080
1535.24 0.000507805
1586.35 0.000569659
1611.90 0.000866501
1624.68 0.00194728
1631.07 0.00599993
1632.67 0.0100994
1634.26 0.0216216
1635.06 0.0375130
1635.86 0.0818882
1636.26 0.142568
1636.46 0.202262
1636.66 0.308703
1636.86 0.530187
1636.96 0.743097
1637.06 1.11045
1637.16 1.84569
1637.21 2.52032
1637.26 3.64080
1637.31 5.69840
1637.33 7.43477
1637.36 10.0749
1637.38 14.3372
1637.41 21.7484
1637.43 35.7745
1637.46 62.9168
1637.48 100.291
1637.50 125.858
1637.52 100.289
1637.54 62.9159
1637.56 44.7439
1637.57 32.8394
1637.58 24.7812
1637.60 19.2104
1637.63 12.1921
1637.66 8.45463
1637.68 6.11930
1637.71 4.66587
1637.77 2.93974
1637.83 2.01701
1637.88 1.46812
1638.00 0.879991
1638.11 0.583589
1638.22 0.416318
1638.45 0.241971
1638.68 0.158170
1638.90 0.111574
1639.36 0.0642992
1640.27 0.0298254
1641.17 0.0176498
1642.99 0.00919290
1644.81 0.00688328
1648.44 0.0115388
1649.35 0.0183891
1650.26 0.0382712
1650.71 0.0659035
1651.17 0.143231
1651.39 0.248403
1651.51 0.352003
1651.62 0.535414
1651.73 0.916542
1651.79 1.28123
1651.85 1.90078
1651.90 3.13587
1651.93 4.28204
1651.96 6.09852
1651.99 9.50096
1652.00 12.2312
1652.02 16.2801
1652.03 22.5970
1652.05 33.0631
1652.06 51.5477
1652.07 85.6642
1652.09 138.931
1652.10 171.409
1652.11 138.931
1652.13 85.6645
1652.14 59.2363
1652.15 40.9391
1652.16 29.4776
1652.17 22.5977
1652.19 13.7640
1652.21 9.34183
1652.23 6.63561
1652.26 5.00874
1652.30 3.13618
1652.34 2.12623
1652.38 1.54575
1652.47 0.916640
1652.55 0.605901
1652.64 0.430131
1652.81 0.249007
1653.15 0.114154
1653.49 0.0656545
1654.17 0.0302245
1654.85 0.0176140
1657.57 0.00516810
1663.02 0.00186303
1673.91 0.000919384
1695.69 0.000642837
1739.25 0.000610063
1782.82 0.000697114
1804.60 0.000827901
1815.49 0.00115803
1820.93 0.00235364
1823.66 0.00702755
1825.02 0.0253254
1825.36 0.0439811
1825.70 0.0958072
1825.87 0.165961
1826.04 0.356173
1826.12 0.605111
1826.21 1.24604
1826.25 2.04458
1826.29 3.86526
1826.31 5.95411
1826.34 9.94941
1826.35 13.7616
1826.36 19.2973
1826.37 29.5825
1826.38 46.9218
1826.39 75.6859
1826.40 93.9976
1826.41 75.6861
1826.42 46.9222
1826.43 28.3862
1826.45 18.6176
1826.46 12.9294
1826.47 9.42329
1826.49 5.58322
1826.51 3.66745
1826.56 1.91766
1826.60 1.17313
1826.69 0.568118
1826.78 0.333942
1826.95 0.154855
1827.13 0.0894402
1827.48 0.0410314
1827.83 0.0237057
1829.24 0.00663595
1832.06 0.00229552
1837.70 0.00122111
1848.99 0.00100014
1871.55 0.00107602
1894.11 0.00133667
1905.40 0.00186316
1911.04 0.00360983
1913.86 0.0103282
1915.27 0.0365708
1915.62 0.0632837
1915.97 0.137399
1916.15 0.238413
1916.32 0.511141
1916.41 0.867809
1916.46 1.20525
1916.50 1.78500
1916.54 2.90690
1916.57 3.90766
1916.59 5.52008
1916.61 8.34973
1916.63 13.9397
1916.64 18.9617
1916.65 26.9677
1916.67 40.3738
1916.68 63.8257
1916.69 101.733
1916.70 127.557
1916.71 101.733
1916.72 63.8261
1916.74 37.3718
1916.75 23.5922
1916.76 15.5184
1916.78 11.1401
1916.79 8.17932
1916.80 6.35817
1916.83 4.14409
1916.86 2.87106
1916.88 2.10355
1916.94 1.27685
1916.99 0.850289
1917.04 0.610032
1917.15 0.357798
1917.36 0.165860
1917.58 0.0956788
1918.00 0.0441232
1918.43 0.0256830
1920.13 0.00761038
1923.54 0.00305921
1930.36 0.00199999
1944.00 0.00196680
1957.64 0.00241668
1964.46 0.00349449
1967.87 0.00725569
1969.57 0.0217660
1970.00 0.0365158
1970.42 0.0776922
1970.64 0.133668
1970.85 0.286470
1970.96 0.489600
1971.06 1.01445
1971.12 1.68336
1971.14 2.29579
1971.17 3.26149
1971.20 5.06940
1971.22 8.64485
1971.24 12.2864
1971.25 17.9843
1971.26 28.0541
1971.28 46.6631
1971.29 75.6555
1971.30 93.1672
1971.31 75.6555
1971.32 46.6634
1971.34 27.0466
1971.35 16.8945
1971.37 11.3422
1971.38 8.07124
1971.41 4.63804
1971.44 2.99143
1971.47 2.08382
1971.49 1.53292
1971.55 0.928007
1971.66 0.445108
1971.77 0.260819
1972.00 0.121629
1972.22 0.0707583
1972.67 0.0334036
1973.12 0.0200514
1974.91 0.00699928
1978.49 0.00378267
1985.66 0.00320195
2000.00 0.00366131
2014.25 0.00458222
2028.50 0.00601924
2042.75 0.00835893
2057.00 0.0125337
2064.13 0.0159805
2071.25 0.0211511
2078.38 0.0294408
2085.50 0.0440229
2089.06 0.0559036
2092.63 0.0734806
2096.19 0.101125
2099.75 0.148309
2101.53 0.185581
2103.31 0.239001
2105.09 0.319408
2106.88 0.448277
2108.66 0.673017
2109.55 0.852913
2110.44 1.11224
2111.33 1.50288
2112.22 2.11799
2113.11 3.13338
2114.00 4.83243
2115.00 7.72173
2116.00 9.64169
2117.00 7.71318
2118.00 4.82504
2119.04 2.92068
2120.08 1.87836
2121.12 1.28733
2122.15 0.931128
2123.19 0.702878
2124.23 0.549448
2126.31 0.364004
2128.38 0.261990
2130.46 0.201466
2134.61 0.141853
2138.77 0.129393
2140.84 0.140883
2142.92 0.173229
2145.00 0.251510
2146.04 0.330105
2147.07 0.469163
2148.11 0.746193
2148.63 0.998847
2149.15 1.41485
2149.67 2.16767
2149.93 2.79446
2150.19 3.72866
2150.45 5.20958
2150.71 7.69452
2150.97 12.2049
2151.23 20.6677
2151.46 33.0363
2151.70 41.2729
2151.94 33.0264
2152.17 20.6574
2152.36 13.9577
2152.55 9.74717
2152.74 7.08127
2152.93 5.33419
2153.31 3.30432
