Sn-116(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2276.36 0.00191142
2284.56 0.00694411
2286.61 0.0121448
2288.66 0.0268968
2289.69 0.0473600
2290.71 0.104980
2291.22 0.184257
2291.48 0.262512
2291.74 0.403749
2291.99 0.701044
2292.12 0.989257
2292.25 1.49964
2292.31 1.91698
2292.38 2.53565
2292.44 3.50880
2292.51 5.16740
2292.57 8.33701
2292.60 11.1267
2292.63 15.5578
2292.67 23.1721
2292.70 37.7213
2292.71 50.3368
2292.73 69.7295
2292.75 100.653
2292.76 150.420
2292.78 243.140
2292.80 300.852
2292.82 238.204
2292.84 150.421
2292.86 93.6698
2292.88 62.7074
2292.89 44.1804
2292.91 32.5331
2292.95 19.5339
2292.98 12.9346
2293.02 9.08611
2293.06 6.77226
2293.13 4.16918
2293.20 2.80543
2293.27 2.02326
2293.35 1.52744
2293.42 1.19366
2293.56 0.784251
2293.71 0.554278
2294.00 0.319300
2294.29 0.207066
2294.58 0.145261
2295.15 0.0828013
2296.31 0.0373504
2297.47 0.0212260
2299.78 0.00960369
2302.10 0.00550922
2311.36 0.00153427
2329.87 0.000528064
2366.90 0.000271074
2403.94 0.000243979
2422.45 0.000327910
2431.71 0.000697747
2436.34 0.00217547
2438.65 0.00799036
2439.81 0.0304687
2440.39 0.114596
2440.53 0.196246
2440.68 0.407738
2440.75 0.675660
2440.82 1.31003
2440.86 2.01870
2440.89 3.47616
2440.91 4.84417
2440.93 7.12921
2440.95 11.2136
2440.97 19.0358
2440.98 30.3122
2441.00 38.0718
2441.02 30.3123
2441.03 19.0361
2441.05 12.8768
2441.06 9.08922
2441.09 4.94180
2441.11 3.04319
2441.14 2.07374
2441.19 1.10900
2441.25 0.691937
2441.35 0.340143
2441.46 0.202264
2441.67 0.0945919
2441.89 0.0547605
2442.74 0.0143952
2444.45 0.00382055
2447.86 0.00111382
2454.68 0.000428971
2468.33 0.000258218
2495.63 0.000225092
2522.93 0.000240023
2550.22 0.000284160
2577.52 0.000387666
2591.17 0.000493157
2604.82 0.000687473
2611.64 0.000852496
2618.47 0.00110629
2625.29 0.00152637
2632.12 0.00229754
2635.53 0.00295200
2638.94 0.00395803
2642.35 0.00562209
2645.77 0.00867444
2647.47 0.0112609
2649.18 0.0152327
2650.88 0.0217898
2652.59 0.0337819
2653.44 0.0439127
2654.30 0.0594213
2655.15 0.0849158
2656.00 0.131248
2656.43 0.170195
2656.86 0.229299
2657.28 0.325850
2657.71 0.498671
2657.92 0.642599
2658.14 0.857852
2658.35 1.20238
2658.56 1.80452
2658.67 2.29320
2658.78 3.00984
2658.88 4.12063
2658.94 4.91154
2658.99 5.95154
2659.04 7.38691
2659.10 9.35768
2659.15 12.2167
2659.20 16.5708
2659.26 23.7896
2659.28 29.2036
2659.31 36.2358
2659.34 46.3216
2659.36 60.0207
2659.39 80.4108
2659.41 108.379
2659.46 173.344
2659.50 216.626
2659.54 173.338
2659.59 108.373
2659.63 64.6020
2659.68 41.0341
2659.72 27.8559
2659.77 20.1083
2659.82 15.0422
2659.86 11.7071
2659.95 7.60852
2660.04 5.32560
2660.13 3.93021
2660.32 2.38804
2660.50 1.60161
2660.68 1.14772
2660.86 0.862437
2661.04 0.671588
2661.41 0.440170
2661.77 0.310585
2662.14 0.230811
2662.50 0.178248
2663.23 0.115486
2663.96 0.0808735
2664.68 0.0597876
2665.41 0.0459994
2666.87 0.0296623
2668.32 0.0207217
2669.78 0.0153038
2671.24 0.0117746
2674.15 0.00760964
2677.06 0.00533954
2679.97 0.00396785
2682.88 0.00307641
2688.71 0.00202701
2694.53 0.00145713
2700.36 0.00111404
2706.18 0.000892051
2717.83 0.000633100
2729.48 0.000495487
2752.77 0.000368903
2776.07 0.000331895
2799.37 0.000368007
2822.67 0.000703151
2834.31 0.00208889
2840.14 0.00760363
2841.59 0.0132803
2843.05 0.0293388
2843.78 0.0515330
2844.51 0.113682
2844.87 0.198461
2845.23 0.431095
2845.42 0.740265
2845.51 1.03701
2845.60 1.55512
2845.69 2.58357
2845.74 3.53954
2845.78 5.09136
2845.83 8.00642
2845.85 10.4816
2845.87 14.0647
2845.89 20.0913
2845.92 30.6555
2845.94 50.9090
2845.95 67.0605
2845.96 92.0039
2845.98 145.719
2846.00 183.888
2846.02 145.720
2846.04 92.0047
2846.05 62.0838
2846.07 43.1961
2846.08 31.2806
2846.10 23.4948
2846.13 14.4767
2846.16 9.85639
2846.19 7.04541
2846.22 5.27660
2846.28 3.29164
2846.34 2.23126
2846.39 1.61857
2846.51 0.962049
2846.63 0.634628
2846.75 0.450945
2846.99 0.260596
2847.46 0.119084
2847.93 0.0679910
2848.88 0.0307377
2849.83 0.0175139
2853.62 0.00460193
2861.21 0.00133527
2876.38 0.000516059
2906.73 0.000321589
2937.07 0.000302519
2967.42 0.000316250
3028.11 0.000392654
3088.80 0.000547916
3149.49 0.000871847
3179.84 0.00117776
3210.18 0.00170101
3240.53 0.00271077
3255.70 0.00361413
3270.87 0.00508436
3286.05 0.00773431
3293.63 0.00995457
3301.22 0.0133475
3308.81 0.0189676
3316.39 0.0294913
3320.19 0.0387864
3323.98 0.0540522
3325.88 0.0660094
3327.77 0.0839608
3328.72 0.0977005
3329.67 0.120431
3330.62 0.190173
3330.85 0.248666
3331.09 0.399322
3331.21 0.592835
3331.33 1.07841
3331.39 1.67651
3331.45 3.03064
3331.48 4.50233
3331.51 7.24760
3331.52 9.73517
3331.54 13.6383
3331.55 20.0294
3331.57 30.2776
3331.58 48.6238
3331.60 60.4954
3331.62 48.6248
3331.63 30.2795
3331.65 17.9975
3331.67 11.3333
3331.69 7.66935
3331.71 5.50428
3331.75 3.22667
3331.79 2.13263
3331.86 1.16339
3331.94 0.762181
3332.09 0.444159
3332.24 0.325888
3332.54 0.241671
3332.85 0.217312
3333.45 0.214749
3334.06 0.233422
3334.67 0.263834
3335.27 0.305605
3335.88 0.361704
3336.48 0.437898
3337.09 0.544403
3337.70 0.698619
3338.30 0.934022
3338.91 1.31887
3339.52 2.01017
3339.82 2.58102
3340.12 3.43088
3340.42 4.76433
3340.73 6.99183
3341.03 10.9721
3341.33 18.3572
3341.62 29.3406
3341.90 36.6195
3342.18 29.2969
3342.47 18.3267
3342.73 11.7706
3342.99 7.91134
3343.25 5.59726
3343.50 4.14673
3344.02 2.52495
3344.54 1.70434
3345.06 1.23806
3345.57 0.951925
3346.61 0.639002
3347.64 0.488719
3348.68 0.415236
3349.71 0.386119
3350.74 0.389221
3351.26 0.401959
3351.78 0.422611
3352.30 0.452208
3352.81 0.492405
3353.07 0.517274
3353.33 0.545834
3353.59 0.578600
3353.85 0.616039
3354.36 0.708697
3354.88 0.832292
3355.40 1.00043
3355.92 1.23385
3356.43 1.56881
3356.95 2.06908
3357.47 2.85437
3357.98 4.16327
3358.24 5.15490
3358.50 6.49028
3358.76 8.31686
3359.02 10.7751
3359.51 17.2120
3360.00 21.4994
3360.49 17.2017
3360.98 10.7610
3361.47 6.63264
3361.96 4.32379
3362.45 2.98915
3362.94 2.17454
3363.44 1.64617
3363.93 1.28793
3364.91 0.848853
3365.89 0.601298
3366.87 0.448691
3368.83 0.278367
3370.79 0.190302
3372.75 0.138864
3376.67 0.0839916
3380.60 0.0567773
3384.52 0.0414911
3388.44 0.0336441
3389.42 0.0338003
3390.41 0.0378547
3391.39 0.0663594
3391.88 0.176489
3392.00 0.282693
3392.12 0.553304
3392.18 0.890240
3392.24 1.66316
3392.28 2.51439
3392.31 4.13052
3392.34 7.99354
3392.35 11.8048
