Cl-35(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1049.01 0.00554747
1079.46 0.00524459
1108.81 0.00497596
1137.05 0.00473716
1164.17 0.00452432
1201.88 0.00425135
1238.95 0.00401028
1279.69 0.00376734
1325.19 0.00352484
1362.84 0.00334216
1409.38 0.00313654
1453.96 0.00296043
1478.03 0.00287000
1521.12 0.00272152
1557.37 0.00260567
1605.32 0.00246594
1638.74 0.00237501
1694.37 0.00223742
1730.30 0.00215511
1765.83 0.00207869
1801.48 0.00200663
1842.17 0.00192995
1903.66 0.00182407
1969.78 0.00172064
2045.59 0.00161472
2098.03 0.00154877
2158.93 0.00147802
2217.62 0.00141534
2294.90 0.00133986
2380.38 0.00126577
2477.89 0.00119041
2566.88 0.00112916
2659.99 0.00107176
2764.30 0.00101469
2868.61 0.000964075
2987.26 0.000913399
3108.51 0.000868272
3220.01 0.000832134
3319.76 0.000804040
3419.51 0.000780067
3522.59 0.000760130
3615.69 0.000747530
3692.16 0.000742605
3712.64 0.000742421
3761.26 0.000744556
3807.32 0.000751042
3847.71 0.000761707
3880.42 0.000775318
3904.96 0.000789542
3932.99 0.000811503
3950.75 0.000829594
3965.91 0.000848352
3984.76 0.000877042
3998.06 0.000901777
4011.36 0.000931196
4024.66 0.000966432
4031.31 0.000986681
4037.96 0.00100898
4045.21 0.00103594
4056.08 0.00108248
4066.96 0.00113790
4075.07 0.00118640
4083.18 0.00124236
4088.50 0.00128383
4093.82 0.00132970
4099.28 0.00138194
4104.73 0.00144026
4109.92 0.00150226
4115.10 0.00157163
4120.42 0.00165168
4125.74 0.00174232
4131.06 0.00184546
4133.72 0.00190244
4136.38 0.00196349
4139.04 0.00202899
4141.70 0.00209938
4144.36 0.00217516
4147.02 0.00225689
4149.68 0.00234521
4152.34 0.00244083
4155.00 0.00254459
4157.66 0.00265742
4160.32 0.00278041
4162.98 0.00291480
4165.64 0.00306206
4168.30 0.00322386
4170.30 0.00335593
4172.29 0.00349824
4174.29 0.00365188
4176.28 0.00381807
4178.28 0.00399821
4180.27 0.00419392
4182.27 0.00440702
4184.26 0.00463965
4185.59 0.00480677
4186.92 0.00498447
4188.25 0.00517366
4189.58 0.00537535
4190.91 0.00559067
4192.24 0.00582086
4193.57 0.00606732
4194.90 0.00633164
4196.23 0.00661556
4197.56 0.00692108
4198.89 0.00725044
4200.22 0.00760618
4201.55 0.00799119
4202.88 0.00840877
4204.21 0.00886269
4205.54 0.00935730
4206.87 0.00989760
4208.20 0.0104894
4209.53 0.0111394
4210.86 0.0118556
4212.19 0.0126471
4213.52 0.0135251
4214.85 0.0145024
4215.52 0.0150331
4216.18 0.0155947
4216.85 0.0161897
4217.51 0.0168208
4218.18 0.0174909
4218.84 0.0182033
4219.51 0.0189617
4220.17 0.0197701
4220.84 0.0206330
4221.50 0.0215554
4222.17 0.0225429
4222.83 0.0236017
4223.50 0.0247390
4224.16 0.0259626
4224.83 0.0272815
4225.49 0.0287058
4226.16 0.0302472
4226.82 0.0319187
4227.49 0.0337355
4228.15 0.0357148
4228.82 0.0378766
4229.48 0.0402441
4230.15 0.0428442
4230.81 0.0457083
4231.48 0.0488735
4232.14 0.0523833
4232.81 0.0562898
4233.14 0.0584107
4233.47 0.0606550
4233.80 0.0630323
4234.14 0.0655535
4234.47 0.0682302
4234.80 0.0710757
4235.13 0.0741044
4235.47 0.0773323
4235.80 0.0807772
4236.13 0.0844592
4236.46 0.0884003
4236.80 0.0926256
4237.13 0.0971628
4237.46 0.102044
4237.79 0.107303
4238.13 0.112982
4238.46 0.119127
4238.79 0.125788
4239.12 0.133026
4239.46 0.140909
4239.79 0.149516
4240.12 0.158939
4240.45 0.169283
4240.79 0.180673
4241.12 0.193255
4241.45 0.207199
4241.78 0.222711
4241.95 0.231128
4242.12 0.240033
4242.32 0.251414
4242.52 0.263624
4242.78 0.281338
4243.05 0.300898
4243.31 0.322569
4243.58 0.346666
4243.71 0.359738
4243.85 0.373562
4243.98 0.388197
4244.11 0.403708
4244.25 0.420165
4244.38 0.437647
4244.51 0.456240
4244.64 0.476040
4244.78 0.497153
4244.91 0.519698
4245.04 0.543806
4245.18 0.569624
4245.31 0.597318
4245.44 0.627073
4245.58 0.659097
4245.71 0.693624
4245.84 0.730923
4245.97 0.771294
4246.11 0.815083
4246.24 0.862684
4246.37 0.914548
4246.51 0.971196
4246.64 1.03323
4246.77 1.10135
4246.91 1.17636
4247.04 1.25922
4247.17 1.35105
4247.30 1.45318
4247.40 1.53747
4247.50 1.62920
4247.57 1.69493
4247.64 1.76465
4247.70 1.83109
4247.81 1.96708
4247.92 2.10913
4248.02 2.26682
4248.10 2.39674
4248.16 2.48952
4248.21 2.58767
4248.26 2.69160
4248.31 2.80176
4248.37 2.91864
4248.42 3.04279
4248.47 3.17480
4248.53 3.31533
4248.58 3.46510
4248.63 3.62491
4248.69 3.79564
4248.74 3.97828
4248.79 4.17390
4248.85 4.38371
4248.90 4.60905
4248.95 4.85140
4249.01 5.11243
4249.06 5.39399
4249.11 5.69816
4249.17 6.02724
4249.22 6.38384
4249.27 6.77086
4249.33 7.19154
4249.38 7.64954
4249.43 8.14892
4249.49 8.69424
4249.54 9.29059
4249.59 9.94361
4249.64 10.6596
4249.70 11.4453
4249.75 12.3083
4249.80 13.2566
4249.86 14.2987
4249.91 15.4434
4249.96 16.6992
4250.02 18.0741
4250.07 19.5745
