24-Cr_n-g
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.874450e+04 1.51919045e-03
1.874520e+04 1.51548247e-03
1.877270e+04 1.37808506e-03
1.878070e+04 1.33814313e-03
1.881690e+04 1.26266199e-03
1.885310e+04 1.22990999e-03
1.892560e+04 1.21911866e-03
1.893550e+04 1.22291645e-03
1.897150e+04 1.23745139e-03
1.899800e+04 1.25974123e-03
1.906510e+04 1.36194243e-03
1.907040e+04 1.37009528e-03
1.907260e+04 1.37680510e-03
1.908470e+04 1.41561387e-03
1.910660e+04 1.50068525e-03
1.912470e+04 1.61215142e-03
1.914120e+04 1.77504806e-03
1.914280e+04 1.79284173e-03
1.916090e+04 2.16117177e-03
1.917000e+04 2.49837332e-03
1.917540e+04 2.84897176e-03
1.917900e+04 3.11764186e-03
1.918360e+04 3.63927028e-03
1.918810e+04 4.39330965e-03
1.919260e+04 5.56879651e-03
1.919720e+04 7.92971982e-03
1.919790e+04 8.60029499e-03
1.920110e+04 1.16707498e-02
1.920170e+04 1.23935942e-02
1.920330e+04 1.55505588e-02
1.920390e+04 1.70985967e-02
1.920540e+04 2.24365487e-02
1.920620e+04 2.63994978e-02
1.920650e+04 2.85632661e-02
1.920760e+04 4.04892669e-02
1.920810e+04 5.09934314e-02
1.920850e+04 6.75191434e-02
1.920860e+04 7.20287191e-02
1.920890e+04 9.44414497e-02
1.920920e+04 1.35802277e-01
1.920930e+04 1.72687853e-01
1.920940e+04 2.26160759e-01
1.920960e+04 3.12736860e-01
1.920970e+04 4.55270026e-01
1.920990e+04 7.12369952e-01
1.921000e+04 8.71813037e-01
1.921020e+04 7.15994025e-01
1.921030e+04 4.62960430e-01
1.921040e+04 3.58935150e-01
1.921050e+04 2.80201906e-01
1.921070e+04 1.93098419e-01
1.921090e+04 1.48316313e-01
1.921110e+04 1.26155185e-01
1.921130e+04 1.16484811e-01
1.921150e+04 1.06814459e-01
1.921190e+04 1.02365317e-01
