I-127(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
270.970 5.94486
271.061 9.32587
271.107 12.2497
271.153 16.7942
271.198 24.4024
271.244 38.2868
271.267 49.8181
271.290 66.7848
271.313 92.3670
271.336 130.740
271.368 208.960
271.400 261.057
271.432 208.929
271.464 130.699
271.485 95.5367
271.505 71.1620
271.546 42.5685
271.587 27.7898
271.628 19.4433
271.669 14.3140
271.710 10.9731
271.792 7.03527
271.874 4.90388
271.956 3.62492
272.120 2.23380
272.283 1.53328
272.447 1.13098
272.775 0.708466
273.102 0.500722
273.430 0.382022
274.085 0.256039
274.740 0.192103
275.396 0.154123
276.706 0.111630
279.327 0.0748149
281.947 0.0595202
284.568 0.0529341
287.189 0.0522340
289.809 0.0607491
290.465 0.0674922
291.120 0.0827312
291.447 0.100786
291.775 0.145498
291.939 0.200259
292.021 0.249872
292.102 0.331581
292.184 0.480286
292.225 0.605029
292.266 0.793001
292.307 1.09470
292.348 1.61209
292.389 2.57536
292.430 4.46443
292.465 7.10517
292.500 8.85904
292.535 7.09866
292.570 4.46684
292.598 3.05946
292.625 2.16772
292.653 1.59922
292.681 1.22471
292.736 0.787436
292.791 0.556023
292.846 0.420537
292.901 0.335007
293.012 0.237970
293.122 0.187573
293.232 0.158555
293.453 0.129186
293.895 0.111491
294.336 0.111550
295.219 0.132536
296.102 0.180902
296.544 0.222945
296.985 0.287511
297.427 0.393398
297.868 0.584621
298.089 0.744087
298.310 0.984939
298.530 1.37411
298.751 2.06314
298.862 2.62709
298.972 3.46364
299.082 4.78083
299.193 7.02655
299.303 11.3312
299.358 15.1297
299.413 21.1795
299.469 31.6172
299.496 39.8821
299.524 51.6862
299.551 69.2020
299.579 96.3032
299.607 139.885
299.634 210.393
299.667 336.744
299.700 420.601
299.717 395.789
299.733 336.294
299.766 210.343
299.788 151.609
299.810 111.730
299.853 65.7169
299.897 42.4479
299.940 29.4372
299.984 21.5149
300.028 16.3877
300.115 10.3896
300.202 7.16008
300.289 5.23380
300.464 3.14881
300.638 2.10686
300.813 1.51336
300.987 1.14387
301.162 0.898675
301.511 0.603853
301.860 0.440831
302.209 0.341861
302.558 0.277892
303.256 0.204750
303.953 0.169064
305.349 0.150546
306.745 0.184037
307.443 0.231323
308.141 0.323936
308.490 0.403752
308.839 0.526415
309.188 0.727744
309.537 1.09054
309.711 1.39201
309.886 1.84554
310.060 2.57312
310.235 3.84759
310.409 6.39345
310.496 8.74384
310.584 12.6664
310.671 19.9450
310.715 26.1406
310.758 35.6536
310.802 51.2262
310.824 62.9348
310.845 78.8696
310.867 101.105
310.889 132.901
310.911 179.195
310.933 246.349
310.966 394.197
311.000 492.289
311.017 463.271
311.034 393.680
311.068 246.289
311.094 168.803
311.119 119.347
311.145 87.4839
311.171 66.3178
311.223 41.3852
311.275 28.0680
311.327 20.2154
311.378 15.2264
311.482 9.50886
311.586 6.49254
311.689 4.71348
311.793 3.57832
311.896 2.81050
312.104 1.86857
312.311 1.33548
312.518 1.00473
312.725 0.785529
313.140 0.522162
313.554 0.376059
313.969 0.286638
314.383 0.227997
315.212 0.158348
316.041 0.120305
317.699 0.0831790
319.357 0.0685502
321.014 0.0674276
321.843 0.0745221
322.672 0.0965031
323.087 0.124070
323.294 0.148930
323.501 0.189982
323.708 0.266599
323.812 0.333924
323.915 0.442854
324.019 0.639681
324.071 0.805736
324.123 1.06098
324.174 1.48357
324.226 2.25489
324.252 2.89679
324.278 3.84761
324.304 5.29650
324.330 7.51154
324.365 11.8750
324.400 14.7944
324.435 11.9300
324.470 7.62224
324.506 4.84984
324.541 3.33543
324.577 2.49860
324.613 2.02617
324.684 1.63592
324.755 1.67478
324.826 2.11342
324.862 2.56286
324.897 3.28002
324.933 4.46781
324.968 6.54645
325.004 10.4603
325.039 18.1659
325.070 28.8976
325.100 36.0422
325.130 28.8706
325.161 18.1134
325.191 11.2103
325.221 7.33998
325.252 5.10629
325.282 3.73910
325.342 2.25095
325.403 1.51164
325.464 1.09426
325.524 0.836313
325.645 0.547553
325.767 0.398226
325.888 0.311380
326.130 0.220855
326.373 0.179486
326.615 0.160644
327.100 0.159946
327.584 0.205991
327.827 0.260610
328.069 0.362644
328.311 0.576588
328.433 0.781365
328.554 1.13544
328.675 1.82708
328.736 2.44917
328.796 3.45994
328.857 5.25539
328.887 6.71946
328.917 8.87076
328.948 12.1854
328.978 17.5816
329.008 26.8761
329.038 43.2434
329.069 69.1370
329.100 86.3875
329.131 69.1299
329.162 43.2344
329.196 25.3909
329.230 15.9867
329.263 10.7957
329.297 7.71826
329.331 5.76614
329.365 4.46657
329.433 2.90198
329.501 2.03573
329.569 1.50967
329.704 0.930347
329.840 0.636052
329.976 0.466532
330.247 0.288848
330.519 0.202406
330.790 0.153875
331.333 0.104054
331.876 0.0802069
332.418 0.0669505
333.504 0.0535307
335.675 0.0442341
337.846 0.0420664
342.188 0.0460282
344.359 0.0576895
344.902 0.0674349
345.444 0.0924540
345.716 0.124527
345.852 0.154739
345.987 0.206640
346.123 0.307376
346.191 0.397740
346.259 0.543941
346.327 0.803170
346.394 1.32184
346.428 1.79476
346.462 2.56030
346.496 3.86875
346.530 6.16082
346.565 9.82936
346.600 12.2645
346.635 9.81937
346.670 6.15368
346.692 4.54153
346.714 3.41852
346.757 2.08152
346.801 1.38196
346.844 0.983602
346.888 0.737494
346.931 0.576584
347.018 0.386483
347.105 0.283217
347.192 0.221255
347.365 0.154092
347.539 0.120568
347.713 0.101641
348.060 0.0825104
348.755 0.0698904
349.450 0.0677016
350.840 0.0777110
351.188 0.0868586
351.535 0.108424
351.709 0.133831
351.883 0.193286
351.969 0.260066
352.056 0.400754
352.100 0.538002
352.143 0.777095
352.187 1.23390
352.208 1.61730
352.230 2.16457
352.265 3.41341
352.300 4.24416
352.335 3.41428
352.370 2.17373
352.394 1.58603
352.418 1.19117
352.465 0.742149
352.513 0.521133
352.560 0.402307
352.655 0.296589
352.750 0.271758
352.845 0.301238
352.940 0.414020
352.988 0.539023
353.035 0.770607
353.083 1.24021
353.106 1.65288
353.130 2.26375
353.165 3.56145
353.200 4.42338
353.235 3.55433
353.270 2.25709
353.306 1.40423
353.343 0.935142
353.379 0.668337
353.415 0.506684
353.487 0.332345
353.560 0.246445
353.705 0.168509
353.849 0.135484
354.139 0.109041
354.429 0.0995729
355.587 0.0962907
357.904 0.126367
359.062 0.162613
359.641 0.195091
360.220 0.250364
360.799 0.361268
361.089 0.467201
361.379 0.654216
361.668 1.03672
361.813 1.40125
361.958 2.03459
362.103 3.28462
362.175 4.42473
362.247 6.30700
362.320 9.73371
362.356 12.6003
362.392 16.9214
362.428 23.8158
362.465 35.6058
362.483 44.7485
362.501 57.3938
362.519 75.0876
362.537 99.5144
362.553 127.385
362.569 159.234
362.600 198.874
362.616 187.145
362.632 159.019
362.663 99.4985
362.687 68.8456
362.710 49.0711
362.734 36.1626
362.758 27.5652
362.805 17.3405
362.852 11.8508
362.900 8.59129
362.947 6.51465
363.041 4.13063
363.136 2.86883
363.230 2.12487
363.420 1.32919
363.609 0.937117
363.798 0.716910
364.176 0.494474
364.554 0.393769
364.932 0.343564
365.689 0.307895
367.201 0.339046
368.714 0.457268
370.227 0.725166
370.983 0.988717
371.740 1.45932
372.118 1.84825
372.496 2.43192
372.874 3.36720
373.252 5.00738
373.631 8.29526
373.820 11.3447
374.009 16.4733
374.198 26.0783
374.292 34.3610
374.387 47.2179
374.482 68.6498
374.576 107.633
374.623 139.835
374.671 186.888
374.718 257.578
374.765 363.281
374.833 581.072
374.900 726.170
374.968 580.878
375.035 363.085
375.078 265.402
375.121 197.669
375.207 118.106
375.292 77.0319
375.378 53.8041
375.464 39.5497
375.550 30.2555
375.721 19.3151
375.893 13.4007
376.064 9.85848
376.407 6.02195
376.750 4.10674
377.093 3.02253
377.779 1.92191
378.465 1.42792
379.151 1.19652
380.523 1.12686
381.209 1.24378
381.894 1.48857
382.580 1.93863
383.266 2.78431
