11-Na_n-tot
>  11-Na-23:1.000000
2.429700e+05 8.55551000e+00
2.430450e+05 9.47671000e+00
2.431200e+05 9.32317000e+00
2.431350e+05 9.21628000e+00
2.431890e+05 8.80075000e+00
2.432440e+05 8.40864000e+00
2.433530e+05 7.77670000e+00
2.434610e+05 7.30823000e+00
2.435700e+05 6.94363000e+00
2.437500e+05 6.47492000e+00
2.439300e+05 6.09937000e+00
2.442250e+05 5.73811000e+00
2.445200e+05 5.45166000e+00
2.451100e+05 4.99914000e+00
2.458100e+05 4.65710000e+00
2.465100e+05 4.39025000e+00
2.484250e+05 3.96731000e+00
2.503400e+05 3.70886000e+00
2.539880e+05 3.43620000e+00
2.576350e+05 3.27863000e+00
2.649300e+05 3.08898000e+00
2.714150e+05 2.98061000e+00
2.779000e+05 2.87195000e+00
2.853050e+05 2.67997000e+00
2.890080e+05 2.50385000e+00
2.908590e+05 2.36277000e+00
2.927100e+05 2.14684000e+00
2.940650e+05 1.91601000e+00
2.947430e+05 1.75371000e+00
2.954200e+05 1.54904000e+00
2.961400e+05 1.32405000e+00
2.965000e+05 1.21830000e+00
2.968600e+05 1.16714000e+00
2.973000e+05 1.31926000e+00
2.974780e+05 1.54883000e+00
2.976550e+05 1.94113000e+00
2.980100e+05 3.35646000e+00
2.983200e+05 5.06018000e+00
2.987800e+05 6.82227000e+00
2.988950e+05 6.98909000e+00
2.990100e+05 7.07839000e+00
2.991250e+05 7.14302000e+00
2.991830e+05 7.20493000e+00
2.992400e+05 7.34908000e+00
2.992650e+05 7.53319000e+00
2.992900e+05 7.78605000e+00
2.993150e+05 8.15260000e+00
2.993400e+05 8.70062000e+00
2.993440e+05 8.80159000e+00
2.993520e+05 9.04812000e+00
2.993600e+05 9.32073000e+00
2.993770e+05 9.91301000e+00
2.994100e+05 1.06819000e+01
2.994430e+05 9.87465000e+00
2.994760e+05 8.70432000e+00
2.995000e+05 8.09887000e+00
2.995230e+05 7.66773000e+00
2.995700e+05 7.10647000e+00
2.996070e+05 6.90093000e+00
2.996440e+05 6.75634000e+00
2.997180e+05 6.55502000e+00
2.997910e+05 6.40707000e+00
2.998650e+05 6.28362000e+00
3.000130e+05 6.07164000e+00
3.001600e+05 5.88555000e+00
3.004550e+05 5.56225000e+00
3.007500e+05 5.28900000e+00
3.012630e+05 4.94702000e+00
3.017750e+05 4.69041000e+00
3.022880e+05 4.49384000e+00
3.028000e+05 4.34021000e+00
3.033900e+05 4.18643000e+00
3.039810e+05 4.06292000e+00
3.042760e+05 4.01028000e+00
3.045710e+05 3.96377000e+00
3.048660e+05 3.92931000e+00
3.050140e+05 3.93784000e+00
3.050870e+05 3.99441000e+00
3.051240e+05 4.09393000e+00
3.051610e+05 4.38511000e+00
3.051810e+05 4.68766000e+00
3.052000e+05 4.88628000e+00
3.052200e+05 4.67570000e+00
3.052390e+05 4.36648000e+00
3.052620e+05 4.14735000e+00
3.052840e+05 4.03439000e+00
3.053290e+05 3.93461000e+00
3.054190e+05 3.87043000e+00
3.055980e+05 3.82763000e+00
3.059570e+05 3.78029000e+00
3.066750e+05 3.70683000e+00
3.073920e+05 3.64537000e+00
3.081100e+05 3.59242000e+00
3.093350e+05 3.52540000e+00
3.105600e+05 3.47207000e+00
3.130100e+05 3.39282000e+00
3.179100e+05 3.29625000e+00
3.297000e+05 3.17384000e+00
3.437700e+05 3.13726000e+00
3.545300e+05 3.18498000e+00
3.620450e+05 3.27736000e+00
3.695600e+05 3.45528000e+00
3.751600e+05 3.70338000e+00
3.805200e+05 4.08932000e+00
3.809400e+05 4.12275000e+00
3.825500e+05 4.27330000e+00
3.884000e+05 4.96270000e+00
3.898600e+05 5.13086000e+00
3.912500e+05 5.27511000e+00
3.923200e+05 5.37874000e+00
3.935200e+05 5.43418000e+00
3.953900e+05 5.40667000e+00
3.971000e+05 5.37073000e+00
3.990500e+05 5.18304000e+00
4.029500e+05 4.65955000e+00
4.037100e+05 4.55107000e+00
4.065250e+05 4.19435000e+00
4.093400e+05 3.90277000e+00
4.149700e+05 3.46468000e+00
4.190750e+05 3.32175000e+00
4.231800e+05 3.23781000e+00
4.250500e+05 3.30224000e+00
4.269200e+05 3.41389000e+00
4.277700e+05 3.46704000e+00
4.286200e+05 3.56901000e+00
4.289000e+05 3.58053000e+00
4.299000e+05 3.69474000e+00
4.309000e+05 3.74129000e+00
4.309800e+05 3.72852000e+00
4.312200e+05 3.74030000e+00
4.314600e+05 3.72943000e+00
4.319400e+05 3.67031000e+00
4.329000e+05 3.56538000e+00
4.330100e+05 3.55983000e+00
4.334580e+05 3.49632000e+00
4.339050e+05 3.45174000e+00
4.348000e+05 3.40268000e+00
4.360600e+05 3.29321000e+00
4.373200e+05 3.22212000e+00
4.394300e+05 3.24400000e+00
4.417500e+05 3.40588000e+00
4.435300e+05 3.81277000e+00
4.453100e+05 4.57879000e+00
4.461500e+05 5.14512000e+00
4.474850e+05 6.09585000e+00
4.488200e+05 6.59356000e+00
4.492600e+05 6.47180000e+00
4.505500e+05 5.73654000e+00
4.518400e+05 4.88208000e+00
4.523300e+05 4.59266000e+00
4.534850e+05 4.08180000e+00
4.546400e+05 3.75037000e+00
4.563200e+05 3.41613000e+00
4.580000e+05 3.20525000e+00
4.593100e+05 3.08791000e+00
4.624000e+05 2.89586000e+00
4.654900e+05 2.76321000e+00
4.740950e+05 2.58375000e+00
4.827000e+05 2.45342000e+00
4.858100e+05 2.42483000e+00
4.903600e+05 2.38580000e+00
4.915000e+05 2.37657000e+00
4.936100e+05 2.34362000e+00
4.955600e+05 2.31411000e+00
