64-Gd_n-tot
> 64-Gd-152:0.002000
> 64-Gd-154:0.021800
> 64-Gd-155:0.148000
> 64-Gd-156:0.204700
> 64-Gd-157:0.156500
> 64-Gd-158:0.248400
> 64-Gd-160:0.218600
1.163560e+01 3.38584418e+01
1.164980e+01 2.98725425e+01
1.166610e+01 2.62455248e+01
1.167830e+01 2.39452522e+01
1.168250e+01 2.35313509e+01
1.171530e+01 2.11330253e+01
1.172090e+01 2.08132769e+01
1.174020e+01 2.08032095e+01
1.174800e+01 2.07999368e+01
1.176350e+01 2.09053320e+01
1.178070e+01 2.20353935e+01
1.180610e+01 2.37979572e+01
1.181270e+01 2.48991276e+01
1.181350e+01 2.50327093e+01
1.184880e+01 3.10205285e+01
1.187010e+01 3.75570712e+01
1.187900e+01 4.17471171e+01
1.188520e+01 4.46762772e+01
1.189140e+01 4.76069594e+01
1.191270e+01 6.33513671e+01
1.193400e+01 8.79211628e+01
1.194450e+01 1.04477039e+02
1.194800e+01 1.09998275e+02
1.195770e+01 1.27467127e+02
1.196200e+01 1.35213207e+02
1.199000e+01 1.66876927e+02
1.201000e+01 1.44747973e+02
1.201800e+01 1.35900336e+02
1.203020e+01 1.15275313e+02
1.204600e+01 8.85829699e+01
1.208000e+01 5.33394590e+01
1.210270e+01 4.15088108e+01
1.211390e+01 3.56945063e+01
1.213890e+01 2.88565501e+01
1.214090e+01 2.83133896e+01
1.214790e+01 2.64143252e+01
1.215710e+01 2.49881533e+01
1.216610e+01 2.36066880e+01
1.217520e+01 2.22202459e+01
1.218180e+01 2.12246221e+01
1.218430e+01 2.09995074e+01
1.219330e+01 2.02067200e+01
1.220240e+01 1.94247424e+01
1.221150e+01 1.86686168e+01
1.221580e+01 1.83280418e+01
1.222050e+01 1.81137952e+01
1.222960e+01 1.77391875e+01
1.223860e+01 1.74268680e+01
1.224770e+01 1.71817402e+01
1.224970e+01 1.71499715e+01
1.225680e+01 1.72271071e+01
1.226580e+01 1.74675624e+01
1.227190e+01 1.77565173e+01
1.227490e+01 1.78989884e+01
1.228400e+01 1.86115308e+01
1.229300e+01 1.97422326e+01
1.230210e+01 2.14824950e+01
1.231110e+01 2.41404368e+01
1.231760e+01 2.69572385e+01
1.232020e+01 2.81302372e+01
1.233510e+01 3.78755680e+01
1.235000e+01 4.45352788e+01
1.235750e+01 4.26114245e+01
1.236490e+01 3.78937896e+01
1.237980e+01 2.76710804e+01
1.238550e+01 2.50052034e+01
1.239290e+01 2.16077280e+01
1.240290e+01 1.87733694e+01
1.240600e+01 1.78949552e+01
1.241910e+01 1.55456866e+01
1.243220e+01 1.39754179e+01
1.245340e+01 1.24037719e+01
1.245840e+01 1.20631842e+01
1.248450e+01 1.10421527e+01
1.250000e+01 1.06418270e+01
1.251070e+01 1.03654866e+01
1.253690e+01 9.86557207e+00
1.258930e+01 9.12457899e+00
1.264020e+01 8.74435695e+00
1.266490e+01 8.59451771e+00
1.269110e+01 8.43669699e+00
1.270600e+01 8.36123138e+00
1.279300e+01 8.05716488e+00
1.282270e+01 7.97028109e+00
1.289490e+01 7.84653910e+00
1.292690e+01 7.79967076e+00
1.299670e+01 7.69866997e+00
1.305620e+01 7.62017133e+00
1.309860e+01 7.60441021e+00
1.318880e+01 7.57738051e+00
1.320040e+01 7.57403271e+00
1.328970e+01 7.55350716e+00
1.340420e+01 7.62497875e+00
1.352310e+01 7.72399498e+00
1.360790e+01 7.91973911e+00
1.371280e+01 8.16406733e+00
1.375000e+01 8.25099310e+00
1.375660e+01 8.26643121e+00
1.381160e+01 8.52805096e+00
1.387330e+01 8.82250381e+00
1.399010e+01 9.80920448e+00
1.410680e+01 1.17781888e+01
1.416520e+01 1.35816573e+01
1.421910e+01 1.63365757e+01
1.422350e+01 1.65629223e+01
1.428190e+01 2.20005473e+01
1.431110e+01 2.65278161e+01
1.434030e+01 3.33183010e+01
1.436950e+01 4.40779979e+01
1.439860e+01 6.22688677e+01
1.441320e+01 7.62182121e+01
1.442780e+01 9.53169205e+01
1.444240e+01 1.21723277e+02
1.445700e+01 1.57957129e+02
1.448350e+01 2.49351363e+02
1.451000e+01 3.11095277e+02
1.453650e+01 2.51603511e+02
1.456300e+01 1.60799385e+02
1.458310e+01 1.13455487e+02
1.460320e+01 8.28449119e+01
1.462330e+01 6.29717373e+01
1.462660e+01 6.07930066e+01
1.464340e+01 4.97102218e+01
1.468360e+01 3.39984009e+01
1.472380e+01 2.55638881e+01
1.476060e+01 2.09857770e+01
1.476390e+01 2.05752510e+01
1.480410e+01 1.74050861e+01
1.488450e+01 1.37826580e+01
1.496490e+01 1.18946122e+01
1.500000e+01 1.14189937e+01
1.503400e+01 1.09584525e+01
1.504520e+01 1.08159138e+01
1.520600e+01 9.85138588e+00
1.523770e+01 9.78603716e+00
1.536670e+01 9.65698533e+00
1.544150e+01 9.70952568e+00
1.552750e+01 9.94242306e+00
1.564520e+01 1.03912148e+01
1.580850e+01 1.17390583e+01
1.584890e+01 1.20725947e+01
1.593530e+01 1.34602178e+01
1.602160e+01 1.57211396e+01
1.610800e+01 2.04705392e+01
1.615110e+01 2.60850211e+01
1.617270e+01 3.13224501e+01
1.619430e+01 3.99064752e+01
1.621720e+01 5.35516052e+01
1.624000e+01 6.33047809e+01
1.625000e+01 5.94508380e+01
1.628570e+01 4.56928308e+01
1.631310e+01 3.88083037e+01
1.631420e+01 3.87319378e+01
1.634040e+01 3.69247046e+01
1.639510e+01 4.03833103e+01
1.644980e+01 5.02659280e+01
1.650460e+01 6.84511856e+01
1.655930e+01 1.02748116e+02
1.658660e+01 1.31839643e+02
1.661400e+01 1.76037648e+02
1.664130e+01 2.47190898e+02
1.666870e+01 3.70079919e+02
1.669610e+01 6.00349851e+02
1.670970e+01 7.89636862e+02
1.672340e+01 1.05497192e+03
1.674670e+01 1.68929504e+03
1.677000e+01 2.11755774e+03
1.677950e+01 1.94872284e+03
1.679340e+01 1.70169694e+03
1.681670e+01 1.06980617e+03
1.684120e+01 6.48815357e+02
1.685640e+01 5.06245898e+02
1.686570e+01 4.19015930e+02
1.689020e+01 2.89113631e+02
1.691470e+01 2.10768692e+02
1.693920e+01 1.60551968e+02
1.696370e+01 1.26673218e+02
1.701210e+01 8.59601643e+01
1.701270e+01 8.54559735e+01
1.706170e+01 6.24448788e+01
1.711070e+01 4.83423901e+01
1.720870e+01 3.27211083e+01
1.724470e+01 2.97930669e+01
1.730670e+01 2.48695384e+01
1.736110e+01 2.24308451e+01
1.740470e+01 2.06636014e+01
1.747740e+01 1.89997211e+01
1.750000e+01 1.86828994e+01
1.750270e+01 1.86451272e+01
1.753550e+01 1.85127578e+01
1.759370e+01 1.92267864e+01
1.760070e+01 1.95008657e+01
1.762280e+01 2.05427972e+01
1.765190e+01 2.29878262e+01
1.768090e+01 2.74271576e+01
1.771000e+01 3.54761327e+01
1.774000e+01 4.85211817e+01
1.777000e+01 5.71399948e+01
1.779670e+01 4.89775993e+01
1.780000e+01 4.79869113e+01
1.783000e+01 3.44258089e+01
1.786180e+01 2.52236610e+01
1.789360e+01 2.01308368e+01
1.790080e+01 1.94615906e+01
1.790430e+01 1.91362703e+01
1.792540e+01 1.71752217e+01
1.795720e+01 1.53177938e+01
1.799270e+01 1.41059534e+01
1.802090e+01 1.32437964e+01
1.808450e+01 1.22056394e+01
1.812500e+01 1.18516801e+01
1.821170e+01 1.10977048e+01
1.833890e+01 1.04652745e+01
1.838470e+01 1.03268430e+01
1.859340e+01 1.01615448e+01
1.875000e+01 1.02915094e+01
1.877670e+01 1.03160944e+01
1.884790e+01 1.04909338e+01
1.895210e+01 1.10000529e+01
1.910230e+01 1.17362355e+01
1.916860e+01 1.23146675e+01
1.922960e+01 1.29439928e+01
1.935680e+01 1.49775738e+01
1.936460e+01 1.52010275e+01
1.937500e+01 1.55199094e+01
1.947610e+01 1.86417764e+01
1.948400e+01 1.88859233e+01
