77-Ir_n-tot
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
3.238390e+01 1.96291974e+01
3.253400e+01 1.80110989e+01
3.283410e+01 1.60726677e+01
3.313420e+01 1.49252204e+01
3.343440e+01 1.41459369e+01
3.382600e+01 1.34790155e+01
3.403460e+01 1.31368314e+01
3.463490e+01 1.25424874e+01
3.493500e+01 1.23705592e+01
3.523510e+01 1.23338436e+01
3.553520e+01 1.26030625e+01
3.568530e+01 1.30174875e+01
3.575010e+01 1.33947066e+01
3.583540e+01 1.38949861e+01
3.598540e+01 1.59014146e+01
3.606050e+01 1.79083953e+01
3.613550e+01 2.14650184e+01
3.621050e+01 2.85141150e+01
3.624800e+01 3.48769136e+01
3.628550e+01 4.51681482e+01
3.632310e+01 6.32116891e+01
3.634180e+01 7.76665913e+01
3.636060e+01 9.84773997e+01
3.637930e+01 1.29656876e+02
3.639810e+01 1.78392329e+02
3.641690e+01 2.57679467e+02
3.643560e+01 3.88223159e+02
3.645780e+01 6.22967649e+02
3.648000e+01 7.86722779e+02
3.650220e+01 6.40499988e+02
3.652440e+01 4.10147048e+02
3.653930e+01 3.00848161e+02
3.655410e+01 2.25983156e+02
3.658380e+01 1.39293489e+02
3.661350e+01 9.51981838e+01
3.664320e+01 7.03713127e+01
3.667290e+01 5.51644846e+01
3.670260e+01 4.52147185e+01
3.671210e+01 4.33302116e+01
3.676200e+01 3.34344704e+01
3.682140e+01 2.69829634e+01
3.688080e+01 2.30568530e+01
3.699960e+01 1.86918091e+01
3.711840e+01 1.64178778e+01
3.723720e+01 1.50649954e+01
3.747480e+01 1.35692799e+01
3.767420e+01 1.29049148e+01
3.771240e+01 1.27828425e+01
3.795000e+01 1.23318127e+01
3.842520e+01 1.18617618e+01
3.863620e+01 1.18115342e+01
3.890030e+01 1.18533272e+01
3.913790e+01 1.20596866e+01
3.937550e+01 1.25022668e+01
3.959830e+01 1.34545195e+01
3.961310e+01 1.35302357e+01
3.973190e+01 1.46617410e+01
3.985070e+01 1.66347343e+01
3.996950e+01 2.06115954e+01
4.002890e+01 2.43329840e+01
4.007930e+01 2.96846204e+01
4.008830e+01 3.06555565e+01
4.014770e+01 4.26653746e+01
4.017740e+01 5.30265320e+01
4.020710e+01 6.91305465e+01
4.023680e+01 9.59094481e+01
4.025170e+01 1.16327674e+02
4.026650e+01 1.44449170e+02
4.028140e+01 1.84250341e+02
4.029620e+01 2.42136117e+02
4.031110e+01 3.28129608e+02
4.032590e+01 4.55613082e+02
4.034800e+01 7.29513443e+02
4.037000e+01 9.19074475e+02
4.039210e+01 7.46643036e+02
4.041410e+01 4.77152968e+02
4.042900e+01 3.48268619e+02
4.044400e+01 2.60522739e+02
4.045890e+01 2.00956710e+02
4.047380e+01 1.59684093e+02
4.050370e+01 1.08835952e+02
4.053350e+01 8.04182400e+01
4.056040e+01 6.48579198e+01
4.056340e+01 6.31329495e+01
4.059320e+01 5.20017232e+01
4.065300e+01 3.90588098e+01
4.071270e+01 3.22205525e+01
4.077240e+01 2.82821836e+01
4.080090e+01 2.73744992e+01
4.089180e+01 2.51588453e+01
4.101120e+01 2.49594411e+01
4.104140e+01 2.52819072e+01
4.107090e+01 2.60901277e+01
4.113070e+01 2.83714533e+01
4.116160e+01 3.01507044e+01
4.119040e+01 3.24454345e+01
4.122020e+01 3.56771685e+01
4.122180e+01 3.59104716e+01
4.125010e+01 4.09376315e+01
4.127990e+01 4.83630376e+01
4.128190e+01 4.91586585e+01
4.130980e+01 6.21119182e+01
4.132470e+01 7.23556460e+01
4.133970e+01 8.66358273e+01
4.134200e+01 8.98462259e+01
4.135460e+01 1.09508009e+02
4.136950e+01 1.42886916e+02
4.137960e+01 1.72770746e+02
4.138980e+01 2.06789889e+02
4.140220e+01 2.35359203e+02
4.141000e+01 2.55673911e+02
4.143030e+01 2.32358225e+02
4.143220e+01 2.28211217e+02
4.145050e+01 1.96663918e+02
4.146230e+01 1.88838238e+02
4.147450e+01 1.92953538e+02
4.149230e+01 2.14131467e+02
4.149860e+01 2.30526914e+02
4.150740e+01 2.56995471e+02
4.152240e+01 3.25464513e+02
4.152260e+01 3.26791683e+02
4.154620e+01 4.88081230e+02
4.154660e+01 4.89861205e+02
4.157000e+01 5.96437070e+02
4.157070e+01 5.92987114e+02
4.159380e+01 4.80476101e+02
4.159470e+01 4.73977283e+02
