C-13(n,g) JEFF-3.2
Energy(eV) XS(b)
1.40084E+07 1.54108E-05
1.41206E+07 7.92514E-05
1.41269E+07 8.28361E-05
1.42607E+07 0.000158967
1.43101E+07 0.000187075
1.44502E+07 0.000266790
1.45000E+07 0.000295126
1.46226E+07 0.000305136
1.48274E+07 0.000321857
1.50000E+07 0.000335949
1.52261E+07 0.000340685
1.55000E+07 0.000346422
1.55215E+07 0.000346872
1.56732E+07 0.000350050
1.60000E+07 0.000356895
1.64945E+07 0.000378113
1.64946E+07 0.000378116
1.65000E+07 0.000378349
1.70000E+07 0.000399803
1.73882E+07 0.000418986
1.74440E+07 0.000421744
1.75000E+07 0.000424511
1.75216E+07 0.000425578
1.76018E+07 0.000429542
1.76358E+07 0.000431222
1.80000E+07 0.000449219
1.80867E+07 0.000453213
1.81734E+07 0.000457208
1.82980E+07 0.000462949
1.85000E+07 0.000472255
1.87934E+07 0.000485773
1.88388E+07 0.000487864
1.88917E+07 0.000490301
1.90000E+07 0.000495291
1.90489E+07 0.000497123
1.91373E+07 0.000500434
1.93186E+07 0.000507225
1.94288E+07 0.000511353
1.94412E+07 0.000511817
1.95000E+07 0.000514020
1.96233E+07 0.000518638
2.00000E+07 0.000532748
2.01263E+07 0.000534567
2.10000E+07 0.000547148
2.20000E+07 0.000552010
2.25235E+07 0.000551701
2.30000E+07 0.000551419
2.40000E+07 0.000544245
2.50000E+07 0.000523158
2.52913E+07 0.000519164
2.54824E+07 0.000516545
2.55027E+07 0.000516266
2.57263E+07 0.000513201
2.57623E+07 0.000512707
2.60000E+07 0.000509449
2.63054E+07 0.000502046
2.70000E+07 0.000485209
2.72733E+07 0.000473128
2.80000E+07 0.000441003
2.90000E+07 0.000408016
3.00000E+07 0.000365962
3.00000E+07 0.00000
3.10000E+07 0.00000
3.20000E+07 0.00000
3.30000E+07 0.00000
3.40000E+07 0.00000
3.50000E+07 0.00000
3.60000E+07 0.00000
3.70000E+07 0.00000
3.80000E+07 0.00000
3.90000E+07 0.00000
4.00000E+07 0.00000
4.10000E+07 0.00000
4.20000E+07 0.00000
4.30000E+07 0.00000
4.40000E+07 0.00000
4.50000E+07 0.00000
4.60000E+07 0.00000
4.70000E+07 0.00000
4.80000E+07 0.00000
4.90000E+07 0.00000
5.00000E+07 0.00000
5.10000E+07 0.00000
5.20000E+07 0.00000
5.30000E+07 0.00000
5.40000E+07 0.00000
5.50000E+07 0.00000
5.60000E+07 0.00000
5.70000E+07 0.00000
5.80000E+07 0.00000
5.90000E+07 0.00000
6.00000E+07 0.00000
6.10000E+07 0.00000
6.20000E+07 0.00000
6.30000E+07 0.00000
6.40000E+07 0.00000
6.50000E+07 0.00000
6.60000E+07 0.00000
6.70000E+07 0.00000
6.80000E+07 0.00000
6.90000E+07 0.00000
7.00000E+07 0.00000
7.10000E+07 0.00000
7.20000E+07 0.00000
7.30000E+07 0.00000
7.40000E+07 0.00000
7.50000E+07 0.00000
7.60000E+07 0.00000
7.70000E+07 0.00000
7.80000E+07 0.00000
7.90000E+07 0.00000
8.00000E+07 0.00000
8.10000E+07 0.00000
8.20000E+07 0.00000
8.30000E+07 0.00000
8.40000E+07 0.00000
8.50000E+07 0.00000
8.60000E+07 0.00000
8.70000E+07 0.00000
8.80000E+07 0.00000
8.90000E+07 0.00000
9.00000E+07 0.00000
9.10000E+07 0.00000
9.20000E+07 0.00000
9.30000E+07 0.00000
9.40000E+07 0.00000
9.50000E+07 0.00000
9.60000E+07 0.00000
9.70000E+07 0.00000
9.80000E+07 0.00000
9.90000E+07 0.00000
1.00000E+08 0.00000
1.02000E+08 0.00000
1.04000E+08 0.00000
1.06000E+08 0.00000
1.08000E+08 0.00000
1.10000E+08 0.00000
1.12000E+08 0.00000
1.14000E+08 0.00000
1.16000E+08 0.00000
1.18000E+08 0.00000
1.20000E+08 0.00000
1.22000E+08 0.00000
1.24000E+08 0.00000
1.26000E+08 0.00000
1.28000E+08 0.00000
1.30000E+08 0.00000
1.32000E+08 0.00000
1.34000E+08 0.00000
1.36000E+08 0.00000
1.38000E+08 0.00000
1.40000E+08 0.00000
1.42000E+08 0.00000
1.44000E+08 0.00000
1.46000E+08 0.00000
1.48000E+08 0.00000
1.50000E+08 0.00000
1.52000E+08 0.00000
1.54000E+08 0.00000
1.56000E+08 0.00000
1.58000E+08 0.00000
1.60000E+08 0.00000
1.62000E+08 0.00000
1.64000E+08 0.00000
1.66000E+08 0.00000
1.68000E+08 0.00000
1.70000E+08 0.00000
1.72000E+08 0.00000
1.74000E+08 0.00000
1.76000E+08 0.00000
1.78000E+08 0.00000
1.80000E+08 0.00000
1.82000E+08 0.00000
1.84000E+08 0.00000
1.86000E+08 0.00000
1.88000E+08 0.00000
1.90000E+08 0.00000
1.92000E+08 0.00000
1.94000E+08 0.00000
1.96000E+08 0.00000
1.98000E+08 0.00000
2.00000E+08 0.00000
