V-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2.17608E+06 0.000562070
2.18070E+06 0.000561073
2.20566E+06 0.000555751
2.20566E+06 0.000555751
2.24301E+06 0.000552837
2.24803E+06 0.000552451
2.25000E+06 0.000552299
2.35461E+06 0.000540279
2.35930E+06 0.000539435
2.35930E+06 0.000539434
2.39134E+06 0.000525822
2.39596E+06 0.000525376
2.44076E+06 0.000521113
2.44745E+06 0.000520486
2.46840E+06 0.000511128
2.47295E+06 0.000509128
2.47295E+06 0.000509127
2.47397E+06 0.000508800
2.47397E+06 0.000508799
2.50000E+06 0.000502765
2.50280E+06 0.000502321
2.50458E+06 0.000502039
2.52835E+06 0.000497460
2.53314E+06 0.000492814
2.53314E+06 0.000492813
2.59184E+06 0.000478865
2.61202E+06 0.000474233
2.62449E+06 0.000471410
2.62551E+06 0.000471181
2.66529E+06 0.000462383
2.69896E+06 0.000455164
2.75000E+06 0.000444601
2.76204E+06 0.000449046
2.78466E+06 0.000457464
2.83975E+06 0.000478333
2.85607E+06 0.000484616
2.86423E+06 0.000487775
2.87597E+06 0.000492339
2.90729E+06 0.000504634
2.95095E+06 0.000522056
3.00000E+06 0.000542026
3.50000E+06 0.000459302
4.00000E+06 0.000406991
4.50000E+06 0.000376531
5.00000E+06 0.000361789
5.50000E+06 0.000356935
5.74456E+06 0.000356868
5.84282E+06 0.000356841
6.00000E+06 0.000356800
6.24500E+06 0.000361972
6.50000E+06 0.000367219
6.74537E+06 0.000376184
7.00000E+06 0.000385367
7.25249E+06 0.000398562
7.41611E+06 0.000407101
7.46082E+06 0.000409432
7.48533E+06 0.000410710
7.49852E+06 0.000411398
7.50000E+06 0.000411475
7.60109E+06 0.000418393
7.64041E+06 0.000421090
7.76604E+06 0.000429729
7.76605E+06 0.000429730
7.88513E+06 0.000437951
7.88514E+06 0.000437951
8.00000E+06 0.000445910
8.11231E+06 0.000455362
8.14978E+06 0.000458531
8.36413E+06 0.000476797
8.39783E+06 0.000479690
8.39891E+06 0.000479783
8.40694E+06 0.000480473
8.41381E+06 0.000481064
8.50000E+06 0.000488498
8.56096E+06 0.000494494
8.61836E+06 0.000500167
8.61907E+06 0.000500237
8.76945E+06 0.000515228
8.88351E+06 0.000526721
8.94286E+06 0.000532742
8.94676E+06 0.000533139
9.00000E+06 0.000538566
9.08223E+06 0.000547558
9.16937E+06 0.000557159
9.19956E+06 0.000560503
9.34034E+06 0.000576216
9.36111E+06 0.000578550
9.36111E+06 0.000578551
9.36351E+06 0.000578820
9.38186E+06 0.000580887
9.42472E+06 0.000585727
9.50000E+06 0.000594272
9.52164E+06 0.000596767
9.52446E+06 0.000597093
9.52447E+06 0.000597094
9.53433E+06 0.000598233
9.55531E+06 0.000600660
9.61999E+06 0.000608169
9.66549E+06 0.000613477
9.66855E+06 0.000613834
9.70538E+06 0.000618148
9.70700E+06 0.000618338
9.73792E+06 0.000621970
9.77567E+06 0.000626417
9.83790E+06 0.000633781
9.86514E+06 0.000637016
9.88993E+06 0.000639968
9.91339E+06 0.000642766
1.00000E+07 0.000653146
1.00891E+07 0.000663529
1.01081E+07 0.000665752
1.02360E+07 0.000680803
1.02808E+07 0.000686110
1.05000E+07 0.000712335
1.08238E+07 0.000747674
1.08899E+07 0.000754966
1.10000E+07 0.000767171
1.10551E+07 0.000771033
1.10713E+07 0.000772168
1.11666E+07 0.000778848
1.11927E+07 0.000780677
1.12050E+07 0.000781539
1.13455E+07 0.000791388
1.14559E+07 0.000799127
1.14724E+07 0.000800283
1.15000E+07 0.000802218
1.15402E+07 0.000805765
1.15520E+07 0.000806807
1.15801E+07 0.000809289
1.16249E+07 0.000813250
1.16456E+07 0.000815081
1.16958E+07 0.000819526
1.16961E+07 0.000819552
1.18193E+07 0.000830482
1.18194E+07 0.000830488
1.18827E+07 0.000836118
1.18937E+07 0.000837097
1.19229E+07 0.000839696
1.19254E+07 0.000839919
1.19509E+07 0.000842190
1.19529E+07 0.000842368
1.20000E+07 0.000846567
1.20477E+07 0.000849969
1.20563E+07 0.000850582
1.20611E+07 0.000850924
1.20768E+07 0.000852044
1.21065E+07 0.000854162
1.21641E+07 0.000858270
1.22019E+07 0.000860966
1.22151E+07 0.000861907
1.22355E+07 0.000863362
1.22423E+07 0.000863847
1.22529E+07 0.000864603
1.22590E+07 0.000865039
1.22620E+07 0.000865252
1.23135E+07 0.000868926
1.23284E+07 0.000869989
1.23875E+07 0.000874205
1.24545E+07 0.000878984
1.25000E+07 0.000882230
1.29374E+07 0.000906274
1.29850E+07 0.000908879
1.30000E+07 0.000909700
1.35000E+07 0.000926871
1.40000E+07 0.000935782
1.41496E+07 0.000935451
1.41497E+07 0.000935450
1.45000E+07 0.000934688
1.50000E+07 0.000925911
1.55000E+07 0.000906473
1.60000E+07 0.000878957
1.64191E+07 0.000848347
1.64191E+07 0.000848346
1.65000E+07 0.000842650
1.70000E+07 0.000804000
1.75000E+07 0.000754051
1.80000E+07 0.000703380
1.85000E+07 0.000650099
1.90000E+07 0.000595052
1.95000E+07 0.000540569
2.00000E+07 0.000488947
