42-Mo_n-tot
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
5.623700e+01 7.08818506e+00
5.623990e+01 7.08761541e+00
5.624570e+01 7.08650777e+00
5.625740e+01 7.08429199e+00
5.628060e+01 7.07986146e+00
5.632710e+01 7.07106325e+00
5.642000e+01 7.05372078e+00
5.660580e+01 7.02004961e+00
5.697760e+01 6.95641278e+00
5.772100e+01 6.84222401e+00
5.781680e+01 6.83017241e+00
5.920790e+01 6.65474312e+00
6.042250e+01 6.54592745e+00
6.172530e+01 6.42888443e+00
6.218170e+01 6.38784128e+00
6.250000e+01 6.36829563e+00
6.302810e+01 6.33532505e+00
6.433090e+01 6.25425109e+00
6.515540e+01 6.20394022e+00
6.563370e+01 6.18251552e+00
6.628510e+01 6.15513517e+00
6.693650e+01 6.13071641e+00
6.758790e+01 6.11272486e+00
6.812920e+01 6.11053649e+00
6.812930e+01 6.11054002e+00
6.812940e+01 6.11054354e+00
6.812970e+01 6.11053827e+00
6.813010e+01 6.11053652e+00
6.813100e+01 6.11053655e+00
6.813270e+01 6.11054892e+00
6.813630e+01 6.11054902e+00
6.814330e+01 6.11055803e+00
6.815740e+01 6.11059541e+00
6.818550e+01 6.11063496e+00
6.823930e+01 6.11074419e+00
6.824180e+01 6.11084682e+00
6.835440e+01 6.11550099e+00
6.856500e+01 6.12430954e+00
6.857960e+01 6.12570508e+00
6.889070e+01 6.15576229e+00
6.902990e+01 6.18366661e+00
6.921640e+01 6.22141227e+00
6.954210e+01 6.36015039e+00
6.970500e+01 6.48537438e+00
6.986780e+01 6.68297426e+00
6.993060e+01 6.81018959e+00
7.003070e+01 7.01329829e+00
7.019350e+01 7.61155969e+00
7.035640e+01 8.83426922e+00
7.043780e+01 9.97257912e+00
7.051920e+01 1.18736378e+01
7.060060e+01 1.53633813e+01
7.064130e+01 1.82900371e+01
7.068210e+01 2.26974898e+01
7.072280e+01 2.97015535e+01
7.076350e+01 4.15638893e+01
7.080420e+01 6.31147370e+01
7.082460e+01 8.03252794e+01
7.084490e+01 1.03923665e+02
7.088250e+01 1.64844112e+02
7.092000e+01 2.07250961e+02
7.095760e+01 1.69128208e+02
7.099510e+01 1.09286418e+02
7.102830e+01 7.38548720e+01
7.106150e+01 5.24577577e+01
7.109470e+01 3.93436195e+01
7.112780e+01 3.09535484e+01
7.119420e+01 2.14086319e+01
7.126060e+01 1.64598114e+01
7.132690e+01 1.35844596e+01
7.139330e+01 1.17699912e+01
7.152600e+01 9.69221574e+00
7.165880e+01 8.58810763e+00
7.173200e+01 8.22409686e+00
7.179150e+01 7.92851907e+00
7.192420e+01 7.50101168e+00
7.205700e+01 7.20642334e+00
7.232240e+01 6.83437496e+00
7.258790e+01 6.61380243e+00
7.285330e+01 6.46990766e+00
7.311880e+01 6.36921993e+00
7.358000e+01 6.25485794e+00
7.364970e+01 6.23757481e+00
7.418070e+01 6.15427920e+00
7.471160e+01 6.09544215e+00
7.500000e+01 6.07100491e+00
7.524250e+01 6.05003830e+00
7.533480e+01 6.04402470e+00
7.630440e+01 5.98715625e+00
7.736620e+01 5.94108404e+00
7.842810e+01 5.90563119e+00
7.869350e+01 5.89980602e+00
7.895900e+01 5.89906293e+00
7.909170e+01 5.90465018e+00
7.915810e+01 5.91146997e+00
7.922440e+01 5.92404223e+00
7.929080e+01 5.94848858e+00
7.935720e+01 6.00148341e+00
7.939040e+01 6.05269458e+00
7.942350e+01 6.13988383e+00
7.945670e+01 6.29897021e+00
7.947490e+01 6.46468159e+00
7.948990e+01 6.60125699e+00
7.952000e+01 7.04069623e+00
7.955000e+01 7.33351675e+00
7.958010e+01 7.03931440e+00
7.961010e+01 6.59817651e+00
7.963000e+01 6.39304347e+00
7.964990e+01 6.25295042e+00
7.968980e+01 6.09092674e+00
7.972960e+01 6.00845552e+00
7.976940e+01 5.96186047e+00
7.980920e+01 5.93308302e+00
7.984910e+01 5.91400430e+00
7.992870e+01 5.89072619e+00
8.000840e+01 5.87713721e+00
8.008800e+01 5.86810071e+00
8.024730e+01 5.85623875e+00
8.056590e+01 5.84149947e+00
8.088450e+01 5.83049555e+00
8.152170e+01 5.81162691e+00
8.215880e+01 5.79428770e+00
8.254040e+01 5.78468326e+00
8.254050e+01 5.78468141e+00
8.254060e+01 5.78467875e+00
8.254070e+01 5.78467610e+00
8.254100e+01 5.78466973e+00
8.254150e+01 5.78465965e+00
8.254260e+01 5.78463524e+00
8.254470e+01 5.78458749e+00
8.254890e+01 5.78449357e+00
8.255750e+01 5.78430361e+00
8.257450e+01 5.78392581e+00
8.260860e+01 5.78317073e+00
8.267680e+01 5.78166058e+00
8.281320e+01 5.77864977e+00
8.308600e+01 5.77266459e+00
8.363160e+01 5.76083203e+00
8.470760e+01 5.73800836e+00
8.472290e+01 5.73770706e+00
8.536990e+01 5.72552102e+00
8.690530e+01 5.69663398e+00
8.725630e+01 5.69052584e+00
8.750000e+01 5.68647423e+00
8.831740e+01 5.67117319e+00
8.979120e+01 5.64363597e+00
8.980510e+01 5.64337708e+00
9.126490e+01 5.61710326e+00
9.127020e+01 5.61700866e+00
9.273870e+01 5.59372577e+00
9.347550e+01 5.58225355e+00
9.375000e+01 5.57810898e+00
9.421240e+01 5.57014793e+00
9.458090e+01 5.56406765e+00
9.490250e+01 5.55906310e+00
9.494930e+01 5.55835622e+00
9.531770e+01 5.55343207e+00
9.568620e+01 5.54983972e+00
9.587040e+01 5.54905195e+00
9.605460e+01 5.54956042e+00
9.623880e+01 5.55244730e+00
9.642300e+01 5.56021275e+00
9.651510e+01 5.56771071e+00
9.660730e+01 5.57976634e+00
9.669940e+01 5.60000379e+00
9.679150e+01 5.63647762e+00
9.687500e+01 5.70332645e+00
9.688360e+01 5.71021164e+00
9.692960e+01 5.77822152e+00
9.697570e+01 5.89107268e+00
9.702180e+01 6.09733953e+00
9.704480e+01 6.27022972e+00
9.706780e+01 6.53098926e+00
9.709080e+01 6.94755292e+00
9.711390e+01 7.66006017e+00
9.713690e+01 8.97829623e+00
9.715990e+01 1.15377508e+01
9.718000e+01 1.51537214e+01
9.720000e+01 1.75658500e+01
9.722010e+01 1.51549821e+01
9.724010e+01 1.15387502e+01
9.726170e+01 9.09414398e+00
9.728320e+01 7.78324865e+00
9.730480e+01 7.05194760e+00
9.732640e+01 6.61512871e+00
9.734790e+01 6.33705188e+00
9.736950e+01 6.15056444e+00
9.741260e+01 5.92494138e+00
9.745570e+01 5.79937332e+00
9.749890e+01 5.72253232e+00
9.758510e+01 5.63711459e+00
9.767130e+01 5.59288883e+00
9.775760e+01 5.56674582e+00
9.784380e+01 5.54975876e+00
9.793010e+01 5.53789207e+00
9.810260e+01 5.52230023e+00
9.827510e+01 5.51222232e+00
9.844760e+01 5.50483902e+00
9.862010e+01 5.49892774e+00
9.896500e+01 5.48939794e+00
9.931000e+01 5.48138750e+00
9.965500e+01 5.47410964e+00
9.999990e+01 5.46722853e+00
1.000000e+02 5.46722558e+00
1.000010e+02 5.46720536e+00
1.000030e+02 5.46716652e+00
1.000050e+02 5.46712134e+00
1.000100e+02 5.46701869e+00
1.000200e+02 5.46681022e+00
1.000400e+02 5.46639645e+00
1.000800e+02 5.46556731e+00
1.001600e+02 5.46391063e+00
1.003200e+02 5.46060044e+00
1.006410e+02 5.45398044e+00
1.007810e+02 5.45110446e+00
1.012810e+02 5.44113420e+00
1.015630e+02 5.43556402e+00
1.021770e+02 5.42359901e+00
1.023440e+02 5.42035739e+00
1.023690e+02 5.41987551e+00
1.025610e+02 5.41620753e+00
1.031250e+02 5.40567105e+00
1.032650e+02 5.40306947e+00
1.043530e+02 5.38298777e+00
1.046880e+02 5.37686736e+00
1.047380e+02 5.37595693e+00
1.048970e+02 5.37310685e+00
1.051230e+02 5.36911092e+00
1.054410e+02 5.36368692e+00
1.059220e+02 5.35569790e+00
1.059850e+02 5.35467517e+00
1.062500e+02 5.35061785e+00
1.064030e+02 5.34828057e+00
1.065140e+02 5.34671013e+00
1.065300e+02 5.34649318e+00
1.066660e+02 5.34483763e+00
1.068020e+02 5.34293687e+00
1.070740e+02 5.33961389e+00
1.071060e+02 5.33932500e+00
1.073460e+02 5.33749610e+00
1.076180e+02 5.33716643e+00
1.076840e+02 5.33770144e+00
1.076990e+02 5.33786183e+00
1.077540e+02 5.33858873e+00
1.078900e+02 5.34194347e+00
1.079950e+02 5.34663447e+00
1.080260e+02 5.34814209e+00
1.081620e+02 5.35995703e+00
1.082910e+02 5.38186423e+00
1.082980e+02 5.38311774e+00
1.083240e+02 5.39113363e+00
1.083660e+02 5.40423611e+00
1.084340e+02 5.43713421e+00
1.085020e+02 5.49201151e+00
1.085700e+02 5.59260680e+00
1.085870e+02 5.63446626e+00
1.086040e+02 5.67659451e+00
1.086380e+02 5.80084200e+00
1.086440e+02 5.83404707e+00
1.086720e+02 5.98915999e+00
1.087060e+02 6.27481250e+00
1.087350e+02 6.62762523e+00
1.087530e+02 6.84703288e+00
1.088000e+02 7.22972044e+00
1.088470e+02 6.85245476e+00
1.088830e+02 6.41741391e+00
1.088940e+02 6.28504024e+00
1.089390e+02 5.93821889e+00
1.089640e+02 5.82541374e+00
1.089830e+02 5.73991999e+00
1.090280e+02 5.62513668e+00
1.090310e+02 5.62039284e+00
1.090720e+02 5.55877120e+00
1.091050e+02 5.53458137e+00
1.091610e+02 5.49932934e+00
1.091790e+02 5.49629311e+00
1.092500e+02 5.49805200e+00
1.092530e+02 5.49872821e+00
1.092850e+02 5.51868872e+00
1.093270e+02 5.54576125e+00
1.093390e+02 5.56040685e+00
1.093640e+02 5.59343221e+00
1.093750e+02 5.61544956e+00
1.094010e+02 5.66749096e+00
1.094280e+02 5.75052163e+00
1.094380e+02 5.78199354e+00
1.094450e+02 5.81530223e+00
1.094750e+02 5.95893432e+00
1.095280e+02 6.32191133e+00
1.095800e+02 6.56302213e+00
1.096050e+02 6.44776374e+00
1.096060e+02 6.44321336e+00
1.096330e+02 6.32154432e+00
1.096850e+02 5.96040618e+00
1.097180e+02 5.79861640e+00
1.097520e+02 5.68712235e+00
1.097650e+02 5.66203705e+00
1.097840e+02 5.62805680e+00
1.098190e+02 5.56615067e+00
1.098850e+02 5.51226515e+00
1.099250e+02 5.49811345e+00
1.099520e+02 5.49500432e+00
1.099620e+02 5.49611094e+00
1.099990e+02 5.50057670e+00
1.100050e+02 5.50131558e+00
1.100190e+02 5.50774096e+00
1.100850e+02 5.54622719e+00
1.100860e+02 5.54745703e+00
1.101400e+02 5.61900405e+00
1.101650e+02 5.65226955e+00
1.102190e+02 5.79030437e+00
1.102450e+02 5.85843266e+00
1.103180e+02 6.16147127e+00
1.103230e+02 6.18224996e+00
1.103530e+02 6.26548924e+00
1.104000e+02 6.39729719e+00
1.104780e+02 6.17130014e+00
1.104870e+02 6.13191214e+00
1.105550e+02 5.83569311e+00
1.106110e+02 5.66771322e+00
1.106670e+02 5.55618074e+00
1.106740e+02 5.54685852e+00
1.107230e+02 5.48175356e+00
1.107540e+02 5.45290457e+00
1.107780e+02 5.43086059e+00
1.108320e+02 5.40083206e+00
1.108900e+02 5.36904189e+00
1.110020e+02 5.33434439e+00
1.110210e+02 5.33060264e+00
1.110290e+02 5.32906904e+00
1.111130e+02 5.31309442e+00
1.112250e+02 5.29882101e+00
1.112880e+02 5.29366826e+00
1.113850e+02 5.28606047e+00
1.114480e+02 5.28117163e+00
1.116660e+02 5.27075587e+00
1.116720e+02 5.27059980e+00
1.117410e+02 5.26974242e+00
1.118230e+02 5.26877672e+00
1.118950e+02 5.26806387e+00
1.120820e+02 5.26795249e+00
1.123410e+02 5.28296070e+00
1.123570e+02 5.28399569e+00
1.124530e+02 5.29028090e+00
1.124990e+02 5.29331249e+00
1.125000e+02 5.29352681e+00
1.127070e+02 5.33789198e+00
1.128110e+02 5.38210445e+00
1.128910e+02 5.44125111e+00
1.129150e+02 5.45900698e+00
1.130200e+02 5.60752517e+00
1.130720e+02 5.73820132e+00
1.131240e+02 5.94421254e+00
1.131650e+02 6.22083783e+00
1.131760e+02 6.29505728e+00
1.132280e+02 6.95291256e+00
1.132340e+02 7.08213460e+00
1.132540e+02 7.51293475e+00
1.132800e+02 8.35243082e+00
1.133060e+02 9.65308578e+00
1.133320e+02 1.16757684e+01
1.133660e+02 1.55437006e+01
1.134000e+02 1.81151568e+01
1.134340e+02 1.55451349e+01
1.134680e+02 1.16763866e+01
1.135030e+02 9.15030027e+00
1.135370e+02 7.75197934e+00
1.135720e+02 6.95090457e+00
1.136070e+02 6.46332582e+00
1.136760e+02 5.93509429e+00
