Y-90(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3868.06 220.636
3870.00 274.395
3871.95 219.836
3873.89 139.541
3875.86 88.2293
3877.83 59.9143
3879.80 43.7264
3881.77 33.8861
3883.74 27.5340
3885.71 23.2276
3889.65 17.9524
3893.60 14.9772
3897.54 13.1368
3905.42 11.0682
3913.30 9.98656
3921.18 9.34588
3929.06 8.93230
3936.95 8.64809
3952.71 8.28992
3968.47 8.07847
4000.00 7.84749
4037.32 7.71403
4074.64 7.64494
4111.96 7.61001
4149.29 7.60011
4186.61 7.61957
4205.27 7.64841
4223.93 7.70402
4233.26 7.75069
4242.59 7.82065
4251.92 7.93216
4261.25 8.12688
4265.92 8.28501
4270.58 8.51913
4275.25 8.88919
4279.91 9.52989
4282.24 10.0453
4284.58 10.8000
4286.91 11.9731
4289.24 13.9467
4291.57 17.6708
4292.74 20.9161
4293.91 26.0344
4295.07 34.7736
4296.24 51.3281
4296.82 65.5946
4297.40 87.4215
4297.99 122.050
4298.57 177.479
4299.29 278.130
4300.00 343.669
4300.72 273.665
4301.43 172.005
4302.27 100.118
4303.10 63.8823
4303.94 44.5877
4304.77 33.4513
4305.61 26.5295
4306.44 21.9809
4308.12 16.5952
4309.79 13.6744
4311.46 11.9282
4314.80 10.0453
4318.14 9.11349
4321.49 8.59022
4324.83 8.26957
4328.17 8.06029
4334.85 7.81511
4341.54 7.68446
4348.22 7.60799
4354.91 7.56020
4368.28 7.50753
4381.65 7.48195
4408.38 7.46115
4435.12 7.45473
4461.86 7.45262
4515.34 7.44914
4568.81 7.43684
4622.29 7.40446
4649.03 7.37822
4662.39 7.36465
4675.76 7.35625
4689.13 7.36918
4695.82 7.39902
4702.50 7.46941
4705.84 7.53544
4709.19 7.64083
4712.53 7.81742
4715.87 8.13700
4717.54 8.40072
4719.21 8.79275
4720.88 9.41118
4722.56 10.4704
4724.23 12.5189
4725.06 14.3551
4725.90 17.3357
4726.73 22.6659
4727.15 27.0540
4727.57 33.5594
4727.99 43.7860
4728.40 60.9053
4728.82 91.6599
4729.24 149.011
4729.62 231.760
4730.00 284.380
4730.38 225.715
4730.76 141.779
4731.03 101.800
4731.29 75.3129
4731.55 57.6765
4731.81 45.6575
4732.34 31.1210
4732.87 23.2034
4733.39 18.4724
4733.92 15.4561
4734.97 11.9911
4736.03 10.1655
4737.08 9.09406
4739.18 7.95499
4741.29 7.39032
4743.39 7.06379
4745.50 6.85099
4747.60 6.69788
4751.82 6.47684
4756.03 6.30157
4764.45 5.96320
4772.87 5.56401
4777.08 5.33896
4781.29 5.13473
4785.50 5.10191
4787.60 5.30907
4789.71 5.93147
4791.82 7.58045
4792.87 9.26600
4793.92 12.1311
4794.97 17.2333
4796.03 26.8629
4796.55 34.8618
4797.08 46.4253
4797.60 63.3778
4798.13 88.1572
4799.07 156.131
4800.00 218.040
4800.94 196.202
4801.87 138.329
4802.64 101.922
4803.42 77.7309
4804.19 61.7243
4804.97 50.8108
4806.51 37.4525
4808.06 29.9062
4809.61 25.2003
4811.16 22.0427
4814.25 18.1469
4817.35 15.8807
4820.45 14.4196
4826.64 12.6717
4832.83 11.6772
4839.02 11.0434
4851.40 10.2942
4863.79 9.87725
4876.17 9.62094
4900.94 9.34636
4950.47 9.22201
5000.00 9.44041
5037.88 9.96335
5056.82 10.4895
5075.77 11.4192
5094.71 13.2739
5104.18 14.9751
5113.65 17.7926
5123.12 22.9359
5127.85 27.2428
5132.59 33.7359
5137.33 44.0916
5142.06 61.7676
5146.80 94.3408
5151.53 157.439
5155.77 250.142
5160.00 313.539
5164.24 251.877
5168.47 160.031
5171.73 112.440
5174.98 82.1251
5178.24 62.6622
5181.50 49.7542
5188.01 34.5559
5194.52 26.4298
5201.03 21.6293
5207.54 18.5732
5220.57 15.0626
5233.59 13.2074
5246.62 12.1147
5272.66 10.9575
5298.71 10.4048
5324.76 10.1142
5376.86 9.87970
5428.95 9.86779
5481.05 10.0267
5507.10 10.2244
5520.12 10.3939
5533.14 10.6652
5546.17 11.1615
5552.68 11.5959
5559.19 12.3012
5565.70 13.5838
5568.96 14.6705
5572.22 16.3420
5575.47 19.1001
5578.73 24.0782
5580.36 28.1590
5581.98 34.1056
5583.61 42.9737
5585.24 56.2032
5587.62 84.2231
5590.00 103.230
5592.38 84.7603
5594.76 57.0033
5597.02 39.9928
5599.27 30.2192
5601.53 24.4709
5603.78 20.9179
5608.29 17.0460
5612.80 15.1672
5617.31 14.1694
5621.82 13.6231
5630.85 13.2183
5648.89 13.7337
5666.93 15.5735
5684.97 19.5438
5703.02 28.4568
5712.04 37.0757
5721.06 51.4639
5730.08 76.5861
5739.10 121.390
5749.55 208.757
5760.00 287.341
5770.45 258.137
5780.90 183.984
5787.85 145.535
5794.80 117.928
5808.70 84.4113
5822.60 66.6379
5836.50 56.5455
5864.30 47.1620
5892.10 45.0828
5919.90 48.3378
5933.80 52.5618
5947.70 59.6666
5961.60 71.8080
5975.50 94.0559
5982.45 112.522
5989.40 139.867
5996.35 181.631
6003.30 245.327
6011.65 347.516
6020.00 383.816
6028.35 268.338
6036.70 148.418
6043.13 94.3616
6049.55 62.9535
6055.97 44.4092
6062.40 33.0743
6075.25 21.1912
6088.10 15.8733
6100.94 13.3082
6113.79 12.0298
6139.49 11.1261
6165.19 11.0789
6190.89 11.3200
6242.28 12.0430
6293.68 12.8277
6345.07 13.6351
6370.77 14.0752
6383.62 14.3236
6396.47 14.6170
6409.31 15.0166
6415.74 15.3097
6422.16 15.7470
6428.59 16.5174
6431.80 17.1849
6435.01 18.2690
6438.22 20.2519
6439.83 21.9446
6441.44 24.5709
6443.04 28.9616
6444.65 37.0568
6445.45 43.8452
6446.25 53.9614
6447.06 69.4815
6447.86 93.3744
6448.93 139.654
6450.00 169.693
6451.07 137.415
6452.14 90.6505
6453.19 61.4286
6454.25 45.0830
6455.30 35.6727
6456.36 29.9397
6457.41 26.2412
6458.46 23.7446
6460.57 20.7149
6462.68 19.0387
6464.78 18.0295
6469.00 16.9499
6473.21 16.4376
6477.43 16.1737
6485.86 15.9651
6494.28 15.9347
6502.71 15.9770
6519.57 16.1493
6536.43 16.3676
6553.29 16.6021
6587.00 17.0765
6620.72 17.5043
6654.43 17.7554
6671.29 17.6984
6679.72 17.5713
6688.15 17.3351
6696.57 16.9433
6700.79 16.6840
6705.00 16.4198
6709.22 16.3206
6711.33 16.5188
6713.43 17.1949
6715.54 19.0563
6716.59 20.9720
6717.65 24.2099
6718.70 29.8863
6719.75 40.2910
6720.81 60.4365
6721.86 100.612
6722.93 174.434
6724.00 245.605
6725.07 227.466
6726.14 167.060
6727.32 117.828
6728.50 88.9268
6729.69 71.6223
6730.87 60.6466
6732.05 53.2596
6733.23 48.0501
6735.59 41.3199
6737.96 37.2597
6740.32 34.5988
6745.04 31.4098
6749.77 29.6375
6754.49 28.5651
6763.95 27.4573
6773.40 27.0483
6782.85 27.0157
6801.75 27.6856
6820.65 29.3340
6830.10 30.7351
6839.56 32.8637
6849.01 36.4404
6853.73 39.3203
6858.46 43.6586
6863.18 50.8886
6865.55 56.6134
6867.91 65.0006
6870.27 78.2417
6872.64 101.371
6873.82 120.166
6875.00 147.687
6876.18 189.353
6877.36 251.905
6878.68 338.615
6879.34 364.478
6880.00 353.875
6881.32 236.195
6882.64 124.383
6883.56 79.5217
6884.47 52.9390
6885.39 37.1382
6886.31 27.5622
6887.23 21.6407
6888.14 17.9244
6889.98 14.1045
6891.81 12.6705
6893.64 12.2963
6897.31 12.7608
6900.98 13.6977
6904.65 14.6711
6911.98 16.3738
6919.32 17.7198
6926.65 18.7950
6941.32 20.4247
6955.99 21.6448
6970.66 22.6365
7000.00 24.2626
7036.74 25.9946
7073.48 27.6105
7146.95 30.8542
7293.90 38.3372
7389.05 44.3700
7484.20 51.7391
7531.77 56.0995
7555.56 58.5216
7579.34 61.1899
7603.13 64.2970
7615.02 66.1772
7626.92 68.5112
7638.81 71.7954
7644.76 74.1622
7650.70 77.4691
7656.65 82.4975
7662.60 90.9540
7668.54 106.909
7671.52 120.387
7674.49 139.966
7679.25 187.300
7684.00 246.853
7684.56 255.875
7686.28 291.748
7688.00 319.894
7691.44 241.805
7693.51 194.838
7696.77 152.363
7700.03 129.403
7703.29 115.706
7706.56 106.971
7713.08 97.1024
7719.60 92.1972
7726.12 89.6297
7732.65 88.3074
7745.69 87.5692
7758.74 88.0994
7771.78 89.2609
7797.87 92.5607
7850.05 101.112
7902.23 111.268
7954.41 122.761
8006.59 135.544
8032.68 142.437
8045.73 146.034
8058.77 149.774
8071.82 153.765
8078.34 155.954
8084.86 158.422
8091.38 161.520
8094.64 163.588
8097.91 166.398
8101.17 170.741
8102.80 174.044
8104.43 178.752
8106.06 185.915
8107.69 197.626
8109.32 218.335
8110.95 256.654
8112.48 313.931
8114.00 353.298
8115.53 317.171
8117.05 261.434
8118.72 223.227
8120.39 203.062
8122.05 192.067
8123.72 185.707
8125.39 181.838
8127.06 179.403
8130.39 176.843
8133.73 175.854
8137.06 175.633
8143.74 176.278
8150.41 177.586
8157.08 179.191
8170.42 182.799
8197.10 190.575
8223.79 198.533
8330.53 228.419
8544.00 253.871
8568.53 252.331
8593.06 249.797
8605.32 248.302
8611.45 247.639
8617.58 247.254
8623.72 247.659
8629.85 250.428
8632.91 254.135
8635.98 261.526
8639.05 276.775
8642.11 308.979
8645.06 366.460
8648.00 422.021
8650.95 407.389
8653.89 359.499
8656.39 327.753
8658.88 306.398
8661.38 292.076
8663.87 282.139
8668.86 269.561
8673.85 261.994
8678.84 256.879
8683.83 253.097
8693.81 247.605
8713.77 240.011
8733.73 233.938
8773.65 222.879
8813.57 212.080
8893.40 190.711
8933.32 180.421
8943.30 177.957
8948.29 176.763
8953.28 175.620
8958.27 174.578
8960.77 174.137
8963.26 173.812
8965.76 173.737
8967.00 173.904
8968.25 174.359
8969.50 175.425
8970.12 176.426
8970.75 178.041
8971.37 180.820
8971.99 186.044
8972.30 190.498
8972.62 197.227
8972.93 207.725
8973.24 224.080
8973.62 252.424
8974.00 267.905
8974.38 244.168
8974.76 213.732
8975.16 194.449
8975.57 184.369
8975.97 178.862
8976.37 175.628
8976.77 173.595
8977.17 172.241
8977.98 170.598
8978.78 169.655
8979.59 169.037
8981.19 168.233
8982.80 167.671
8984.41 167.203
8987.62 166.376
8994.06 164.835
9000.49 163.324
9013.35 160.326
9026.21 157.363
9077.66 145.982
9180.56 125.943
9232.01 117.511
9283.46 110.694
9309.19 108.489
9322.05 108.030
9334.91 108.366
9347.77 110.140
9360.64 114.808
9367.07 119.216
9373.50 126.071
9379.93 136.790
9386.36 153.294
9395.18 185.625
9404.00 203.509
9412.82 174.859
9421.64 138.356
9427.34 122.394
9433.04 111.478
9444.44 98.5344
9455.84 91.4523
9467.24 86.9581
9490.03 81.1627
9512.83 77.0281
9535.63 73.4944
9558.43 70.3430
9569.82 69.1794
9581.22 69.2672
9586.92 70.8005
9592.62 75.2229
9595.47 79.7792
9598.32 87.3939
9601.17 100.314
9604.02 122.203
9608.01 174.531
