Pb-207(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
149181 0.00937840
149200 0.00470809
149218 0.00289779
149254 0.00150466
149290 0.000988627
149362 0.000604448
149434 0.000464123
149579 0.000358879
149723 0.000319210
150300 0.000275123
151455 0.000262948
152610 0.000273049
153187 0.000298245
153476 0.000360668
153621 0.000567051
153657 0.000766359
153693 0.00129891
153711 0.00198953
153729 0.00372792
153738 0.00581119
153747 0.0105346
153751 0.0154992
153756 0.0249798
153758 0.0334489
153760 0.0459842
153763 0.0672598
153765 0.101241
153770 0.230644
153771 0.230851
153773 0.204861
153775 0.130924
153777 0.0905419
153779 0.0640259
153781 0.0468378
153783 0.0359236
153786 0.0225515
153790 0.0153837
153798 0.00846697
153805 0.00539031
153820 0.00280476
153835 0.00179089
153864 0.00100537
153894 0.000715455
154013 0.000429663
154250 0.000380991
154487 0.000413038
154724 0.000490675
154961 0.000657086
155080 0.000815891
155199 0.00108974
155317 0.00162229
155377 0.00210010
155436 0.00287535
155495 0.00425151
155554 0.00702692
155584 0.00958844
155614 0.0137788
155643 0.0211533
155673 0.0346893
155730 0.0768191
155744 0.0758183
155759 0.0666316
155787 0.0423935
155816 0.0256060
155845 0.0163614
155874 0.0111682
155903 0.00807287
155932 0.00609860
155962 0.00477795
156020 0.00319075
156078 0.00231416
156136 0.00178568
156252 0.00121840
156368 0.000964077
156485 0.000914927
156601 0.00144101
156659 0.00377208
156688 0.0121591
156696 0.0198976
156703 0.0384918
156706 0.0604942
156710 0.106404
156714 0.230011
156715 0.382503
156717 0.723342
156720 1.64642
156721 1.64380
156721 1.44859
156723 0.931847
156724 0.630530
156725 0.432162
156727 0.234974
156729 0.141582
156731 0.0954723
156736 0.0508777
156740 0.0318450
156748 0.0158349
156757 0.00955308
156791 0.00292554
156859 0.00110157
156995 0.000599202
157267 0.000448956
157539 0.000429733
157811 0.000462331
158083 0.000571464
158355 0.000906800
158491 0.00136672
158559 0.00181382
158627 0.00260301
158695 0.00419412
158729 0.00567698
158763 0.00818260
158797 0.0129098
158814 0.0170170
158831 0.0234584
158848 0.0343408
158865 0.0546573
158873 0.0719142
158882 0.0980136
158890 0.139054
158899 0.205127
158920 0.467405
158925 0.468211
158931 0.415910
158941 0.266119
158951 0.171239
158960 0.114684
158969 0.0802822
158978 0.0589475
158997 0.0351487
159015 0.0231901
159034 0.0164185
159052 0.0122369
159089 0.00758293
159126 0.00518282
159163 0.00379148
159237 0.00232763
159311 0.00161228
159385 0.00121112
159533 0.000799892
159829 0.000495020
160124 0.000384575
160716 0.000302939
161307 0.000273167
163673 0.000244524
166039 0.000248945
167222 0.000278270
167518 0.000304837
167814 0.000370175
167962 0.000446744
168109 0.000615870
168183 0.000789118
168257 0.00110919
168331 0.00178192
168368 0.00240934
168405 0.00340006
168500 0.00735057
168524 0.00733441
168548 0.00653181
168595 0.00427332
168633 0.00293576
168672 0.00209389
168710 0.00156830
168748 0.00123016
168825 0.000844179
168901 0.000645771
169054 0.000461108
169207 0.000382477
169513 0.000321770
169820 0.000305198
170126 0.000310407
170432 0.000346930
170585 0.000396126
170738 0.000510812
170815 0.000632988
170891 0.000868087
170929 0.00107447
170968 0.00139564
171006 0.00192356
171044 0.00281763
171130 0.00619519
171152 0.00624599
171173 0.00559911
171216 0.00367541
171246 0.00264830
171276 0.00196239
171337 0.00120944
171397 0.000851543
171458 0.000660126
171578 0.000476009
171699 0.000394539
171941 0.000327115
172182 0.000301339
173149 0.000280633
175082 0.000308169
177014 0.000428917
177498 0.000518128
177981 0.000717377
178222 0.000945770
178343 0.00114862
178464 0.00148284
178585 0.00210478
178645 0.00264534
178706 0.00350096
178766 0.00497656
178826 0.00784372
178857 0.0103947
178887 0.0144476
178917 0.0212667
178947 0.0331873
179010 0.0750342
179026 0.0755193
179042 0.0675716
179073 0.0442273
179101 0.0293544
179130 0.0211134
179158 0.0174048
179186 0.0176545
179230 0.0261578
179252 0.0241926
179274 0.0169118
179300 0.0107217
179326 0.00750511
179353 0.00572607
179379 0.00463930
179431 0.00341164
179484 0.00275453
179588 0.00210509
179693 0.00182897
179903 0.00171992
180113 0.00193921
180322 0.00250539
180532 0.00377722
180637 0.00508395
180742 0.00772491
180794 0.0104057
180846 0.0158307
180873 0.0211776
180899 0.0310797
180912 0.0395966
180925 0.0527799
180938 0.0742861
180951 0.110564
180980 0.232656
180987 0.229657
180995 0.203571
181009 0.135557
181025 0.0868335
181040 0.0619855
181056 0.0496602
181071 0.0441003
181102 0.0449491
181133 0.0606055
181180 0.112628
181204 0.105236
181227 0.0786724
181257 0.0590610
181287 0.0547377
181317 0.0599458
181346 0.0739981
181376 0.101107
181406 0.153660
181421 0.199111
181436 0.268571
181451 0.381794
181466 0.577759
181485 1.02053
181490 1.14251
181502 1.40516
181514 1.59393
181520 1.61507
181537 1.28742
181555 0.808060
181571 0.511620
181588 0.339795
181604 0.238154
181620 0.175163
181653 0.104995
181686 0.0697462
181719 0.0496305
181751 0.0371909
181817 0.0232346
181882 0.0160937
181948 0.0121788
182013 0.0107607
182046 0.0123188
182063 0.0153395
182071 0.0183476
182079 0.0232007
182100 0.0460168
182105 0.0472906
182111 0.0434876
182121 0.0301207
182129 0.0221364
182137 0.0170102
182153 0.0115054
182170 0.00889888
182186 0.00745566
182218 0.00589504
182250 0.00503811
182378 0.00339614
182507 0.00258326
182636 0.00206812
182893 0.00145307
183150 0.00110837
183664 0.000753740
184178 0.000586432
184692 0.000500796
185207 0.000469787
185464 0.000484126
185721 0.000554609
185849 0.000649706
185978 0.000867330
186042 0.00109113
186107 0.00150238
186171 0.00235493
186203 0.00313838
186235 0.00437507
186320 0.0100760
186341 0.0103798
186363 0.00944886
186405 0.00621965
186446 0.00391154
186488 0.00261022
186529 0.00187417
186571 0.00143431
186653 0.000966126
186736 0.000739660
186902 0.000536340
187067 0.000449792
187398 0.000376807
187729 0.000345701
189053 0.000304427
191700 0.000289348
194348 0.000295414
195672 0.000306756
196334 0.000328484
196665 0.000395090
196830 0.000623206
196913 0.00134312
196954 0.00321811
196975 0.00680351
196985 0.0114341
196996 0.0220567
197010 0.0543288
197014 0.0567034
197017 0.0517993
197024 0.0336577
197034 0.0169940
197044 0.00963722
197063 0.00422730
197101 0.00162356
197178 0.000694792
197332 0.000418451
197641 0.000346783
198257 0.000340702
198873 0.000383274
199027 0.000422677
199181 0.000523072
199258 0.000646986
199335 0.000943085
199374 0.00127578
199412 0.00196917
199431 0.00263512
199451 0.00377274
199470 0.00592703
199489 0.0103600
199520 0.0251132
199528 0.0261744
199536 0.0239730
199551 0.0156381
199565 0.00989358
199579 0.00655201
199593 0.00459380
199607 0.00340818
199635 0.00212547
199663 0.00150022
199719 0.000938930
199776 0.000705070
199888 0.000519327
200000 0.000450591
200489 0.000407874
200733 0.000502889
200855 0.000850893
200916 0.00191840
200947 0.00451793
200962 0.00906684
200970 0.0143807
200977 0.0251384
200990 0.0601154
200993 0.0619207
200996 0.0562357
201003 0.0364504
201009 0.0218522
