16-S_n-g
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
8.814260e+04 3.11712928e-03
8.848630e+04 3.24119329e-03
8.955530e+04 3.62707389e-03
9.000000e+04 3.82615097e-03
9.096790e+04 4.25945210e-03
9.238060e+04 5.04764137e-03
9.250000e+04 5.13089738e-03
9.375000e+04 6.00251015e-03
9.379330e+04 6.03270349e-03
9.500000e+04 7.09469886e-03
9.520600e+04 7.27599638e-03
9.632370e+04 8.63984653e-03
9.687500e+04 1.01659240e-02
9.688250e+04 1.01866852e-02
9.702220e+04 1.12107873e-02
9.716190e+04 1.34869828e-02
9.723180e+04 1.59898434e-02
9.730160e+04 2.12045597e-02
9.733650e+04 2.62254752e-02
9.737150e+04 3.48853465e-02
9.740640e+04 5.11504027e-02
9.744130e+04 8.34727495e-02
9.747070e+04 1.28063806e-01
9.750000e+04 1.57793901e-01
9.752940e+04 1.27998260e-01
9.755870e+04 8.35159805e-02
9.757780e+04 6.32418533e-02
9.759690e+04 4.93327875e-02
9.763500e+04 3.31771746e-02
9.767320e+04 2.49641849e-02
9.771130e+04 2.03678261e-02
9.778760e+04 1.57816344e-02
9.786390e+04 1.37077994e-02
9.816900e+04 1.14355227e-02
9.877940e+04 1.12989463e-02
1.000000e+05 1.23095215e-02
1.022810e+05 1.31847314e-02
1.027100e+05 1.33493570e-02
1.045620e+05 1.22673215e-02
1.045850e+05 1.22538857e-02
1.064600e+05 1.02465803e-02
1.067950e+05 9.94612088e-03
1.068430e+05 9.90307009e-03
1.091250e+05 7.85677814e-03
1.101930e+05 6.89938548e-03
1.102100e+05 6.88414613e-03
1.102650e+05 6.92648926e-03
1.110560e+05 7.53573953e-03
1.112670e+05 8.33220576e-03
1.114060e+05 9.40583539e-03
1.114780e+05 9.96200693e-03
1.116900e+05 1.35931502e-02
1.117950e+05 1.70343041e-02
1.119010e+05 2.24219994e-02
1.120410e+05 3.29195851e-02
1.121800e+05 3.98535479e-02
1.123200e+05 3.26160570e-02
1.124590e+05 2.19841373e-02
1.125460e+05 1.76630031e-02
1.125870e+05 1.56266611e-02
1.127140e+05 1.18708589e-02
1.129700e+05 8.14137119e-03
1.132250e+05 6.46036418e-03
1.134800e+05 5.54520514e-03
1.135900e+05 5.38212923e-03
1.136870e+05 5.23832661e-03
1.142570e+05 4.39442890e-03
1.145020e+05 4.03231205e-03
1.148270e+05 3.85730579e-03
1.153980e+05 3.55237621e-03
1.159680e+05 3.25305250e-03
1.165380e+05 2.96534461e-03
1.165440e+05 2.96252040e-03
1.168230e+05 2.91016815e-03
1.169880e+05 2.88721615e-03
1.171090e+05 2.87038620e-03
1.173940e+05 2.85992979e-03
1.175360e+05 2.87650510e-03
1.176790e+05 2.92005126e-03
1.178210e+05 3.01212644e-03
1.179640e+05 3.19529992e-03
1.181070e+05 3.56503305e-03
1.182490e+05 4.31553987e-03
1.183750e+05 5.40837004e-03
1.185000e+05 6.12331128e-03
1.186260e+05 5.33089092e-03
1.186860e+05 4.77645251e-03
1.187510e+05 4.17581221e-03
1.188380e+05 3.61463025e-03
1.189250e+05 3.23239117e-03
1.190130e+05 2.96923691e-03
1.191000e+05 2.78223262e-03
1.192740e+05 2.53718786e-03
1.194490e+05 2.38152681e-03
1.196230e+05 2.26977156e-03
1.197970e+05 2.18149481e-03
1.201460e+05 2.04033908e-03
1.203850e+05 1.95941561e-03
1.204950e+05 1.92217378e-03
1.206290e+05 1.88091700e-03
1.208440e+05 1.84095628e-03
1.211920e+05 1.78185538e-03
1.212340e+05 1.77511512e-03
1.215410e+05 1.72585859e-03
1.220840e+05 1.64282288e-03
1.222380e+05 1.61928365e-03
1.229330e+05 1.51669164e-03
1.229360e+05 1.51624921e-03
1.236330e+05 1.41526536e-03
1.237830e+05 1.39374997e-03
1.243310e+05 1.31532049e-03
1.246320e+05 1.27258280e-03
1.247140e+05 1.26098382e-03
1.250570e+05 1.23163533e-03
1.254810e+05 1.19569149e-03
1.257260e+05 1.17533192e-03
1.259060e+05 1.16051133e-03
1.261180e+05 1.14360587e-03
1.263310e+05 1.12732779e-03
1.265430e+05 1.11245046e-03
1.267550e+05 1.10021422e-03
1.268620e+05 1.09587497e-03
1.269680e+05 1.09375707e-03
1.270740e+05 1.09493178e-03
1.271210e+05 1.09756705e-03
1.271800e+05 1.10089704e-03
1.272600e+05 1.10915161e-03
1.273400e+05 1.11953069e-03
1.275000e+05 1.12722059e-03
1.275800e+05 1.11395220e-03
1.276600e+05 1.09185843e-03
1.278200e+05 1.04584409e-03
1.280010e+05 1.00772933e-03
1.281820e+05 9.80463504e-04
1.283620e+05 9.58638287e-04
1.285160e+05 9.42247392e-04
1.285430e+05 9.39379102e-04
1.287240e+05 9.21550692e-04
1.287990e+05 9.14492526e-04
1.289050e+05 9.07713714e-04
1.292660e+05 8.85884022e-04
1.296280e+05 8.64848342e-04
1.299100e+05 8.48779206e-04
1.299890e+05 8.44289953e-04
1.307130e+05 8.03720631e-04
1.314360e+05 7.63547673e-04
1.321590e+05 7.23523638e-04
1.327000e+05 6.93630947e-04
1.328820e+05 6.83593517e-04
1.328830e+05 6.83538424e-04
1.336050e+05 6.56524556e-04
1.350510e+05 6.02488277e-04
1.354900e+05 5.86096669e-04
1.364980e+05 5.48523268e-04
1.369680e+05 5.31010994e-04
1.379440e+05 5.05466595e-04
1.393900e+05 4.67632973e-04
1.410530e+05 4.24132293e-04
1.410700e+05 4.23804659e-04
1.422830e+05 4.00468587e-04
1.430960e+05 3.84831272e-04
1.441170e+05 3.77166429e-04
1.446270e+05 4.12406844e-04
1.447550e+05 4.55766824e-04
1.448830e+05 5.82742513e-04
1.449470e+05 7.61307052e-04
1.450100e+05 1.26641626e-03
1.450420e+05 1.96297048e-03
1.450740e+05 3.90387565e-03
1.450900e+05 6.54612469e-03
1.451060e+05 1.36739271e-02
1.451140e+05 2.30777373e-02
1.451220e+05 4.74513788e-02
1.451260e+05 7.75562452e-02
1.451300e+05 1.48635821e-01
1.451340e+05 3.84256431e-01
1.451360e+05 7.62894987e-01
1.451370e+05 1.16489392e+00
1.451380e+05 1.80611205e+00
1.451390e+05 2.92988963e+00
1.451400e+05 3.61460803e+00
1.451410e+05 2.92984213e+00
1.451420e+05 1.80606455e+00
1.451440e+05 7.93778375e-01
1.451460e+05 4.20886337e-01
1.451480e+05 2.49586089e-01
1.451490e+05 1.67256672e-01
1.451530e+05 8.82540429e-02
1.451570e+05 5.49483581e-02
1.451640e+05 2.67706512e-02
1.451710e+05 1.59580928e-02
1.451750e+05 1.37304228e-02
1.451860e+05 7.60433031e-03
1.452010e+05 4.52115905e-03
1.452300e+05 2.24237660e-03
1.452600e+05 1.42317593e-03
1.453180e+05 8.27466369e-04
1.453770e+05 6.15611756e-04
1.454950e+05 4.61817010e-04
1.456120e+05 4.06434179e-04
1.460830e+05 3.47242651e-04
1.466490e+05 3.30994388e-04
1.470240e+05 3.20234382e-04
1.480680e+05 3.04329118e-04
1.489050e+05 2.91578402e-04
1.509600e+05 2.68186128e-04
1.522290e+05 2.53742057e-04
1.526680e+05 2.48749010e-04
1.564320e+05 2.17424816e-04
1.567450e+05 2.16619162e-04
1.583130e+05 2.12584082e-04
1.592540e+05 2.42981380e-04
1.594890e+05 2.79394767e-04
1.597240e+05 3.85404788e-04
1.598420e+05 5.33534693e-04
1.599010e+05 6.81411408e-04
1.599600e+05 9.50887482e-04
1.600180e+05 1.52303102e-03
1.600480e+05 2.08730882e-03
1.600770e+05 3.10305275e-03
1.601070e+05 5.21947987e-03
1.601360e+05 1.08643879e-02
1.601510e+05 1.80969847e-02
1.601650e+05 3.61273197e-02
1.601730e+05 5.75377370e-02
1.601800e+05 1.04065642e-01
1.601870e+05 2.36182397e-01
1.601910e+05 4.11659773e-01
1.601930e+05 5.63229575e-01
1.601950e+05 7.88188391e-01
1.601960e+05 1.02431345e+00
1.601970e+05 1.27490313e+00
1.602000e+05 1.58513350e+00
1.602010e+05 1.48064355e+00
1.602030e+05 1.25558023e+00
1.602050e+05 7.88138991e-01
