17-Cl_n-g
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
4.997160e-01 7.41723402e+00
5.000000e-01 7.41514171e+00
5.122140e-01 7.32532125e+00
5.270810e-01 7.22038595e+00
5.352970e-01 7.16386294e+00
5.471580e-01 7.08491998e+00
5.590180e-01 7.00848468e+00
5.708780e-01 6.93442825e+00
5.827390e-01 6.86262188e+00
5.945990e-01 6.79296711e+00
6.064600e-01 6.72535026e+00
6.183200e-01 6.65967288e+00
6.301800e-01 6.59585163e+00
6.470670e-01 6.50819248e+00
6.657620e-01 6.41463059e+00
6.819600e-01 6.33699885e+00
7.013430e-01 6.24727364e+00
7.216950e-01 6.15724375e+00
7.369240e-01 6.09209133e+00
7.500000e-01 6.03839671e+00
7.606450e-01 5.99475913e+00
7.843660e-01 5.90192769e+00
8.096000e-01 5.80776238e+00
8.318070e-01 5.72822732e+00
8.555280e-01 5.64680533e+00
8.793700e-01 5.56828370e+00
9.029700e-01 5.49359803e+00
9.295210e-01 5.41311652e+00
9.504110e-01 5.35190626e+00
9.741320e-01 5.28493928e+00
9.978530e-01 5.22035116e+00
1.000000e+00 5.21472838e+00
1.024430e+00 5.15085123e+00
1.054160e+00 5.07620447e+00
1.069020e+00 5.03980161e+00
1.116460e+00 4.92906028e+00
1.163900e+00 4.82509189e+00
1.211340e+00 4.72722976e+00
1.258780e+00 4.63489054e+00
1.330900e+00 4.50453516e+00
1.393490e+00 4.40049663e+00
1.448550e+00 4.31155777e+00
1.500000e+00 4.23612819e+00
1.543430e+00 4.17256403e+00
1.654660e+00 4.02575882e+00
1.758740e+00 3.90055620e+00
1.891570e+00 3.75565694e+00
2.000000e+00 3.65197938e+00
2.112730e+00 3.54434087e+00
2.324590e+00 3.37209399e+00
2.506720e+00 3.24051584e+00
2.727840e+00 3.09946817e+00
2.750000e+00 3.08657776e+00
2.886780e+00 3.00712162e+00
3.135390e+00 2.87833636e+00
3.379490e+00 2.76494483e+00
3.500000e+00 2.71559413e+00
3.718080e+00 2.62640769e+00
3.974540e+00 2.53481415e+00
4.216650e+00 2.45278034e+00
4.649180e+00 2.32565060e+00
5.000000e+00 2.23404727e+00
5.013450e+00 2.23054101e+00
5.455680e+00 2.12850682e+00
5.773560e+00 2.06169361e+00
6.270780e+00 1.96815977e+00
6.758980e+00 1.88571457e+00
7.304210e+00 1.80330622e+00
7.500000e+00 1.77658532e+00
7.694470e+00 1.75008766e+00
8.433300e+00 1.65853935e+00
9.134090e+00 1.58161762e+00
1.000000e+01 1.49861273e+00
1.002690e+01 1.49603772e+00
1.065220e+01 1.44159595e+00
1.154710e+01 1.37223752e+00
1.217040e+01 1.32772828e+00
1.323720e+01 1.25966973e+00
1.434090e+01 1.19639961e+00
1.500000e+01 1.16264235e+00
1.538890e+01 1.14275448e+00
1.672470e+01 1.08129397e+00
1.824290e+01 1.01969858e+00
2.000000e+01 9.57525718e-01
2.005380e+01 9.55624350e-01
2.129440e+01 9.15750926e-01
2.309420e+01 8.64290277e-01
2.431540e+01 8.32100353e-01
2.647450e+01 7.81370703e-01
2.750000e+01 7.59525286e-01
2.813990e+01 7.45910105e-01
2.974470e+01 7.14526893e-01
3.179630e+01 6.78006531e-01
3.373320e+01 6.46504055e-01
3.500000e+01 6.27685863e-01
3.620770e+01 6.09766861e-01
3.871700e+01 5.76593421e-01
4.141230e+01 5.44036157e-01
4.364540e+01 5.19652694e-01
4.543630e+01 5.01504464e-01
4.857050e+01 4.71850998e-01
5.000000e+01 4.59681309e-01
5.186100e+01 4.43863331e-01
5.534960e+01 4.17199109e-01
5.948930e+01 3.88996778e-01
6.232680e+01 3.71176202e-01
6.581540e+01 3.51179617e-01
6.930060e+01 3.32961180e-01
7.276080e+01 3.16266720e-01
7.500000e+01 3.06318369e-01
7.702040e+01 2.97356449e-01
8.137790e+01 2.79891382e-01
8.573540e+01 2.63975608e-01
9.087250e+01 2.47031815e-01
9.506980e+01 2.34319361e-01
9.880790e+01 2.23777768e-01
1.000000e+02 2.20697945e-01
1.036290e+02 2.11337903e-01
1.081440e+02 2.00596816e-01
1.125590e+02 1.90862456e-01
1.168670e+02 1.82047743e-01
1.210600e+02 1.74039846e-01
1.240190e+02 1.68655764e-01
1.280650e+02 1.61745803e-01
1.349330e+02 1.51013285e-01
1.386010e+02 1.45624709e-01
1.455220e+02 1.36329022e-01
1.500000e+02 1.30822069e-01
1.518890e+02 1.28503826e-01
1.591900e+02 1.20331178e-01
1.656490e+02 1.13766320e-01
1.707070e+02 1.08956075e-01
1.783660e+02 1.02279086e-01
1.851280e+02 9.68381154e-02
1.903150e+02 9.29683196e-02
1.953990e+02 8.93958936e-02
2.000000e+02 8.63933555e-02
2.032320e+02 8.42886918e-02
2.117960e+02 7.92141517e-02
2.173940e+02 7.61270333e-02
2.251190e+02 7.21882588e-02
2.337350e+02 6.81598392e-02
2.421200e+02 6.45631252e-02
2.500750e+02 6.14357933e-02
2.586870e+02 5.83420344e-02
2.699950e+02 5.46966246e-02
2.750000e+02 5.32659180e-02
2.795400e+02 5.19719046e-02
2.878400e+02 4.98582440e-02
2.982150e+02 4.75517663e-02
3.065150e+02 4.59943357e-02
3.148150e+02 4.47294902e-02
3.210400e+02 4.40101248e-02
3.272650e+02 4.35354642e-02
3.329720e+02 4.33741288e-02
3.381590e+02 4.35262734e-02
3.428280e+02 4.39879552e-02
3.459400e+02 4.45195897e-02
3.491640e+02 4.53147685e-02
3.500000e+02 4.55987890e-02
3.521650e+02 4.63355852e-02
3.542400e+02 4.72412121e-02
3.567330e+02 4.86039399e-02
3.583900e+02 4.96933197e-02
3.604650e+02 5.13360157e-02
3.625400e+02 5.33450870e-02
3.635780e+02 5.45151577e-02
3.646150e+02 5.58140972e-02
3.656530e+02 5.72586464e-02
3.666900e+02 5.88685807e-02
3.677280e+02 6.06668534e-02
3.687650e+02 6.26808158e-02
3.698030e+02 6.49429669e-02
3.708400e+02 6.74920222e-02
3.718780e+02 7.03747993e-02
3.729150e+02 7.36479686e-02
3.739530e+02 7.73810002e-02
3.749900e+02 8.16588986e-02
3.755090e+02 8.40342186e-02
3.760280e+02 8.65883321e-02
3.765470e+02 8.93371488e-02
3.770650e+02 9.23018826e-02
3.775840e+02 9.55045017e-02
3.781030e+02 9.89707656e-02
3.786220e+02 1.02727948e-01
3.791400e+02 1.06810899e-01
3.796590e+02 1.11255982e-01
3.802790e+02 1.17145709e-01
3.806970e+02 1.21414371e-01
3.812150e+02 1.27234499e-01
3.817340e+02 1.33636463e-01
3.822530e+02 1.40697539e-01
3.827720e+02 1.48510154e-01
3.832900e+02 1.57184919e-01
3.838090e+02 1.66850624e-01
3.843280e+02 1.77663335e-01
3.848470e+02 1.89808665e-01
3.851060e+02 1.96450287e-01
3.853650e+02 2.03513893e-01
3.856250e+02 2.11035089e-01
3.858840e+02 2.19055544e-01
3.861440e+02 2.27618439e-01
3.864030e+02 2.36773779e-01
3.866620e+02 2.46578382e-01
3.869220e+02 2.57092855e-01
3.871810e+02 2.68388415e-01
3.874400e+02 2.80543850e-01
3.877000e+02 2.93647800e-01
3.879590e+02 3.07800269e-01
3.882190e+02 3.23117926e-01
3.884780e+02 3.39728808e-01
3.887370e+02 3.57784432e-01
3.889970e+02 3.77455259e-01
3.892560e+02 3.98939781e-01
3.895150e+02 4.22465277e-01
3.897750e+02 4.48299938e-01
3.900340e+02 4.76753622e-01
3.902940e+02 5.08191492e-01
3.905530e+02 5.43043866e-01
3.907600e+02 5.73724946e-01
3.909160e+02 5.98565738e-01
3.910720e+02 6.25136888e-01
3.911750e+02 6.43891932e-01
3.913830e+02 6.84144529e-01
3.915900e+02 7.28460136e-01
3.917980e+02 7.77403921e-01
3.920050e+02 8.31640300e-01
3.922130e+02 8.91952630e-01
3.923170e+02 9.24673271e-01
3.924200e+02 9.59287913e-01
3.925240e+02 9.95925346e-01
3.926280e+02 1.03476740e+00
3.927320e+02 1.07597316e+00
3.928350e+02 1.11975476e+00
3.929390e+02 1.16632433e+00
3.930430e+02 1.21591672e+00
3.931470e+02 1.26880467e+00
3.932500e+02 1.32527608e+00
3.933540e+02 1.38567185e+00
3.934580e+02 1.45036321e+00
3.935620e+02 1.51975169e+00
3.936650e+02 1.59431458e+00
3.937690e+02 1.67456704e+00
3.938730e+02 1.76109244e+00
3.939770e+02 1.85458017e+00
3.940800e+02 1.95577270e+00
3.941840e+02 2.06553369e+00
3.942880e+02 2.18486316e+00
3.943920e+02 2.31488995e+00
3.944950e+02 2.45691712e+00
3.945990e+02 2.61245987e+00
3.947030e+02 2.78326069e+00
3.948070e+02 2.97137266e+00
3.949100e+02 3.17918224e+00
3.950140e+02 3.40950011e+00
3.951180e+02 3.66565215e+00
3.951700e+02 3.80462624e+00
3.952220e+02 3.95160059e+00
3.952740e+02 4.10719642e+00
3.953250e+02 4.27207286e+00
3.953770e+02 4.44699507e+00
3.954290e+02 4.63275854e+00
3.955120e+02 4.95484453e+00
3.955950e+02 5.31124979e+00
3.956780e+02 5.70691388e+00
3.957400e+02 6.03290910e+00
3.958030e+02 6.38712492e+00
3.958650e+02 6.77281902e+00
3.959270e+02 7.19372636e+00
3.959890e+02 7.65417285e+00
3.960520e+02 8.15903743e+00
3.961140e+02 8.71405513e+00
