Eu-153(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
22.6031 581.987
22.6031 581.295
22.6033 579.912
22.6035 577.046
22.6040 571.480
22.6050 560.447
22.6070 539.200
22.6109 499.805
22.6188 432.070
22.6347 330.701
22.6663 211.264
22.6980 148.080
22.7296 111.234
22.7613 88.0638
22.7929 72.6309
22.8562 54.1646
22.9195 44.2043
22.9828 38.5626
23.1094 34.3103
23.2360 37.2217
23.2993 42.4787
23.3626 52.7162
23.4259 73.4091
23.4576 91.8571
23.4892 121.055
23.5209 170.480
23.5525 261.986
23.5683 338.518
23.5842 451.757
23.6000 623.665
23.6158 884.932
23.6379 1417.22
23.6600 1781.03
23.6821 1438.53
23.7042 911.343
23.7233 606.623
23.7423 420.938
23.7614 306.348
23.7805 232.640
23.8186 148.427
23.8568 104.612
23.8949 79.0995
23.9330 62.9786
24.0093 44.4770
24.0856 34.6030
24.1618 28.6670
24.3144 22.0847
24.4669 18.6189
24.6195 16.5158
24.9246 14.1221
25.2296 12.8509
25.5347 12.2643
25.6873 12.3455
25.8398 13.1705
25.9161 14.4219
25.9542 15.5946
25.9924 17.5184
26.0305 20.9163
26.0686 27.5731
26.0877 33.4558
26.1068 42.6386
26.1258 57.5479
26.1449 82.0253
26.1675 125.768
26.1900 155.704
26.2126 127.608
26.2351 84.2812
26.2535 60.2647
26.2719 45.2222
26.2904 35.7214
26.3088 29.4998
26.3456 22.2589
26.3825 18.4182
26.4193 16.1501
26.4561 14.6984
26.5298 13.0042
26.6772 11.5038
26.8245 10.8434
27.1192 10.2682
27.4140 10.1221
27.7087 10.4121
27.8560 10.8844
28.0034 11.8669
28.1507 14.0812
28.2244 16.2843
28.2981 20.1879
28.3718 27.9757
28.4086 35.0819
28.4455 46.7452
28.4823 67.6776
28.5007 84.8768
28.5191 110.293
28.5376 149.695
28.5560 214.282
28.5744 326.429
28.5836 412.401
28.5928 526.586
28.6021 674.173
28.6114 843.763
28.6300 1060.87
28.6486 857.722
28.6672 544.048
28.6894 313.193
28.7117 196.484
28.7339 134.145
28.7562 97.9694
28.7784 75.3660
28.8006 60.3923
28.8451 42.4877
28.8896 32.6212
28.9341 26.6220
29.0230 20.0105
29.0230 20.0095
29.0231 20.0065
29.0231 20.0039
29.0232 19.9989
29.0234 19.9888
29.0238 19.9680
29.0246 19.9273
29.0263 19.8466
29.0295 19.6876
29.0360 19.3807
29.0490 18.8085
29.0750 17.8094
29.1270 16.2614
29.2310 14.3207
29.3350 13.2909
29.4390 12.8736
29.5430 13.1095
29.6469 14.6456
29.6989 16.6923
29.7509 21.2033
29.7769 25.6239
29.8029 33.2670
29.8289 47.5449
29.8549 75.5479
29.8775 115.363
29.9000 142.651
29.9226 117.164
29.9451 77.7950
29.9641 55.4361
29.9831 41.6544
30.0021 33.0689
30.0211 27.5128
30.0591 21.1454
30.0970 17.8500
30.1730 14.8298
30.2490 13.6759
30.4009 13.3789
30.5528 14.6758
30.7047 18.2435
30.7807 21.7977
30.8567 27.9152
30.9326 39.4881
30.9706 49.4551
31.0086 64.8545
31.0466 90.1915
31.0845 135.337
31.1225 223.764
31.1415 299.567
31.1605 409.589
31.1754 524.273
31.1903 656.111
31.2200 825.394
31.2498 667.845
31.2795 424.237
31.3147 246.441
31.3498 155.891
31.3850 107.230
31.4201 78.8751
31.4553 61.1104
31.4904 49.3191
31.5607 35.1861
31.6310 27.3883
31.7013 22.6536
31.8420 17.5071
31.9826 15.1236
32.1232 14.4570
32.1935 15.0311
32.2638 17.1579
32.2990 19.6642
32.3341 24.5803
32.3693 35.3451
32.3868 45.5368
32.4044 61.5621
32.4272 92.3406
32.4500 113.306
32.4728 93.3548
32.4956 62.7160
32.5111 48.0496
32.5266 38.0958
32.5577 26.6836
32.5887 20.9275
32.6198 17.6974
32.6818 14.4178
32.7439 12.8707
32.8680 11.5082
32.9922 10.9873
33.2405 10.8964
33.4888 11.7414
33.7370 14.2088
33.8612 16.8239
33.9853 21.6014
34.1095 31.4444
34.1716 40.6910
34.2336 56.3216
34.2957 85.6103
34.3267 110.758
34.3578 149.567
34.3888 213.457
34.4198 327.449
34.4354 419.531
34.4509 551.596
34.4664 744.492
34.4819 1025.12
34.5060 1647.39
34.5300 2072.46
34.5541 1672.39
34.5781 1056.45
34.5936 774.513
34.6091 579.352
34.6402 350.445
34.6712 232.608
34.7023 165.871
34.7333 124.874
34.7643 98.0432
34.8264 66.3478
34.8885 49.0968
34.9506 38.7023
35.0747 27.3743
35.1989 21.7363
35.3230 18.6450
35.5713 16.1061
35.8196 16.7038
35.9438 18.4925
36.0679 22.2318
36.1921 30.2620
36.2541 37.8240
36.3162 50.4828
36.3783 73.7479
36.4093 93.2905
36.4404 122.777
36.4714 169.818
36.5024 250.047
36.5180 312.025
36.5335 397.410
36.5490 516.313
36.5645 680.628
36.5923 1091.89
36.6200 1374.00
36.6478 1111.28
36.6755 705.037
36.6940 513.910
36.7125 383.249
36.7494 232.200
36.7864 155.672
36.8234 112.840
36.8604 86.8317
36.8973 70.0276
36.9713 50.7090
37.0452 40.9463
37.1191 36.0229
37.2670 34.8300
37.2670 34.8306
37.2671 34.8322
37.2671 34.8335
37.2672 34.8365
37.2675 34.8425
37.2679 34.8542
37.2688 34.8782
37.2705 34.9271
37.2740 35.0300
37.2809 35.2551
37.2948 35.7852
37.3225 37.1938
37.3780 41.7383
37.4336 49.6794
37.4891 63.6469
37.5446 89.8811
37.5723 112.089
37.6001 145.712
37.6278 199.532
37.6417 239.063
37.6556 291.669
37.6695 363.163
37.6834 462.046
37.6972 600.399
37.7111 792.582
37.7233 1013.73
37.7356 1268.00
37.7600 1595.38
37.7722 1510.34
37.7845 1293.89
37.8089 826.537
37.8369 494.056
37.8648 322.329
37.8927 230.124
37.9207 177.656
37.9766 128.815
38.0325 117.625
38.0883 134.429
38.1163 157.161
38.1442 196.309
38.1722 264.358
38.2001 388.906
38.2141 490.269
38.2281 635.835
38.2420 848.211
38.2560 1156.61
38.2780 1852.31
38.3000 2332.87
38.3220 1891.98
38.3440 1204.44
38.3657 762.954
38.3873 510.938
38.4090 363.301
38.4306 271.823
38.4739 170.683
38.5172 119.431
38.5605 89.9427
38.6038 71.3787
38.6903 50.0227
38.7769 38.5079
38.8635 31.4939
39.0367 23.5776
39.2099 19.3317
39.3830 16.7346
39.7294 13.8119
40.0757 12.3900
40.4220 12.0885
40.5952 12.7169
40.6818 13.5261
40.7684 15.0819
40.8550 18.3481
40.8983 21.4217
40.9415 26.5991
40.9848 36.2316
41.0065 44.4392
41.0281 57.0038
41.0498 77.4674
41.0714 113.397
41.0931 182.370
41.1039 240.332
41.1147 323.129
41.1235 412.349
41.1324 514.803
41.1500 646.416
41.1677 524.414
41.1853 335.243
41.1997 230.154
41.2142 164.343
41.2286 122.816
41.2430 95.6840
41.2719 64.2125
41.3007 47.6891
41.3296 38.0878
41.3584 32.1015
41.4161 25.5360
41.4738 22.5115
41.5315 21.2895
41.6470 22.2418
41.7624 28.1957
41.8201 34.6725
41.8778 46.1537
41.9355 68.4092
41.9643 87.9366
41.9932 118.611
42.0221 170.212
42.0365 209.923
42.0509 264.998
42.0653 343.718
42.0798 459.414
42.0942 633.759
42.1086 896.210
42.1293 1445.42
42.1500 1826.63
42.1707 1481.20
42.1914 940.983
42.2058 677.397
42.2201 499.870
42.2345 380.403
42.2489 298.197
42.2776 197.606
42.3063 141.773
42.3350 107.935
42.3638 86.0256
42.4212 60.4892
42.4787 46.9594
42.5361 39.2158
42.6510 32.4038
42.7659 32.9901
42.8234 36.5036
42.8808 43.8382
