60-Nd_n-g
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
5.197780e+01 4.04945056e-01
5.263710e+01 4.98793392e-01
5.296670e+01 5.83548361e-01
5.311710e+01 6.44505126e-01
5.329630e+01 7.19308646e-01
5.362600e+01 9.46839876e-01
5.395560e+01 1.35998098e+00
5.412040e+01 1.70496200e+00
5.428520e+01 2.22597905e+00
5.445000e+01 3.06578447e+00
5.461480e+01 4.54706230e+00
5.469730e+01 5.75315443e+00
5.477970e+01 7.53328860e+00
5.486210e+01 1.03166456e+01
5.494450e+01 1.50191971e+01
5.502690e+01 2.38878863e+01
5.506810e+01 3.15860194e+01
5.510930e+01 4.36330705e+01
5.515050e+01 6.39074326e+01
5.519170e+01 1.01402283e+02
5.521230e+01 1.32841590e+02
5.523290e+01 1.79606502e+02
5.525350e+01 2.51096808e+02
5.527410e+01 3.60643039e+02
5.530210e+01 5.77056188e+02
5.533000e+01 7.21237345e+02
5.535800e+01 5.76611047e+02
5.538590e+01 3.60158149e+02
5.541240e+01 2.26918214e+02
5.543890e+01 1.50114508e+02
5.546540e+01 1.04821619e+02
5.549190e+01 7.66885906e+01
5.551840e+01 5.82677364e+01
5.554490e+01 4.56566802e+01
5.559800e+01 3.00873309e+01
5.565100e+01 2.12645704e+01
5.570400e+01 1.58114514e+01
5.581000e+01 9.72123551e+00
5.591600e+01 6.58505292e+00
5.602210e+01 4.76401397e+00
5.612810e+01 3.61439687e+00
5.623410e+01 2.84268509e+00
5.623420e+01 2.84217300e+00
5.623430e+01 2.84147805e+00
5.623450e+01 2.84039284e+00
5.623480e+01 2.83823470e+00
5.623550e+01 2.83439309e+00
5.623560e+01 2.83384435e+00
5.623700e+01 2.82516375e+00
5.623980e+01 2.80852804e+00
5.623990e+01 2.80793392e+00
5.624550e+01 2.77508656e+00
5.624570e+01 2.77391343e+00
5.625680e+01 2.71113861e+00
5.625740e+01 2.70774542e+00
5.627950e+01 2.58857605e+00
5.628060e+01 2.58264459e+00
5.632480e+01 2.36912048e+00
5.632710e+01 2.35800983e+00
5.641550e+01 2.00928907e+00
5.642000e+01 1.99153863e+00
5.659690e+01 1.50765833e+00
5.660580e+01 1.48331828e+00
5.695960e+01 9.58722435e-01
5.697760e+01 9.32048925e-01
5.719120e+01 7.72761764e-01
5.734930e+01 6.54872530e-01
5.768520e+01 5.10867942e-01
5.772100e+01 4.95570678e-01
5.809270e+01 3.95660132e-01
5.846440e+01 3.28442863e-01
5.913620e+01 2.53595529e-01
5.920790e+01 2.45743494e-01
5.995130e+01 1.99029693e-01
6.069480e+01 1.69174873e-01
6.078680e+01 1.66948739e-01
6.203830e+01 1.36795895e-01
6.218170e+01 1.33622214e-01
6.250000e+01 1.29665823e-01
6.366850e+01 1.15317362e-01
6.438240e+01 1.09622945e-01
6.515540e+01 1.03657563e-01
6.784260e+01 9.05086962e-02
6.797800e+01 8.99545114e-02
6.812920e+01 8.94087082e-02
6.812930e+01 8.94085332e-02
6.812940e+01 8.94081535e-02
6.812950e+01 8.94078982e-02
6.812970e+01 8.94074689e-02
6.812980e+01 8.94072127e-02
6.813010e+01 8.94064443e-02
6.813040e+01 8.94056896e-02
6.813100e+01 8.94042413e-02
6.813160e+01 8.94027799e-02
6.813270e+01 8.93999502e-02
6.813390e+01 8.93969447e-02
6.813630e+01 8.93910390e-02
6.813860e+01 8.93852764e-02
6.814330e+01 8.93733986e-02
6.814790e+01 8.93618125e-02
6.815740e+01 8.93380504e-02
6.816660e+01 8.93150812e-02
6.818550e+01 8.92680386e-02
6.820390e+01 8.92224147e-02
6.824180e+01 8.91296925e-02
6.827870e+01 8.90399875e-02
6.835440e+01 8.88598287e-02
6.842810e+01 8.86867637e-02
6.857960e+01 8.83465302e-02
6.872700e+01 8.80245886e-02
6.875000e+01 8.79785485e-02
6.902990e+01 8.74237372e-02
6.932470e+01 8.68742509e-02
6.977580e+01 8.61703850e-02
6.993060e+01 8.60528363e-02
7.052020e+01 8.57354594e-02
7.157360e+01 8.56225088e-02
7.173200e+01 8.57989245e-02
7.244390e+01 8.69104479e-02
7.247250e+01 8.69566635e-02
7.291110e+01 8.83640955e-02
7.337140e+01 9.00678418e-02
7.427030e+01 9.60656786e-02
7.500000e+01 1.05491163e-01
7.516920e+01 1.07692132e-01
7.533480e+01 1.11419851e-01
7.561870e+01 1.18087868e-01
7.606810e+01 1.34207008e-01
7.651760e+01 1.60666597e-01
7.696700e+01 2.08758046e-01
7.719170e+01 2.49176804e-01
7.741650e+01 3.10769091e-01
7.764120e+01 4.11443974e-01
7.769300e+01 4.46607960e-01
7.775350e+01 4.87699432e-01
7.780970e+01 5.35894048e-01
7.786590e+01 5.93011363e-01
7.789400e+01 6.25633609e-01
7.792210e+01 6.61414827e-01
7.795020e+01 7.00783504e-01
7.797830e+01 7.44251006e-01
7.800640e+01 7.92392411e-01
7.803450e+01 8.45906830e-01
7.806250e+01 9.05634270e-01
7.809060e+01 9.72555853e-01
7.811870e+01 1.04789497e+00
7.814680e+01 1.13310622e+00
7.820300e+01 1.34082974e+00
7.825920e+01 1.61617543e+00
7.831540e+01 1.99197337e+00
7.837150e+01 2.52378598e+00
7.842770e+01 3.31101697e+00
7.848390e+01 4.54723572e+00
7.851200e+01 5.44807389e+00
7.854010e+01 6.64933288e+00
7.856820e+01 8.29992920e+00
7.859630e+01 1.06525693e+01
7.862440e+01 1.41632546e+01
7.865240e+01 1.97185041e+01
7.868050e+01 2.92127988e+01
7.869460e+01 3.66633671e+01
7.870860e+01 4.72023755e+01
7.872270e+01 6.26720968e+01
7.873670e+01 8.62293598e+01
7.875080e+01 1.23400138e+02
7.876480e+01 1.82384901e+02
7.878240e+01 2.91736176e+02
7.880000e+01 3.64593805e+02
7.881760e+01 2.91643732e+02
7.883520e+01 1.82282329e+02
7.885590e+01 1.03610252e+02
7.887650e+01 6.36763090e+01
7.889720e+01 4.23009146e+01
7.891790e+01 2.98926465e+01
7.893760e+01 2.25292384e+01
7.893860e+01 2.21554635e+01
7.895920e+01 1.70420226e+01
7.900060e+01 1.09536590e+01
7.904190e+01 7.62131864e+00
7.908320e+01 5.60860293e+00
7.916590e+01 3.40903243e+00
7.924860e+01 2.29890959e+00
7.933130e+01 1.66264937e+00
7.941390e+01 1.26464513e+00
7.949660e+01 9.99432966e-01
7.966200e+01 6.79176369e-01
7.982730e+01 5.00724222e-01
7.999270e+01 3.91342920e-01
8.015800e+01 3.19578647e-01
8.048870e+01 2.34454978e-01
8.073900e+01 1.99323681e-01
8.081940e+01 1.88312529e-01
8.115010e+01 1.61572911e-01
8.125000e+01 1.56512558e-01
8.148080e+01 1.44824022e-01
8.163970e+01 1.40465368e-01
8.214220e+01 1.29713882e-01
8.254040e+01 1.27264260e-01
8.254050e+01 1.27263872e-01
8.254060e+01 1.27264352e-01
8.254070e+01 1.27264213e-01
8.254080e+01 1.27264074e-01
8.254100e+01 1.27263754e-01
8.254120e+01 1.27263434e-01
8.254150e+01 1.27263048e-01
8.254200e+01 1.27262459e-01
8.254260e+01 1.27262404e-01
8.254350e+01 1.27262274e-01
8.254470e+01 1.27261364e-01
8.254660e+01 1.27259923e-01
8.254890e+01 1.27259061e-01
8.255270e+01 1.27257631e-01
8.255750e+01 1.27255868e-01
8.256500e+01 1.27253173e-01
8.257450e+01 1.27252833e-01
8.258960e+01 1.27252236e-01
8.260860e+01 1.27264579e-01
8.263870e+01 1.27284296e-01
8.267680e+01 1.27362066e-01
8.273700e+01 1.27485163e-01
8.280360e+01 1.27840798e-01
8.281320e+01 1.27961598e-01
8.293350e+01 1.29476554e-01
8.308600e+01 1.32799146e-01
8.332660e+01 1.38045619e-01
8.346500e+01 1.43956305e-01
8.363160e+01 1.51717110e-01
8.366590e+01 1.53316154e-01
8.371970e+01 1.55827576e-01
8.411280e+01 1.91254627e-01
8.412640e+01 1.93369703e-01
8.430930e+01 2.22356159e-01
8.437500e+01 2.38276933e-01
8.450590e+01 2.69997956e-01
8.470240e+01 3.47864324e-01
8.472290e+01 3.62440334e-01
8.489890e+01 4.87593058e-01
8.499720e+01 6.03168543e-01
8.509550e+01 7.76260129e-01
8.519380e+01 1.05225458e+00
8.529200e+01 1.53175716e+00
8.534120e+01 1.91640334e+00
8.539030e+01 2.47581661e+00
8.543940e+01 3.33368666e+00
8.544920e+01 3.61442819e+00
8.548860e+01 4.74319997e+00
8.551310e+01 5.81340151e+00
8.553770e+01 7.29099647e+00
8.556230e+01 9.40602458e+00
8.558680e+01 1.25680110e+01
8.561140e+01 1.75610086e+01
8.563600e+01 2.59703906e+01
8.564830e+01 3.23999276e+01
8.566050e+01 4.11713251e+01
8.567280e+01 5.32605028e+01
8.568510e+01 6.97939823e+01
8.570760e+01 1.11624573e+02
