42-Mo_n-g
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
1.175880e+02 5.64624684e-01
1.176440e+02 8.18618646e-01
1.177000e+02 1.30201382e+00
1.177500e+02 1.99723793e+00
1.178000e+02 2.46053435e+00
1.178500e+02 1.99910740e+00
1.179000e+02 1.30519678e+00
1.179510e+02 8.54414300e-01
1.180020e+02 6.05119793e-01
1.180530e+02 4.62575797e-01
1.181030e+02 3.76457078e-01
1.181540e+02 3.21234250e-01
1.182050e+02 2.84260845e-01
1.182350e+02 2.71227697e-01
1.183070e+02 2.39953235e-01
1.184080e+02 2.15999569e-01
1.185100e+02 2.02134918e-01
1.187130e+02 1.88581580e-01
1.189170e+02 1.83693558e-01
1.190080e+02 1.83205385e-01
1.191200e+02 1.83394073e-01
1.195270e+02 1.89081300e-01
1.199330e+02 1.97571704e-01
1.201160e+02 2.01933688e-01
1.202820e+02 2.07035384e-01
1.203400e+02 2.08819211e-01
1.203730e+02 2.09894159e-01
1.206700e+02 2.19603701e-01
1.209470e+02 2.29840472e-01
1.211530e+02 2.38122826e-01
1.211540e+02 2.38163841e-01
1.211550e+02 2.38204984e-01
1.211560e+02 2.38245033e-01
1.211590e+02 2.38367525e-01
1.211660e+02 2.38654650e-01
1.211780e+02 2.39144667e-01
1.212030e+02 2.40167474e-01
1.212240e+02 2.41027404e-01
1.212530e+02 2.42319640e-01
1.213530e+02 2.46783134e-01
1.215010e+02 2.53409173e-01
1.215540e+02 2.55995074e-01
1.217780e+02 2.66968803e-01
1.219540e+02 2.76383283e-01
1.220550e+02 2.81812961e-01
1.223320e+02 2.98102869e-01
1.225100e+02 3.09583048e-01
1.226090e+02 3.15994214e-01
1.227550e+02 3.26388326e-01
1.228860e+02 3.35749152e-01
1.231630e+02 3.57566392e-01
1.234400e+02 3.81692427e-01
1.235790e+02 3.95891102e-01
1.239940e+02 4.38442426e-01
1.241130e+02 4.53695039e-01
1.243570e+02 4.85117772e-01
1.245480e+02 5.09751343e-01
1.246480e+02 5.26148298e-01
1.250000e+02 5.84384848e-01
1.251020e+02 6.01260684e-01
1.251820e+02 6.18421847e-01
1.254490e+02 6.76396354e-01
1.256560e+02 7.22189027e-01
1.257160e+02 7.39721781e-01
1.259760e+02 8.18140115e-01
1.259840e+02 8.20553054e-01
1.261170e+02 8.62822991e-01
1.262100e+02 8.94522323e-01
1.262510e+02 9.12872122e-01
1.263840e+02 9.79072092e-01
1.264510e+02 1.01741145e+00
1.265180e+02 1.06226806e+00
1.265850e+02 1.11898259e+00
1.266520e+02 1.19917815e+00
