47-Ag_n-tot
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
7.795940e+01 5.96985640e+00
7.818900e+01 5.94838032e+00
7.830370e+01 5.96956985e+00
7.836110e+01 6.01418714e+00
7.838000e+01 6.05108558e+00
7.841850e+01 6.12636936e+00
7.850000e+01 6.36292101e+00
7.858150e+01 6.10067401e+00
7.865260e+01 5.95099241e+00
7.872360e+01 5.88805492e+00
7.886580e+01 5.83269462e+00
7.915000e+01 5.78024185e+00
7.943430e+01 5.75413664e+00
7.957640e+01 5.76957433e+00
7.964740e+01 5.81189752e+00
7.971850e+01 5.93945954e+00
7.980000e+01 6.17510095e+00
7.988150e+01 5.91994806e+00
7.992120e+01 5.82273183e+00
7.996080e+01 5.76547130e+00
8.004010e+01 5.70670008e+00
8.019860e+01 5.65791842e+00
8.051580e+01 5.61101300e+00
8.092930e+01 5.56947866e+00
8.115000e+01 5.54814537e+00
8.178430e+01 5.50831642e+00
8.210140e+01 5.52558272e+00
8.218070e+01 5.55172080e+00
8.220390e+01 5.56882848e+00
8.225990e+01 5.61059958e+00
8.233920e+01 5.75924556e+00
8.237890e+01 5.91966833e+00
8.241850e+01 6.20359527e+00
8.245930e+01 6.65714886e+00
8.250000e+01 6.95897132e+00
8.252250e+01 6.79023019e+00
8.254080e+01 6.65331246e+00
8.258150e+01 6.19586283e+00
8.262100e+01 5.90892637e+00
8.266040e+01 5.74463023e+00
8.273930e+01 5.58774803e+00
8.281820e+01 5.52049345e+00
8.284120e+01 5.51034439e+00
8.289720e+01 5.48803395e+00
8.300050e+01 5.47565262e+00
8.315990e+01 5.47254917e+00
8.321280e+01 5.48293652e+00
8.323950e+01 5.49145824e+00
8.331920e+01 5.55022174e+00
8.335900e+01 5.60855580e+00
8.339880e+01 5.70926307e+00
8.343870e+01 5.89505321e+00
8.347850e+01 6.25144598e+00
8.351430e+01 6.76706599e+00
8.355000e+01 7.11022851e+00
8.358580e+01 6.76280175e+00
8.362150e+01 6.24247167e+00
8.365350e+01 5.93482378e+00
8.368550e+01 5.75085855e+00
8.371750e+01 5.63870070e+00
8.374950e+01 5.56689434e+00
8.381340e+01 5.48435879e+00
8.384410e+01 5.46313371e+00
8.387740e+01 5.44159516e+00
8.394140e+01 5.41725479e+00
8.400540e+01 5.40154043e+00
8.413330e+01 5.38258020e+00
8.438930e+01 5.36355782e+00
8.447540e+01 5.35986492e+00
8.464520e+01 5.36294252e+00
8.510670e+01 5.37825332e+00
8.542230e+01 5.41820069e+00
8.566880e+01 5.48053663e+00
8.573790e+01 5.49836633e+00
8.605360e+01 5.65642292e+00
8.636920e+01 5.97932603e+00
8.652710e+01 6.26743755e+00
8.668490e+01 6.72002957e+00
8.684270e+01 7.47449956e+00
8.700050e+01 8.84215059e+00
8.715830e+01 1.16500948e+01
8.723730e+01 1.42789928e+01
8.731620e+01 1.86989994e+01
8.739510e+01 2.68940578e+01
8.743450e+01 3.38412498e+01
8.747400e+01 4.44123634e+01
8.751340e+01 6.14567017e+01
8.753320e+01 7.40592624e+01
8.755290e+01 9.09259991e+01
8.757260e+01 1.13990093e+02
8.759240e+01 1.46118568e+02
8.761210e+01 1.91435934e+02
8.763180e+01 2.54937930e+02
8.764890e+01 3.26934591e+02
8.766590e+01 4.09960604e+02
8.770000e+01 5.17647757e+02
8.771610e+01 4.92150336e+02
8.771710e+01 4.90566647e+02
8.773410e+01 4.20370873e+02
8.776820e+01 2.67954485e+02
8.779670e+01 1.81539428e+02
8.782520e+01 1.27907081e+02
8.785380e+01 9.43044117e+01
8.788230e+01 7.24371343e+01
8.793930e+01 4.71582117e+01
8.799640e+01 3.38555323e+01
8.805340e+01 2.60562594e+01
8.811040e+01 2.11067692e+01
8.822450e+01 1.54126285e+01
8.833860e+01 1.23773602e+01
8.845260e+01 1.05626371e+01
8.856670e+01 9.38662424e+00
8.868080e+01 8.57774271e+00
8.890890e+01 7.56064453e+00
8.913710e+01 6.96306628e+00
8.936520e+01 6.57794637e+00
8.959340e+01 6.31267903e+00
9.004960e+01 5.97638427e+00
9.050590e+01 5.77849851e+00
9.096220e+01 5.67440630e+00
9.107630e+01 5.67496188e+00
9.119040e+01 5.71156114e+00
9.124740e+01 5.76253124e+00
9.130440e+01 5.86570786e+00
9.136150e+01 6.08804353e+00
9.139000e+01 6.29067918e+00
9.141850e+01 6.59706326e+00
9.145930e+01 7.23180890e+00
9.150000e+01 7.65291323e+00
9.154080e+01 7.21791637e+00
9.158150e+01 6.56869064e+00
9.161440e+01 6.21343775e+00
9.164730e+01 5.98895643e+00
9.171300e+01 5.74949504e+00
9.177880e+01 5.63427368e+00
9.181080e+01 5.60257418e+00
9.184460e+01 5.56912654e+00
9.197610e+01 5.49765087e+00
9.210770e+01 5.45671810e+00
9.263380e+01 5.36809651e+00
9.368610e+01 5.26690356e+00
9.579080e+01 5.13861257e+00
9.590540e+01 5.13364069e+00
9.789540e+01 5.04928042e+00
1.000000e+02 4.97604665e+00
1.005640e+02 4.96253129e+00
1.007050e+02 4.96132969e+00
