Mn-55(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
17827.8 0.792257
17832.1 0.510577
17836.4 0.357391
17840.7 0.266244
17845.0 0.208486
17853.7 0.142991
17862.3 0.109724
17871.0 0.0917069
17888.3 0.0775867
17905.5 0.0795119
17922.8 0.0943649
17940.1 0.126467
17957.4 0.186906
17993.4 0.369946
18002.4 0.355968
18011.4 0.308613
18029.4 0.198475
18041.8 0.144042
18054.2 0.107324
18066.6 0.0826984
18079.0 0.0658374
18103.8 0.0453070
18128.6 0.0339778
18153.4 0.0271346
18178.2 0.0227095
18227.8 0.0175409
18277.4 0.0147664
18326.9 0.0131191
18426.1 0.0113794
18624.5 0.0102374
18723.6 0.0103133
18773.2 0.0112414
18798.0 0.0149904
18810.4 0.0294860
18813.5 0.0439897
18816.6 0.0835523
18818.2 0.135730
18819.7 0.271636
18820.5 0.442158
18821.3 0.843395
18821.7 1.29591
18822.0 2.19304
18822.2 3.07486
18822.4 4.46782
18822.6 6.90518
18822.8 11.6018
18823.0 18.3907
18823.2 23.2245
18823.4 18.3913
18823.6 11.6024
18823.7 7.63110
18823.9 5.32450
18824.0 3.86751
18824.2 2.91340
18824.5 1.77920
18824.8 1.20570
18825.4 0.650304
18826.0 0.409501
18827.2 0.206504
18828.4 0.126359
18830.8 0.0643114
18833.3 0.0413660
18838.1 0.0242879
18843.0 0.0181405
18862.3 0.0120701
18901.1 0.0105486
18978.7 0.0102609
19056.2 0.0103453
19095.0 0.0104480
19114.4 0.0105945
19124.0 0.0110142
19128.9 0.0125356
19131.3 0.0179926
19132.5 0.0358348
19133.1 0.0852238
19133.4 0.183298
19133.7 0.636971
19133.9 1.26370
19134.1 0.636984
19134.5 0.157280
19134.9 0.0692190
19135.6 0.0298320
19137.0 0.0160595
19139.9 0.0120098
19145.6 0.0109240
19157.0 0.0106691
19179.9 0.0106632
19225.6 0.0107936
19317.1 0.0111444
19500.0 0.0121138
19750.0 0.0141937
19875.0 0.0157627
20000.0 0.0178852
20118.3 0.0206935
20177.4 0.0228423
20207.0 0.0255962
20221.8 0.0330841
20229.2 0.0595243
20232.9 0.151958
20233.8 0.236656
20234.7 0.439487
20235.2 0.668699
20235.6 1.14737
20236.1 2.38214
20236.3 3.81066
20236.6 6.64850
20236.8 10.6835
20237.0 13.2909
20237.2 10.6864
20237.4 6.65081
20237.6 3.81193
20237.8 2.38288
20238.3 1.13243
20238.8 0.655479
20239.2 0.429213
20240.2 0.230488
20241.1 0.149255
20244.9 0.0593022
20252.3 0.0339690
20267.3 0.0277286
20297.3 0.0271972
20357.2 0.0295233
20477.0 0.0364368
20656.2 0.0507504
20745.8 0.0586109
20790.6 0.0627228
20813.0 0.0673437
20824.2 0.0803501
20829.8 0.126044
20832.6 0.278647
20833.3 0.410762
20834.0 0.712518
20834.7 1.64381
20835.0 2.99830
20835.2 4.26708
20835.3 6.39564
20835.6 10.2286
20835.8 12.7379
20836.0 10.2281
20836.2 6.39528
20836.5 3.31186
20836.8 1.92121
20837.4 0.881278
20838.0 0.515359
20838.6 0.348611
20840.9 0.148877
20845.7 0.0876750
20855.2 0.0710078
20874.1 0.0671029
20912.0 0.0664691
21020.5 0.0628731
21129.0 0.0545575
21346.0 0.0365711
21485.0 0.0283867
21623.9 0.0227340
21762.9 0.0188665
21832.4 0.0174139
21867.1 0.0168026
21884.5 0.0166033
21893.2 0.0168410
21897.5 0.0182161
21899.7 0.0233724
21900.8 0.0403072
21901.3 0.0850731
21901.8 0.526935
21902.0 1.03790
21902.2 0.526934
21902.7 0.111566
21903.1 0.0515811
21903.9 0.0271220
21905.7 0.0192043
21909.1 0.0168862
21915.9 0.0161756
21929.6 0.0158115
21957.0 0.0153769
