In-115(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
181.247 4.89100
182.347 4.78494
182.898 4.74065
183.448 4.70543
183.998 4.69099
184.549 4.73251
184.824 4.80376
185.099 4.94889
185.374 5.24305
185.649 5.87061
185.787 6.44765
185.925 7.37303
186.062 8.94678
186.200 11.8520
186.337 17.9295
186.406 23.6880
186.475 33.4484
186.544 51.6819
186.578 67.2116
186.613 90.9205
186.647 129.237
186.681 195.632
186.699 247.628
186.716 320.072
186.733 422.253
186.750 564.562
186.780 918.552
186.810 1169.56
186.840 954.069
186.870 608.953
186.901 378.382
186.932 249.694
186.963 175.635
186.994 130.429
187.024 100.979
187.055 80.8942
187.117 56.1486
187.179 42.0320
187.241 33.2395
187.364 23.2524
187.487 17.9653
187.611 14.8073
187.734 12.7560
187.858 11.3404
188.105 9.54586
188.352 8.48057
188.599 7.78712
188.846 7.30538
189.339 6.68877
189.833 6.32097
190.327 6.10400
190.574 6.08609
190.698 6.18666
190.759 6.34915
190.821 6.72934
190.866 7.21040
190.910 7.52856
190.955 7.19309
190.999 6.69464
191.034 6.42867
191.069 6.25871
191.138 6.07563
191.277 5.94656
191.416 5.92240
191.555 5.95976
191.694 6.08685
191.764 6.21523
191.833 6.42904
191.903 6.80537
191.972 7.52817
192.007 8.15169
192.042 9.09633
192.076 10.5806
192.111 12.9093
192.156 17.3026
192.200 20.2243
192.245 17.2890
192.289 12.8802
192.322 10.6199
192.355 9.14887
192.389 8.18846
192.422 7.54468
192.488 6.77344
192.554 6.35304
192.621 6.09971
192.687 5.93474
192.820 5.73745
192.952 5.62522
193.085 5.55290
193.350 5.46406
193.615 5.41323
193.881 5.39368
194.013 5.40596
194.146 5.45975
194.212 5.52547
194.278 5.65530
194.345 5.93715
194.378 6.20018
194.411 6.60593
194.456 7.40361
194.500 7.93363
194.545 7.39374
194.589 6.58579
194.621 6.18033
194.654 5.91327
194.718 5.61512
194.782 5.46727
194.847 5.38382
194.976 5.29548
195.104 5.24873
195.362 5.19529
195.620 5.16018
196.650 5.06129
197.681 4.98555
197.938 4.97425
198.196 4.97777
198.325 4.99638
