Cd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
827.519 0.0556777
828.972 0.0407059
830.424 0.0337492
833.328 0.0262125
836.233 0.0216756
842.042 0.0160425
847.851 0.0126360
859.469 0.00894100
871.087 0.00743284
882.705 0.00753722
888.514 0.00843128
894.323 0.0104262
900.132 0.0148413
903.036 0.0190751
905.941 0.0263135
908.845 0.0401919
910.298 0.0525583
911.750 0.0727578
913.202 0.110008
913.928 0.142621
914.654 0.195973
915.380 0.296836
915.744 0.388660
916.107 0.545628
916.470 0.859954
916.651 1.15878
916.833 1.68415
917.014 2.75529
917.105 3.77414
917.196 5.54031
917.287 9.02814
917.332 12.2104
917.377 17.4525
917.423 27.0215
917.445 35.0354
917.468 47.1302
917.491 66.4599
917.513 99.5959
917.536 161.051
917.559 280.169
917.578 448.755
917.598 560.475
917.618 447.857
917.637 280.193
917.651 199.346
917.664 145.488
917.678 109.100
917.692 84.3307
917.719 54.0395
917.746 37.3280
917.773 27.2627
917.800 20.7737
917.854 13.2340
917.908 9.20763
917.963 6.81718
918.071 4.25485
918.179 2.99284
918.288 2.29153
918.504 1.61087
918.721 1.34769
918.938 1.27813
919.371 1.49728
919.588 1.79469
919.805 2.28728
920.022 3.11561
920.130 3.74379
920.238 4.60434
920.292 5.15885
920.347 5.82513
920.401 6.63477
920.455 7.63138
920.509 8.87644
920.563 10.4589
920.618 12.5112
920.672 15.2313
920.726 18.9552
920.780 24.2261
920.834 32.0179
920.888 44.1590
920.943 64.5444
920.970 80.2327
920.997 102.045
921.024 133.308
921.051 179.548
921.078 249.723
921.105 355.857
921.143 569.415
921.180 711.287
921.218 568.977
921.255 355.501
921.294 216.058
921.332 139.328
921.370 95.4886
921.409 68.9852
921.447 51.9005
921.486 40.3845
921.563 26.3385
921.640 18.4837
921.716 13.6698
921.870 8.33589
922.024 5.60878
922.178 4.03176
922.332 3.03887
922.485 2.37361
922.793 1.56517
923.101 1.11106
923.408 0.830586
923.716 0.645162
924.331 0.422663
924.946 0.299089
925.561 0.223277
926.177 0.173365
927.407 0.113684
928.637 0.0806305
929.868 0.0603857
931.098 0.0470719
933.559 0.0311706
936.020 0.0223744
938.481 0.0169901
940.941 0.0134494
945.863 0.00921578
950.784 0.00686576
960.628 0.00446201
970.471 0.00330565
980.314 0.00265660
1000.00 0.00199804
1029.38 0.00166114
1058.76 0.00177964
1073.45 0.00214359
1080.79 0.00253012
1088.14 0.00324338
1095.48 0.00476655
1099.15 0.00627869
1102.83 0.00903211
1104.66 0.0113557
1106.50 0.0149120
1108.34 0.0207712
1110.17 0.0314774
1111.09 0.0405261
1112.01 0.0543958
1112.93 0.0772513
1113.84 0.118965
1114.30 0.154144
1114.76 0.207918
1115.22 0.296150
1115.68 0.456080
1115.91 0.590337
1116.14 0.793168
1116.37 1.12409
1116.60 1.71232
1116.71 2.19939
1116.83 2.92807
1116.94 4.08872
1117.00 4.93737
1117.06 6.07950
1117.11 7.70022
1117.14 8.76375
1117.17 10.0129
1117.20 11.6086
1117.23 13.6148
1117.26 16.1838
1117.29 19.4118
1117.32 23.8722
1117.34 30.0304
1117.37 38.8432
1117.40 51.4604
1117.43 71.8781
1117.46 104.543
1117.47 130.996
1117.49 164.448
1117.50 209.666
1117.52 270.313
1117.54 437.926
1117.57 545.647
1117.58 512.176
1117.60 432.218
1117.63 270.852
1117.64 195.700
1117.66 144.367
1117.70 85.0483
1117.73 54.9883
1117.77 38.1538
1117.81 27.9096
1117.84 21.2556
1117.91 13.5419
1117.98 9.31453
1118.06 6.81872
1118.20 4.08800
1118.34 2.71957
1118.48 1.93846
1118.63 1.45122
1118.77 1.12708
1119.06 0.735280
1119.34 0.518084
1119.63 0.384867
1119.92 0.297335
1120.49 0.193004
1121.06 0.135799
1121.63 0.101063
1122.20 0.0784333
1123.35 0.0518055
1124.49 0.0375100
1125.64 0.0291774
1126.78 0.0241897
1129.07 0.0203335
1130.22 0.0212060
1131.36 0.0250643
1132.51 0.0355442
1133.65 0.0675820
1134.22 0.112691
1134.51 0.157510
1134.80 0.238700
1135.08 0.409257
1135.23 0.575450
1135.37 0.870488
1135.44 1.11436
1135.51 1.47164
1135.58 2.04363
1135.65 3.00906
1135.73 4.89487
1135.76 6.57463
1135.80 9.18019
1135.83 13.8251
1135.87 22.9041
1135.89 30.9605
1135.91 43.6255
1135.92 64.3892
1135.94 96.4089
1135.96 155.129
1135.98 191.563
1136.00 152.165
1136.02 96.4126
1136.04 70.6372
1136.05 52.6949
1136.07 31.5222
1136.10 20.5721
1136.13 14.3612
1136.15 10.5499
1136.18 8.05974
1136.23 5.12780
1136.28 3.54088
1136.33 2.58918
1136.44 1.56241
1136.54 1.04078
1136.65 0.743105
