16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
7.695020e+04 1.01272744e-01
7.704350e+04 1.03256381e-01
7.713670e+04 1.05907113e-01
7.723000e+04 1.09909149e-01
7.732320e+04 1.16753717e-01
7.736980e+04 1.22186914e-01
7.741650e+04 1.29889341e-01
7.746310e+04 1.40992280e-01
7.750970e+04 1.57062741e-01
7.754740e+04 1.75519140e-01
7.755730e+04 1.80419447e-01
7.760490e+04 2.11488770e-01
7.770000e+04 2.73693378e-01
7.774760e+04 2.83677342e-01
7.779520e+04 2.76057046e-01
7.789030e+04 2.40955923e-01
7.798490e+04 2.11656404e-01
7.807950e+04 1.93143714e-01
7.817410e+04 1.81876374e-01
7.825380e+04 1.76066548e-01
7.826870e+04 1.75126804e-01
7.836330e+04 1.71835441e-01
7.845800e+04 1.70252876e-01
7.864720e+04 1.70130921e-01
7.883640e+04 1.72318746e-01
7.902560e+04 1.75773224e-01
7.940400e+04 1.84688554e-01
7.966640e+04 1.91828761e-01
7.978250e+04 1.96916675e-01
8.016090e+04 2.14200420e-01
8.053930e+04 2.31886206e-01
8.091770e+04 2.49823117e-01
8.107910e+04 2.57569726e-01
8.125000e+04 2.69555048e-01
8.167460e+04 2.99333863e-01
8.243140e+04 3.52758800e-01
8.249180e+04 3.57038379e-01
8.318830e+04 4.27046718e-01
8.390450e+04 4.99151164e-01
8.394520e+04 5.04877395e-01
8.531720e+04 6.98107846e-01
8.545890e+04 7.25769230e-01
8.672990e+04 9.74024798e-01
8.697260e+04 1.03948767e+00
8.750000e+04 1.18177558e+00
8.814260e+04 1.35514559e+00
8.848630e+04 1.48308528e+00
8.955530e+04 1.88105472e+00
9.000000e+04 2.10962480e+00
9.096790e+04 2.60714422e+00
9.238060e+04 3.60990561e+00
9.250000e+04 3.72677184e+00
9.375000e+04 4.95027624e+00
9.379330e+04 4.99265860e+00
9.500000e+04 6.61553981e+00
9.520600e+04 6.89259128e+00
9.632370e+04 8.92833161e+00
9.687500e+04 1.04190921e+01
9.688250e+04 1.04393727e+01
9.702220e+04 1.10820255e+01
9.716190e+04 1.22095556e+01
9.723180e+04 1.32903555e+01
9.730160e+04 1.53845150e+01
9.733650e+04 1.73257301e+01
9.737150e+04 2.06054881e+01
9.740640e+04 2.66640765e+01
9.744130e+04 3.85337843e+01
9.747070e+04 5.46815103e+01
9.750000e+04 6.50857566e+01
9.752940e+04 5.38573817e+01
9.755870e+04 3.76339332e+01
9.757780e+04 3.03242891e+01
9.759690e+04 2.53486877e+01
9.763500e+04 1.96389276e+01
9.767320e+04 1.67980574e+01
9.771130e+04 1.52544053e+01
9.778760e+04 1.38081226e+01
9.786390e+04 1.32502753e+01
9.816900e+04 1.31288247e+01
9.877940e+04 1.44511352e+01
1.000000e+05 1.77022331e+01
1.022810e+05 2.27849068e+01
1.027100e+05 2.37408372e+01
1.045620e+05 2.48872855e+01
1.045850e+05 2.49015238e+01
1.064600e+05 2.35695554e+01
1.067950e+05 2.31509563e+01
1.068430e+05 2.30909774e+01
1.091250e+05 2.02395810e+01
1.101930e+05 1.89051674e+01
1.102100e+05 1.88839264e+01
1.102650e+05 1.89167579e+01
1.110560e+05 1.93890017e+01
1.112670e+05 2.03318874e+01
1.114060e+05 2.16718539e+01
1.114780e+05 2.23659488e+01
1.116900e+05 2.70464338e+01
1.117950e+05 3.15552296e+01
1.119010e+05 3.86873418e+01
1.120410e+05 5.27752304e+01
1.121800e+05 6.24442170e+01
1.123200e+05 5.31776185e+01
1.124590e+05 3.90347905e+01
1.125460e+05 3.32048525e+01
1.125870e+05 3.04574241e+01
1.127140e+05 2.53306579e+01
1.129700e+05 2.01489599e+01
1.132250e+05 1.77394418e+01
1.134800e+05 1.63766282e+01
1.135900e+05 1.61098282e+01
1.136870e+05 1.58745551e+01
1.142570e+05 1.44923058e+01
1.145020e+05 1.38983361e+01
1.148270e+05 1.35467460e+01
1.153980e+05 1.29296773e+01
1.159680e+05 1.23149890e+01
1.165380e+05 1.17032973e+01
1.165440e+05 1.16969113e+01
1.168230e+05 1.15275579e+01
1.169880e+05 1.14294861e+01
1.171090e+05 1.13575593e+01
1.173940e+05 1.11957597e+01
1.175360e+05 1.11208423e+01
1.176790e+05 1.10524375e+01
1.178210e+05 1.09973335e+01
1.179640e+05 1.09656409e+01
1.181070e+05 1.09831449e+01
1.182490e+05 1.11019423e+01
1.183750e+05 1.13211466e+01
1.185000e+05 1.14432898e+01
1.186260e+05 1.11667076e+01
1.186860e+05 1.09871812e+01
1.187510e+05 1.07926893e+01
1.188380e+05 1.05958350e+01
1.189250e+05 1.04461081e+01
1.190130e+05 1.03272670e+01
1.191000e+05 1.02291263e+01
1.192740e+05 1.00670170e+01
1.194490e+05 9.92808186e+00
1.196230e+05 9.80138493e+00
1.197970e+05 9.68094761e+00
1.201460e+05 9.44897683e+00
1.203850e+05 9.29433890e+00
1.204950e+05 9.22315614e+00
1.206290e+05 9.13754826e+00
1.208440e+05 9.05105006e+00
1.211920e+05 8.91254916e+00
1.212340e+05 8.89593998e+00
1.215410e+05 8.77450460e+00
1.220840e+05 8.56082890e+00
1.222380e+05 8.50020591e+00
1.229330e+05 8.22761097e+00
1.229360e+05 8.22643363e+00
1.236330e+05 7.95339540e+00
1.237830e+05 7.89469548e+00
1.243310e+05 7.68004191e+00
1.246320e+05 7.56223441e+00
1.247140e+05 7.53010602e+00
1.250570e+05 7.43876953e+00
1.254810e+05 7.32569939e+00
1.257260e+05 7.26027035e+00
1.259060e+05 7.21223880e+00
1.261180e+05 7.15565148e+00
1.263310e+05 7.09889908e+00
1.265430e+05 7.04278121e+00
1.267550e+05 6.98781911e+00
1.268620e+05 6.96114076e+00
1.269680e+05 6.93622226e+00
1.270740e+05 6.91402999e+00
1.271210e+05 6.90633616e+00
1.271800e+05 6.89668417e+00
1.272600e+05 6.88856821e+00
1.273400e+05 6.88560638e+00
1.275000e+05 6.88331490e+00
1.275800e+05 6.87075106e+00
1.276600e+05 6.84716638e+00
1.278200e+05 6.78529178e+00
1.280010e+05 6.71701355e+00
1.281820e+05 6.65592914e+00
1.283620e+05 6.59991756e+00
1.285160e+05 6.55443145e+00
1.285430e+05 6.54645817e+00
1.287240e+05 6.49469295e+00
1.287990e+05 6.47368172e+00
1.289050e+05 6.45196813e+00
1.292660e+05 6.37987602e+00
1.296280e+05 6.30900305e+00
1.299100e+05 6.25438975e+00
1.299890e+05 6.23909388e+00
1.307130e+05 6.10014659e+00
1.314360e+05 5.96223431e+00
1.321590e+05 5.82475542e+00
1.327000e+05 5.72207113e+00
1.328820e+05 5.68753215e+00
1.328830e+05 5.68734259e+00
1.336050e+05 5.58522677e+00
1.350510e+05 5.38099563e+00
1.354900e+05 5.31905898e+00
1.364980e+05 5.17686251e+00
1.369680e+05 5.11060144e+00
1.379440e+05 5.00404289e+00
1.393900e+05 4.84624903e+00
1.410530e+05 4.66485674e+00
1.410700e+05 4.66326607e+00
1.422830e+05 4.54977711e+00
1.430960e+05 4.47374329e+00
1.441170e+05 4.37612012e+00
1.446270e+05 4.31010896e+00
1.447550e+05 4.28335326e+00
1.448830e+05 4.24024815e+00
1.449470e+05 4.20241743e+00
1.450100e+05 4.13286655e+00
1.450420e+05 4.06714969e+00
1.450740e+05 3.94218164e+00
1.450900e+05 3.82314441e+00
1.451060e+05 3.60255272e+00
1.451140e+05 3.39986986e+00
1.451220e+05 3.04497880e+00
1.451260e+05 2.74911164e+00
1.451300e+05 2.30101728e+00
1.451340e+05 1.67951084e+00
1.451360e+05 1.64549116e+00
1.451370e+05 2.19857807e+00
1.451380e+05 3.86165814e+00
1.451390e+05 8.86153865e+00
1.451400e+05 1.60173948e+01
1.451410e+05 1.87414103e+01
1.451420e+05 1.64675971e+01
1.451440e+05 1.21064547e+01
1.451460e+05 9.72367686e+00
1.451480e+05 8.32124638e+00
1.451490e+05 7.50617900e+00
1.451530e+05 6.54643633e+00
1.451570e+05 6.03412232e+00
1.451640e+05 5.47861149e+00
1.451710e+05 5.19584423e+00
1.451750e+05 5.11837712e+00
1.451860e+05 4.90534282e+00
1.452010e+05 4.75812925e+00
1.452300e+05 4.60906099e+00
1.452600e+05 4.53318968e+00
1.453180e+05 4.45497700e+00
1.453770e+05 4.41360498e+00
1.454950e+05 4.36779672e+00
1.456120e+05 4.34049453e+00
1.460830e+05 4.27794904e+00
1.466490e+05 4.22915331e+00
1.470240e+05 4.19682459e+00
1.480680e+05 4.12316649e+00
1.489050e+05 4.06412433e+00
1.509600e+05 3.94098180e+00
1.522290e+05 3.86495424e+00
1.526680e+05 3.83865202e+00
1.564320e+05 3.64281652e+00
1.567450e+05 3.62599812e+00
1.583130e+05 3.54175894e+00
1.592540e+05 3.46646038e+00
1.594890e+05 3.43301059e+00
1.597240e+05 3.37625743e+00
1.598420e+05 3.32495266e+00
1.599010e+05 3.28581509e+00
1.599600e+05 3.22908362e+00
1.600180e+05 3.13819995e+00
1.600480e+05 3.06804863e+00
1.600770e+05 2.96642409e+00
1.601070e+05 2.80565274e+00
1.601360e+05 2.51289870e+00
1.601510e+05 2.25459321e+00
1.601650e+05 1.82691324e+00
1.601730e+05 1.49508850e+00
1.601800e+05 1.05776694e+00
1.601870e+05 6.55596144e-01
1.601910e+05 9.31371600e-01
1.601930e+05 1.57702310e+00
1.601950e+05 3.03682317e+00
