48-Cd_n-tot
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
5.941870e+01 4.26877825e+00
5.976250e+01 4.26075222e+00
5.985780e+01 4.25853980e+00
5.997540e+01 4.25564266e+00
5.998390e+01 4.25543368e+00
6.046530e+01 4.24667445e+00
6.054220e+01 4.24512817e+00
6.090130e+01 4.23801032e+00
6.135990e+01 4.23513762e+00
6.151180e+01 4.23798062e+00
6.181860e+01 4.24349908e+00
6.190290e+01 4.24842209e+00
6.204790e+01 4.25689436e+00
6.227730e+01 4.28286093e+00
6.250000e+01 4.33142823e+00
6.250660e+01 4.33286763e+00
6.255830e+01 4.35570969e+00
6.273600e+01 4.43471344e+00
6.283430e+01 4.51210838e+00
6.285060e+01 4.52494220e+00
6.296530e+01 4.66591797e+00
6.308000e+01 4.89980760e+00
6.308160e+01 4.90570480e+00
6.319460e+01 5.32305705e+00
6.330930e+01 6.18939573e+00
6.336660e+01 7.00063352e+00
6.342400e+01 8.36733896e+00
6.348130e+01 1.09152101e+01
6.351000e+01 1.30893985e+01
6.353860e+01 1.64223587e+01
6.356730e+01 2.18568237e+01
6.358160e+01 2.59180814e+01
6.359600e+01 3.14113710e+01
6.360480e+01 3.60934691e+01
6.361030e+01 3.90198921e+01
6.362460e+01 4.97757286e+01
6.363900e+01 6.52251930e+01
6.365330e+01 8.73124486e+01
6.366500e+01 1.11097084e+02
6.367670e+01 1.38427994e+02
6.370000e+01 1.73553473e+02
6.371170e+01 1.64354501e+02
6.372340e+01 1.41006147e+02
6.374670e+01 9.05380567e+01
6.376400e+01 6.46052204e+01
6.378130e+01 4.76290337e+01
6.379860e+01 3.64900230e+01
6.381590e+01 2.89791039e+01
6.385050e+01 1.99820812e+01
6.388510e+01 1.50899188e+01
6.391970e+01 1.21632020e+01
6.395430e+01 1.02821448e+01
6.402350e+01 8.09504773e+00
6.409270e+01 6.92012207e+00
6.412810e+01 6.55991759e+00
6.416190e+01 6.21786776e+00
6.423120e+01 5.76559765e+00
6.430040e+01 5.45655413e+00
6.443880e+01 5.07306064e+00
6.457720e+01 4.85346942e+00
6.464370e+01 4.78773964e+00
6.465140e+01 4.78013058e+00
6.471560e+01 4.72305798e+00
6.478670e+01 4.68373155e+00
6.485400e+01 4.64637867e+00
6.491300e+01 4.62952238e+00
6.513080e+01 4.59867944e+00
6.517460e+01 4.60058615e+00
6.540770e+01 4.67824771e+00
6.543630e+01 4.69041746e+00
6.568450e+01 4.95751100e+00
6.569320e+01 4.96732291e+00
6.569790e+01 4.97262361e+00
6.582870e+01 5.25518704e+00
6.586400e+01 5.38013323e+00
6.595950e+01 5.71823051e+00
6.596130e+01 5.72928625e+00
6.609030e+01 6.52695884e+00
6.622110e+01 8.05048547e+00
6.628660e+01 9.34981127e+00
6.631930e+01 1.02311397e+01
6.635200e+01 1.13334503e+01
6.636830e+01 1.19909968e+01
6.638470e+01 1.27349798e+01
6.639290e+01 1.31444567e+01
6.640100e+01 1.35811964e+01
6.640920e+01 1.40487368e+01
6.641740e+01 1.45487337e+01
6.643370e+01 1.56611058e+01
6.645010e+01 1.69478620e+01
6.646640e+01 1.84463603e+01
6.648280e+01 2.02042714e+01
6.649910e+01 2.22847626e+01
6.651500e+01 2.46906846e+01
6.651550e+01 2.47663568e+01
6.653180e+01 2.77584670e+01
6.654820e+01 3.14065817e+01
6.656450e+01 3.59148154e+01
6.658090e+01 4.15609889e+01
6.659720e+01 4.87545631e+01
6.661360e+01 5.80984155e+01
6.663000e+01 7.05191391e+01
6.664630e+01 8.74502623e+01
6.666270e+01 1.11272115e+02
6.667900e+01 1.46050594e+02
6.669540e+01 1.99083648e+02
6.671170e+01 2.84046978e+02
6.672810e+01 4.26960453e+02
6.674440e+01 6.72198832e+02
6.676220e+01 1.08413615e+03
6.678000e+01 1.36845239e+03
