34-Se_n-g
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
3.233360e+02 6.80311211e-02
3.249810e+02 7.17027537e-02
3.256290e+02 7.43847569e-02
3.280890e+02 8.50490361e-02
3.296430e+02 9.62464281e-02
3.304030e+02 1.04533369e-01
3.311970e+02 1.13296773e-01
3.327510e+02 1.41019154e-01
3.332980e+02 1.58441745e-01
3.343050e+02 1.90796840e-01
3.350820e+02 2.31978032e-01
3.358580e+02 2.93735982e-01
3.366350e+02 3.92693822e-01
3.370500e+02 4.85391637e-01
3.374120e+02 5.66359051e-01
3.378010e+02 7.07214585e-01
3.381890e+02 9.14363250e-01
3.385780e+02 1.23685475e+00
3.389660e+02 1.77857052e+00
3.391610e+02 2.19921764e+00
3.393550e+02 2.79196615e+00
3.395490e+02 3.66377428e+00
3.397430e+02 5.01638686e+00
3.399370e+02 7.26518109e+00
3.400350e+02 8.98011821e+00
3.401320e+02 1.13452754e+01
3.402290e+02 1.47013407e+01
3.403260e+02 1.96021758e+01
3.404230e+02 2.69235521e+01
3.405200e+02 3.78520872e+01
3.406600e+02 6.05177368e+01
3.408000e+02 7.56129768e+01
3.409400e+02 6.04846423e+01
3.410800e+02 3.78148920e+01
3.411880e+02 2.58770136e+01
3.412970e+02 1.82607680e+01
3.414050e+02 1.33710258e+01
3.415130e+02 1.01318052e+01
3.417300e+02 6.32584856e+00
3.419470e+02 4.29997859e+00
3.421630e+02 3.10725033e+00
3.423800e+02 2.35096659e+00
3.427600e+02 1.59131287e+00
3.428130e+02 1.48538178e+00
3.432470e+02 1.02972281e+00
3.436800e+02 7.61475201e-01
3.441130e+02 5.90650483e-01
3.444060e+02 5.12651313e-01
3.445360e+02 4.78099344e-01
3.445460e+02 4.75442386e-01
3.454130e+02 3.35039258e-01
3.462790e+02 2.56290081e-01
3.471460e+02 2.08063457e-01
3.480130e+02 1.76659456e-01
3.484710e+02 1.67029586e-01
3.497460e+02 1.41145833e-01
3.499600e+02 1.38980574e-01
3.500000e+02 1.38603768e-01
3.514790e+02 1.24674096e-01
3.532120e+02 1.16885642e-01
3.541810e+02 1.15121375e-01
3.549450e+02 1.14892070e-01
3.555140e+02 1.15909735e-01
3.584110e+02 1.26147715e-01
3.586690e+02 1.27442205e-01
