40-Zr_n-g
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
1.954220e+03 6.82456484e+00
1.954390e+03 4.49546387e+00
1.954560e+03 3.12971210e+00
1.954730e+03 2.28852899e+00
1.954900e+03 1.73569988e+00
1.955070e+03 1.35986627e+00
1.955410e+03 8.94965422e-01
1.955750e+03 6.31891057e-01
1.956090e+03 4.69383795e-01
1.956770e+03 2.88014443e-01
1.957450e+03 1.94582963e-01
1.958120e+03 1.40453861e-01
1.958800e+03 1.06299885e-01
1.959480e+03 8.33918272e-02
1.960840e+03 5.55375856e-02
1.962190e+03 3.99364332e-02
1.963550e+03 3.03348876e-02
1.964910e+03 2.40325830e-02
1.967620e+03 1.65707246e-02
1.968750e+03 1.48961680e-02
1.970330e+03 1.25822465e-02
1.973050e+03 1.02976640e-02
1.975760e+03 8.95560835e-03
1.976560e+03 8.80120193e-03
1.981180e+03 8.06340183e-03
1.984380e+03 8.56676095e-03
1.986610e+03 9.14930622e-03
1.989320e+03 1.08996684e-02
1.992040e+03 1.47429773e-02
1.992190e+03 1.52338645e-02
1.993390e+03 1.94617606e-02
1.994070e+03 2.36582404e-02
1.994750e+03 3.07378114e-02
1.995430e+03 4.47354099e-02
1.995770e+03 5.78635830e-02
1.996090e+03 7.98308835e-02
1.996100e+03 8.05207248e-02
1.996440e+03 1.25253972e-01
1.996610e+03 1.66222458e-01
1.996780e+03 2.33670144e-01
1.996950e+03 3.58050354e-01
1.997040e+03 4.63095111e-01
1.997120e+03 6.20671063e-01
1.997210e+03 8.77823115e-01
1.997290e+03 1.32601277e+00
1.997380e+03 2.17795947e+00
1.997420e+03 2.87842071e+00
1.997460e+03 3.86818966e+00
1.997530e+03 6.18765232e+00
1.997600e+03 7.73736688e+00
1.997670e+03 6.18802768e+00
1.997740e+03 3.86890672e+00
1.997810e+03 2.36990044e+00
1.997880e+03 1.53840561e+00
1.997950e+03 1.06260836e+00
1.998020e+03 7.76557004e-01
1.998050e+03 6.96223217e-01
1.998090e+03 5.89131162e-01
1.998160e+03 4.63882233e-01
1.998310e+03 3.09637538e-01
1.998450e+03 2.22753085e-01
1.998590e+03 1.69980798e-01
1.998870e+03 1.11695649e-01
1.999150e+03 8.21443590e-02
1.999440e+03 6.54830922e-02
2.000000e+03 4.87885223e-02
2.000750e+03 4.13859455e-02
2.001490e+03 3.99439828e-02
2.002460e+03 4.28448268e-02
2.002990e+03 4.57325268e-02
2.003690e+03 5.24623831e-02
2.004480e+03 6.32343435e-02
2.004920e+03 7.16147131e-02
2.005540e+03 8.70940566e-02
2.005970e+03 1.01292832e-01
2.006150e+03 1.08524769e-01
2.006720e+03 1.39214214e-01
2.006770e+03 1.42347785e-01
2.007380e+03 1.98673899e-01
2.007470e+03 2.10691671e-01
2.007690e+03 2.43659996e-01
2.008000e+03 3.06302220e-01
2.008210e+03 3.70314055e-01
2.008300e+03 4.00471400e-01
2.008610e+03 5.58209248e-01
2.008920e+03 8.44506926e-01
2.008960e+03 9.10528678e-01
2.009070e+03 1.09982281e+00
2.009230e+03 1.50317488e+00
2.009380e+03 2.20116988e+00
2.009530e+03 3.56333121e+00
2.009610e+03 4.79931174e+00
2.009690e+03 6.78659947e+00
2.009710e+03 7.74954003e+00
2.009760e+03 1.01628476e+01
2.009840e+03 1.59283091e+01
2.009920e+03 2.53389345e+01
2.010000e+03 3.14989145e+01
