As-75(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1121.94 0.112538
1124.87 0.0794404
1127.79 0.0613475
1133.63 0.0433984
1139.47 0.0352873
1145.32 0.0311417
1157.00 0.0278175
1180.38 0.0287951
1203.75 0.0358718
1227.13 0.0529428
1238.82 0.0700192
1250.50 0.100701
1256.35 0.126138
1262.19 0.164394
1268.03 0.225902
1273.88 0.334337
1276.80 0.422792
1279.72 0.553735
1282.64 0.759511
1285.56 1.10996
1287.02 1.38590
1288.49 1.78028
1289.95 2.37105
1291.41 3.31112
1292.87 4.93130
1293.60 6.21412
1294.33 8.04237
1295.06 10.7566
1295.79 14.9458
1296.52 21.6714
1297.25 32.5824
1298.13 52.1088
1299.00 65.0890
1299.88 52.0238
1300.75 32.5007
1301.56 20.7131
1302.37 13.8234
1303.18 9.71496
1303.99 7.14154
1305.60 4.28214
1307.22 2.83790
1308.84 2.01664
1310.46 1.50810
1313.69 0.940634
1316.93 0.650299
1320.16 0.484713
1323.40 0.384107
1326.64 0.321972
1333.11 0.271406
1336.34 0.280343
1339.58 0.325059
1342.81 0.446360
1344.43 0.573372
1346.05 0.804260
1347.67 1.28066
1348.48 1.73145
1349.29 2.50302
1349.69 3.11293
1350.09 3.98395
1350.50 5.29421
1350.90 7.37742
1351.11 8.92042
1351.31 10.9837
1351.51 13.8343
1351.71 17.9055
1351.91 23.9458
1352.12 33.2876
1352.32 48.2958
1352.52 72.6335
1352.76 115.547
1353.00 143.889
1353.24 115.502
1353.48 72.5865
1353.65 50.9785
1353.83 36.7778
1354.00 27.3814
1354.17 21.0081
1354.52 13.3233
1354.87 9.14852
1355.21 6.64723
1355.56 5.04842
1356.25 3.19689
1356.95 2.21190
1357.64 1.62759
1359.02 0.998933
1360.41 0.685803
1361.80 0.507449
1364.57 0.322071
1367.34 0.232319
1370.11 0.182112
1375.65 0.131223
1381.20 0.108476
1386.74 0.0984327
1397.83 0.100154
1408.91 0.132272
1414.46 0.170139
1420.00 0.241646
1422.77 0.302279
1425.54 0.394494
1428.31 0.544125
1431.08 0.809739
1432.47 1.02733
1433.86 1.35022
1435.24 1.85870
1436.63 2.72579
1437.32 3.40948
1438.01 4.38731
1438.71 5.85308
1439.40 8.18709
1440.09 12.2128
1440.44 15.4053
1440.79 19.9510
1441.13 26.7155
1441.48 37.1516
1441.82 53.9277
1442.17 81.2040
1442.59 130.264
1443.00 163.085
1443.42 130.177
1443.83 81.1187
1444.11 58.3738
1444.38 42.9136
1444.93 25.1812
1445.49 16.2323
1446.04 11.2501
1446.59 8.22100
1447.14 6.26106
1448.24 3.96846
1449.35 2.73666
1450.45 2.00155
1452.65 1.20730
1454.86 0.810713
1457.07 0.585429
1459.27 0.445959
1461.48 0.354501
1465.89 0.250051
1470.30 0.211476
1472.51 0.223479
1473.61 0.247499
1474.71 0.298938
1475.81 0.416154
1476.37 0.533672
1476.92 0.743649
1477.47 1.17254
1477.74 1.57542
1478.02 2.25720
1478.30 3.55646
1478.43 4.69256
1478.57 6.46772
1478.71 9.50100
1478.85 15.1946
1478.92 20.0400
1478.98 27.3499
1479.05 38.7236
1479.12 56.1801
1479.17 71.9767
1479.21 90.0235
1479.30 112.249
1479.39 89.6153
1479.48 56.1709
1479.58 32.9656
1479.68 20.7287
1479.78 13.9920
1479.87 10.0371
1479.97 7.50671
1480.07 5.83284
1480.27 3.80461
1480.47 2.68243
1480.66 1.99943
1481.06 1.24719
1481.45 0.864414
1481.84 0.643461
1482.63 0.410919
1483.42 0.296715
1484.21 0.231910
1485.79 0.163705
1487.36 0.129389
1488.94 0.109028
1492.09 0.0858417
1498.40 0.0639961
1504.70 0.0529205
1517.31 0.0415060
1529.92 0.0361717
1555.14 0.0336586
1580.36 0.0387705
1605.58 0.0552744
1618.19 0.0728756
1630.80 0.105297
1637.11 0.132532
1643.41 0.173824
1649.72 0.240688
1656.02 0.359439
1659.17 0.456831
1662.33 0.601560
1665.48 0.830178
1668.63 1.22197
1670.21 1.53235
1671.78 1.97801
1673.36 2.65004
1674.94 3.72912
1676.51 5.61498
1677.30 7.12596
1678.09 9.30965
1678.88 12.6009
1679.66 17.8010
1680.45 26.4004
1681.24 40.8603
1682.12 65.3687
1683.00 81.6741
1683.88 65.2849
1684.76 40.7790
1685.61 25.5543
1686.45 16.8365
1687.30 11.7226
1688.14 8.55738
1688.99 6.49164
1689.83 5.07995
1691.52 3.34139
1693.21 2.35855
1694.90 1.75192
1698.28 1.07569
1701.66 0.728047
1705.04 0.526587
1708.42 0.399743
1711.80 0.314947
1718.56 0.212762
1725.32 0.157821
1732.08 0.135632
1733.77 0.141846
1735.46 0.171000
1736.30 0.214979
1736.73 0.258694
1737.15 0.336127
1737.57 0.492412
1737.78 0.636814
1737.99 0.878357
1738.20 1.32614
1738.31 1.70977
1738.41 2.29298
1738.52 3.25640
1738.63 4.94795
1738.73 8.28021
1738.78 11.1358
1738.84 15.1828
1738.92 24.2057
1739.00 30.2086
1739.08 24.2040
1739.16 15.1804
1739.23 10.2706
1739.30 7.18835
1739.36 5.23899
1739.43 3.96268
1739.56 2.48124
1739.69 1.70550
1739.82 1.24791
1739.95 0.960853
1740.22 0.631764
1740.48 0.458697
1740.74 0.356687
1741.27 0.247327
1741.80 0.192779
1742.32 0.161465
1743.37 0.128214
1745.48 0.101177
1747.58 0.0893819
1756.00 0.0713897
1764.42 0.0656986
1772.83 0.0671387
1781.25 0.0794576
1785.46 0.0942772
1789.67 0.122612
1793.88 0.183815
1795.98 0.244169
1798.08 0.352186
1799.14 0.441333
1800.19 0.574623
1801.24 0.786705
1802.29 1.15418
1803.34 1.87475
1803.87 2.52673
1804.40 3.59335
1804.92 5.50812
1805.18 7.08669
1805.45 9.43167
1805.71 13.0987
1805.97 19.1936
1806.24 30.0037
1806.37 38.4943
1806.50 49.8664
1806.75 79.8355
1807.00 99.7030
1807.25 79.6836
1807.50 49.8421
1807.80 28.1934
1808.09 17.3005
1808.39 11.4709
1808.69 8.10688
1808.98 6.00552
1809.28 4.62314
1809.87 2.97757
1810.47 2.07632
1811.06 1.53248
1812.24 0.938985
1813.43 0.639501
1814.61 0.468161
1816.99 0.289880
1819.36 0.204301
1821.73 0.157173
1826.47 0.111136
1831.21 0.0927974
1835.95 0.0896056
1838.32 0.0957036
1840.69 0.117675
1841.88 0.148609
1842.47 0.178908
1843.06 0.232662
1843.66 0.342475
1843.95 0.445980
1844.25 0.623330
1844.55 0.966809
1844.69 1.27138
1844.84 1.76024
1844.99 2.61331
1845.14 4.28331
1845.21 5.76891
1845.29 8.11265
1845.36 11.9807
1845.43 18.4683
1845.52 29.4985
1845.60 36.8496
1845.68 29.4972
1845.77 18.4668
1845.82 13.2674
1845.88 9.79628
1845.99 5.76816
1846.10 3.74206
1846.21 2.62095
1846.32 1.93361
1846.43 1.49184
1846.65 0.972521
1846.87 0.692419
1847.09 0.526156
1847.54 0.346420
1847.98 0.256603
1848.42 0.205751
1849.31 0.153449
1851.08 0.115872
1852.85 0.104200
1859.93 0.107041
1867.00 0.135568
1874.08 0.193130
1877.62 0.241981
1881.16 0.315771
1884.70 0.434018
1888.24 0.640035
1890.01 0.805582
1891.78 1.04664
1893.55 1.41665
1895.32 2.02502
1896.21 2.48756
1897.09 3.12682
1897.98 4.04299
1898.86 5.41555
1899.75 7.58687
1900.63 11.2548
1901.52 17.9120
1901.96 23.2205
1902.40 30.4959
1903.20 48.6989
1904.00 60.7782
1904.80 48.6480
1905.60 30.4462
1906.34 19.4404
1907.08 12.9947
1907.81 9.13646
1908.55 6.71901
1910.03 4.02619
1911.50 2.66359
1912.98 1.88744
1914.45 1.40589
1917.40 0.866260
1920.35 0.587503
1923.30 0.425283
1926.25 0.322727
1929.20 0.253820
1935.10 0.169875
1941.00 0.122643
1946.90 0.0934739
1952.80 0.0742255
1964.60 0.0513096
1976.40 0.0389766
1988.20 0.0321815
2000.00 0.0296318
2005.23 0.0305880
2010.47 0.0353592
2013.08 0.0423139
2014.39 0.0491588
2015.70 0.0614253
2017.01 0.0869819
2017.66 0.111776
2018.32 0.155785
2018.97 0.245747
2019.30 0.331051
2019.63 0.478113
2019.95 0.764423
2020.12 1.02254
2020.28 1.43895
2020.44 2.18265
2020.53 2.78961
2020.61 3.66896
2020.69 5.03803
2020.77 7.26823
2020.85 11.1127
2020.93 17.8108
2021.02 28.5965
2021.10 35.6929
2021.18 28.4583
2021.27 17.8095
2021.32 12.9444
2021.38 9.59761
2021.48 5.72444
2021.59 3.73576
2021.70 2.61245
