Mo-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
5131.21 19.2253
5131.33 25.6488
5131.46 36.8668
5131.59 58.6202
5131.66 77.9451
5131.72 107.611
5131.79 155.605
5131.85 234.183
5131.93 374.381
5132.00 466.793
5132.08 373.800
5132.15 235.917
5132.22 150.734
5132.29 101.836
5132.36 72.3290
5132.43 54.1427
5132.57 33.7807
5132.71 23.5507
5132.86 17.6743
5133.00 14.0290
5133.28 9.95091
5133.56 7.83014
5133.84 6.59622
5134.12 5.81029
5134.40 5.28193
5134.97 4.63264
5135.53 4.26335
5136.65 3.87751
5137.78 3.68684
5138.91 3.57640
5141.16 3.45440
5145.66 3.34063
5150.16 3.27543
5159.17 3.17847
5168.17 3.09140
5177.17 3.00429
5186.18 2.91431
5204.19 2.72086
5240.20 2.25992
5276.22 1.66431
5294.23 1.30320
5312.24 0.899666
5330.25 0.474766
5339.25 0.276383
5348.26 0.117462
5352.76 0.0670295
5357.26 0.0485326
5359.51 0.0555988
5361.76 0.0765881
5364.01 0.114393
5366.27 0.172534
5368.52 0.255313
5370.77 0.368020
5375.27 0.710954
5379.77 1.27561
5384.27 2.18047
5388.78 3.62141
5393.28 5.93375
5397.78 9.72360
5402.28 16.1495
5406.78 27.5863
5411.29 49.3054
5413.54 67.4405
5415.79 93.9013
5418.04 133.070
5420.29 190.935
5424.15 343.835
5428.00 480.335
5431.86 426.812
5435.71 294.832
5440.26 186.996
5444.81 127.582
5449.36 93.6281
5451.63 82.0479
5452.20 79.5594
5452.77 77.2494
5453.05 76.1884
5453.34 75.2862
5453.48 74.9888
5453.62 75.0026
5453.69 75.3035
5453.76 76.0901
5453.83 78.0260
5453.87 79.9436
5453.90 82.8745
5453.95 88.8031
5454.00 92.7206
5454.05 88.5099
5454.10 82.2471
5454.16 77.5051
5454.21 75.0902
5454.27 73.7152
5454.33 72.8361
5454.45 71.7276
5454.56 70.9995
5454.80 69.9179
5455.03 69.0253
5455.49 67.4253
5455.96 65.9433
5457.82 60.6572
5461.54 52.2283
5468.98 40.8171
5476.43 33.5776
5483.87 28.6478
5498.76 22.4586
5513.65 18.7886
5528.53 16.3864
5543.42 14.7027
5573.20 12.5122
5602.97 11.1574
5632.75 10.2401
5692.30 9.07968
5751.85 8.37617
5811.40 7.90310
5930.49 7.30296
6049.59 6.93168
6168.69 6.67124
6287.79 6.46787
6347.34 6.37669
6377.12 6.33221
6392.00 6.31151
6399.45 6.30815
6403.17 6.33498
6404.10 6.36678
6405.03 6.45695
6405.50 6.57800
6405.96 6.89658
6406.19 7.29661
6406.43 8.25208
6406.54 9.33310
6406.66 11.5457
6406.72 13.6240
6406.78 17.0957
6406.83 23.2957
6406.89 34.7893
6406.95 52.1114
6407.00 63.4234
6407.06 51.8802
6407.11 34.9196
6407.15 26.6184
6407.19 21.0666
6407.22 17.3559
6407.26 14.8177
6407.34 11.7355
6407.41 10.0388
6407.57 8.36022
6407.72 7.59910
6408.02 6.94522
6408.32 6.68108
6408.93 6.47306
6409.53 6.39386
6410.75 6.33299
6411.96 6.30947
6416.81 6.28002
6426.51 6.25894
6445.90 6.22643
6484.69 6.16026
6523.48 6.08505
6562.27 5.99167
6601.06 5.86013
6620.46 5.76547
6639.86 5.63259
6649.55 5.54191
6659.25 5.42478
6668.95 5.26626
6678.65 5.03767
6683.50 4.87998
6688.34 4.67615
6693.19 4.40214
6698.04 4.01434
6700.47 3.75336
6702.89 3.42554
6705.32 3.00335
6707.74 2.44724
6708.95 2.10336
6710.16 1.71092
6711.38 1.27995
6712.59 0.870055
6713.19 0.734065
