Br-79(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
814.629 7.70115
814.754 7.20942
814.879 6.90691
815.003 6.70534
815.253 6.45572
815.751 6.20550
816.250 6.07444
816.749 5.99697
817.247 5.97905
817.497 6.02444
817.746 6.18705
817.871 6.38649
817.996 6.79440
818.058 7.16117
818.120 7.73525
818.183 8.66558
818.245 10.1861
818.322 13.0986
818.400 15.2661
818.478 13.6304
818.555 10.8379
818.606 9.51197
818.656 8.58298
818.758 7.47602
818.859 6.89203
818.960 6.55183
819.162 6.18833
819.365 6.00277
819.769 5.81264
820.174 5.70833
820.983 5.57715
821.793 5.48125
823.411 5.32228
825.030 5.18070
826.649 5.05706
827.458 5.01563
828.267 5.01848
829.077 5.15514
829.481 5.36081
829.886 5.80216
830.291 6.82557
830.493 7.84692
830.695 9.62572
830.898 13.0112
830.999 15.9115
831.100 20.3272
831.201 27.4111
831.302 39.4535
831.353 48.6991
831.403 61.3293
831.454 78.7285
831.505 102.484
831.553 132.602
831.602 168.042
831.700 217.655
831.749 209.374
831.798 182.323
831.896 120.367
831.970 86.7420
832.045 64.6165
832.119 50.0280
832.194 40.1356
832.343 28.1726
832.492 21.5609
832.641 17.5369
832.790 14.9025
833.088 11.7584
833.386 10.0050
833.684 8.91496
834.280 7.66187
834.876 6.97651
835.472 6.54885
836.664 6.04423
837.856 5.75213
839.048 5.55684
841.432 5.30073
843.816 5.12902
846.201 4.99780
850.969 4.79502
855.737 4.63085
860.505 4.48205
862.890 4.40848
865.274 4.33486
866.466 4.30307
867.062 4.29400
867.658 4.29917
868.254 4.34507
868.552 4.40819
868.850 4.53815
869.148 4.82849
869.297 5.11079
869.446 5.59204
869.595 6.48389
869.744 8.34504
869.819 10.0855
869.893 12.9477
869.968 17.9091
870.042 26.7286
870.121 41.6907
870.200 52.9132
870.279 44.6860
870.358 30.4700
870.445 20.2858
870.532 14.7319
870.618 11.5846
870.705 9.67394
870.792 8.43651
870.878 7.59321
871.052 6.54789
871.225 5.94579
871.399 5.56500
871.746 5.12200
872.092 4.87809
872.439 4.72564
873.133 4.54530
873.827 4.43987
874.520 4.36791
875.908 4.26878
878.683 4.13352
881.457 4.01834
884.232 3.89761
885.620 3.83044
887.007 3.75789
888.394 3.68766
