15-P_n-g
>   15-P-31:1.000000
8.300000e+07 0.00000000e+00
8.400000e+07 0.00000000e+00
8.500000e+07 0.00000000e+00
8.600000e+07 0.00000000e+00
8.700000e+07 0.00000000e+00
8.800000e+07 0.00000000e+00
8.900000e+07 0.00000000e+00
9.000000e+07 0.00000000e+00
9.100000e+07 0.00000000e+00
9.200000e+07 0.00000000e+00
9.300000e+07 0.00000000e+00
9.400000e+07 0.00000000e+00
9.500000e+07 0.00000000e+00
9.600000e+07 0.00000000e+00
9.700000e+07 0.00000000e+00
9.800000e+07 0.00000000e+00
9.900000e+07 0.00000000e+00
1.000000e+08 0.00000000e+00
1.020000e+08 0.00000000e+00
1.040000e+08 0.00000000e+00
1.060000e+08 0.00000000e+00
1.080000e+08 0.00000000e+00
1.100000e+08 0.00000000e+00
1.120000e+08 0.00000000e+00
1.140000e+08 0.00000000e+00
1.160000e+08 0.00000000e+00
1.180000e+08 0.00000000e+00
1.200000e+08 0.00000000e+00
1.220000e+08 0.00000000e+00
1.240000e+08 0.00000000e+00
1.260000e+08 0.00000000e+00
1.280000e+08 0.00000000e+00
1.300000e+08 0.00000000e+00
1.320000e+08 0.00000000e+00
1.340000e+08 0.00000000e+00
1.360000e+08 0.00000000e+00
1.380000e+08 0.00000000e+00
1.400000e+08 0.00000000e+00
1.420000e+08 0.00000000e+00
1.440000e+08 0.00000000e+00
1.460000e+08 0.00000000e+00
1.480000e+08 0.00000000e+00
