Zr-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
14063.5 6.10880
14089.4 6.11173
14115.3 6.12275
14128.2 6.13443
14141.2 6.15416
14154.1 6.18890
14167.0 6.25496
14173.5 6.31175
14180.0 6.39920
14186.4 6.54313
14192.9 6.80293
14196.1 7.01994
14199.4 7.34593
14202.6 7.87149
14205.8 8.79157
14207.5 9.53946
14209.1 10.6389
14210.7 12.3483
14212.3 15.1896
14213.9 20.4973
14214.7 25.0343
14215.5 31.9154
14216.3 43.3295
14217.2 63.6846
14218.0 103.725
14218.4 137.703
14218.8 186.938
14219.4 295.134
14220.0 367.125
14220.6 295.220
14221.2 187.072
14221.8 121.818
14222.4 83.9960
14222.9 60.8521
14223.5 46.5334
14224.6 30.3596
14225.8 22.1989
14226.9 17.4872
14228.0 14.5607
14230.3 11.2873
14232.5 9.58466
14234.8 8.59663
14237.0 7.96829
14239.3 7.54748
14243.8 7.03266
14248.3 6.74225
14252.8 6.56228
14257.3 6.44291
14266.3 6.29889
14275.4 6.21808
14284.4 6.16775
14293.4 6.13392
14311.4 6.09175
14329.5 6.06639
14347.5 6.04908
14365.6 6.03609
14401.6 6.01674
14437.7 6.00173
14509.9 5.97694
14582.0 5.95490
14654.2 5.93398
14798.5 5.89403
14942.8 5.85783
15015.0 5.84334
15087.2 5.83508
15159.3 5.84249
15195.4 5.86062
15231.5 5.90210
15249.5 5.94024
15267.6 6.00054
15285.6 6.10111
15303.6 6.28342
15312.7 6.43454
15321.7 6.66071
15330.7 7.02044
15339.7 7.64288
15348.7 8.86116
15353.3 9.96222
15357.8 11.7630
15362.3 14.9981
15364.5 17.6764
15366.8 21.6457
15369.0 27.9023
15371.3 38.3098
15373.5 56.8952
15375.8 91.3696
15377.9 142.648
15380.0 176.287
15382.1 141.452
15384.2 90.2398
15386.1 59.6888
15388.1 41.7527
15390.0 31.0175
15391.9 24.3043
15395.7 16.7967
15399.5 12.9948
15403.4 10.8299
15407.2 9.48789
15414.9 7.98656
15422.5 7.21231
15430.2 6.76353
15437.9 6.48025
15445.5 6.29004
15460.8 6.05786
15476.2 5.92635
15491.5 5.84380
15506.8 5.78796
15537.5 5.71741
15568.1 5.67390
15629.4 5.61906
15690.7 5.58085
15752.0 5.54871
15874.6 5.49037
16119.8 5.37532
16365.0 5.25235
16610.2 5.11947
16855.4 4.98205
16978.0 4.91957
17100.6 4.87969
17161.9 4.88741
17192.5 4.91059
17223.2 4.96349
17253.8 5.08655
17269.2 5.21019
17284.5 5.43121
17299.8 5.88237
17307.5 6.30714
17315.1 7.03357
17322.8 8.43128
17326.6 9.67204
17330.4 11.6627
17334.3 15.1378
17338.1 21.9528
17340.0 28.0513
17341.9 37.6533
17343.9 53.6624
17345.8 80.5351
17347.9 125.812
17350.0 155.766
17352.1 125.183
17354.2 79.7814
17356.3 51.8190
17358.3 35.7707
17360.3 26.3397
17362.3 20.5192
17366.4 14.0834
17370.4 10.8738
17374.4 9.05638
17378.5 7.93920
17386.5 6.69578
17394.6 6.06102
17402.7 5.69662
17418.8 5.32181
17434.9 5.14974
17451.1 5.06452
17483.3 5.01079
17547.9 5.11979
17612.4 5.48321
17644.7 5.82264
17677.0 6.35343
17709.2 7.22054
17741.5 8.73883
17773.8 11.6978
17789.9 14.3296
17806.1 18.5336
17822.2 25.8072
17838.3 39.7951
17846.4 52.0087
17854.5 70.8998
17862.5 101.265
17870.6 150.539
17880.3 239.410
17890.0 298.652
17899.7 238.811
17909.4 150.042
17919.2 93.1517
17929.0 61.5622
17938.7 43.4338
17948.5 32.3812
17958.3 25.2412
17968.0 20.3949
17987.6 14.4583
18007.1 11.1085
18026.7 9.03319
18065.7 6.68548
18104.8 5.43227
18143.9 4.65994
18183.0 4.12927
18222.1 3.73145
18300.2 3.13752
18378.4 2.66484
18456.5 2.23308
18534.7 1.80607
18691.0 0.917489
18769.2 0.483107
18808.3 0.296462
18847.4 0.159644
18866.9 0.122471
18886.4 0.116387
18906.0 0.152421
18925.5 0.245622
18945.1 0.416665
18964.6 0.694267
18984.1 1.11880
19003.7 1.74774
19023.2 2.66412
19042.8 3.98962
19062.3 5.90513
19081.8 8.68302
19101.4 12.7367
19120.9 18.6921
19140.5 27.4719
19160.0 40.3281
19180.0 59.0919
19200.0 83.8106
19240.0 131.819
19260.0 137.850
19280.0 129.524
19320.0 97.5880
19368.7 66.8327
19417.4 48.7853
19466.1 37.9977
19514.7 31.0901
19563.4 26.3568
19612.1 22.9083
19636.4 21.5019
19660.8 20.2556
19672.9 19.6929
19679.0 19.4326
19685.1 19.1964
19691.2 19.0064
19694.2 18.9480
19697.3 18.9425
19700.3 19.0550
19701.9 19.2093
19703.4 19.5085
19704.9 20.1289
19705.7 20.7016
19706.4 21.6486
19707.2 23.3764
19707.6 24.8308
19707.9 27.0472
19708.3 30.6581
19708.7 37.0740
19708.9 42.2685
19709.1 49.7674
19709.3 60.8400
19709.5 78.0985
19709.7 111.143
19710.0 130.425
19710.3 104.789
19710.5 70.1318
19710.8 47.7302
19711.1 35.9665
19711.4 29.5541
19711.7 25.9076
19712.0 23.5364
19712.3 22.0245
19712.8 20.1981
19713.4 19.2141
19714.0 18.6299
19715.1 18.0031
19716.3 17.6867
19717.4 17.5016
19719.7 17.2833
19724.3 17.0247
19728.8 16.8166
19737.9 16.4096
