U-235(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
22.9547 306.517
22.9764 200.366
22.9893 151.070
23.0022 116.582
23.0280 76.6649
23.0538 56.9804
23.0796 46.5799
23.1311 37.9613
23.1827 37.1554
23.2343 42.2333
23.2601 47.9256
23.2859 57.4304
23.3116 74.1703
23.3374 107.067
23.3503 136.690
23.3632 184.383
23.3761 266.140
23.3890 411.952
23.3955 520.891
23.4020 650.027
23.4150 841.030
23.4280 714.111
23.4410 476.978
23.4535 326.575
23.4660 243.144
23.4816 190.093
23.4973 166.302
23.5285 159.719
23.5598 180.017
23.5910 209.418
23.6225 228.140
23.6540 220.737
23.7170 159.016
23.7771 108.663
23.8372 78.7453
23.8973 61.1146
23.9574 50.1972
24.0175 43.3932
24.0776 40.4859
24.1077 41.6885
24.1377 47.3347
24.1527 53.6872
24.1678 64.6741
24.1828 83.9141
24.1903 98.4964
24.1978 117.834
24.2079 153.417
24.2180 201.358
24.2381 304.335
24.2482 321.705
24.2583 304.779
24.2784 229.962
24.2967 173.471
24.3149 136.707
24.3332 113.076
24.3515 97.3183
24.3880 78.4018
24.4246 67.8807
24.4611 61.3949
24.4976 57.1205
24.5707 52.1261
24.6438 49.6968
24.7169 48.7434
24.8630 50.0368
24.9600 54.1033
25.0580 58.2509
25.1555 63.3617
25.2530 72.1583
25.2540 72.2719
25.2561 72.5086
25.2581 72.7465
25.2623 73.2292
25.2705 74.2239
25.2870 76.3287
25.3200 80.9961
25.3860 91.2104
25.5180 101.927
25.5830 104.387
25.6653 101.028
25.7475 86.4892
25.9120 45.0608
25.9895 31.8446
26.0283 27.5456
26.0670 24.7582
26.1058 23.4818
26.1445 23.7843
26.1833 25.8298
26.2220 29.8999
26.2820 41.2225
26.3420 60.9067
26.3970 89.7606
26.4520 126.490
26.4640 132.440
26.4885 137.097
26.5130 130.469
26.5620 101.857
26.5980 83.4759
26.6340 70.2368
26.7060 53.7457
26.8067 41.3275
26.9075 34.5571
26.9578 32.5883
27.0082 31.7322
27.0585 33.0368
27.0837 35.5957
27.1089 40.9749
27.1577 56.2713
27.1822 49.2974
27.2066 38.9770
27.2348 31.7724
27.2630 28.0795
27.2912 26.0699
27.3195 24.9109
27.3759 23.9175
27.4323 24.0846
27.4887 25.4935
27.5452 28.9883
27.6016 37.0195
27.6298 44.6575
27.6580 57.1112
27.6805 72.9608
27.7030 97.4650
27.7255 134.711
27.7480 185.448
27.7705 234.172
27.7930 246.717
27.8380 169.961
27.8708 117.877
27.9036 86.4192
27.9363 67.6206
27.9691 55.5081
28.0186 41.7907
28.0433 37.5533
28.0680 36.2654
28.0830 35.9518
28.1338 35.4271
28.1846 36.2606
28.2354 39.6918
28.2862 47.9014
28.3470 65.3882
28.3705 69.0945
28.3916 66.3454
28.4127 58.2731
28.4548 39.8243
28.4742 33.8998
28.4936 29.8006
28.5324 25.7011
28.5712 25.1246
28.6100 26.4027
28.6110 26.4469
28.6134 26.5554
28.6159 26.6647
28.6208 26.8834
28.6305 27.3123
28.6500 28.0419
28.6890 28.3847
28.7670 24.3186
28.8270 20.6038
28.9230 17.1981
29.0000 15.6752
29.0865 14.5667
29.1730 14.1913
29.2833 14.4829
29.3936 15.7028
29.4487 17.1185
29.4763 18.3106
29.5038 20.1371
29.5314 23.1562
29.5590 28.6917
29.5728 33.3542
29.5865 40.3782
29.6003 51.4135
29.6141 69.1533
29.6307 102.424
29.6473 130.383
29.6556 126.390
29.6639 110.128
29.6805 71.5457
29.6938 50.6415
29.7071 37.9557
29.7204 30.2368
29.7337 25.3690
29.7470 22.1718
29.7602 19.9922
29.7868 17.3487
29.8134 15.9115
29.8400 15.0765
29.8931 14.2656
29.9994 13.9616
30.1058 14.3558
30.2121 15.3276
30.3184 17.4007
30.3715 19.4002
30.4247 22.9615
30.4779 30.3369
30.5044 37.2733
30.5310 48.3715
30.5613 67.0243
30.5915 80.0091
30.6218 68.6340
30.6520 51.4331
30.6743 43.9733
30.6966 40.7928
30.7189 41.0948
30.7412 44.8449
30.7635 53.1559
30.7858 69.2011
30.8081 100.908
30.8193 127.968
30.8304 167.555
30.8482 265.154
30.8660 359.844
30.8749 356.396
30.8838 312.458
30.9016 196.667
30.9188 122.210
30.9360 81.2777
30.9532 58.3045
30.9703 44.6155
30.9875 35.9618
31.0047 30.2081
31.0219 26.2205
31.0391 23.3617
31.0734 19.6661
31.1078 17.4992
31.1421 16.1609
31.1765 15.3142
31.2452 14.4690
31.3140 14.2965
31.3827 14.6020
31.4514 15.4087
31.5500 17.5874
31.6486 20.2939
31.7294 25.3130
31.7698 29.7412
31.8102 36.4725
31.8505 47.2365
31.8909 65.7096
31.9313 100.553
31.9515 130.097
31.9717 174.140
32.0046 298.410
32.0211 392.547
32.0375 499.016
32.0582 616.339
32.0934 719.056
32.1032 659.516
32.1285 398.038
32.1414 300.209
32.1543 232.294
32.1802 150.950
32.2060 107.107
32.2318 81.0086
32.2577 64.2496
32.2835 52.8537
32.3351 38.7922
32.3868 30.7698
32.4384 25.7691
32.5418 20.1445
32.6451 17.2903
32.7484 15.7756
32.8517 15.0934
32.9550 15.1326
33.0393 15.8303
33.1235 17.5061
33.2078 21.1265
33.2499 24.4311
33.2920 29.7786
33.3396 40.9640
33.3634 50.7833
33.3872 66.3274
33.4110 92.8612
33.4348 142.905
33.4467 185.674
33.4586 250.548
33.4705 352.679
33.4824 516.937
33.4901 670.817
33.4979 861.807
33.5133 1195.96
33.5210 1192.41
33.5288 1057.00
33.5442 687.258
33.5586 446.566
33.5729 306.058
33.5873 223.613
33.6016 173.190
