Bi-209(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
17819.2 7.26846
17819.4 8.12368
17819.5 9.46091
17819.6 11.8035
17819.7 16.1707
17819.7 24.5663
17819.8 34.4664
17819.9 46.5708
17820.0 74.3695
17820.1 76.8539
17820.3 62.1177
17820.4 48.3753
17820.5 39.4520
17820.7 33.2385
17820.8 29.3681
17820.9 26.4346
17821.1 24.4413
17821.3 21.7157
17821.6 19.9054
17821.9 18.7063
17822.4 17.1410
17822.9 16.1764
17823.5 15.5454
17824.5 14.7560
17825.6 14.2798
17826.6 13.9666
17828.8 13.5746
17830.9 13.3403
17833.0 13.1842
17837.3 12.9892
17841.5 12.8711
17845.8 12.7916
17854.3 12.6903
17862.8 12.6273
17871.3 12.5834
17888.4 12.5243
17905.4 12.4843
17922.4 12.4539
17956.5 12.4078
18024.6 12.3407
18092.7 12.2874
18365.2 12.1195
18910.1 11.8676
19455.1 11.6724
20000.0 11.5113
20214.9 11.4544
20429.8 11.4004
20644.6 11.3487
20752.1 11.3240
20805.8 11.3136
20832.7 11.3172
20839.4 11.3273
20846.1 11.3614
20849.4 11.4123
20852.8 11.5578
20854.5 11.7548
20855.3 11.9438
20856.2 12.2712
20857.0 12.9081
20857.4 13.4767
20857.8 14.3906
20858.3 15.9840
20858.7 19.0877
20858.9 21.8278
20859.1 26.1113
20859.3 33.0883
20859.5 44.5313
20859.8 64.4412
20860.0 78.6906
20860.3 65.1849
20860.5 45.4520
20860.7 34.8304
20860.9 28.2641
20861.0 23.9413
20861.2 21.0169
20861.6 17.4323
20862.0 15.5425
20862.3 14.3828
20862.7 13.6593
20863.4 12.8148
20864.1 12.3552
20864.9 12.0840
20866.3 11.7863
20869.2 11.5479
20872.1 11.4557
20877.9 11.3833
20883.7 11.3553
20895.3 11.3334
20906.9 11.3256
20930.2 11.3245
20953.4 11.3382
20965.0 11.3539
20976.6 11.3806
20988.2 11.4273
20999.8 11.5153
21005.6 11.5898
21011.4 11.7023
21017.2 11.8826
21023.0 12.1939
21028.9 12.7962
21031.8 13.3280
21034.7 14.1730
21037.6 15.6270
21040.5 18.3741
21041.9 20.7287
21043.4 24.3016
21044.8 29.8996
21046.3 38.7241
21048.1 55.6190
21050.0 67.2152
21051.9 56.3970
21053.7 39.7040
21055.8 28.2867
21057.8 22.1383
21059.8 18.6967
21061.8 16.6337
21063.8 15.3160
21065.9 14.4286
21069.9 13.3516
21073.9 12.7464
21078.0 12.3746
21086.0 11.9580
21094.1 11.7413
21102.2 11.6135
21110.2 11.5312
21118.3 11.4747
21134.5 11.4033
21150.6 11.3606
21166.7 11.3322
21182.9 11.3119
21215.2 11.2841
21247.5 11.2651
21312.0 11.2385
21376.6 11.2186
21441.2 11.2016
21570.3 11.1716
21828.6 11.1183
22086.8 11.0689
22603.4 10.9751
22861.6 10.9294
22990.8 10.9063
23055.3 10.8940
23087.6 10.8866
23103.7 10.8816
23111.8 10.8806
23115.9 10.9000
23117.9 11.0087
23118.9 11.4523
23119.1 11.8692
23119.4 12.8882
23119.5 14.1077
23119.6 16.4424
23119.8 22.9196
23119.8 29.7204
23119.9 43.2923
23119.9 62.4031
23120.0 76.7594
23120.1 63.4932
23120.1 44.6315
23120.2 34.3444
23120.2 26.9542
23120.3 19.4773
23120.4 16.1578
23120.5 14.5726
23120.7 12.9304
23120.9 12.1936
23121.3 11.5658
23121.6 11.3100
23123.2 11.0231
23126.2 10.9322
23132.3 10.9014
23144.5 10.8885
23168.9 10.8800
23217.6 10.8696
23315.1 10.8515
23510.0 10.8161
23705.0 10.7778
23802.5 10.7519
23851.2 10.7255
23863.4 10.7115
23875.6 10.6856
23881.7 10.6609
23887.8 10.6129
23890.8 10.5657
23893.9 10.4731
23895.4 10.3815
23896.9 10.2035
23897.7 10.0310
23898.4 9.70161
23899.2 8.82916
23899.6 7.52337
23899.8 6.13218
23899.9 5.74043
23899.9 7.62792
23899.9 16.6253
23900.0 31.0601
23900.0 53.8117
23900.0 57.2258
23900.1 47.9391
23900.1 34.2970
23900.1 27.4223
23900.2 20.8165
23900.4 16.1627
23900.6 14.3362
23900.7 13.4632
23901.0 12.5517
23901.4 12.0974
23902.0 11.6452
23902.7 11.4202
23904.0 11.1961
23905.3 11.0850
23908.0 10.9730
23910.6 10.9171
23915.9 10.8606
23921.1 10.8320
23931.7 10.8025
23942.2 10.7868
23963.3 10.7692
23984.3 10.7586
24068.6 10.7332
24237.1 10.6979
24405.6 10.6657
24574.1 10.6347
24742.6 10.6066
24826.8 10.5962
24911.1 10.5927
24953.2 10.5966
24995.4 10.6083
25037.5 10.6347
25079.6 10.6920
25100.7 10.7441
25121.7 10.8260
25142.8 10.9615
25163.9 11.2031
25184.9 11.6853
25195.5 12.1228
