Ga-71(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
3545.10 0.00503313
3580.07 0.00367299
3650.00 0.00280912
3719.94 0.00284824
3737.42 0.00310257
3754.90 0.00371780
3763.65 0.00443237
3772.39 0.00618631
3781.13 0.0144842
3783.32 0.0226802
3785.50 0.0453623
3786.59 0.0761071
3787.69 0.159795
3788.23 0.270387
3788.51 0.375681
3788.78 0.558127
3789.05 0.915939
3789.19 1.24122
3789.32 1.76952
3789.46 2.72551
3789.53 3.50854
3789.60 4.67042
3789.67 6.51850
3789.73 9.55265
3789.80 14.9282
3789.87 24.7934
3789.94 39.7083
3790.00 49.6690
3790.07 39.7087
3790.13 24.7940
3790.19 15.4683
3790.26 10.2217
3790.32 7.13355
3790.38 5.21666
3790.44 3.94627
3790.50 3.09274
3790.63 2.03863
3790.75 1.43723
3790.88 1.06881
3791.13 0.656811
3791.37 0.443747
3791.62 0.320525
3792.12 0.190231
3793.11 0.0908783
3794.11 0.0543371
3796.10 0.0274904
3798.08 0.0179966
3806.04 0.00960144
3813.99 0.00971757
3821.94 0.0125941
3825.92 0.0153892
3829.89 0.0198048
3833.87 0.0271672
3837.85 0.0406217
3839.83 0.0519260
3841.82 0.0691111
3843.81 0.0970706
3845.80 0.147090
3846.79 0.188407
3847.79 0.250261
3848.78 0.348868
3849.77 0.520214
3850.77 0.857743
3851.26 1.16463
3851.76 1.66934
3852.26 2.58254
3852.51 3.34335
3852.76 4.47809
3853.00 6.27969
3853.25 9.30858
3853.38 11.6481
3853.50 14.8250
3853.63 19.2111
3853.75 25.2209
3853.98 40.3971
3854.20 50.4569
3854.43 40.3204
3854.65 25.2157
3854.81 18.0123
3854.96 13.1575
3855.11 9.89018
3855.27 7.64285
3855.58 4.89801
3855.88 3.37886
3856.19 2.46183
3856.50 1.86960
3857.11 1.18088
3857.73 0.811315
3858.35 0.591535
3858.96 0.450091
3859.58 0.354087
3860.81 0.235631
3862.04 0.168208
3863.27 0.126234
3864.50 0.0983509
3866.96 0.0647698
3869.43 0.0461065
3871.89 0.0346713
3874.35 0.0271620
3879.27 0.0182243
3884.20 0.0133125
3889.12 0.0103267
3894.05 0.00837757
3903.90 0.00607336
3913.74 0.00481787
3933.44 0.00357629
3972.84 0.00274235
4012.23 0.00255156
4051.63 0.00262586
4091.02 0.00301216
4110.72 0.00351472
4130.42 0.00482878
4140.27 0.00657876
4145.19 0.00830270
4150.11 0.0114342
4155.04 0.0181082
4157.50 0.0247428
4159.96 0.0368202
4161.19 0.0469817
4162.42 0.0624794
4163.66 0.0878311
4164.89 0.133582
4166.12 0.229334
4166.73 0.322440
4167.35 0.486949
4167.96 0.821180
4168.27 1.13503
4168.58 1.66743
4168.89 2.68624
4169.04 3.58188
4169.20 5.00266
4169.35 7.43944
4169.50 12.0809
4169.58 16.0915
4169.66 22.2338
4169.73 31.9773
4169.81 47.2963
4169.91 75.5878
4170.00 94.4129
4170.10 75.5851
4170.19 47.2933
4170.30 27.4906
4170.40 17.2227
4170.51 11.5857
4170.62 8.25588
4170.72 6.15402
4170.83 4.75245
4171.04 3.06843
4171.25 2.13895
4171.46 1.57428
4171.89 0.953738
4172.31 0.638967
4172.74 0.457912
4173.16 0.344379
4173.58 0.268561
4174.43 0.176790
4175.28 0.125496
4176.13 0.0939597
4176.98 0.0732020
4178.67 0.0484354
4180.37 0.0348080
4182.06 0.0265184
4183.76 0.0211068
4187.15 0.0147129
4190.55 0.0112361
4197.33 0.00780394
4204.12 0.00626172
4210.90 0.00547417
4224.47 0.00482829
4251.61 0.00487615
4278.75 0.00582369
4305.89 0.00807811
4319.46 0.0103129
4333.03 0.0143316
4346.60 0.0227485
4353.39 0.0309745
4360.17 0.0456820
4363.56 0.0578448
4366.96 0.0760804
4370.35 0.105248
4373.74 0.156167
4377.13 0.257340
4378.83 0.350160
4380.53 0.504363
4382.22 0.787946
4383.07 1.02737
4383.92 1.39182
4384.77 1.98121
4385.61 3.00906
4386.04 3.82153
4386.46 4.96493
4386.89 6.59817
4387.31 8.91891
4388.01 14.2767
4388.70 17.8500
4389.40 14.2712
4390.09 8.91354
4390.67 5.90780
4391.26 4.06288
4391.84 2.91761
4392.43 2.17828
4393.59 1.33213
4394.76 0.892505
4395.93 0.637866
4397.10 0.478068
4399.43 0.297074
4401.77 0.202653
4404.11 0.147371
4406.44 0.112286
4408.78 0.0886608
4413.45 0.0598134
4418.12 0.0435730
4422.79 0.0335543
4427.46 0.0269571
4436.81 0.0191168
4446.15 0.0148596
4464.84 0.0107631
4483.53 0.00910369
4502.21 0.00847720
4539.59 0.00873780
4576.96 0.0104697
4614.33 0.0145544
4633.02 0.0189032
4642.37 0.0226236
4651.71 0.0287226
4661.05 0.0405095
4665.72 0.0515149
4670.40 0.0707002
4675.07 0.109650
4677.40 0.146716
4679.74 0.211250
4682.08 0.339405
4683.24 0.457236
4683.83 0.541957
4684.41 0.653618
4685.00 0.804844
4685.58 1.01649
4686.16 1.32485
4686.75 1.79720
4687.33 2.56792
4687.62 3.14563
4687.92 3.92967
4688.21 5.01996
4688.50 6.57237
4688.79 8.82086
4689.08 12.0505
4689.54 19.2618
4690.00 24.0652
4690.46 19.2575
4690.92 12.0466
4691.30 8.00881
4691.69 5.52796
4692.07 3.98255
4692.45 2.98233
4693.22 1.83469
4693.98 1.23706
4694.75 0.890105
4695.52 0.672573
4697.05 0.426133
4698.58 0.297626
4700.11 0.222632
4703.18 0.143493
4706.24 0.105271
4709.31 0.0844088
4715.44 0.0648092
4721.57 0.0579147
4727.70 0.0568548
4739.95 0.0651786
4752.21 0.0884920
4758.34 0.110327
4764.47 0.146460
4766.01 0.159264
4767.54 0.174298
4769.07 0.192161
4770.60 0.213614
4772.14 0.239769
4773.67 0.272123
4775.20 0.312902
4776.73 0.365402
4778.26 0.434742
4779.80 0.528930
4781.33 0.661615
4782.86 0.856324
4784.39 1.15730
4785.93 1.65031
4786.69 2.01804
4787.46 2.51001
4788.22 3.17278
4788.99 4.05811
4790.50 6.43960
4792.00 8.02729
4793.51 6.44543
4795.01 4.07509
4796.38 2.66637
4797.74 1.83735
4799.11 1.34201
4800.47 1.03325
4803.20 0.696828
4805.93 0.538254
4811.39 0.429561
4816.85 0.448734
4822.30 0.564861
4827.76 0.827592
4830.49 1.05932
4833.22 1.41018
4835.95 1.95316
4838.68 2.79258
4842.34 4.43738
4846.00 5.52922
4849.66 4.42255
4853.32 2.77142
4855.61 2.04036
4857.90 1.53053
4862.49 0.926683
4867.07 0.612819
4871.66 0.434098
4876.24 0.324057
4880.82 0.252020
4889.99 0.167184
4899.16 0.121540
4908.33 0.0946797
4926.66 0.0675387
4945.00 0.0577842
4963.33 0.0585722
4981.67 0.0707230
5000.00 0.104260
5012.37 0.156451
5018.55 0.203238
5024.73 0.278063
5027.82 0.333222
5030.91 0.407201
5034.00 0.509211
5037.10 0.654454
5040.19 0.869083
5043.28 1.19898
5046.37 1.72498
5049.46 2.57120
5053.23 4.10592
5057.00 5.12520
5060.77 4.09759
