41-Nb_n-g
>  41-Nb-93:1.000000
2.431910e+02 1.13197000e+00
2.433620e+02 1.77454000e+00
2.434480e+02 2.32756000e+00
2.435330e+02 3.18559000e+00
2.436190e+02 4.61107000e+00
2.437050e+02 7.19765000e+00
2.437480e+02 9.32750000e+00
2.437900e+02 1.24294000e+01
2.438330e+02 1.70599000e+01
2.438760e+02 2.39680000e+01
2.439380e+02 3.83873000e+01
2.440000e+02 4.80278000e+01
2.440620e+02 3.83966000e+01
2.441240e+02 2.39798000e+01
2.441910e+02 1.41925000e+01
2.442590e+02 8.98420000e+00
2.443260e+02 6.08856000e+00
2.443930e+02 4.36764000e+00
2.444600e+02 3.27380000e+00
2.445280e+02 2.54262000e+00
2.446620e+02 1.65982000e+00
2.447970e+02 1.17067000e+00
2.449310e+02 8.72717000e-01
2.452000e+02 5.44466000e-01
2.454180e+02 4.02139000e-01
2.456360e+02 3.12349000e-01
2.460720e+02 2.09790000e-01
2.465080e+02 1.55656000e-01
2.469440e+02 1.23658000e-01
2.478160e+02 8.92841000e-02
2.486880e+02 7.21738000e-02
2.495590e+02 6.24270000e-02
2.504310e+02 5.63466000e-02
2.521750e+02 4.94594000e-02
2.539190e+02 4.58439000e-02
2.556630e+02 4.37098000e-02
2.591500e+02 4.14252000e-02
2.661250e+02 3.97198000e-02
2.731000e+02 3.92653000e-02
2.870500e+02 3.97704000e-02
2.940250e+02 4.06528000e-02
3.010000e+02 4.23243000e-02
3.054720e+02 4.43434000e-02
3.099450e+02 4.86814000e-02
3.121810e+02 5.36550000e-02
3.132990e+02 5.81999000e-02
3.144170e+02 6.60498000e-02
3.155350e+02 8.20042000e-02
3.160940e+02 9.73616000e-02
3.166530e+02 1.24617000e-01
3.172120e+02 1.80713000e-01
3.174920e+02 2.34453000e-01
3.177710e+02 3.28332000e-01
3.180510e+02 5.15136000e-01
3.181900e+02 6.87061000e-01
3.183300e+02 9.73331000e-01
3.184700e+02 1.50222000e+00
3.185400e+02 1.95121000e+00
3.186100e+02 2.63692000e+00
3.186790e+02 3.75502000e+00
3.187490e+02 5.72506000e+00
3.188190e+02 9.53238000e+00
3.188540e+02 1.27537000e+01
3.188890e+02 1.73838000e+01
3.189450e+02 2.78115000e+01
3.190000e+02 3.47756000e+01
3.190560e+02 2.78162000e+01
3.191110e+02 1.73899000e+01
3.191750e+02 1.00187000e+01
3.192380e+02 6.22434000e+00
3.193020e+02 4.17203000e+00
3.193660e+02 2.97217000e+00
3.194300e+02 2.22024000e+00
3.194930e+02 1.72147000e+00
3.196210e+02 1.12572000e+00
3.197480e+02 7.98296000e-01
3.198750e+02 6.00246000e-01
3.201300e+02 3.83304000e-01
3.203850e+02 2.73753000e-01
3.206390e+02 2.11030000e-01
3.211490e+02 1.45986000e-01
3.216580e+02 1.15056000e-01
3.221680e+02 9.83344000e-02
3.231860e+02 8.27873000e-02
3.242050e+02 7.75125000e-02
3.252240e+02 7.70893000e-02
3.272620e+02 8.60059000e-02
3.282810e+02 9.61267000e-02
3.293000e+02 1.12554000e-01
3.303180e+02 1.40254000e-01
3.313370e+02 1.91154000e-01
3.318470e+02 2.34073000e-01
3.323560e+02 2.99504000e-01
3.328660e+02 4.06408000e-01
3.333750e+02 5.98895000e-01
3.336300e+02 7.59039000e-01
3.338840e+02 1.00034000e+00
3.341390e+02 1.38864000e+00
3.343940e+02 2.07275000e+00
3.345210e+02 2.62958000e+00
3.346490e+02 3.45030000e+00
3.347760e+02 4.73374000e+00
3.349030e+02 6.89877000e+00
3.350310e+02 1.09793000e+01
3.350940e+02 1.45164000e+01
3.351580e+02 2.00345000e+01
3.352220e+02 2.93106000e+01
3.352850e+02 4.64127000e+01
3.353170e+02 6.07312000e+01
3.353490e+02 8.18903000e+01
3.353810e+02 1.14076000e+02
3.354130e+02 1.63110000e+02
3.354350e+02 2.08882000e+02
3.354560e+02 2.60948000e+02
3.355000e+02 3.26164000e+02
3.355440e+02 2.60909000e+02
3.355870e+02 1.63064000e+02
3.356140e+02 1.20466000e+02
3.356410e+02 9.06263000e+01
3.356940e+02 5.49014000e+01
3.357480e+02 3.61325000e+01
3.358010e+02 2.53723000e+01
3.358550e+02 1.87199000e+01
3.359080e+02 1.43503000e+01
3.360150e+02 9.17794000e+00
3.361220e+02 6.36210000e+00
3.362280e+02 4.66967000e+00
3.364420e+02 2.82606000e+00
3.366560e+02 1.89819000e+00
3.368690e+02 1.36759000e+00
3.370830e+02 1.03609000e+00
3.372970e+02 8.15327000e-01
3.377240e+02 5.48861000e-01
3.381510e+02 4.00430000e-01
3.385780e+02 3.09433000e-01
3.390060e+02 2.49707000e-01
3.398600e+02 1.78749000e-01
3.407150e+02 1.39964000e-01
3.415690e+02 1.16612000e-01
3.424240e+02 1.01593000e-01
3.441330e+02 8.44496000e-02
3.458420e+02 7.59148000e-02
3.492600e+02 6.98694000e-02
3.526780e+02 7.10638000e-02
3.560960e+02 7.76507000e-02
3.595140e+02 9.28441000e-02
3.612230e+02 1.12469000e-01
3.616510e+02 1.24337000e-01
3.620780e+02 1.50106000e-01
3.622920e+02 1.79948000e-01
3.623980e+02 2.06756000e-01
3.625050e+02 2.51291000e-01
3.626120e+02 3.34572000e-01
3.626650e+02 4.06869000e-01
3.627190e+02 5.20584000e-01
3.627720e+02 7.13874000e-01
3.628260e+02 1.07811000e+00
3.628520e+02 1.38983000e+00
3.628790e+02 1.86311000e+00
3.629060e+02 2.60602000e+00
3.629320e+02 3.77992000e+00
3.629660e+02 5.97308000e+00
3.630000e+02 7.43567000e+00
3.630340e+02 5.97542000e+00
3.630680e+02 3.78420000e+00
3.630970e+02 2.53007000e+00
3.631260e+02 1.77134000e+00
3.631550e+02 1.30447000e+00
3.631840e+02 1.00526000e+00
3.632420e+02 6.65367000e-01
3.633000e+02 4.91265000e-01
3.633580e+02 3.91707000e-01
3.634160e+02 3.30567000e-01
3.635320e+02 2.64371000e-01
3.637640e+02 2.20762000e-01
3.639960e+02 2.23753000e-01
3.642280e+02 2.63040000e-01
3.643450e+02 3.05771000e-01
3.644610e+02 3.80639000e-01
3.645770e+02 5.24680000e-01
3.646350e+02 6.51100000e-01
3.646930e+02 8.50159000e-01
3.647510e+02 1.18900000e+00
3.648090e+02 1.82373000e+00
3.648380e+02 2.36351000e+00
3.648670e+02 3.17742000e+00
3.648960e+02 4.44330000e+00
3.649250e+02 6.42167000e+00
3.649620e+02 1.01873000e+01
3.650000e+02 1.26961000e+01
3.650380e+02 1.01760000e+01
3.650750e+02 6.41281000e+00
3.651100e+02 4.14719000e+00
3.651450e+02 2.81873000e+00
3.651790e+02 2.02455000e+00
3.652140e+02 1.52737000e+00
3.652830e+02 9.72163000e-01
3.653520e+02 6.91778000e-01
3.654210e+02 5.32065000e-01
3.654900e+02 4.33387000e-01
3.656280e+02 3.23489000e-01
3.657670e+02 2.67569000e-01
3.659050e+02 2.35893000e-01
3.661820e+02 2.04588000e-01
3.667350e+02 1.87236000e-01
3.672880e+02 1.88959000e-01
3.695000e+02 2.52256000e-01
3.705960e+02 3.13138000e-01
3.716910e+02 4.07585000e-01
3.727870e+02 5.63304000e-01
3.738820e+02 8.45883000e-01
3.744300e+02 1.08244000e+00
3.749780e+02 1.44112000e+00
3.755250e+02 2.02322000e+00
3.760730e+02 3.06096000e+00
3.763470e+02 3.91566000e+00
3.766210e+02 5.19154000e+00
3.768950e+02 7.21781000e+00
3.771690e+02 1.07180000e+01
3.773060e+02 1.35131000e+01
3.774420e+02 1.75565000e+01
3.775790e+02 2.37208000e+01
3.777160e+02 3.37526000e+01
3.777850e+02 4.13071000e+01
3.778530e+02 5.16546000e+01
3.779220e+02 6.63152000e+01
3.779900e+02 8.79114000e+01
3.780590e+02 1.21419000e+02
3.781270e+02 1.76312000e+02
3.781960e+02 2.72062000e+02
3.782640e+02 4.43699000e+02
3.783320e+02 7.10968000e+02
3.784000e+02 8.89532000e+02
3.784680e+02 7.10767000e+02
3.785360e+02 4.43482000e+02
3.785910e+02 2.98965000e+02
3.786450e+02 2.08495000e+02
3.787000e+02 1.51186000e+02
3.787540e+02 1.13735000e+02
3.788630e+02 7.02127000e+01
3.789720e+02 4.72921000e+01
3.790820e+02 3.38998000e+01
3.791910e+02 2.54447000e+01
3.794090e+02 1.58161000e+01
3.796270e+02 1.07625000e+01
3.798450e+02 7.79298000e+00
3.800630e+02 5.90330000e+00
3.802810e+02 4.62818000e+00
3.807180e+02 3.06704000e+00
3.811540e+02 2.18524000e+00
3.815910e+02 1.63904000e+00
3.820270e+02 1.27776000e+00
3.829000e+02 8.44782000e-01
3.837720e+02 6.05532000e-01
3.846450e+02 4.60059000e-01
3.855180e+02 3.65673000e-01
3.872630e+02 2.57962000e-01
3.890080e+02 2.13307000e-01
3.898810e+02 2.16531000e-01
3.907540e+02 2.66299000e-01
3.911900e+02 3.47177000e-01
3.914080e+02 4.27943000e-01
3.916270e+02 5.70684000e-01
3.918450e+02 8.54747000e-01
3.919540e+02 1.11388000e+00
3.920630e+02 1.53974000e+00
3.921720e+02 2.30974000e+00
3.922270e+02 2.94893000e+00
3.922810e+02 3.90180000e+00
3.923360e+02 5.40522000e+00
3.923900e+02 7.92351000e+00
3.924450e+02 1.24482000e+01
3.924990e+02 2.09029000e+01
3.925500e+02 3.33782000e+01
3.926000e+02 4.16702000e+01
3.926510e+02 3.33548000e+01
3.927010e+02 2.08852000e+01
3.927610e+02 1.18968000e+01
3.928200e+02 7.34421000e+00
3.928800e+02 4.91082000e+00
