29-Cu_n-g
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
9.820880e+02 2.10366331e-02
9.850020e+02 3.13255073e-02
9.864590e+02 4.14734310e-02
9.879160e+02 5.97385274e-02
9.886440e+02 7.49223584e-02
9.893730e+02 9.77980187e-02
9.901010e+02 1.34585278e-01
9.908300e+02 1.99314667e-01
9.915580e+02 3.29437830e-01
9.919220e+02 4.50393703e-01
9.922870e+02 6.54088931e-01
9.926510e+02 1.03649196e+00
9.928330e+02 1.36660684e+00
9.930150e+02 1.88055008e+00
9.931970e+02 2.73857680e+00
9.933790e+02 4.30710594e+00
9.934700e+02 5.60743696e+00
9.935610e+02 7.51718693e+00
9.936530e+02 1.03975609e+01
9.937440e+02 1.47335423e+01
9.938080e+02 1.88586163e+01
9.938720e+02 2.35729866e+01
9.940000e+02 2.94596567e+01
9.941290e+02 2.35635818e+01
9.942570e+02 1.47304989e+01
9.943470e+02 1.04409859e+01
9.944360e+02 7.58087260e+00
9.945260e+02 5.67198670e+00
9.946160e+02 4.36789361e+00
9.947950e+02 2.78581737e+00
9.949750e+02 1.91702338e+00
9.951540e+02 1.39480920e+00
9.953340e+02 1.05889202e+00
9.956930e+02 6.68966320e-01
9.960510e+02 4.60827671e-01
9.964100e+02 3.37130160e-01
9.971280e+02 2.03921151e-01
9.978460e+02 1.37587106e-01
9.985640e+02 9.98853108e-02
9.992810e+02 7.64318745e-02
9.999990e+02 6.08648557e-02
1.000000e+03 6.08291052e-02
1.000010e+03 6.06863672e-02
1.000020e+03 6.05442486e-02
1.000030e+03 6.02793257e-02
1.000050e+03 5.99184364e-02
1.000060e+03 5.97379878e-02
1.000090e+03 5.92173182e-02
1.000120e+03 5.86966529e-02
1.000180e+03 5.77771964e-02
1.000250e+03 5.67044973e-02
1.000360e+03 5.50301784e-02
1.000490e+03 5.30514337e-02
1.000710e+03 5.02713823e-02
1.000980e+03 4.68595068e-02
1.001420e+03 4.27502057e-02
1.001960e+03 3.77069681e-02
1.002830e+03 3.28610108e-02
1.003910e+03 2.68453491e-02
1.005650e+03 2.15294937e-02
1.005860e+03 2.08879285e-02
1.007810e+03 1.72714729e-02
1.011310e+03 1.37054367e-02
1.011720e+03 1.32877122e-02
1.015630e+03 1.12556670e-02
1.022610e+03 9.54000938e-03
1.023440e+03 9.33604633e-03
1.031250e+03 8.48331437e-03
1.045230e+03 8.02379864e-03
1.062500e+03 7.45808746e-03
1.090450e+03 7.32469678e-03
1.125000e+03 7.16856698e-03
1.180900e+03 7.30803834e-03
1.250000e+03 7.53388271e-03
1.271340e+03 7.71920113e-03
1.316570e+03 8.33070517e-03
1.327870e+03 8.67263706e-03
1.339180e+03 9.47072304e-03
1.344830e+03 1.04936025e-02
1.347660e+03 1.14901414e-02
1.350480e+03 1.32864729e-02
1.353310e+03 1.70819089e-02
1.354720e+03 2.08217607e-02
1.356140e+03 2.75651930e-02
1.357550e+03 4.16766606e-02
1.358260e+03 5.54033181e-02
1.358960e+03 7.96815148e-02
1.359320e+03 9.96026119e-02
1.359670e+03 1.29072006e-01
1.360020e+03 1.75445041e-01
1.360380e+03 2.54534279e-01
1.360730e+03 4.06451642e-01
1.360910e+03 5.40585909e-01
1.361080e+03 7.52798354e-01
1.361260e+03 1.12059669e+00
1.361440e+03 1.82215809e+00
1.361520e+03 2.44063033e+00
1.361610e+03 3.38582574e+00
1.361700e+03 4.89957432e+00
1.361790e+03 7.34807789e+00
1.361890e+03 1.17451293e+01
1.362000e+03 1.46794588e+01
1.362110e+03 1.17557127e+01
1.362210e+03 7.35594826e+00
1.362290e+03 5.12786940e+00
1.362370e+03 3.67162669e+00
1.362450e+03 2.71801378e+00
1.362520e+03 2.07643002e+00
1.362680e+03 1.31079301e+00
1.362840e+03 8.98663070e-01
1.362990e+03 6.51697773e-01
1.363150e+03 4.93966187e-01
1.363460e+03 3.12701046e-01
1.363770e+03 2.16233917e-01
1.364080e+03 1.59327903e-01
1.364390e+03 1.22811887e-01
1.364700e+03 9.81506013e-02
1.365330e+03 6.78002487e-02
1.365950e+03 5.05875909e-02
1.366570e+03 3.99000166e-02
1.367200e+03 3.28240147e-02
1.368440e+03 2.43090279e-02
1.369690e+03 1.95886465e-02
1.372180e+03 1.48183950e-02
1.374670e+03 1.25827795e-02
1.375000e+03 1.24214767e-02
1.377160e+03 1.13842522e-02
1.382140e+03 1.02267408e-02
1.387130e+03 9.73197018e-03
1.392110e+03 9.50038763e-03
1.402070e+03 9.35431118e-03
1.441940e+03 9.72964228e-03
1.500000e+03 1.06741887e-02
1.521660e+03 1.14394020e-02
1.625000e+03 1.52161639e-02
1.681110e+03 1.90840531e-02
1.687500e+03 1.95302158e-02
1.750000e+03 2.69309528e-02
1.812500e+03 4.10655860e-02
1.840550e+03 5.22936394e-02
1.843750e+03 5.35799826e-02
1.875000e+03 7.37198004e-02
1.906250e+03 1.09071927e-01
1.921880e+03 1.37730061e-01
1.937500e+03 1.79823321e-01
1.953130e+03 2.45090157e-01
1.968750e+03 3.53607524e-01
1.984380e+03 5.51248205e-01
1.992190e+03 7.14732770e-01
2.000000e+03 9.55155009e-01
2.008200e+03 1.34100589e+00
2.016400e+03 1.93979727e+00
2.027200e+03 3.10405292e+00
2.038000e+03 3.91997927e+00
2.048800e+03 3.16889055e+00
2.059600e+03 1.98287600e+00
2.068660e+03 1.31295747e+00
2.077710e+03 9.01618392e-01
2.086760e+03 6.46701452e-01
2.095820e+03 4.82532199e-01
2.113930e+03 2.95304573e-01
2.130000e+03 2.09392246e-01
2.132030e+03 1.98553528e-01
2.150140e+03 1.42927817e-01
2.168250e+03 1.08276684e-01
2.195000e+03 7.96721659e-02
2.204470e+03 6.96507833e-02
2.240690e+03 5.03963795e-02
2.260000e+03 4.47460413e-02
2.276900e+03 4.00811598e-02
2.292500e+03 3.77368289e-02
2.313120e+03 3.50746048e-02
2.325000e+03 3.44329449e-02
2.349340e+03 3.40559391e-02
2.357500e+03 3.45351725e-02
2.390000e+03 3.89846896e-02
2.406250e+03 4.30708600e-02
2.421770e+03 4.91911727e-02
2.422500e+03 4.95323682e-02
2.438750e+03 6.12397160e-02
