Ga-71(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
4464.84 5.19725
4483.53 4.89370
4502.21 4.64285
4539.59 4.19338
4576.96 3.72780
4614.33 3.16019
4633.02 2.79107
4642.37 2.56579
4651.71 2.29579
4661.05 1.95344
4665.72 1.73983
4670.40 1.48574
4675.07 1.18683
4677.40 1.03256
4679.74 0.913713
4682.08 0.958995
4683.24 1.17330
4683.83 1.38926
4684.41 1.72981
4685.00 2.26628
4685.58 3.12202
4686.16 4.52171
4686.75 6.90133
4687.33 11.1745
4687.62 14.5912
4687.92 19.4366
4688.21 26.4754
4688.50 36.9497
4688.79 52.8343
4689.08 76.8280
4689.54 135.266
4690.00 185.669
4690.46 162.767
4690.92 111.207
4691.30 79.4025
4691.69 58.7215
4692.07 45.2280
4692.45 36.1302
4693.22 25.1326
4693.98 19.0040
4694.75 15.2166
4695.52 12.6981
4697.05 9.61168
4698.58 7.82216
4700.11 6.66646
4703.18 5.26438
4706.24 4.43682
4709.31 3.87910
4715.44 3.14132
4721.57 2.63445
4727.70 2.22897
4739.95 1.53502
4752.21 0.882685
4758.34 0.572546
4764.47 0.324276
4766.01 0.286700
4767.54 0.267325
4769.07 0.273501
4770.60 0.315854
4772.14 0.410061
4773.67 0.579364
4775.20 0.859581
4776.73 1.30701
4778.26 2.01367
4779.80 3.13288
4781.33 4.93794
4782.86 7.92991
4784.39 13.1030
4785.93 22.5204
4786.69 30.0794
4787.46 40.7297
4788.22 55.8686
4788.99 77.2968
4790.50 141.823
4792.00 201.975
4793.51 183.076
4795.01 129.106
4796.38 92.2981
4797.74 68.7966
4799.11 53.8111
4800.47 43.9261
4803.20 32.3580
4805.93 26.3604
4811.39 21.6203
4816.85 22.0247
4822.30 27.0814
4827.76 39.9700
4830.49 52.0789
4833.22 71.1898
4835.95 102.020
4838.68 151.872
4842.34 256.647
4846.00 342.091
4849.66 293.672
4853.32 197.784
4855.61 152.335
4857.90 119.506
4862.49 78.9855
4867.07 56.8091
4871.66 43.5646
4876.24 35.0240
4880.82 29.1692
4889.99 21.7929
4899.16 17.3937
4908.33 14.4778
4926.66 10.7886
4945.00 8.42632
4963.33 6.64417
4981.67 5.16362
5000.00 4.04283
5012.37 3.95337
5018.55 4.52946
5024.73 6.12123
5027.82 7.63502
5030.91 9.97773
5034.00 13.6379
5037.10 19.4660
5040.19 29.0097
5043.28 45.1727
5046.37 73.5190
5049.46 123.922
5053.23 229.225
5057.00 329.758
5060.77 301.984
5064.54 214.913
5067.80 156.895
5071.06 118.613
5074.32 93.4502
5077.58 76.3637
5084.09 55.4675
5090.61 43.6283
5097.13 36.1963
5103.65 31.1690
5116.68 24.8803
5129.72 21.1436
5142.75 18.6786
5168.82 15.6247
5194.89 13.7920
5220.96 12.5522
5273.10 10.9276
5325.24 9.81840
5351.31 9.33516
5377.38 8.84657
5403.45 8.29419
5416.49 7.96156
5429.52 7.55814
5442.56 7.03787
5449.07 6.71358
5455.59 6.34063
5462.11 5.95604
5465.37 5.82059
5468.63 5.84824
5471.88 6.36922
5473.51 7.09932
5475.14 8.54124
5476.77 11.4613
5478.40 17.7379
5479.22 23.5015
5480.03 32.5636
5480.85 47.1915
5481.66 70.8508
5482.83 126.382
5484.00 178.547
5485.17 162.738
5486.34 116.298
5487.48 82.4756
5488.63 61.4960
5489.77 48.3849
5490.91 39.8090
5493.20 29.6772
