Ca-43(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
24174.5 0.843600
24175.6 1.19914
24176.6 1.79576
24177.7 2.81724
24178.9 4.51288
24180.0 5.63044
24181.2 4.49676
24182.3 2.81703
24183.6 1.65212
24184.9 1.04219
24186.1 0.705370
24187.4 0.505607
24188.7 0.379157
24189.9 0.294673
24192.5 0.192989
24195.0 0.136802
24197.6 0.102671
24202.6 0.0652480
24207.7 0.0464068
24212.8 0.0357258
24223.0 0.0250034
24243.3 0.0186774
24263.6 0.0197932
24283.9 0.0271618
24304.3 0.0493856
24314.4 0.0776048
24319.5 0.103134
24324.6 0.144736
24329.7 0.218837
24332.2 0.279395
24334.7 0.368549
24337.3 0.506256
24339.8 0.731195
24342.4 1.12047
24343.6 1.41818
24344.9 1.81329
24347.5 2.90095
24350.0 3.62189
24352.6 2.89560
24355.1 1.81243
24357.8 1.09193
24360.5 0.699535
24363.2 0.478181
24365.8 0.344950
24368.5 0.259727
24371.2 0.202343
24376.5 0.132810
24381.9 0.0939669
24387.3 0.0702154
24398.0 0.0439637
24408.7 0.0305436
24419.4 0.0227939
24440.8 0.0146490
24462.3 0.0106913
24483.7 0.00849883
24526.5 0.00639648
24569.4 0.00579829
24612.2 0.00669125
24633.7 0.00857604
24655.1 0.0141980
24665.8 0.0218709
24671.2 0.0293034
24676.5 0.0423337
24681.9 0.0684396
24684.6 0.0925558
24687.2 0.132695
24689.9 0.207358
24691.2 0.271026
24692.6 0.368874
24693.9 0.529243
24695.3 0.814381
24696.6 1.37295
24697.3 1.85239
24697.9 2.53628
24699.0 4.06490
24700.0 5.07101
24701.0 4.04872
24702.1 2.53595
24703.1 1.59330
24704.1 1.05220
24705.0 0.734183
24706.0 0.537075
24708.0 0.320223
24710.0 0.212053
24712.0 0.150451
24713.9 0.112563
24717.9 0.0701089
24721.8 0.0482404
24725.8 0.0355340
24733.7 0.0221166
24749.5 0.0118428
24765.3 0.00803176
24796.9 0.00517015
24828.5 0.00410658
24891.7 0.00329048
24954.9 0.00298184
25207.8 0.00277307
25460.7 0.00306745
25713.5 0.00374416
25966.4 0.00502120
26092.8 0.00604863
26219.3 0.00751133
26345.7 0.00965636
26472.1 0.0129081
26598.6 0.0179864
26725.0 0.0259440
26887.5 0.0408974
27050.0 0.0506516
27194.3 0.0428671
27266.4 0.0383291
27284.5 0.0391814
27302.5 0.0446670
27311.5 0.0535029
27320.6 0.0786594
27325.1 0.111869
27329.6 0.196560
27331.8 0.298725
27334.1 0.529253
27335.2 0.771713
27336.3 1.22589
27336.9 1.62277
27337.5 2.21637
27338.0 3.14692
27338.6 4.61403
27339.3 7.34985
27340.0 9.16712
27340.7 7.30825
27341.4 4.58132
27342.0 3.18810
27342.5 2.29622
27343.0 1.70108
27343.5 1.30838
27344.6 0.834330
27345.6 0.577870
27346.7 0.425350
27347.7 0.327856
27349.8 0.215425
27351.9 0.155717
27354.0 0.120311
27358.2 0.0822276
27362.4 0.0631071
27366.6 0.0521443
27375.0 0.0404948
27392.2 0.0309289
27409.3 0.0267798
27443.6 0.0224580
27512.2 0.0177055
27649.4 0.0122249
27786.6 0.00903127
27923.8 0.00704182
28198.1 0.00493785
28472.5 0.00416349
28746.9 0.00433557
28884.1 0.00489070
29021.3 0.00602007
29158.4 0.00830622
29227.0 0.0103215
29295.6 0.0134684
29364.2 0.0187027
29398.5 0.0226881
29432.8 0.0281680
29467.1 0.0359161
29501.4 0.0471717
29535.7 0.0638906
29570.0 0.0886766
29620.0 0.140537
29670.0 0.176508
29695.0 0.169205
29720.0 0.151080
29745.0 0.139334
29757.5 0.146282
29770.0 0.182624
29776.3 0.232446
29782.5 0.345645
29785.7 0.459564
29788.8 0.662035
29791.9 1.05519
29793.5 1.38756
29795.0 1.86488
29796.3 2.36986
29797.5 2.94190
29800.0 3.65456
29802.5 2.93366
29805.0 1.85464
29807.3 1.19455
29809.7 0.812840
29812.0 0.585113
29814.3 0.443276
29819.0 0.284910
29823.7 0.204286
29828.3 0.157550
29833.0 0.127934
29842.3 0.0934074
29861.0 0.0619924
29879.7 0.0471800
29917.0 0.0322015
29954.3 0.0242788
30029.0 0.0159033
30103.7 0.0116807
30178.3 0.00930326
30253.0 0.00792210
30402.3 0.00687437
30551.7 0.00758876
30626.4 0.00881966
30701.0 0.0110976
30775.7 0.0153698
30850.4 0.0240922
30887.7 0.0320351
30906.4 0.0376218
30925.0 0.0447796
30943.7 0.0540716
30962.4 0.0662450
30981.0 0.0822490
30999.7 0.103071
31019.8 0.131371
31039.9 0.163653
31080.0 0.203756
31100.1 0.191699
31120.2 0.163110
31160.3 0.102558
31202.4 0.0625048
31244.4 0.0407976
31286.5 0.0287490
31328.5 0.0218950
31370.6 0.0184120
31412.6 0.0188006
31433.7 0.0224461
31444.2 0.0266439
31454.7 0.0345260
31465.2 0.0510802
31470.5 0.0668354
31475.7 0.0937607
31481.0 0.145410
31483.6 0.190875
31486.2 0.262674
31488.9 0.386129
31491.5 0.621027
31492.8 0.824687
31494.1 1.13385
31495.4 1.62274
31496.1 1.97137
31496.7 2.40177
31497.6 3.07641
31498.4 3.83772
31500.0 4.79477
31500.8 4.50975
31501.6 3.83713
31503.3 2.40108
31504.6 1.60346
31506.0 1.11006
31507.3 0.801794
31508.7 0.601829
31511.4 0.371848
31514.1 0.252113
31516.8 0.182206
31519.4 0.138361
31524.8 0.0884009
31530.2 0.0621694
31535.6 0.0467631
31546.4 0.0302435
31557.2 0.0219789
31568.0 0.0172214
31589.5 0.0121328
31611.1 0.00952292
31632.7 0.00794573
31675.8 0.00611086
31762.1 0.00432663
31848.4 0.00339244
32020.9 0.00238060
32193.5 0.00183631
32538.6 0.00127471
32883.7 0.00100159
33573.9 0.000774180
34264.1 0.000750016
34954.4 0.000914617
35299.5 0.00112459
35644.6 0.00152132
35989.7 0.00234506
36162.2 0.00311826
36334.8 0.00442337
36507.4 0.00686980
36593.6 0.00897585
36679.9 0.0122421
36766.2 0.0176653
36809.3 0.0217987
36852.5 0.0274928
36895.6 0.0355641
36938.7 0.0473317
36981.9 0.0648752
37025.0 0.0909869
37056.3 0.116340
37087.5 0.145259
37150.0 0.181101
37181.3 0.170260
37212.5 0.144623
37275.0 0.0903703
37317.6 0.0646363
37360.2 0.0472780
37402.7 0.0355853
37445.3 0.0275371
37530.5 0.0176997
37615.6 0.0122517
37700.8 0.00896105
37785.9 0.00683539
37956.3 0.00435921
38126.6 0.00303208
38296.9 0.00224082
38637.5 0.00138481
38978.1 0.000955499
39318.8 0.000709271
40000.0 0.000450319
40000.0 0.0242712
50000.0 0.0228851
60000.0 0.0200366
70000.0 0.0179067
80000.0 0.0162456
90000.0 0.0149088
100000 0.0138065
112500 0.0127026
125000 0.0117900
150000 0.0103631
175000 0.00929229
200000 0.00845455
225000 0.00783704
250000 0.00732298
252023 0.00728507
276012 0.00687080
300000 0.00651180
325000 0.00601768
350000 0.00559368
381514 0.00513787
381515 0.00513786
400000 0.00490369
425000 0.00460310
450000 0.00433659
475000 0.00409870
500000 0.00388510
525000 0.00374898
550000 0.00362365
575000 0.00350780
600000 0.00340035
607327 0.00336057
629175 0.00324738
650000 0.00314647
675000 0.00303343
700000 0.00292834
712500 0.00289979
725000 0.00287200
737500 0.00284495
750000 0.00281860
762500 0.00279292
775000 0.00276790
787500 0.00274349
800000 0.00271967
812500 0.00270177
825000 0.00268425
837500 0.00266711
850000 0.00265033
862500 0.00263390
875000 0.00261781
887500 0.00260204
900000 0.00258658
912500 0.00257482
925000 0.00256327
950000 0.00254079
951981 0.00253904
975991 0.00251824
1.00000E+06 0.00249810
1.01351E+06 0.00248721
1.03541E+06 0.00246997
1.05730E+06 0.00245320
1.07865E+06 0.00243729
1.10000E+06 0.00242179
1.12500E+06 0.00240414
1.15000E+06 0.00238700
1.17500E+06 0.00237035
1.20000E+06 0.00235416
1.21448E+06 0.00235053
1.22646E+06 0.00234756
1.23844E+06 0.00234463
1.25042E+06 0.00234172
1.26240E+06 0.00233885
1.26619E+06 0.00233795
1.28310E+06 0.00233396
1.30000E+06 0.00233004
1.31250E+06 0.00232717
1.32500E+06 0.00232433
1.33750E+06 0.00232152
1.35000E+06 0.00231875
1.36250E+06 0.00231600
1.37500E+06 0.00231328
1.38750E+06 0.00231059
1.40000E+06 0.00230792
1.42721E+06 0.00229499
1.42721E+06 0.00229499
1.43588E+06 0.00229094
1.45191E+06 0.00228353
1.46794E+06 0.00227623
1.48397E+06 0.00226903
1.50000E+06 0.00226193
1.52500E+06 0.00225104
1.55000E+06 0.00224039
1.57500E+06 0.00222995
1.60000E+06 0.00221973
1.61584E+06 0.00219177
1.63168E+06 0.00216444
1.64363E+06 0.00214422
1.65558E+06 0.00212433
1.66752E+06 0.00210477
1.67947E+06 0.00208552
1.70000E+06 0.00205318
1.71719E+06 0.00202677
1.71720E+06 0.00202677
1.73790E+06 0.00199576
1.75860E+06 0.00196558
1.77930E+06 0.00193621
1.80000E+06 0.00190761
1.81273E+06 0.00188809
1.82364E+06 0.00187163
1.83455E+06 0.00185540
1.84546E+06 0.00183942
1.85637E+06 0.00182366
1.86727E+06 0.00180813
1.87818E+06 0.00179282
1.88909E+06 0.00177773
1.90000E+06 0.00176285
1.91161E+06 0.00174724
1.92323E+06 0.00173187
1.93484E+06 0.00171672
1.94645E+06 0.00170179
1.94646E+06 0.00170178
1.96155E+06 0.00168270
1.97665E+06 0.00166397
1.98833E+06 0.00164973
2.00000E+06 0.00163569
2.00336E+06 0.00163121
2.01632E+06 0.00161413
2.02928E+06 0.00159732
2.04224E+06 0.00158080
2.05520E+06 0.00156456
2.07475E+06 0.00154055
2.09430E+06 0.00151714
2.10000E+06 0.00151042
2.11584E+06 0.00149200
2.11584E+06 0.00149199
2.12945E+06 0.00147645
2.14306E+06 0.00146117
2.14307E+06 0.00146117
2.15207E+06 0.00145120
2.15207E+06 0.00145119
2.17287E+06 0.00142858
2.19367E+06 0.00140652
2.20000E+06 0.00139992
2.21906E+06 0.00137966
2.23811E+06 0.00135985
2.25717E+06 0.00134050
2.27622E+06 0.00132158
2.29254E+06 0.00130571
2.30000E+06 0.00129856
2.30181E+06 0.00129684
2.31394E+06 0.00128537
2.32606E+06 0.00127406
2.32606E+06 0.00127405
2.34455E+06 0.00125712
2.36303E+06 0.00124054
2.38152E+06 0.00122430
2.40000E+06 0.00120840
2.41660E+06 0.00119669
2.43319E+06 0.00118516
2.44979E+06 0.00117383
2.46638E+06 0.00116268
2.46638E+06 0.00116268
2.48319E+06 0.00115157
2.50000E+06 0.00114064
2.52056E+06 0.00112750
2.54112E+06 0.00111463
2.56168E+06 0.00110200
2.58224E+06 0.00108962
2.58224E+06 0.00108962
2.60000E+06 0.00107911
2.60265E+06 0.00108060
2.60266E+06 0.00108060
2.61282E+06 0.00108632
2.62298E+06 0.00109204
2.63313E+06 0.00109776
2.64329E+06 0.00110350
2.65780E+06 0.00111171
2.67231E+06 0.00111993
2.68616E+06 0.00112779
2.70000E+06 0.00113566
2.70912E+06 0.00114086
2.71824E+06 0.00114606
2.72736E+06 0.00115127
2.73648E+06 0.00115648
2.74835E+06 0.00116327
2.76022E+06 0.00117008
2.76022E+06 0.00117008
2.77017E+06 0.00117579
2.78011E+06 0.00118151
2.79006E+06 0.00118723
2.80000E+06 0.00119296
2.82500E+06 0.00118309
2.85000E+06 0.00117338
2.87500E+06 0.00116384
2.90000E+06 0.00115446
2.91492E+06 0.00114894
2.91492E+06 0.00114894
2.93288E+06 0.00114236
2.95084E+06 0.00113586
2.96712E+06 0.00113003
2.98356E+06 0.00112421
3.00000E+06 0.00111845
3.02500E+06 0.00110988
3.05000E+06 0.00110144
3.07500E+06 0.00109313
3.10000E+06 0.00108496
3.12500E+06 0.00107690
3.15000E+06 0.00106898
3.17500E+06 0.00106117
3.20000E+06 0.00105348
3.22500E+06 0.00104370
3.25000E+06 0.00103408
3.27500E+06 0.00102462
3.30000E+06 0.00101532
3.32500E+06 0.00100617
3.35000E+06 0.000997173
3.37500E+06 0.000988323
3.40000E+06 0.000979615
3.45000E+06 0.000974464
3.50000E+06 0.000969413
3.55000E+06 0.000964459
3.60000E+06 0.000959600
3.65000E+06 0.000944564
