Co-59(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
21329.5 0.357900
21330.6 0.182424
21331.6 0.113255
21333.7 0.0592249
21335.8 0.0391543
21340.0 0.0241904
21344.3 0.0188629
21352.7 0.0151075
21361.1 0.0139144
21394.8 0.0134615
21462.2 0.0152870
21597.0 0.0212136
21956.0 0.0431502
22135.5 0.0397931
22225.3 0.0369421
22315.0 0.0378565
22406.0 0.0477471
22538.0 0.0785521
22604.0 0.0676992
22670.0 0.0458772
22720.9 0.0335956
22771.8 0.0255348
22873.5 0.0166658
22975.3 0.0123339
23077.0 0.00995862
23280.5 0.00778652
23484.0 0.00736226
23687.5 0.00832770
23891.0 0.0115566
23992.8 0.0149748
24043.6 0.0175494
24094.5 0.0210216
24145.4 0.0257849
24170.8 0.0288212
24196.3 0.0324095
24247.1 0.0416613
24298.0 0.0542720
24343.0 0.0680758
24388.0 0.0821319
24433.0 0.0913501
24478.0 0.0906910
24568.0 0.0670674
24658.0 0.0443431
24764.5 0.0312636
24871.0 0.0293632
24924.3 0.0327895
24977.5 0.0410483
25030.8 0.0584371
25084.0 0.0945195
25174.0 0.189798
25219.0 0.160255
25264.0 0.103286
25307.5 0.0660048
25351.0 0.0445856
25394.5 0.0320754
25438.0 0.0243753
25524.9 0.0160186
25611.9 0.0120879
25698.9 0.0104757
25785.9 0.0113509
25829.3 0.0140265
25851.1 0.0168961
25872.8 0.0221081
25894.6 0.0326925
25905.5 0.0424765
25916.3 0.0587635
25927.2 0.0886676
25932.6 0.113888
25938.1 0.152070
25943.5 0.213591
25948.9 0.319710
25954.4 0.518968
25957.1 0.682713
25959.8 0.910799
25964.4 1.44446
25969.0 1.77744
25973.6 1.40835
25978.2 0.882211
25983.1 0.529107
25988.1 0.338650
25993.0 0.231856
25997.9 0.167919
26002.8 0.127020
26007.8 0.0995731
26017.6 0.0662642
26027.5 0.0477110
26037.3 0.0363615
26057.0 0.0237892
26076.7 0.0173420
26096.4 0.0135960
26135.8 0.00961292
26175.2 0.00763098
26214.6 0.00649430
26293.4 0.00530678
