50-Sn_n-tot
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
7.459760e+01 5.50980744e+00
7.460010e+01 5.49491813e+00
7.463010e+01 5.23697862e+00
7.464740e+01 5.13328368e+00
7.465490e+01 5.09079376e+00
7.467970e+01 5.00000067e+00
7.469720e+01 4.95718096e+00
7.470440e+01 4.94069928e+00
7.472920e+01 4.90191475e+00
7.474710e+01 4.88399552e+00
7.477880e+01 4.85488909e+00
7.479690e+01 4.84485976e+00
7.482830e+01 4.82942634e+00
7.487790e+01 4.81338025e+00
7.489650e+01 4.80895973e+00
7.492740e+01 4.80285207e+00
7.499610e+01 4.79362659e+00
7.500000e+01 4.79317484e+00
7.502650e+01 4.79008777e+00
7.509570e+01 4.78476886e+00
7.512230e+01 4.78305443e+00
7.512560e+01 4.78284274e+00
7.522470e+01 4.77826713e+00
7.529490e+01 4.77567697e+00
7.532380e+01 4.77482013e+00
7.542290e+01 4.77240593e+00
7.549420e+01 4.77097181e+00
7.551890e+01 4.77055128e+00
7.562110e+01 4.76881636e+00
7.569340e+01 4.76779959e+00
7.581930e+01 4.76627593e+00
7.609190e+01 4.76347664e+00
7.621570e+01 4.76234063e+00
7.632700e+01 4.76143245e+00
7.649040e+01 4.76016672e+00
7.661210e+01 4.75927862e+00
7.688880e+01 4.75737395e+00
7.700850e+01 4.75658324e+00
7.768580e+01 4.75228162e+00
7.780130e+01 4.75156938e+00
7.791960e+01 4.75085614e+00
7.859420e+01 4.74678461e+00
7.869430e+01 4.74618610e+00
7.927960e+01 4.74281734e+00
7.938700e+01 4.74220680e+00
8.071680e+01 4.73468974e+00
8.087350e+01 4.73379131e+00
8.097260e+01 4.73322581e+00
8.106160e+01 4.73271983e+00
8.125000e+01 4.73168139e+00
8.351410e+01 4.71649725e+00
8.367930e+01 4.71539035e+00
8.414380e+01 4.71230148e+00
8.491270e+01 4.70719319e+00
8.579620e+01 4.70146392e+00
8.631130e+01 4.69818328e+00
8.724900e+01 4.69270552e+00
8.731510e+01 4.69231802e+00
8.750000e+01 4.69123401e+00
8.770990e+01 4.68969939e+00
8.910850e+01 4.68170235e+00
8.980780e+01 4.67979180e+00
9.050720e+01 4.68099519e+00
9.053080e+01 4.68117490e+00
9.062500e+01 4.68189752e+00
9.085680e+01 4.68331339e+00
9.103160e+01 4.68516627e+00
9.120650e+01 4.68770077e+00
9.129390e+01 4.68927337e+00
9.138130e+01 4.69108023e+00
9.146870e+01 4.69314957e+00
9.155610e+01 4.69551244e+00
9.164350e+01 4.69820597e+00
9.173100e+01 4.70127044e+00
9.181840e+01 4.70475637e+00
9.190580e+01 4.70871924e+00
9.199320e+01 4.71322532e+00
9.208060e+01 4.71835026e+00
9.225540e+01 4.73083773e+00
9.243030e+01 4.74712343e+00
9.260510e+01 4.76856071e+00
9.277990e+01 4.79713525e+00
9.295470e+01 4.83584628e+00
9.312960e+01 4.88939744e+00
9.330440e+01 4.96546803e+00
9.347920e+01 5.07727244e+00
9.362450e+01 5.21993099e+00
9.365410e+01 5.24899051e+00
9.365750e+01 5.25442984e+00
9.375000e+01 5.40241154e+00
9.382890e+01 5.52845076e+00
9.400370e+01 6.02169608e+00
9.409110e+01 6.42029058e+00
9.417850e+01 7.00094438e+00
9.426590e+01 7.88882628e+00
9.435340e+01 9.33449585e+00
9.444080e+01 1.18954144e+01
9.448450e+01 1.39697168e+01
9.452820e+01 1.69898468e+01
9.457190e+01 2.15800769e+01
9.461560e+01 2.88953281e+01
9.465930e+01 4.11175183e+01
9.470300e+01 6.19068455e+01
9.475150e+01 9.74259571e+01
9.480000e+01 1.22058953e+02
9.484850e+01 9.97270701e+01
9.489700e+01 6.47979916e+01
9.493690e+01 4.52687293e+01
9.497670e+01 3.30497761e+01
9.501660e+01 2.53415158e+01
9.505650e+01 2.03003675e+01
9.513620e+01 1.44409670e+01
9.521590e+01 1.13426522e+01
9.526540e+01 1.02125607e+01
9.529570e+01 9.52080863e+00
9.531250e+01 9.27659836e+00
9.537540e+01 8.36226473e+00
9.553490e+01 7.02697168e+00
9.569440e+01 6.31392393e+00
9.585380e+01 5.88694970e+00
9.601330e+01 5.60987815e+00
9.617280e+01 5.41903087e+00
9.649170e+01 5.17840065e+00
9.681060e+01 5.03628459e+00
9.687500e+01 5.01765982e+00
9.712960e+01 4.94310008e+00
9.744850e+01 4.87775794e+00
9.808640e+01 4.79229357e+00
9.843750e+01 4.76245961e+00
9.872430e+01 4.73810988e+00
9.936210e+01 4.69969486e+00
1.000000e+02 4.67015969e+00
1.008400e+02 4.63730345e+00
1.011600e+02 4.62483318e+00
1.013920e+02 4.61736751e+00
1.016800e+02 4.60726152e+00
1.017400e+02 4.60517231e+00
1.023210e+02 4.58724584e+00
1.025200e+02 4.58231689e+00
1.027850e+02 4.57590263e+00
1.029010e+02 4.57276622e+00
1.031910e+02 4.56782617e+00
1.033600e+02 4.56774271e+00
1.034810e+02 4.56778614e+00
1.036930e+02 4.57685223e+00
1.037710e+02 4.58018859e+00
