Eu-151(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
30.3580 170.703
30.3890 121.146
30.4199 91.5440
30.4508 72.8182
30.5127 52.4932
30.5746 44.7935
30.6365 47.1424
30.6674 53.9799
30.6983 68.3544
30.7293 98.1707
30.7602 161.124
30.7851 246.174
30.8100 302.656
30.8349 244.617
30.8598 158.119
30.8811 108.850
30.9024 78.7899
30.9236 60.2042
30.9449 48.2471
30.9874 34.6681
31.0300 27.8269
31.1151 22.3918
31.2002 22.3818
31.2852 27.2263
31.3278 32.6198
31.3703 41.8065
31.4129 58.2748
31.4554 90.7075
31.4767 119.413
31.4980 164.289
31.5192 237.321
31.5405 357.615
31.5529 455.855
31.5653 567.992
31.5900 707.953
31.6148 567.246
31.6395 356.467
31.6680 206.775
31.6965 129.815
31.7250 88.1968
31.7536 63.8508
31.7821 48.5700
31.8106 38.4189
31.8676 26.2415
31.9246 19.5096
31.9817 15.4032
32.0957 10.8544
32.2098 8.52639
32.3238 7.19304
32.5519 5.89818
32.7800 5.56867
33.0081 6.16235
33.1222 7.21536
33.2362 9.89655
33.2932 12.9869
33.3503 19.5760
33.3788 26.0283
33.4073 37.3330
33.4358 59.0336
33.4501 77.3254
33.4643 103.489
33.4872 162.713
33.5100 202.168
33.5329 162.692
33.5557 103.530
33.5708 76.0821
33.5860 57.3701
33.6163 35.8444
33.6465 25.0157
33.6768 19.0108
33.7373 13.1147
33.7979 10.5576
33.9190 8.81183
34.0401 8.83543
34.1611 9.97475
34.2822 12.8175
34.3428 15.7209
34.4033 21.3353
34.4336 26.5269
34.4639 35.3946
34.4941 52.3146
34.5244 87.6289
34.5472 132.278
34.5700 162.426
34.5929 134.402
34.6157 92.0403
34.6399 64.5616
34.6641 50.8492
34.7126 42.2221
34.7610 44.9876
34.8094 55.9251
34.8578 78.7913
34.8820 98.2648
34.9063 127.414
34.9305 173.085
34.9547 248.743
34.9668 305.613
34.9789 382.018
34.9910 485.563
35.0031 624.435
35.0266 993.610
35.0500 1239.36
35.0735 993.010
35.0969 623.777
35.1118 458.390
35.1267 343.728
35.1564 208.851
35.1862 139.402
35.2159 100.223
35.2456 76.3470
35.2754 60.9201
35.3349 43.2451
35.3944 34.3731
35.4539 29.8884
35.5729 28.1475
35.6918 34.3752
35.7513 42.0518
35.8108 55.8288
35.8703 82.4275
35.9001 105.631
35.9298 141.920
35.9596 202.809
35.9744 249.640
35.9893 314.720
36.0042 408.020
36.0191 545.841
36.0339 754.861
36.0488 1072.26
36.0694 1709.97
36.0900 2135.08
36.1106 1709.19
36.1312 1071.53
36.1443 786.238
36.1573 588.428
36.1835 355.938
36.2096 236.233
36.2358 168.661
36.2619 127.418
36.2880 100.701
36.3403 69.8808
36.3926 54.0978
36.4449 45.7189
36.5494 40.7032
36.6540 47.4468
36.7062 56.9498
36.7585 74.2741
36.8108 107.489
36.8369 135.979
36.8631 179.615
36.8892 250.571
36.9153 374.899
36.9284 473.542
36.9415 612.792
36.9545 812.403
36.9676 1096.84
36.9888 1747.98
37.0100 2182.04
37.0312 1747.00
37.0524 1095.77
37.0658 804.983
37.0792 603.317
37.1061 365.971
37.1329 243.575
37.1597 174.467
37.1865 132.323
37.2134 105.098
37.2670 73.9693
37.2670 73.9614
37.2671 73.9376
37.2671 73.9138
37.2672 73.8702
37.2675 73.7793
37.2679 73.6022
37.2688 73.2472
37.2707 72.5497
37.2743 71.2027
37.2816 68.6942
37.2961 64.3271
37.3252 57.7417
37.3834 50.8207
37.4416 50.2258
37.4998 56.1375
37.5580 72.3031
37.5870 87.4419
37.6161 111.339
37.6452 150.847
37.6743 220.616
37.6889 276.115
37.7034 354.404
37.7180 466.591
37.7325 626.207
37.7563 993.611
37.7800 1238.30
37.8038 992.216
37.8275 623.907
37.8482 410.949
37.8690 282.647
37.8897 204.129
37.9104 154.010
37.9519 97.1979
37.9933 67.9245
38.0348 51.0456
38.0762 40.4903
38.1591 28.6271
38.2420 22.6032
38.3249 19.3156
38.4907 16.8104
38.6565 17.7817
38.8223 23.2782
38.9052 29.8317
38.9881 43.3158
39.0296 56.2338
39.0710 79.1510
39.0917 98.1232
39.1125 126.601
39.1228 146.434
39.1332 171.604
39.1435 203.753
39.1539 244.585
39.1654 301.225
39.1770 366.072
39.2000 456.847
39.2231 412.118
39.2461 345.998
39.2668 341.643
39.2875 401.060
39.2978 460.671
39.3081 547.228
39.3185 668.935
39.3288 834.891
39.3494 1295.01
39.3700 1601.13
39.3803 1506.46
39.3906 1283.38
39.4112 810.479
39.4265 569.554
39.4418 412.527
39.4570 309.758
39.4723 240.701
39.5029 158.322
39.5334 113.928
39.5640 87.8392
39.5945 71.6246
39.6556 54.8624
39.7167 50.3694
39.7778 57.7885
39.8084 69.6947
39.8389 94.1938
39.8695 148.341
39.8847 199.384
39.9000 279.076
39.9100 350.563
39.9200 432.261
39.9400 534.103
39.9600 431.241
39.9800 277.179
40.0005 176.386
40.0211 120.717
40.0416 88.9791
40.0621 69.7470
40.1032 49.1100
40.1442 39.1594
40.2263 30.8871
40.3085 28.5842
40.4727 31.0490
40.6369 40.7539
40.7190 49.5502
40.8011 62.9047
40.8832 84.0773
40.9654 120.075
41.0064 148.214
41.0475 188.090
41.0885 247.098
41.1296 339.336
41.1706 494.275
41.2117 779.960
41.2322 1018.84
41.2528 1373.15
41.2733 1912.81
41.2938 2735.71
41.3219 4372.18
41.3500 5461.18
41.3781 4368.03
41.4062 2731.30
41.4271 1897.80
41.4479 1355.69
41.4688 1002.18
41.4897 765.225
41.5314 483.395
41.5731 331.630
41.6149 241.836
41.6566 184.844
41.7401 120.379
41.8235 88.6703
41.9070 75.5661
41.9487 76.3670
41.9904 86.2416
42.0322 117.678
42.0530 152.463
42.0739 212.804
42.0970 315.429
42.1200 383.313
42.1431 312.123
42.1661 206.276
42.1967 122.929
42.2273 83.3771
42.2579 62.9204
42.2885 51.1416
42.3498 38.7871
42.4110 32.8036
42.5334 28.1080
42.6559 28.6027
42.7783 34.8070
42.8395 41.8727
42.9007 54.4741
42.9620 78.7611
42.9926 99.8914
43.0232 132.809
