78-Pt_n-tot
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
1.000000e+00 1.21016321e+01
1.215180e+00 1.19325172e+01
1.234040e+00 1.19178125e+01
1.311130e+00 1.18707633e+01
1.348960e+00 1.18477688e+01
1.500000e+00 1.17571335e+01
1.510460e+00 1.17516263e+01
1.522020e+00 1.17456717e+01
1.552750e+00 1.17298573e+01
1.570060e+00 1.17212275e+01
1.595050e+00 1.17087848e+01
1.618100e+00 1.16978304e+01
1.630860e+00 1.16917777e+01
1.659590e+00 1.16781829e+01
1.679630e+00 1.16687774e+01
1.714180e+00 1.16538950e+01
1.848810e+00 1.15961045e+01
1.906350e+00 1.15737729e+01
2.000000e+00 1.15375445e+01
2.028560e+00 1.15278028e+01
2.041740e+00 1.15233071e+01
2.090400e+00 1.15067700e+01
2.152230e+00 1.14857572e+01
2.159280e+00 1.14833627e+01
2.193860e+00 1.14716564e+01
2.262940e+00 1.14483504e+01
2.275900e+00 1.14447039e+01
2.276810e+00 1.14444482e+01
2.387720e+00 1.14134271e+01
2.511890e+00 1.13788543e+01
2.523240e+00 1.13757095e+01
2.750000e+00 1.13129857e+01
2.769840e+00 1.13081339e+01
2.815470e+00 1.12971707e+01
2.861110e+00 1.12863762e+01
2.952380e+00 1.12653956e+01
2.990650e+00 1.12570586e+01
3.090300e+00 1.12354477e+01
3.134920e+00 1.12258372e+01
3.138560e+00 1.12251297e+01
3.500000e+00 1.11549981e+01
3.600000e+00 1.11373835e+01
3.745820e+00 1.11133752e+01
3.801900e+00 1.11041864e+01
3.874850e+00 1.10923249e+01
3.903920e+00 1.10880483e+01
4.149700e+00 1.10519879e+01
4.400000e+00 1.10226226e+01
4.677350e+00 1.09901354e+01
4.691670e+00 1.09884712e+01
4.855940e+00 1.09694599e+01
5.000000e+00 1.09528023e+01
5.079230e+00 1.09456423e+01
5.363670e+00 1.09227178e+01
5.520050e+00 1.09126422e+01
5.648110e+00 1.09044036e+01
5.754400e+00 1.09005436e+01
5.876370e+00 1.08962337e+01
6.040100e+00 1.08905463e+01
6.216990e+00 1.08844352e+01
7.079460e+00 1.09357829e+01
7.360230e+00 1.09526883e+01
7.500000e+00 1.09611459e+01
7.513040e+00 1.09634205e+01
7.551890e+00 1.09701966e+01
7.590750e+00 1.09769745e+01
7.609600e+00 1.09802623e+01
7.668470e+00 1.09936597e+01
7.812500e+00 1.10264374e+01
7.823910e+00 1.10290350e+01
7.908400e+00 1.10482769e+01
8.125000e+00 1.11190093e+01
8.134780e+00 1.11222041e+01
8.207200e+00 1.11458612e+01
8.709650e+00 1.14276996e+01
8.750000e+00 1.14503578e+01
8.756520e+00 1.14540202e+01
8.804800e+00 1.14811449e+01
9.402400e+00 1.21780597e+01
1.000000e+01 1.37887629e+01
1.035010e+01 1.58296243e+01
1.070030e+01 2.00714274e+01
1.087530e+01 2.40915263e+01
1.105040e+01 3.09462628e+01
1.113790e+01 3.63230288e+01
1.122550e+01 4.39657345e+01
1.131300e+01 5.53185592e+01
1.135680e+01 6.31710837e+01
1.140050e+01 7.31732029e+01
1.145530e+01 9.00790026e+01
1.151010e+01 1.14493008e+02
1.154660e+01 1.39102445e+02
1.156500e+01 1.51508301e+02
1.161980e+01 2.11273211e+02
1.162410e+01 2.18264883e+02
1.164720e+01 2.55824798e+02
1.167460e+01 3.16232973e+02
1.170200e+01 4.00740377e+02
1.172940e+01 5.23205688e+02
1.175680e+01 7.08466287e+02
1.178420e+01 1.00211531e+03
1.181160e+01 1.48984596e+03
1.183900e+01 2.31335640e+03
1.186950e+01 3.71144638e+03
1.190000e+01 4.65763191e+03
1.193050e+01 3.74816737e+03
1.196100e+01 2.35971816e+03
1.199220e+01 1.44994618e+03
1.202330e+01 9.44492350e+02
1.205440e+01 6.54737696e+02
1.208560e+01 4.78337521e+02
1.211670e+01 3.64431969e+02
1.214790e+01 2.87201255e+02
1.221020e+01 1.92691965e+02
1.227250e+01 1.39518851e+02
1.233470e+01 1.06745762e+02
1.245930e+01 7.01594643e+01
1.258390e+01 5.12577360e+01
1.270850e+01 4.02189318e+01
1.283310e+01 3.32017557e+01
1.295760e+01 2.84560284e+01
1.318260e+01 2.31798430e+01
1.320680e+01 2.26123773e+01
1.345590e+01 1.92699912e+01
