Cd-108(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3083.07 62.3654
3083.37 89.7346
3083.67 134.311
3083.97 210.256
3084.27 341.684
3084.61 585.474
3084.95 783.917
3085.29 670.312
3085.63 445.758
3085.97 293.388
3086.30 203.283
3086.63 148.862
3086.97 114.257
3087.30 91.0779
3087.63 74.8326
3088.30 54.1142
3088.97 41.8166
3089.63 33.8870
3090.96 24.4887
3092.30 19.2443
3093.63 15.9675
3094.96 13.7497
3096.29 12.1631
3098.96 10.0594
3101.62 8.73928
3104.29 7.83885
3106.95 7.18748
3112.28 6.30919
3117.61 5.74462
3122.94 5.34997
3128.27 5.05741
3138.93 4.64868
3149.59 4.37226
3154.92 4.26425
3160.25 4.17284
3162.91 4.13554
3165.58 4.11286
3166.91 4.11898
3168.24 4.17238
3168.91 4.26192
3169.24 4.35435
3169.58 4.52354
3169.91 4.87818
3170.08 5.22151
3170.24 5.81826
3170.41 7.01077
3170.49 8.09742
3170.58 9.89622
3170.66 13.2380
3170.70 16.0648
3170.74 20.2454
3170.78 27.1341
3170.83 38.7508
3170.87 61.1194
3170.91 104.539
3170.94 164.723
3170.98 204.963
3171.01 164.624
3171.05 104.408
3171.09 60.9956
3171.13 38.6436
3171.17 26.8318
3171.22 20.0381
3171.26 15.8297
3171.30 13.0619
3171.38 9.78200
3171.47 7.99581
3171.55 6.92023
3171.72 5.75227
3171.89 5.15912
3172.05 4.82067
3172.39 4.46487
3172.72 4.29093
3173.06 4.19207
3173.73 4.08730
3175.07 3.99971
3176.41 3.95757
3179.09 3.90607
3181.77 3.86731
3187.13 3.80083
3192.49 3.74058
3203.21 3.63024
3208.57 3.58279
3211.25 3.57837
3211.92 3.59352
3212.59 3.64634
3212.92 3.72202
3213.26 3.92785
3213.43 4.19334
3213.59 4.84743
3213.68 5.61404
3213.76 7.25492
3213.80 8.90646
3213.84 11.8629
3213.89 17.7142
3213.91 22.7860
3213.93 29.9970
3213.96 45.7159
3213.99 56.3970
3214.02 45.6805
3214.05 29.9519
3214.08 22.4533
3214.10 17.4773
3214.14 11.7331
3214.18 8.77537
3214.22 7.16864
3214.31 5.54081
3214.39 4.79441
3214.56 4.15464
3214.73 3.89579
3215.07 3.69132
3215.41 3.61262
3216.09 3.55000
3216.77 3.52347
3219.49 3.48053
3222.21 3.46838
3222.89 3.47939
3223.57 3.52196
3223.91 3.58465
3224.25 3.75686
3224.42 3.97911
3224.59 4.53211
3224.68 5.17870
3224.76 6.58994
3224.80 8.02679
3224.85 10.5500
3224.89 15.5392
3224.91 19.8671
3224.93 26.4724
3224.96 40.1439
3224.99 49.5282
3225.03 40.1283
3225.06 26.4523
3225.08 19.1209
3225.11 14.5630
3225.13 11.5140
3225.16 9.57692
3225.20 7.24619
3225.25 6.02485
3225.35 4.82867
3225.45 4.29484
3225.64 3.84425
3225.84 3.66545
3226.22 3.52418
3226.61 3.46925
3227.39 3.42349
3228.17 3.40209
3231.28 3.35783
3237.50 3.29308
3243.72 3.23794
3245.27 3.23240
3246.83 3.24728
3247.60 3.28251
3248.38 3.39480
3248.77 3.55282
3248.96 3.70731
3249.16 3.98087
3249.35 4.53727
3249.45 5.05424
3249.55 5.92722
3249.64 7.57070
3249.69 9.01211
3249.74 11.2169
3249.79 14.9946
3249.84 21.8023
3249.86 27.7366
3249.89 36.2014
3249.91 49.0098
3249.94 68.5097
3249.97 108.311
3250.00 133.914
3250.04 108.281
3250.07 68.4689
3250.09 50.9848
3250.11 38.4058
3250.16 23.8716
3250.20 16.5200
3250.24 12.4828
3250.29 9.96019
3250.33 8.35645
3250.42 6.44892
3250.51 5.41122
3250.59 4.79878
3250.77 4.13381
3250.94 3.79828
3251.12 3.60731
3251.46 3.40661
