As-75(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1157.00 4.51915
1180.38 4.16100
1203.75 3.78509
1227.13 3.34407
1238.82 3.08764
1250.50 2.81276
1256.35 2.68127
1262.19 2.57736
1268.03 2.55266
1273.88 2.74688
1276.80 3.03666
1279.72 3.59797
1282.64 4.68345
1285.56 6.87170
1287.02 8.78184
1288.49 11.6976
1289.95 16.3427
1291.41 24.1759
1292.87 38.4442
1293.60 50.1794
1294.33 67.3516
1295.06 93.5299
1295.79 135.042
1296.52 203.617
1297.25 318.510
1298.13 534.432
1299.00 700.589
1299.88 587.721
1300.75 385.329
1301.56 256.727
1302.37 179.051
1303.18 131.445
1303.99 100.879
1305.60 65.8028
1307.22 47.2976
1308.84 36.3264
1310.46 29.2486
1313.69 20.8759
1316.93 16.1984
1320.16 13.2467
1323.40 11.2071
1326.64 9.69109
1333.11 7.46416
1336.34 6.53373
1339.58 5.61949
1342.81 4.65281
1344.43 4.14347
1346.05 3.65946
1347.67 3.39643
1348.48 3.57160
1349.29 4.35274
1349.69 5.23147
1350.09 6.74269
1350.50 9.39830
1350.90 14.2269
1351.11 18.1263
1351.31 23.6433
1351.51 31.6883
1351.71 43.7937
1351.91 62.6949
1352.12 93.4566
1352.32 145.548
1352.52 235.068
1352.76 406.976
1353.00 551.186
1353.24 480.640
1353.48 327.640
1353.65 243.811
1353.83 186.125
1354.00 146.480
1354.17 118.672
1354.52 83.6659
1354.87 63.5618
1355.21 50.8858
1355.56 42.3860
1356.25 31.8976
1356.95 25.8284
1357.64 21.9362
1359.02 17.3003
1360.41 14.6612
1361.80 12.9630
1364.57 10.8974
1367.34 9.66910
1370.11 8.83880
1375.65 7.75073
1381.20 7.03296
1386.74 6.49502
1397.83 5.67408
1408.91 4.99477
1414.46 4.67796
1420.00 4.39257
1422.77 4.28599
1425.54 4.24309
1428.31 4.34492
1431.08 4.80188
1432.47 5.32608
1433.86 6.25405
1435.24 7.94612
1436.63 11.2179
1437.32 14.0115
1438.01 18.2204
1438.71 24.8496
1439.40 35.9176
1440.09 55.9026
1440.44 72.2638
1440.79 96.0845
1441.13 132.338
1441.48 189.573
1441.82 283.858
1442.17 441.461
1442.59 737.182
1443.00 961.975
1443.42 801.201
1443.83 521.377
1444.11 386.300
1444.38 292.468
1444.93 182.086
1445.49 124.596
1446.04 91.6596
1446.59 71.0900
1447.14 57.4343
1448.24 40.8937
1449.35 31.5746
1450.45 25.7549
1452.65 19.0695
1454.86 15.4371
1457.07 13.1963
1459.27 11.6882
1461.48 10.6065
1465.89 9.14780
1470.30 8.17600
1472.51 7.77736
1473.61 7.58787
1474.71 7.40251
1475.81 7.22790
1476.37 7.15757
1476.92 7.12712
1477.47 7.21908
1477.74 7.39057
1478.02 7.77246
1478.30 8.66385
1478.43 9.53956
1478.57 11.0118
1478.71 13.7047
1478.85 19.0984
1478.92 23.8982
1478.98 31.3759
1479.05 43.4097
1479.12 62.5828
1479.17 80.5814
1479.21 102.022
1479.30 132.950
1479.39 113.666
1479.48 77.6875
1479.58 51.0049
1479.68 36.2627
1479.78 27.8293
1479.87 22.7054
1479.97 19.3202
1480.07 17.0113
1480.27 14.0947
1480.47 12.3869
1480.66 11.2892
1481.06 9.98659
1481.45 9.25146
1481.84 8.78207
1482.63 8.21414
1483.42 7.87530
1484.21 7.64347
1485.79 7.33055
1487.36 7.11439
