Ag-109(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
200.570 0.168273
201.140 0.171165
202.281 0.203856
203.421 0.268930
204.561 0.392475
205.131 0.497701
205.701 0.658949
206.271 0.923686
206.842 1.40301
207.127 1.80367
207.412 2.41037
207.697 3.39281
207.982 5.13842
208.124 6.57231
208.267 8.70451
208.409 12.0754
208.552 17.8630
208.623 22.4550
208.695 29.0625
208.766 39.0468
208.801 46.0515
208.837 55.0931
208.873 67.0653
208.908 83.2466
208.944 105.856
208.980 138.620
209.015 188.347
209.051 267.105
209.086 398.118
209.122 619.795
209.161 987.768
209.200 1231.42
209.240 982.518
209.279 611.685
209.318 376.364
209.358 244.961
209.397 169.125
209.436 122.723
209.475 92.6223
209.514 72.2364
209.593 47.2769
209.671 33.2319
209.750 24.6077
209.907 15.0213
210.063 10.1045
210.220 7.25959
210.377 5.46643
210.534 4.26578
210.848 2.80682
211.161 1.98901
211.475 1.48508
211.789 1.15282
212.416 0.755784
213.044 0.536762
213.671 0.403320
214.299 0.316114
215.553 0.213227
216.808 0.158728
218.063 0.136239
218.377 0.141296
218.691 0.165301
218.848 0.199346
219.004 0.283027
219.083 0.376217
219.161 0.563598
219.200 0.734577
219.240 1.01110
219.279 1.48284
219.318 2.30759
219.359 3.64593
219.400 4.54346
219.441 3.64541
219.482 2.30606
219.513 1.61728
219.544 1.17500
219.575 0.888486
219.606 0.697223
219.668 0.470578
219.729 0.348597
219.853 0.229645
219.977 0.175728
220.224 0.128745
220.471 0.108496
220.966 0.0899570
221.460 0.0805308
223.439 0.0623408
227.395 0.0469195
231.352 0.0404398
235.309 0.0386213
239.265 0.0414159
243.222 0.0542571
245.200 0.0727161
246.189 0.0909448
247.179 0.123812
248.168 0.192977
248.662 0.260961
249.157 0.383392
249.404 0.485469
249.651 0.639870
249.899 0.889770
250.146 1.33414
250.270 1.69940
250.393 2.24309
250.517 3.10496
250.641 4.58780
250.764 7.47030
250.826 10.0500
250.888 14.2235
250.950 21.5922
251.012 36.2899
251.042 49.6291
251.073 71.1159
251.089 86.9185
251.104 107.592
251.120 135.115
251.135 170.945
251.151 219.001
251.168 273.551
251.200 341.624
251.216 321.365
251.233 273.177
251.265 170.899
251.295 108.946
251.325 72.7042
251.355 51.0814
251.385 37.5682
251.445 22.4870
251.505 14.8748
251.565 10.5333
251.625 7.84516
251.745 4.83081
251.864 3.27456
251.984 2.36953
252.104 1.79788
252.224 1.41448
252.464 0.948028
252.704 0.686750
252.943 0.526425
253.183 0.421592
253.663 0.298962
254.142 0.235442
255.101 0.187259
256.060 0.202811
256.540 0.240725
257.020 0.319947
257.499 0.496639
257.739 0.672434
257.979 0.987403
258.099 1.24725
258.218 1.63510
258.338 2.25043
258.458 3.31150
258.578 5.37554
258.638 7.22851
258.698 10.2258
258.758 15.5382
258.788 19.8553
258.818 26.1516
258.848 35.8334
258.878 51.4260
258.908 78.1054
258.938 124.545
258.969 199.353
259.000 249.000
259.031 199.069
259.062 124.511
259.084 88.2472
259.106 64.1369
259.128 48.0249
259.149 37.0057
259.193 23.6271
259.236 16.2662
259.279 11.8402
259.323 8.98962
259.410 5.67960
259.497 3.91000
259.583 2.85929
259.757 1.72697
259.931 1.16258
260.104 0.841828
260.278 0.642255
260.451 0.509760
260.799 0.350454
261.146 0.262347
261.840 0.174935
262.535 0.138966
263.229 0.134039
263.577 0.150434
263.750 0.170217
263.924 0.207209
264.098 0.282914
264.184 0.352594
264.271 0.467549
264.358 0.675285
264.445 1.10362
264.488 1.50596
264.532 2.17785
264.575 3.37712
264.618 5.59864
264.659 8.91290
264.700 11.1236
264.741 8.91357
264.782 5.59896
264.811 3.94661
264.841 2.85909
264.870 2.14239
264.900 1.65766
264.959 1.07594
265.018 0.759841
265.077 0.570710
265.135 0.449625
265.253 0.309340
265.371 0.234481
265.489 0.189991
265.725 0.141920
266.197 0.104271
266.668 0.0906832
267.612 0.0842339
268.555 0.0911391
269.499 0.114860
269.970 0.140205
270.442 0.186824
270.914 0.285170
271.149 0.380944
271.385 0.550532
271.621 0.894988
271.739 1.21847
271.857 1.76990
271.975 2.82408
272.034 3.75332
272.093 5.22756
272.152 7.76757
272.211 12.6191
272.240 16.8388
272.270 23.3374
272.299 33.7246
272.329 50.4138
272.364 80.6701
272.400 100.761
272.436 80.5693
272.472 50.4006
272.497 35.5489
272.522 25.7006
272.548 19.1678
272.573 14.7413
272.624 9.37681
272.675 6.44897
272.725 4.69203
272.776 3.56600
272.877 2.26157
272.979 1.56594
273.080 1.15324
273.283 0.709850
273.486 0.489717
273.689 0.365304
274.095 0.238631
274.501 0.182254
274.907 0.162246
275.110 0.168390
275.313 0.202301
275.414 0.247921
275.516 0.350182
275.566 0.452525
275.617 0.633057
275.668 0.981083
275.719 1.69483
275.759 2.64981
275.800 3.28397
275.841 2.64578
275.882 1.69147
275.913 1.18963
275.944 0.868178
275.976 0.661217
276.007 0.523730
276.070 0.361562
276.133 0.274590
276.258 0.189878
276.384 0.151319
276.635 0.117545
276.886 0.103044
277.891 0.0855552
279.900 0.0868274
280.905 0.0957773
281.909 0.116076
282.412 0.138667
282.914 0.192213
283.165 0.257169
283.291 0.316570
283.416 0.416041
283.542 0.603190
283.605 0.765874
283.667 1.02152
283.730 1.45475
283.793 2.26600
283.824 2.95523
283.856 3.99377
283.887 5.60779
283.918 8.11811
283.959 12.9185
284.000 16.1193
284.041 12.9220
284.082 8.12372
284.107 6.02177
284.132 4.55337
284.182 2.80101
284.232 1.88240
284.283 1.35865
284.333 1.03520
284.383 0.823852
284.484 0.574747
284.584 0.440634
284.685 0.361160
284.886 0.277560
285.288 0.220594
285.690 0.210955
286.494 0.240740
287.298 0.322468
288.102 0.504426
288.504 0.683858
288.906 1.00482
289.107 1.26992
289.308 1.66693
289.509 2.30048
289.710 3.40361
289.911 5.58511
290.011 7.57768
290.112 10.8716
290.212 16.8792
290.262 21.9200
290.313 29.5170
290.363 41.6934
290.413 62.5484
290.463 101.268
290.488 132.853
290.513 176.900
290.557 282.962
290.600 353.644
290.643 282.908
290.687 176.840
290.726 113.255
290.766 75.8549
290.805 53.4412
290.845 39.3784
290.924 23.6623
291.003 15.6907
291.082 11.1391
291.161 8.31719
291.320 5.15377
291.478 3.52068
291.636 2.57458
291.794 1.98126
291.953 1.58905
292.269 1.14008
292.585 0.974975
292.744 1.01684
292.902 1.26135
292.981 1.57943
293.060 2.25217
293.100 2.87984
293.139 3.90279
293.179 5.66676
293.218 8.76168
293.259 13.7258
293.300 17.0220
293.341 13.6934
293.382 8.72139
293.411 6.26678
293.440 4.63872
293.498 2.82162
293.556 1.92989
293.614 1.43873
293.731 0.946042
293.847 0.714228
294.080 0.502420
294.312 0.405536
294.778 0.313566
295.243 0.269267
296.174 0.230332
297.104 0.222893
298.035 0.240889
298.965 0.309810
299.431 0.403709
299.663 0.494032
299.896 0.652517
300.129 0.971632
300.245 1.26950
300.361 1.77480
300.478 2.73600
300.536 3.57791
300.594 4.90590
300.652 7.17540
300.710 11.4565
300.739 15.1322
300.768 20.7209
300.798 29.5061
300.827 43.3470
300.863 69.2667
300.900 86.4803
300.937 69.1838
300.974 43.3383
301.004 29.0874
301.034 20.2480
301.064 14.6929
301.094 11.0731
301.154 6.88685
301.214 4.69749
301.274 3.42065
301.334 2.61812
301.454 1.70647
301.574 1.22986
301.694 0.951406
301.934 0.657242
302.174 0.515244
302.414 0.437809
302.894 0.365037
303.855 0.332886
304.815 0.350633
306.736 0.457175
308.657 0.678899
309.617 0.869582
310.578 1.16191
311.538 1.64094
312.498 2.50502
312.979 3.22431
313.459 4.30924
313.939 6.05667
314.179 7.36114
314.419 9.13897
314.659 11.6496
314.899 15.3575
315.140 21.1606
315.380 30.9807
315.500 38.6582
315.620 49.5421
315.740 65.6990
315.860 91.0322
315.980 133.848
316.100 213.423
316.160 280.650
316.220 381.049
316.280 535.588
316.340 774.263
316.420 1239.39
316.500 1549.51
316.580 1238.80
316.660 773.653
316.744 465.560
316.828 297.901
316.911 203.163
316.995 146.193
317.079 109.699
317.163 85.1534
317.330 55.3631
317.497 38.7522
317.665 28.6031
318.000 17.3814
318.335 11.6594
318.670 8.35770
319.004 6.28326
319.339 4.89637
