Ba-134(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2211.40 7.06311
2211.44 4.95553
2211.48 3.66302
2211.56 2.23033
2211.64 1.49782
2211.72 1.07436
2211.88 0.631390
2212.04 0.414054
2212.20 0.292932
2212.52 0.168558
2213.16 0.0768152
2213.79 0.0439859
2215.07 0.0201473
2216.35 0.0117040
2221.46 0.00348934
2231.67 0.00142723
2252.10 0.000951285
2272.53 0.00102271
2282.75 0.00158161
2287.86 0.00381740
2290.41 0.0126081
2291.69 0.0465988
2292.01 0.0806042
2292.32 0.173380
2292.48 0.296336
2292.64 0.614691
2292.72 1.01320
2292.80 1.96793
2292.84 3.03719
2292.88 5.24245
2292.90 7.31765
2292.92 10.7911
2292.94 17.0091
2292.96 28.2462
2292.98 44.8751
2293.00 56.4320
2293.02 44.8754
2293.04 28.2467
2293.06 16.2013
2293.08 10.1400
2293.10 6.81849
2293.12 4.85808
2293.17 2.76415
2293.21 1.78850
2293.29 0.913617
2293.38 0.551995
2293.55 0.264005
2293.72 0.154310
2294.06 0.0715653
2294.40 0.0414104
2295.76 0.0112652
2298.47 0.00348597
2303.91 0.00151591
2314.78 0.00103606
2336.52 0.000963604
2380.00 0.00110218
2423.48 0.00141320
2445.22 0.00179091
2456.09 0.00261508
2461.53 0.00545536
2464.25 0.0163990
2464.93 0.0275495
2465.60 0.0586800
2465.94 0.101151
2466.28 0.216981
2466.45 0.370774
2466.62 0.774479
2466.71 1.28126
2466.75 1.75044
2466.79 2.50666
2466.84 3.91701
2466.88 6.79844
2466.90 9.53317
2466.92 14.1555
2466.94 22.5550
2466.96 38.5987
2466.98 61.6742
2467.00 77.1593
2467.02 61.6746
2467.04 38.5992
2467.06 22.0228
2467.08 13.5941
2467.10 9.05517
2467.13 6.40934
2467.17 3.65863
2467.21 2.35058
2467.26 1.62097
2467.30 1.19161
2467.39 0.720767
2467.57 0.344209
2467.74 0.201768
2468.10 0.0939448
2468.45 0.0545984
2469.16 0.0257128
2469.86 0.0154167
2472.69 0.00535469
2478.34 0.00288263
2489.64 0.00245568
2512.24 0.00289171
2534.85 0.00380560
2557.45 0.00541782
2580.05 0.00858217
2591.36 0.0114551
2602.66 0.0161943
2613.96 0.0248707
2619.61 0.0322163
2622.44 0.0372098
2625.26 0.0434902
2628.09 0.0515454
2629.50 0.0564541
2630.91 0.0621055
2632.32 0.0686673
2633.74 0.0763408
2635.15 0.0853921
2636.56 0.0961640
2637.98 0.109143
2639.39 0.124964
2640.80 0.144529
2642.21 0.169113
2643.63 0.200695
2645.04 0.242427
2646.45 0.302060
2647.16 0.355094
2647.51 0.439918
2647.69 0.656490
2647.78 1.18075
2647.82 2.11628
2647.84 3.22973
2647.86 5.45820
2647.88 8.59363
2647.90 10.5532
2647.92 8.59599
2647.94 5.46300
2647.96 3.45661
2647.98 2.36053
2648.01 1.36079
2648.09 0.759284
2648.24 0.514007
2648.55 0.451607
2649.16 0.477727
2650.38 0.603383
2651.59 0.798325
2652.81 1.10610
2654.03 1.62775
2654.64 2.03301
2655.25 2.60023
2655.86 3.42334
2656.47 4.65549
2657.08 6.56144
2657.69 9.51060
2658.50 15.2108
2659.30 19.0040
2660.11 15.1990
2660.91 9.49916
2661.66 6.02695
2662.41 4.00953
2663.16 2.81066
2663.92 2.06158
2665.42 1.23113
2666.92 0.812421
2668.42 0.574457
2669.92 0.427041
2672.93 0.262096
2675.93 0.177007
2678.94 0.127577
2681.94 0.0963674
2684.94 0.0754260
2690.95 0.0499696
2696.96 0.0357058
2702.97 0.0269403
2708.98 0.0211940
2721.00 0.0144306
2733.01 0.0108570
2745.03 0.00888186
2757.05 0.00786293
2781.08 0.00793261
2793.10 0.00924412
2805.11 0.0122279
2811.12 0.0149239
2817.13 0.0191508
2823.14 0.0261912
2829.15 0.0390452
2832.15 0.0498316
2835.16 0.0661883
2838.16 0.0927057
2839.66 0.112614
2841.16 0.139880
2841.91 0.157458
2842.67 0.178620
2843.42 0.204410
2844.17 0.236279
2844.92 0.276290
2845.67 0.327465
2846.42 0.394355
2847.17 0.484085
2847.92 0.608291
2848.67 0.787014
2849.42 1.05708
2850.18 1.49195
2850.55 1.81609
2850.93 2.25436
2851.30 2.86887
2851.68 3.75795
2852.05 5.10832
2852.43 7.25034
2852.80 10.8342
2853.18 16.9101
2853.59 27.0626
2854.00 33.8027
2854.41 27.0264
2854.82 16.9005
2855.22 10.5247
2855.62 6.90142
2856.02 4.78891
2856.42 3.48719
2856.82 2.64038
2857.22 2.06306
2858.02 1.35443
2858.82 0.954102
2859.62 0.707634
2861.22 0.432881
2862.82 0.291753
2864.42 0.209926
2866.02 0.158331
2867.61 0.123734
2870.81 0.0816814
2874.01 0.0580731
2877.21 0.0435111
2880.41 0.0339004
2886.80 0.0223996
2893.20 0.0160417
2899.60 0.0121602
2905.99 0.00962013
2918.78 0.00663104
2931.58 0.00511523
2937.97 0.00477757
2944.37 0.00499009
2950.76 0.00821268
2953.96 0.0222222
2954.76 0.0366759
2955.56 0.0771995
2955.96 0.132642
2956.36 0.285195
2956.56 0.488611
