Ba-134(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2647.16 6.77472
2647.51 7.48449
2647.69 8.04209
2647.78 8.74756
2647.82 9.78289
2647.84 10.9536
2647.86 13.2512
2647.88 16.4577
2647.90 18.4721
2647.92 16.5291
2647.94 13.4026
2647.96 11.4161
2647.98 10.3497
2648.01 9.42217
2648.09 8.98179
2648.24 9.07962
2648.55 9.76072
2649.16 11.5115
2650.38 16.3558
2651.59 23.9385
2652.81 36.4617
2654.03 58.7183
2654.64 76.5994
2655.25 102.225
2655.86 140.310
2656.47 198.742
2657.08 291.526
2657.69 439.404
2658.50 739.163
2659.30 970.079
2660.11 813.995
2660.91 533.127
2661.66 353.024
2662.41 244.867
2663.16 178.808
2663.92 136.504
2665.42 88.0880
2666.92 62.6210
2668.42 47.5632
2669.92 37.8782
2672.93 26.4830
2675.93 20.1934
2678.94 16.3007
2681.94 13.6909
2684.94 11.8368
2690.95 9.40108
2696.96 7.88671
2702.97 6.85860
2708.98 6.11529
2721.00 5.10613
2733.01 4.43999
2745.03 3.95032
2757.05 3.55643
2781.08 2.88306
2793.10 2.53992
2805.11 2.14397
2811.12 1.90852
2817.13 1.63386
2823.14 1.30465
2829.15 0.904379
2832.15 0.676278
2835.16 0.439130
2838.16 0.225139
2839.66 0.153855
2841.16 0.140298
2841.91 0.170710
2842.67 0.239468
2843.42 0.362307
2844.17 0.562205
2844.92 0.873445
2845.67 1.34846
2846.42 2.06985
2847.17 3.17233
2847.92 4.88517
2848.67 7.61929
2849.42 12.1600
2850.18 20.1359
2850.55 26.4391
2850.93 35.3022
2851.30 48.2148
2851.68 67.6126
2852.05 98.1964
2852.43 148.577
2852.80 236.263
2853.18 391.634
2853.59 668.176
2854.00 887.854
2854.41 753.889
2854.82 499.720
2855.22 328.878
2855.62 227.568
2856.02 166.395
2856.42 127.503
2856.82 101.460
2857.22 83.2126
2858.02 59.9748
2858.82 46.1881
2859.62 37.2995
2861.22 26.7680
2862.82 20.9025
2864.42 17.2385
2866.02 14.7622
2867.61 12.9903
2870.81 10.6428
2874.01 9.16958
2877.21 8.16409
2880.41 7.43573
2886.80 6.45187
2893.20 5.81727
2899.60 5.37222
2905.99 5.04125
2918.78 4.57773
2931.58 4.26417
2937.97 4.14135
2944.37 4.03491
2950.76 3.94427
2953.96 3.91625
2954.76 3.92144
2955.56 3.95497
2955.96 4.00985
2956.36 4.16989
2956.56 4.38758
2956.76 4.96847
2956.86 5.70813
2956.91 6.39040
2956.96 7.52949
2957.01 9.63729
2957.04 11.4299
2957.06 14.1772
2957.09 18.6615
2957.11 26.5844
2957.14 41.9464
2957.15 54.3708
2957.16 72.8652
2957.18 113.636
2957.20 141.717
2957.22 113.647
2957.24 72.7048
2957.26 43.7334
2957.28 28.8749
2957.31 20.7046
2957.33 15.8716
2957.35 12.8173
2957.37 10.7786
2957.42 8.32636
2957.46 6.97119
2957.50 6.14706
2957.59 5.24021
2957.68 4.77929
2957.77 4.51356
2957.94 4.23445
2958.30 4.02068
2958.65 3.93974
2959.35 3.87486
2960.06 3.84625
2962.87 3.79360
2968.51 3.72695
2974.14 3.66914
2979.78 3.61604
3002.31 3.43617
3047.38 3.17041
3069.92 3.06448
3092.45 2.96992
3103.72 2.92666
3114.99 2.88788
3120.62 2.87277
3126.25 2.86808
3129.07 2.87905
3131.89 2.92614
3133.30 2.99747
3134.00 3.06934
3134.70 3.19988
3135.41 3.47410
3135.76 3.74130
3136.11 4.21638
3136.29 4.60692
3136.46 5.18943
3136.64 6.11440
3136.82 7.71478
3136.99 10.8521
3137.08 13.6936
3137.17 18.3517
3137.26 26.7474
3137.30 33.7021
