Nd-148(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1299.01 200.706
1299.01 122.565
1299.02 82.3870
1299.02 58.0398
1299.03 40.0377
1299.03 30.4925
1299.05 18.3999
1299.06 12.2144
1299.07 8.67018
1299.08 6.46327
1299.10 4.06169
1299.12 2.74192
1299.14 1.97627
1299.19 1.18195
1299.23 0.782730
1299.27 0.563205
1299.36 0.336390
1299.53 0.166270
1299.71 0.105542
1300.05 0.0613793
1300.40 0.0459130
1301.79 0.0316609
1304.56 0.0304122
1310.10 0.0369151
1315.65 0.0491650
1321.19 0.0716993
1323.96 0.0905598
1326.74 0.119048
1328.12 0.139092
1328.82 0.151177
1329.51 0.164993
1330.20 0.180886
1330.90 0.199292
1331.59 0.220769
1332.28 0.246038
1332.98 0.276093
1333.67 0.312106
1334.36 0.355823
1335.05 0.409601
1335.75 0.476767
1336.44 0.562139
1337.13 0.672902
1337.83 0.820138
1338.52 1.02164
1339.21 1.30741
1339.91 1.73098
1340.60 2.39512
1341.29 3.51527
1341.64 4.38399
1341.98 5.59518
1342.33 7.34918
1342.68 9.96072
1343.02 13.9852
1343.37 20.1713
1343.84 32.3256
1344.30 40.4401
1344.77 32.2970
1345.23 20.1438
1345.57 14.1216
1345.90 10.1679
1346.23 7.55867
1346.57 5.79180
1347.24 3.66865
1347.90 2.51227
1348.57 1.82159
1349.24 1.37886
1350.58 0.867104
1351.91 0.594951
1353.25 0.433608
1354.58 0.330299
1355.92 0.260248
1358.59 0.174117
1361.26 0.125273
1363.94 0.0949528
1366.61 0.0748762
1371.95 0.0508902
1377.30 0.0380241
1382.64 0.0325530
1383.98 0.0337646
1385.31 0.0401768
1385.98 0.0503818
1386.65 0.0804872
1386.98 0.122717
1387.32 0.241840
1387.48 0.405188
1387.57 0.567538
1387.65 0.856234
1387.74 1.46565
1387.78 2.05744
1387.82 3.07066
1387.84 3.91075
1387.86 5.15149
1387.88 7.09321
1387.90 10.3784
1387.92 16.5848
1387.93 22.2998
1387.94 30.4407
1387.96 45.6129
1387.97 71.1651
1387.97 92.1397
1387.98 122.758
1387.98 168.606
1387.99 251.382
1387.99 404.034
1388.00 501.873
1388.01 404.035
1388.01 251.383
1388.02 180.278
1388.02 138.871
1388.03 82.8270
1388.04 53.9414
1388.05 37.6006
1388.06 27.5927
1388.07 21.0637
1388.09 13.6957
1388.10 9.41636
1388.12 6.97790
1388.16 4.21515
1388.19 2.82096
1388.23 2.02155
1388.30 1.18777
1388.37 0.780457
1388.44 0.557094
1388.58 0.329237
1388.86 0.161348
1389.14 0.101444
1389.70 0.0577094
1390.26 0.0419953
1391.38 0.0302395
1392.50 0.0256806
1396.99 0.0196583
1405.97 0.0157488
1423.92 0.0130774
1441.87 0.0133219
1459.83 0.0162297
1477.78 0.0240851
1486.76 0.0322479
1495.73 0.0471285
1500.22 0.0595316
1502.47 0.0678505
1503.59 0.0727293
1504.71 0.0781887
1505.83 0.0843240
1506.96 0.0912505
1508.08 0.0991098
1509.20 0.108076
1509.76 0.113040
1510.32 0.118366
1511.44 0.130253
1512.57 0.144083
1513.69 0.160302
1514.81 0.179510
1515.93 0.202441
1517.05 0.230143
1518.18 0.264032
1519.30 0.306081
1520.42 0.359117
1521.54 0.427293
1522.66 0.516901
1523.79 0.637832
1524.91 0.806295
1526.03 1.05023
1527.15 1.42078
1528.27 2.01828
1529.40 3.05578
1529.96 3.87236
1530.52 5.01690
1531.08 6.64363
1531.64 8.94167
1532.57 14.2783
1533.50 17.8161
1534.43 14.2559
1535.36 8.92005
1536.37 5.28414
1537.38 3.34135
1538.39 2.26148
1539.40 1.61830
1540.41 1.20998
1541.41 0.936586
1543.43 0.606908
1545.45 0.424150
1547.47 0.312861
1551.50 0.190330
1555.54 0.128041
1559.57 0.0921806
1563.61 0.0696733
1567.64 0.0546313
1575.71 0.0364047
1583.79 0.0262026
1591.86 0.0199204
1599.93 0.0157783
1616.07 0.0108246
1632.21 0.00808866
1664.49 0.00534438
1696.78 0.00412243
1729.06 0.00364982
1745.20 0.00373268
1761.34 0.00443005
1769.41 0.00556557
1773.45 0.00674048
1777.48 0.00892238
1781.52 0.0136490
1783.54 0.0183941
1785.55 0.0270907
1786.56 0.0344561
1787.57 0.0457531
1788.58 0.0643706
1789.59 0.0982789
1790.09 0.126893
1790.60 0.170480
1791.10 0.241983
1791.61 0.370882
1791.86 0.478880
1792.11 0.641591
1792.36 0.904438
1792.62 1.37007
1792.74 1.75097
1792.87 2.31583
1792.99 3.20481
1793.06 3.85395
1793.12 4.72118
1793.18 5.91546
1793.25 7.62265
1793.31 10.1799
1793.37 14.2476
1793.40 17.2944
1793.44 21.2530
1793.47 26.8944
1793.50 34.6857
1793.53 46.6047
1793.56 64.4182
1793.59 93.9211
1793.62 140.194
1793.66 224.750
1793.70 281.301
1793.74 224.739
1793.78 140.183
1793.80 99.9923
1793.83 73.8137
1793.88 43.5457
1793.93 27.9641
1793.98 19.4430
1794.03 14.1627
1794.08 10.8069
1794.18 6.86505
1794.28 4.71961
1794.38 3.43995
1794.58 2.06186
1794.78 1.36923
1794.99 0.976459
1795.19 0.730459
1795.39 0.567750
1795.79 0.371139
1796.19 0.261750
1796.60 0.194705
1797.00 0.150760
1797.81 0.0983071
1798.61 0.0695050
1799.42 0.0519721
1800.22 0.0405385
1801.83 0.0270006
1803.44 0.0196019
1805.05 0.0151217
1806.67 0.0122047
1809.89 0.00876187
1813.11 0.00688570
1819.55 0.00501424
1832.44 0.00367928
1845.33 0.00323009
1871.11 0.00299484
1896.89 0.00308049
1922.67 0.00339027
1948.44 0.00404223
1974.22 0.00558955
1987.11 0.00742741
1993.56 0.00910851
2000.00 0.0119707
2007.01 0.0183150
2010.51 0.0245503
2014.01 0.0358272
2015.77 0.0452853
2017.52 0.0596838
2019.27 0.0832029
2021.02 0.125567
2021.90 0.160871
2022.34 0.184609
2022.77 0.214187
2023.21 0.251692
2023.65 0.300228
2024.09 0.364584
2024.31 0.404932
2024.53 0.452453
2024.96 0.576830
2025.40 0.761074
2025.84 1.05061
2026.06 1.26174
2026.28 1.54345
2026.50 1.93080
2026.72 2.48341
2026.93 3.30896
2027.15 4.61734
2027.37 6.85837
2027.48 8.62950
2027.59 11.1186
2027.70 14.8130
2027.81 20.4090
2027.92 29.2480
2028.03 43.3138
2028.16 69.2960
2028.30 86.6116
2028.44 69.2845
2028.57 43.3027
2028.72 26.0254
2028.86 16.6297
2029.00 11.3355
2029.14 8.16918
2029.29 6.12792
2029.43 4.75462
2029.71 3.09417
2030.00 2.16581
2030.29 1.60038
2030.86 0.974167
2031.43 0.654890
2032.00 0.470655
2032.57 0.354881
2033.14 0.277449
2034.28 0.183593
2035.42 0.131073
2036.57 0.0987698
2037.71 0.0775100
2039.99 0.0521829
2042.28 0.0382821
2046.84 0.0244347
2051.41 0.0181312
2055.98 0.0148619
2065.11 0.0120731
2083.39 0.0118979
2101.66 0.0153103
2110.79 0.0186387
2119.93 0.0238306
2122.21 0.0255607
2124.50 0.0275224
2126.78 0.0297573
2129.06 0.0323168
2131.35 0.0352652
2133.63 0.0386838
2134.77 0.0406009
2135.92 0.0426768
2138.20 0.0473763
2140.48 0.0529634
2142.77 0.0596716
2145.05 0.0678203
2147.33 0.0778515
2149.62 0.0903899
2151.90 0.106342
2154.19 0.127063
2156.47 0.154632
2158.75 0.192446
2161.04 0.246201
2163.32 0.326139
2165.61 0.452047
2167.89 0.665815
2169.03 0.832412
2170.17 1.06680
2171.32 1.40792
2172.46 1.92249
2173.60 2.72329
2174.74 3.97441
2176.22 6.35818
2177.70 7.94325
2179.18 6.34704
2180.66 3.96374
2182.18 2.40856
2183.70 1.55175
