55-Cs_n-tot
> 55-Cs-133:1.000000
9.858130e+01 4.20530000e+00
9.929070e+01 3.90120000e+00
1.000000e+02 3.68432000e+00
1.013090e+02 3.41047000e+00
1.026180e+02 3.22541000e+00
1.052350e+02 2.97737000e+00
1.078530e+02 2.80257000e+00
1.091620e+02 2.72866000e+00
1.098160e+02 2.69466000e+00
1.101430e+02 2.68088000e+00
1.103070e+02 2.68289000e+00
1.103890e+02 2.70651000e+00
1.104300e+02 2.75874000e+00
1.104500e+02 2.82882000e+00
1.104710e+02 2.98415000e+00
1.105000e+02 3.30706000e+00
1.105300e+02 2.98125000e+00
1.105470e+02 2.83990000e+00
1.105640e+02 2.76821000e+00
1.105990e+02 2.70636000e+00
1.106680e+02 2.66920000e+00
1.108070e+02 2.64887000e+00
1.110850e+02 2.63090000e+00
1.116400e+02 2.60294000e+00
1.127500e+02 2.55178000e+00
1.138600e+02 2.50574000e+00
1.144150e+02 2.48748000e+00
1.146930e+02 2.48811000e+00
1.148320e+02 2.51640000e+00
1.149010e+02 2.59716000e+00
1.149360e+02 2.74445000e+00
1.149530e+02 2.91890000e+00
1.149710e+02 3.26279000e+00
1.150000e+02 4.06045000e+00
1.150300e+02 3.26106000e+00
1.150490e+02 2.89184000e+00
1.150680e+02 2.71602000e+00
1.151060e+02 2.57511000e+00
1.151820e+02 2.49833000e+00
1.153350e+02 2.46519000e+00
1.156400e+02 2.44781000e+00
1.162500e+02 2.43205000e+00
1.168600e+02 2.42616000e+00
1.171650e+02 2.43365000e+00
1.173180e+02 2.46134000e+00
1.173940e+02 2.53298000e+00
1.174320e+02 2.66706000e+00
1.174520e+02 2.83513000e+00
1.174710e+02 3.18602000e+00
1.175000e+02 3.94888000e+00
1.175300e+02 3.18680000e+00
1.175480e+02 2.84510000e+00
1.175660e+02 2.67795000e+00
1.176030e+02 2.54134000e+00
1.176760e+02 2.46794000e+00
1.178220e+02 2.44181000e+00
1.181150e+02 2.44135000e+00
1.187000e+02 2.47222000e+00
1.192850e+02 2.55529000e+00
1.195780e+02 2.71477000e+00
1.196510e+02 2.83901000e+00
1.197240e+02 3.12850000e+00
1.197610e+02 3.45514000e+00
1.197970e+02 4.14774000e+00
1.198160e+02 4.82427000e+00
1.198340e+02 6.00814000e+00
1.198520e+02 8.27532000e+00
1.198710e+02 1.28645000e+01
1.198850e+02 1.90393000e+01
1.199000e+02 2.31140000e+01
1.199150e+02 1.90024000e+01
1.199300e+02 1.28778000e+01
1.199420e+02 9.44056000e+00
1.199540e+02 7.33378000e+00
1.199660e+02 6.01666000e+00
1.199780e+02 5.16218000e+00
1.200030e+02 4.17764000e+00
1.200270e+02 3.66824000e+00
1.200760e+02 3.19025000e+00
1.201250e+02 2.98678000e+00
1.203210e+02 2.78524000e+00
1.207120e+02 2.82663000e+00
1.214940e+02 3.17845000e+00
1.222770e+02 3.89041000e+00
1.230590e+02 5.37027000e+00
1.234500e+02 6.71472000e+00
1.238410e+02 8.86224000e+00
1.242320e+02 1.25196000e+01
1.246230e+02 1.93319000e+01
1.248190e+02 2.51027000e+01
1.250150e+02 3.38716000e+01
1.252100e+02 4.80155000e+01
1.254060e+02 7.27430000e+01
1.255040e+02 9.25950000e+01
1.256010e+02 1.21374000e+02
1.256990e+02 1.65141000e+02
1.257970e+02 2.35952000e+02
1.258950e+02 3.60370000e+02
1.259440e+02 4.60408000e+02
1.259930e+02 6.05130000e+02
1.260410e+02 8.23193000e+02
1.260900e+02 1.16701000e+03
1.261390e+02 1.73308000e+03
1.261880e+02 2.67688000e+03
1.262440e+02 4.32821000e+03
