Ta-181(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
80.9434 7.16751
81.4345 7.05891
81.6801 7.24288
81.9256 7.82191
82.0484 8.42160
82.1712 9.43584
82.2939 11.2348
82.4167 14.6904
82.4781 17.6700
82.5395 22.2504
82.6009 29.7240
82.6623 42.9590
82.6930 53.6913
82.7236 69.3759
82.7543 93.4805
82.7850 132.979
82.8157 203.664
82.8311 261.502
82.8464 346.505
82.8618 477.445
82.8771 689.749
82.8925 1053.23
82.9078 1689.86
82.9239 2731.68
82.9400 3453.11
82.9561 2797.40
82.9722 1772.11
82.9886 1097.44
83.0050 719.836
83.0213 502.185
83.0377 368.966
83.0541 282.584
83.0705 223.747
83.1032 151.360
83.1360 110.330
83.1688 84.8615
83.2343 56.1591
83.2998 41.1330
83.3653 32.2468
83.4308 26.5277
83.4963 22.6143
83.6274 17.7196
83.7584 14.8668
83.8894 13.0545
84.0205 11.8456
84.2825 10.5386
84.4136 10.3673
84.5446 10.6779
84.6756 12.0203
84.7411 13.5923
84.8066 16.5745
84.8722 22.8314
84.9049 28.7140
84.9377 38.5672
84.9704 56.6533
84.9868 71.7840
85.0032 94.4847
85.0196 130.329
85.0360 190.471
85.0441 236.160
85.0523 298.153
85.0605 382.948
85.0687 497.876
85.0844 804.359
85.1000 1019.52
85.1157 831.038
85.1313 531.229
85.1498 310.485
85.1682 197.069
85.1867 135.730
85.2051 99.7864
85.2236 77.1406
85.2420 62.0366
85.2790 43.7990
85.3159 33.6295
85.3528 27.3809
85.4266 20.4200
85.5004 16.9267
85.5743 15.3000
85.6112 15.2267
85.6481 16.1809
85.6665 17.5257
85.6850 20.2059
85.7035 25.8352
85.7127 30.8387
85.7219 38.2489
85.7360 54.6280
85.7500 65.9911
85.7641 55.4928
85.7781 39.1053
85.7929 27.9833
85.8077 21.8309
85.8226 18.2899
85.8374 16.1045
85.8670 13.6524
85.8966 12.3493
85.9559 10.9920
86.0152 10.2626
86.1337 9.42552
86.2522 8.91126
86.4893 8.25242
86.7263 7.81877
87.2004 7.24520
87.6746 6.86646
88.1487 6.61903
88.3857 6.56155
88.6228 6.59702
88.8598 6.86250
88.9784 7.21157
89.0969 7.91972
89.2154 9.51707
89.2747 11.1179
89.3340 13.9755
89.3932 19.7286
89.4229 25.0173
89.4525 33.7547
89.4821 49.5675
89.4969 62.6644
89.5117 82.1397
89.5266 112.622
89.5414 163.150
89.5562 252.381
89.5636 321.797
89.5710 415.013
89.5855 667.921
89.6000 842.582
89.6145 681.982
89.6290 432.574
89.6429 275.835
89.6569 185.494
89.6708 132.156
89.6847 98.9441
89.6986 77.1319
89.7125 62.1553
89.7404 43.5668
89.7682 32.9409
89.7961 26.3145
89.8518 18.8137
89.9074 14.8735
89.9631 12.5391
90.0745 10.0066
90.1859 8.72116
90.2973 7.97820
90.5200 7.23300
90.7428 7.05298
90.8541 7.19851
90.9655 7.64859
91.0769 8.80138
91.1326 9.99594
91.1883 12.1467
91.2439 16.4778
91.2718 20.4428
91.2996 26.9488
91.3275 38.6042
91.3553 62.1864
91.3692 83.8246
91.3832 118.987
91.3971 179.285
91.4110 285.273
91.4255 457.460
91.4400 576.108
91.4545 466.917
91.4690 297.085
91.4798 209.731
91.4905 152.532
91.5012 114.950
91.5120 89.6217
91.5335 59.2519
91.5550 42.7159
91.5765 32.8143
91.5979 26.4396
91.6409 19.0105
91.6839 15.0033
91.7269 12.5885
91.8128 9.92530
91.8988 8.54439
91.9847 7.72165
92.1567 6.80187
92.3286 6.29973
92.5005 5.97693
92.8443 5.56633
93.5320 5.09143
94.2196 4.79546
94.9072 4.63667
95.5949 4.72959
95.9387 5.00426
96.2825 5.73977
96.4544 6.63347
96.5404 7.45633
96.6264 8.87108
96.7123 11.6914
96.7553 14.3243
96.7983 18.8009
96.8412 27.3299
96.8627 34.7958
96.8842 46.5570
96.8950 55.1181
96.9057 66.4648
96.9165 81.9048
96.9272 103.465
96.9380 134.565
96.9487 180.781
96.9594 251.345
96.9702 359.330
96.9776 461.737
96.9851 580.115
97.0000 735.044
97.0075 697.787
97.0149 598.923
97.0298 383.148
97.0471 226.422
97.0644 145.183
97.0817 100.987
97.0990 75.0137
97.1163 58.6394
97.1336 47.7286
97.1682 34.6326
97.2028 27.4294
97.2374 23.1009
97.3066 18.5142
97.4450 15.5680
97.5834 15.5682
97.8601 19.5689
98.1369 29.4398
98.2753 38.3143
98.4136 52.1331
98.5520 74.8536
98.6904 115.274
98.7596 148.088
98.8288 196.056
98.8980 269.659
98.9672 389.957
99.0363 603.944
99.0709 777.907
99.1055 1031.93
99.1401 1419.36
99.1747 2039.42
99.2093 3080.60
99.2439 4863.24
99.2820 7895.82
99.3200 10014.9
99.3581 8131.38
99.3961 5159.23
99.4339 3234.82
99.4716 2140.57
99.5093 1501.55
99.5471 1106.79
99.5848 848.910
99.6226 672.320
99.6981 453.697
99.7735 328.919
99.8490 251.062
100.000 162.795
100.109 126.666
100.218 102.312
100.437 72.3112
100.655 55.0658
100.873 44.1334
101.309 31.3684
101.746 24.3022
102.182 19.8590
102.619 16.8356
102.837 15.7197
103.055 14.9950
103.164 15.0125
103.219 15.2845
103.273 15.9593
103.328 17.5562
103.355 19.1173
103.382 21.7472
103.410 26.5739
103.437 36.4905
103.451 45.6989
103.464 60.6069
103.478 86.1837
103.491 131.111
103.506 205.037
103.520 256.819
103.534 211.090
103.549 138.605
103.564 88.8743
103.579 61.7394
103.595 46.3853
103.610 37.1412
103.640 27.0788
103.671 22.0517
103.701 19.1622
103.732 17.3421
103.793 15.2105
103.915 13.2362
104.037 12.2736
104.281 11.3364
104.525 11.2726
104.647 11.7443
104.770 12.8761
104.892 15.2834
105.014 20.4568
105.075 25.1781
105.136 32.6464
105.197 45.1462
105.227 54.6274
105.258 67.6229
105.289 86.0325
105.319 112.890
105.350 153.999
105.380 220.697
105.411 337.550
105.426 431.202
105.441 564.549
105.456 763.963
105.472 1069.78
105.487 1561.76
105.502 2348.87
105.521 3830.39
105.540 4891.48
105.559 4027.89
105.578 2597.18
105.597 1665.46
105.615 1123.28
105.634 801.256
105.652 600.529
105.670 467.204
105.689 375.521
105.726 260.382
105.763 193.661
105.800 151.691
105.873 103.426
105.947 77.4979
106.021 61.8461
106.095 51.5663
106.169 44.3938
106.316 35.1767
106.464 29.6006
106.612 25.8976
106.759 23.2749
107.055 19.8091
107.350 17.6152
107.941 14.9535
108.531 13.3480
109.122 12.2343
110.303 10.7088
111.484 9.65663
112.075 9.26887
112.666 9.04591
112.961 9.06501
113.256 9.26966
113.552 9.84839
113.847 11.2729
113.995 12.6606
114.142 14.9514
114.290 18.9483
114.437 26.5051
114.511 32.9517
114.585 42.7411
114.659 58.4798
114.733 85.7733
114.807 138.566
114.844 185.012
114.880 258.333
114.917 382.472
114.954 612.707
114.973 806.126
114.991 1091.24
115.010 1527.02
115.028 2186.88
115.054 3557.14
115.080 4522.31
115.106 3678.23
115.132 2338.37
115.157 1498.06
115.181 1008.42
115.206 716.967
115.231 534.304
115.280 330.520
115.330 226.773
115.379 166.913
115.428 129.403
115.527 86.5498
115.626 63.7988
115.724 50.2149
115.823 41.3924
115.922 35.3033
116.119 27.5950
116.317 23.0221
116.514 20.0423
116.712 17.9664
117.106 15.2955
117.501 13.7425
117.699 13.3407
117.797 13.3165
117.896 13.5535
117.995 14.4171
118.044 15.4098
118.094 17.2704
118.143 21.1174
118.168 24.6664
118.192 30.4538
118.217 40.7499
118.242 61.1094
118.254 79.3450
118.266 107.795
118.279 154.311
118.291 231.399
118.298 296.305
118.306 371.650
118.320 470.905
118.335 386.241
118.349 250.850
118.365 156.274
118.381 105.245
118.396 76.2789
118.412 58.9038
118.428 47.6544
118.444 40.0730
118.475 30.7233
118.507 25.4061
118.538 22.0800
118.601 18.2735
118.664 16.2145
118.727 14.9505
118.853 13.4853
118.979 12.6519
119.105 12.1000
119.357 11.3771
119.860 10.5154
120.364 9.93725
121.371 9.08277
122.379 8.39093
123.386 7.78439
123.890 7.54696
124.393 7.46438
124.645 7.57070
124.897 7.90144
125.149 8.69780
125.401 10.5613
125.527 12.3512
125.653 15.2883
125.779 20.3849
125.904 29.9740
125.967 38.1046
126.030 50.3749
126.093 69.9726
126.156 103.483
126.219 166.997
126.251 221.742
126.282 305.906
126.314 444.193
126.345 688.451
126.377 1158.84
126.392 1553.31
126.408 2116.63
126.434 3449.98
126.460 4397.97
126.486 3597.99
126.512 2302.20
126.532 1621.09
126.551 1175.68
126.570 882.332
126.590 683.827
126.629 444.876
126.667 313.943
126.706 235.050
126.745 183.952
