V-51(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
68534.4 28.2474
68536.9 28.3705
68538.1 28.6575
68538.7 29.1525
68539.3 30.7732
68539.9 33.4311
68540.5 30.8892
68541.4 28.9286
68542.3 28.5360
68544.2 28.3554
68547.9 28.3030
68555.3 28.3150
68570.1 28.3761
68599.7 28.5041
68659.0 28.7396
68777.5 29.1036
69014.6 29.3426
69488.7 27.8075
70437.0 20.5777
70648.1 18.9722
70753.7 18.2126
70806.5 17.8446
70832.9 17.6650
70846.1 17.5844
70852.7 17.5804
70856.0 17.7000
70857.6 18.0729
70858.4 18.7910
70859.2 21.6198
70859.9 25.9428
70860.6 21.8046
70861.3 19.0021
70862.1 18.2038
70863.6 17.7397
70866.7 17.5310
70872.9 17.4256
70885.3 17.3226
70909.9 17.1524
70934.6 16.9898
70947.0 16.9145
70953.2 16.8975
70956.2 16.9592
70957.8 17.1733
70958.6 17.6061
70959.3 19.4042
70959.9 22.0905
70960.5 19.5117
70961.0 17.9532
70961.6 17.3990
70962.7 17.0443
70964.9 16.8745
70969.4 16.7907
70978.3 16.7161
70996.1 16.5971
71031.7 16.3716
71102.8 15.9351
71245.2 15.1075
71529.9 13.6204
71814.7 12.3333
71957.1 11.7551
72028.2 11.4805
72063.8 11.3466
72081.6 11.2815
72090.5 11.2546
72095.0 11.2629
72097.2 11.3373
72098.3 11.5451
72098.9 11.9261
72099.4 13.2171
72099.9 15.3088
72100.4 13.3055
72101.0 11.9012
72101.6 11.5322
72102.9 11.3245
72105.4 11.2341
72110.4 11.1886
72120.4 11.1436
72140.3 11.0686
72180.2 10.9252
72260.1 10.6474
72419.8 10.1195
72579.5 9.62253
72659.3 9.38330
72699.3 9.26596
72719.2 9.21109
72729.2 9.19964
72734.2 9.25300
72736.7 9.45513
72738.0 9.93009
72738.6 10.6558
72739.2 12.6490
72739.9 16.3082
72740.6 12.8073
72741.6 10.2839
72742.5 9.66053
72744.5 9.32694
72748.3 9.18726
72756.0 9.12215
72771.4 9.06414
72802.1 8.97109
72863.6 8.79332
72986.6 8.44107
73232.6 7.69726
73355.5 7.25013
73478.5 6.64024
73540.0 6.18449
73570.8 5.87707
73601.5 5.47908
73632.3 4.93577
73647.6 4.58283
