Ag-107(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
353.250 5.17633
354.845 5.10150
355.642 5.06145
356.439 5.02208
357.237 4.99094
358.034 4.99440
358.433 5.03583
358.831 5.15345
359.030 5.28169
359.230 5.53746
359.329 5.78769
359.429 6.26925
359.479 6.71973
359.529 7.49998
359.579 9.02712
359.628 12.3353
359.664 16.4163
359.700 19.1540
359.736 16.5430
359.772 12.6129
359.813 9.85020
359.855 8.49785
359.938 7.51672
360.104 7.57780
360.271 8.67211
360.437 10.9501
360.603 15.7247
360.686 20.1504
360.770 27.4183
360.853 40.3744
360.894 50.8721
360.936 66.0755
360.977 89.0844
361.019 125.268
361.040 151.261
361.061 184.839
361.081 228.314
361.102 283.812
361.127 366.982
361.151 463.896
361.200 594.815
361.225 567.811
361.249 489.969
361.298 316.405
361.342 211.728
361.385 148.036
361.429 108.777
361.472 83.5106
361.559 54.5474
361.646 39.3796
361.733 30.4635
361.820 24.7856
361.994 18.1915
362.168 14.6246
362.342 12.4586
362.515 11.0332
362.689 10.0382
363.037 8.76150
363.385 7.99219
363.733 7.48511
364.081 7.12884
364.776 6.66529
365.472 6.37909
366.168 6.18539
366.863 6.04552
368.254 5.85648
369.646 5.73505
370.341 5.69139
371.037 5.66207
371.385 5.65955
371.559 5.66620
371.733 5.68479
371.906 5.73051
371.993 5.77610
372.080 5.85448
372.167 6.00199
372.211 6.12786
372.254 6.31976
372.298 6.63137
372.341 7.17489
372.385 8.20677
372.406 9.06330
372.428 10.2757
372.464 13.1031
372.500 14.9815
372.536 13.0924
372.572 10.2705
372.608 8.46433
372.644 7.44996
372.679 6.86364
372.715 6.50508
372.787 6.11272
372.858 5.91722
372.930 5.80592
373.001 5.73647
373.144 5.65678
373.287 5.61324
373.430 5.58578
373.717 5.55202
374.289 5.51433
374.861 5.48916
376.006 5.45060
377.150 5.41933
378.295 5.39324
379.439 5.37445
380.012 5.37198
380.298 5.37553
380.584 5.38656
380.870 5.41533
381.013 5.44526
381.156 5.49894
381.299 5.60638
381.371 5.70412
381.442 5.86393
381.514 6.14992
381.550 6.38422
381.585 6.72861
381.621 7.26276
381.657 8.13403
381.693 9.64884
381.728 12.3426
381.764 16.5653
381.800 19.3706
381.836 16.5529
381.872 12.3420
381.895 10.4284
381.918 9.10835
381.964 7.56602
382.010 6.77582
382.057 6.33004
382.103 6.05732
382.149 5.87937
382.241 5.66983
382.334 5.55605
382.426 5.48738
382.611 5.41175
382.796 5.37273
382.981 5.34967
383.350 5.32503
383.720 5.31555
384.089 5.32299
384.274 5.34278
384.459 5.39942
384.551 5.46831
384.644 5.61977
384.690 5.77103
384.736 6.04041
384.782 6.56809
384.805 7.02069
384.829 7.67760
384.864 9.12390
384.900 10.0839
384.936 9.11839
384.972 7.67496
385.008 6.72565
385.045 6.20420
385.082 5.90649
385.119 5.72649
385.193 5.53181
385.266 5.43569
385.414 5.34742
385.561 5.30870
385.856 5.27430
386.150 5.25793
386.739 5.23943
387.329 5.22672
389.686 5.18777
394.400 5.12200
399.114 5.06280
400.293 5.05010
401.471 5.04169
402.061 5.04313
402.650 5.05991
402.945 5.08810
403.092 5.11661
403.239 5.16729
403.386 5.26825
403.460 5.36023
403.534 5.51073
403.607 5.78108
403.644 6.00317
403.681 6.33203
403.718 6.84561
403.755 7.69158
403.792 9.17711
403.828 11.8708
403.864 15.9996
403.900 18.7425
403.936 15.9880
403.972 11.8710
403.995 9.98659
404.018 8.69093
404.065 7.18549
404.111 6.41530
404.158 5.98284
404.205 5.71816
404.251 5.54608
404.344 5.34367
404.437 5.23385
404.530 5.16769
404.716 5.09501
404.903 5.05750
405.089 5.03519
405.461 5.00999
406.206 4.98628
406.950 4.97391
407.695 4.96804
408.439 4.97507
408.812 4.99422
408.998 5.01527
409.184 5.05422
409.370 5.13479
409.463 5.21032
409.556 5.33735
409.649 5.57436
409.696 5.77674
409.742 6.08807
409.789 6.60012
409.835 7.50972
409.882 9.29309
409.905 10.8293
409.928 13.0529
409.964 17.9285
410.000 21.1772
410.036 17.9285
410.072 13.0523
410.096 10.7492
410.120 9.19485
410.144 8.13915
410.168 7.41313
410.217 6.52027
410.265 6.02457
410.313 5.72349
410.361 5.52846
410.458 5.30058
410.554 5.17755
410.651 5.10371
410.844 5.02265
411.037 4.98077
411.230 4.95572
411.616 4.92710
412.389 4.89873
413.161 4.88128
414.705 4.85401
416.250 4.82918
419.339 4.78124
420.111 4.77102
420.884 4.76586
421.270 4.77019
421.656 4.79303
421.849 4.82757
421.946 4.86101
422.042 4.91827
422.139 5.02661
422.187 5.12012
422.235 5.26473
422.283 5.50452
422.332 5.93526
422.380 6.79615
422.404 7.54660
422.428 8.65212
422.464 11.0155
422.500 12.5862
422.536 11.0079
422.572 8.65043
