24-Cr_n-tot
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.467880e+04 3.47358432e+00
1.467930e+04 3.47289201e+00
1.468220e+04 3.47076003e+00
1.469000e+04 3.46506357e+00
1.470070e+04 3.45992823e+00
1.472210e+04 3.45155757e+00
1.472890e+04 3.44913017e+00
1.474350e+04 3.44395105e+00
1.477570e+04 3.43306665e+00
1.479900e+04 3.42521267e+00
1.481070e+04 3.42131798e+00
1.481660e+04 3.41961780e+00
1.481950e+04 3.41989698e+00
1.482090e+04 3.42391467e+00
1.482170e+04 3.43640070e+00
1.482200e+04 3.46314207e+00
1.482220e+04 3.49882912e+00
1.482240e+04 3.58095673e+00
1.482250e+04 3.68624665e+00
1.482270e+04 3.75130849e+00
1.482280e+04 3.68250996e+00
1.482290e+04 3.58708317e+00
1.482300e+04 3.51712011e+00
1.482320e+04 3.48215421e+00
1.482340e+04 3.44921112e+00
1.482400e+04 3.42937789e+00
1.482510e+04 3.42071120e+00
1.482720e+04 3.41712497e+00
1.482920e+04 3.41602878e+00
1.483150e+04 3.41479461e+00
1.484000e+04 3.41174732e+00
1.485720e+04 3.40607230e+00
1.489150e+04 3.39492227e+00
1.496000e+04 3.37273707e+00
1.500050e+04 3.35964287e+00
1.509710e+04 3.32988135e+00
1.534310e+04 3.25416099e+00
1.537130e+04 3.24595863e+00
1.568570e+04 3.15450884e+00
1.585700e+04 3.10654469e+00
1.591960e+04 3.08933579e+00
1.594270e+04 3.08297685e+00
1.598550e+04 3.07138525e+00
1.600690e+04 3.06598846e+00
1.601760e+04 3.06469133e+00
1.602300e+04 3.06928697e+00
1.602430e+04 3.07486752e+00
1.602570e+04 3.09040448e+00
1.602630e+04 3.11076502e+00
1.602700e+04 3.16245719e+00
1.602740e+04 3.22578605e+00
1.602770e+04 3.36485887e+00
1.602790e+04 3.51464748e+00
1.602800e+04 3.77820892e+00
1.602810e+04 4.03269777e+00
