I-127(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
323.812 4.23430
323.915 4.33425
324.019 4.52132
324.071 4.68221
324.123 4.93216
324.174 5.34952
324.226 6.11613
324.252 6.75623
324.278 7.70602
324.304 9.15521
324.330 11.3727
324.365 15.7432
324.400 18.6648
324.435 15.7843
324.470 11.4555
324.506 8.66584
324.541 7.13709
324.577 6.28692
324.613 5.80102
324.684 5.38041
324.755 5.38055
324.826 5.76582
324.862 6.18009
324.897 6.85423
324.933 7.98895
324.968 10.0045
325.004 13.8567
325.039 21.5689
325.070 32.5423
325.100 40.3069
325.130 33.6160
325.161 22.8911
325.191 15.8667
325.221 11.8727
325.252 9.53997
325.282 8.09642
325.342 6.50205
325.403 5.69374
325.464 5.22819
325.524 4.93461
325.645 4.59611
325.767 4.41297
325.888 4.30089
326.130 4.17335
326.373 4.10384
326.615 4.06082
327.100 4.01451
327.584 4.00815
327.827 4.02892
328.069 4.08655
328.311 4.23593
328.433 4.39452
328.554 4.68594
328.675 5.28684
328.736 5.84645
328.796 6.77736
328.857 8.46933
328.887 9.87127
328.917 11.9546
328.948 15.2014
328.978 20.5496
329.008 29.8779
329.038 46.5437
329.069 73.4560
329.100 92.5290
329.131 76.1934
329.162 49.9651
329.196 31.5018
329.230 21.6199
329.263 16.0939
329.297 12.7786
329.331 10.6516
329.365 9.21991
329.433 7.46994
329.501 6.48039
329.569 5.86687
329.704 5.17137
329.840 4.80312
329.976 4.58197
330.247 4.33590
330.519 4.20502
330.790 4.12434
331.333 4.02903
331.876 3.97247
332.418 3.93302
333.504 3.87715
335.675 3.79971
337.846 3.73733
342.188 3.62469
344.359 3.57594
344.902 3.57014
345.444 3.57942
345.716 3.60357
345.852 3.62983
345.987 3.67780
346.123 3.77470
346.191 3.86323
346.259 4.00771
346.327 4.26545
346.394 4.78319
346.428 5.25610
346.462 6.02226
346.496 7.33249
346.530 9.62845
346.565 13.3038
346.600 15.7431
346.635 13.2916
346.670 9.61699
346.692 8.00071
346.714 6.87464
346.757 5.53345
346.801 4.83107
346.844 4.43053
346.888 4.18256
346.931 4.01998
347.018 3.82680
347.105 3.72063
347.192 3.65584
347.365 3.58314
347.539 3.54410
347.713 3.51966
348.060 3.48943
348.755 3.45422
349.450 3.42879
350.840 3.39003
351.188 3.38644
351.535 3.39505
351.709 3.41391
351.883 3.46679
351.969 3.53030
352.056 3.66779
352.100 3.80350
352.143 4.04116
352.187 4.49675
352.208 4.87969
352.230 5.42665
352.265 6.67526
352.300 7.50521
352.335 6.67290
352.370 5.42969
352.394 4.84050
352.418 4.44433
352.465 3.99302
