82-Pb_n-g
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
2.706980e+03 2.58745628e-02
2.707240e+03 1.63555331e-02
2.707510e+03 1.13472889e-02
2.707780e+03 8.39833281e-03
2.708320e+03 5.24856455e-03
2.708850e+03 3.69195467e-03
2.709390e+03 2.81099841e-03
2.710460e+03 1.90242828e-03
2.711530e+03 1.46721074e-03
2.712600e+03 1.22536541e-03
2.714750e+03 9.79308960e-04
2.719040e+03 7.96956242e-04
2.723320e+03 7.29233099e-04
2.731900e+03 6.75098063e-04
2.740470e+03 6.51232802e-04
2.750000e+03 6.39954963e-04
2.774770e+03 6.10642648e-04
2.797150e+03 5.99040641e-04
2.843380e+03 5.88214814e-04
2.848030e+03 5.88190034e-04
2.911980e+03 5.89071474e-04
2.930010e+03 5.91067792e-04
2.932830e+03 5.97610962e-04
2.980580e+03 7.09928486e-04
2.996440e+03 7.48297523e-04
3.013050e+03 9.20231771e-04
3.017630e+03 1.05628942e-03
3.029660e+03 1.41464116e-03
3.037960e+03 2.10558196e-03
3.046260e+03 4.06912474e-03
3.050420e+03 6.79848407e-03
3.052490e+03 9.52515298e-03
3.054570e+03 1.45061993e-02
3.056640e+03 2.51339055e-02
3.057680e+03 3.56761106e-02
3.058720e+03 5.47807397e-02
3.059240e+03 7.07703423e-02
3.059760e+03 9.50224718e-02
3.060280e+03 1.34383487e-01
3.060800e+03 2.04585716e-01
3.061060e+03 2.62540330e-01
3.061310e+03 3.48723715e-01
3.061570e+03 4.86148161e-01
3.061830e+03 7.22710996e-01
3.062090e+03 1.18659885e+00
3.062220e+03 1.60498943e+00
3.062350e+03 2.28022842e+00
3.062480e+03 3.49175043e+00
3.062550e+03 4.48379733e+00
3.062610e+03 5.91994373e+00
3.062680e+03 8.17076244e+00
3.062740e+03 1.18572192e+01
3.062810e+03 1.82584842e+01
3.062870e+03 2.94593830e+01
3.062940e+03 4.71376151e+01
3.063000e+03 5.89345951e+01
3.063070e+03 4.71579471e+01
3.063130e+03 2.94757371e+01
3.063190e+03 1.87978127e+01
3.063250e+03 1.26269402e+01
3.063310e+03 8.91411808e+00
3.063370e+03 6.57229158e+00
3.063490e+03 3.95169569e+00
3.063600e+03 2.61855739e+00
3.063720e+03 1.85154375e+00
3.063840e+03 1.37934190e+00
3.064080e+03 8.48601573e-01
3.064310e+03 5.72791377e-01
3.064550e+03 4.12836011e-01
3.064790e+03 3.11218016e-01
3.065020e+03 2.43214120e-01
3.065500e+03 1.60154614e-01
3.065970e+03 1.13426624e-01
3.066440e+03 8.45678092e-02
3.066910e+03 6.55408427e-02
3.067860e+03 4.27111583e-02
3.068810e+03 3.00921160e-02
3.070700e+03 1.73549178e-02
3.072590e+03 1.13717669e-02
3.074480e+03 8.09445155e-03
3.078260e+03 4.80887502e-03
3.085830e+03 2.44089947e-03
3.093390e+03 1.60600916e-03
3.102430e+03 1.24804308e-03
3.108530e+03 1.00821339e-03
3.117780e+03 8.81876336e-04
3.123660e+03 8.01809848e-04
3.184190e+03 6.16508606e-04
3.187240e+03 6.16171098e-04
3.229640e+03 6.44622576e-04
3.254990e+03 7.18917304e-04
3.272040e+03 7.69315099e-04
3.293240e+03 9.64577043e-04
3.303840e+03 1.16636580e-03
3.305240e+03 1.21597913e-03
3.314440e+03 1.54547687e-03
3.325040e+03 2.36561779e-03
3.330340e+03 3.18880924e-03
3.335640e+03 4.69960020e-03
3.338290e+03 5.97995394e-03
3.340940e+03 7.94566347e-03
3.343590e+03 1.11894924e-02
3.346240e+03 1.71167117e-02
3.347560e+03 2.21187724e-02
3.348890e+03 2.97675660e-02
3.350210e+03 4.23210724e-02
3.351540e+03 6.50789995e-02
3.352200e+03 8.41509247e-02
3.352860e+03 1.13044805e-01
3.353530e+03 1.60037061e-01
3.354190e+03 2.43784710e-01
3.354520e+03 3.13038424e-01
3.354850e+03 4.16222528e-01
3.355180e+03 5.80222982e-01
3.355510e+03 8.63952236e-01
3.355850e+03 1.42142857e+00
3.356010e+03 1.92564152e+00
3.356180e+03 2.74363164e+00
3.356340e+03 4.21643082e+00
3.356430e+03 5.42839571e+00
3.356510e+03 7.19870940e+00
3.356590e+03 9.98462119e+00
3.356670e+03 1.45913844e+01
3.356760e+03 2.26999981e+01
3.356840e+03 3.72043662e+01
3.356920e+03 5.96812311e+01
3.357000e+03 7.44463371e+01
3.357080e+03 5.94330011e+01
3.357160e+03 3.72424441e+01
3.357210e+03 2.72448001e+01
3.357260e+03 2.04162820e+01
3.357360e+03 1.22994502e+01
3.357460e+03 8.03418397e+00
3.357560e+03 5.63016075e+00
3.357660e+03 4.13555104e+00
3.357760e+03 3.16689972e+00
3.357960e+03 2.02126041e+00
3.358170e+03 1.39605818e+00
3.358370e+03 1.02226956e+00
3.358770e+03 6.14333623e-01
3.359170e+03 4.09317278e-01
3.359570e+03 2.92080362e-01
3.359970e+03 2.18856794e-01
3.360370e+03 1.70099065e-01
3.361170e+03 1.11200722e-01
3.361980e+03 7.84231639e-02
3.362780e+03 5.83063006e-02
3.363580e+03 4.50801094e-02
3.365180e+03 2.93143899e-02
3.366790e+03 2.06449141e-02
3.368390e+03 1.53703343e-02
3.370000e+03 1.19243165e-02
3.373210e+03 7.84354739e-03
3.376410e+03 5.61209315e-03
3.382830e+03 3.37999838e-03
3.389250e+03 2.34042704e-03
3.395670e+03 1.77333862e-03
3.408500e+03 1.20660247e-03
3.434170e+03 7.97663962e-04
3.459840e+03 6.51585117e-04
3.500000e+03 5.66015905e-04
3.511180e+03 5.42194777e-04
3.529400e+03 5.26883415e-04
3.547350e+03 5.12225762e-04
3.562520e+03 5.00685177e-04
3.665190e+03 4.68641474e-04
3.666600e+03 4.68431024e-04
3.700900e+03 4.64987809e-04
3.735200e+03 4.65447375e-04
3.752350e+03 4.71038038e-04
3.767870e+03 4.90027335e-04
3.769500e+03 4.92098976e-04
3.778080e+03 5.24182806e-04
3.786650e+03 6.16841196e-04
3.790940e+03 7.46004441e-04
3.795230e+03 1.10941429e-03
3.797370e+03 1.60729923e-03
3.798440e+03 2.09804200e-03
3.799520e+03 2.98083973e-03
3.800590e+03 4.81822850e-03
3.801120e+03 6.59187541e-03
3.801660e+03 9.70847127e-03
3.801930e+03 1.22370952e-02
3.802200e+03 1.59569511e-02
3.802460e+03 2.17473241e-02
3.802730e+03 3.14698760e-02
3.803000e+03 4.96244880e-02
3.803130e+03 6.52157145e-02
3.803270e+03 8.93535199e-02
3.803400e+03 1.29327986e-01
3.803540e+03 2.01512392e-01
3.803600e+03 2.60568586e-01
3.803670e+03 3.46354978e-01
3.803740e+03 4.73644371e-01
3.803800e+03 6.58755165e-01
3.803900e+03 1.05593795e+00
3.804000e+03 1.31718354e+00
3.804100e+03 1.05166513e+00
3.804200e+03 6.58771923e-01
3.804310e+03 3.72317912e-01
3.804430e+03 2.27979299e-01
3.804550e+03 1.51124887e-01
3.804670e+03 1.06670954e-01
3.804780e+03 7.90185629e-02
3.804900e+03 6.07745905e-02
3.805130e+03 3.91512866e-02
3.805370e+03 2.72740816e-02
3.805600e+03 2.01096977e-02
3.806070e+03 1.22994828e-02
3.806540e+03 8.35084599e-03
3.807000e+03 6.09254217e-03
3.807940e+03 3.73487245e-03
3.808870e+03 2.59534378e-03
3.809810e+03 1.95943606e-03
3.811680e+03 1.31210847e-03
3.815420e+03 8.36764090e-04
3.819160e+03 6.66703709e-04
3.826630e+03 5.43040226e-04
3.834110e+03 4.98764803e-04
3.849070e+03 4.65855978e-04
3.864030e+03 4.53207953e-04
3.870550e+03 4.51336083e-04
3.923850e+03 4.37035460e-04
3.973230e+03 4.31041126e-04
3.983680e+03 4.29891156e-04
4.031570e+03 4.25774878e-04
4.043510e+03 4.24969654e-04
4.163170e+03 4.19298363e-04
4.178580e+03 4.20217156e-04
4.223000e+03 4.23192397e-04
4.252910e+03 4.49786006e-04
4.260390e+03 4.78354613e-04
4.267870e+03 5.59932541e-04
4.271610e+03 6.73198034e-04
4.275350e+03 9.91280728e-04
4.277220e+03 1.42661067e-03
4.278150e+03 1.85541829e-03
4.279080e+03 2.62516370e-03
4.280020e+03 4.22663463e-03
4.280490e+03 5.77274410e-03
4.280950e+03 8.47987405e-03
4.281420e+03 1.39081415e-02
4.281660e+03 1.89306440e-02
4.281890e+03 2.73013730e-02
4.282120e+03 4.29301220e-02
4.282240e+03 5.63045962e-02
4.282360e+03 7.67130904e-02
4.282470e+03 1.10540025e-01
4.282590e+03 1.71082459e-01
4.282710e+03 2.90887454e-01
4.282770e+03 3.93667051e-01
4.282820e+03 5.43651848e-01
4.282910e+03 8.71579444e-01
4.283000e+03 1.08693444e+00
4.283090e+03 8.67662235e-01
4.283180e+03 5.43668631e-01
4.283230e+03 4.02340029e-01
4.283280e+03 3.04376426e-01
4.283390e+03 1.85985421e-01
4.283500e+03 1.23146416e-01
4.283600e+03 8.68665310e-02
4.283710e+03 6.43261057e-02
4.283810e+03 4.94669209e-02
4.284030e+03 3.18147304e-02
4.284240e+03 2.21432403e-02
4.284450e+03 1.63434502e-02
4.284880e+03 1.00092416e-02
4.285300e+03 6.80896150e-03
4.285720e+03 4.98009336e-03
4.286570e+03 3.07148861e-03
4.287420e+03 2.14944986e-03
4.288270e+03 1.63508551e-03
4.289970e+03 1.11168260e-03
4.293360e+03 7.27602277e-04
4.296760e+03 5.90285471e-04
4.303550e+03 4.90684259e-04
4.310340e+03 4.55248547e-04
4.337500e+03 4.19834159e-04
4.391820e+03 4.08799523e-04
4.500460e+03 4.02702290e-04
4.589290e+03 4.04354841e-04
4.609100e+03 4.04778484e-04
4.636260e+03 4.11460930e-04
4.663420e+03 4.32875155e-04
4.677000e+03 4.63868687e-04
4.690580e+03 5.52978180e-04
