74-W_n-tot
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
6.565040e+01 9.52859623e+00
6.571800e+01 8.91216210e+00
6.578560e+01 8.53919553e+00
6.583870e+01 8.37528858e+00
6.592080e+01 8.12187491e+00
6.605610e+01 7.89825694e+00
6.619130e+01 7.75891081e+00
6.646180e+01 7.59001069e+00
6.673230e+01 7.48464234e+00
6.700270e+01 7.40674245e+00
6.739010e+01 7.32113607e+00
6.754370e+01 7.28719551e+00
6.862550e+01 7.10162865e+00
6.875000e+01 7.08313737e+00
6.894160e+01 7.05733418e+00
6.970740e+01 6.95418304e+00
6.971730e+01 6.95301196e+00
7.049310e+01 6.86123404e+00
7.126880e+01 6.76949349e+00
7.204460e+01 6.67788869e+00
7.243240e+01 6.63226677e+00
7.282030e+01 6.58691105e+00
7.320820e+01 6.54215910e+00
7.359600e+01 6.49885971e+00
7.379000e+01 6.47838813e+00
7.388690e+01 6.46870975e+00
7.398390e+01 6.45956267e+00
7.403240e+01 6.45525672e+00
7.403490e+01 6.45504331e+00
7.405660e+01 6.45339934e+00
7.408090e+01 6.45161611e+00
7.410510e+01 6.44991119e+00
7.412940e+01 6.44826867e+00
7.415360e+01 6.44671777e+00
7.417780e+01 6.44525618e+00
7.420210e+01 6.44388269e+00
7.422630e+01 6.44262866e+00
7.427480e+01 6.44048662e+00
7.432330e+01 6.43894746e+00
7.437180e+01 6.43816424e+00
7.442030e+01 6.43834224e+00
7.446870e+01 6.43976493e+00
7.451720e+01 6.44279191e+00
7.456570e+01 6.44796139e+00
7.461420e+01 6.45604024e+00
7.466270e+01 6.46814741e+00
7.471120e+01 6.48599672e+00
7.475960e+01 6.51229877e+00
7.480810e+01 6.55149514e+00
7.485660e+01 6.61132056e+00
7.490510e+01 6.70614838e+00
7.495360e+01 6.86493299e+00
7.500000e+01 7.14020514e+00
7.500210e+01 7.15268484e+00
7.502630e+01 7.38926762e+00
7.505050e+01 7.73706529e+00
7.507480e+01 8.27086154e+00
7.509900e+01 9.13158237e+00
7.512330e+01 1.05892802e+01
7.514750e+01 1.31097369e+01
7.517380e+01 1.73531807e+01
7.520000e+01 2.03275227e+01
7.522630e+01 1.76997660e+01
7.525250e+01 1.35400743e+01
7.527620e+01 1.10323449e+01
7.529980e+01 9.52957121e+00
7.532350e+01 8.61396659e+00
7.534710e+01 8.02993242e+00
7.539440e+01 7.36638727e+00
7.544170e+01 7.02121788e+00
7.548900e+01 6.81905328e+00
7.553630e+01 6.68982626e+00
7.563090e+01 6.53791003e+00
7.572550e+01 6.45281854e+00
7.582010e+01 6.39822764e+00
7.591470e+01 6.35956244e+00
7.600930e+01 6.33004933e+00
7.619850e+01 6.28600092e+00
7.638770e+01 6.25243437e+00
