W-184(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
998.155 24.8621
998.194 31.3137
998.233 40.6135
998.273 54.5701
998.312 76.8380
998.352 114.679
998.371 143.904
998.391 184.184
998.411 240.327
998.431 318.045
998.465 509.397
998.500 637.798
998.535 511.119
998.570 319.841
998.592 232.735
998.614 172.646
998.659 102.587
998.704 66.6874
998.748 46.4434
998.793 34.0687
998.838 26.0057
998.927 16.5371
999.017 11.4248
999.106 8.36385
999.285 5.04458
999.464 3.38140
999.642 2.43206
999.821 1.83986
1000.00 1.44583
1000.33 0.997664
1000.66 0.738226
1001.32 0.465135
1001.98 0.331260
1002.64 0.255867
1003.96 0.177929
1005.28 0.140304
1007.91 0.105970
1010.55 0.0911844
1015.83 0.0798050
1021.10 0.0777005
1031.65 0.0871091
1042.20 0.115331
1047.48 0.141179
1050.11 0.158963
1052.75 0.181344
1054.07 0.194742
1055.39 0.209948
1056.71 0.227287
1057.37 0.236873
1058.03 0.247150
1058.69 0.258202
1059.34 0.270072
1060.00 0.282880
1060.66 0.296683
1061.98 0.327801
1063.30 0.364463
1064.62 0.408119
1065.94 0.460611
1067.26 0.524475
1068.58 0.603159
1069.89 0.701760
1071.21 0.827474
1072.53 0.991168
1073.85 1.20953
1075.17 1.51021
1076.49 1.93961
1077.81 2.58204
1079.13 3.60141
1080.44 5.35421
1081.10 6.73811
1081.76 8.70475
1082.42 11.6148
1083.08 16.0856
1083.74 23.2247
1084.40 34.7444
1085.20 55.6707
1086.00 69.9342
1086.80 56.1759
1087.60 35.1196
1088.29 23.0072
1088.98 15.6737
1089.67 11.1761
1090.36 8.30344
1091.74 5.04330
1093.13 3.36490
1094.51 2.39815
1095.89 1.79475
1098.65 1.11480
1101.41 0.762505
1104.18 0.558311
1106.94 0.430798
1109.70 0.347643
1115.23 0.258649
1120.75 0.250427
1123.51 0.301599
1124.89 0.363989
1126.28 0.484694
1127.66 0.747579
1128.35 1.00736
1129.04 1.47054
1129.38 1.85248
1129.56 2.10692
1129.73 2.41938
1129.90 2.81374
1129.99 3.04834
1130.07 3.31475
1130.16 3.62271
1130.25 3.97268
1130.33 4.37736
1130.42 4.84870
1130.51 5.40906
1130.59 6.06584
1130.68 6.86157
1130.77 7.81411
1130.85 8.99593
1130.94 10.4491
1131.02 12.2841
1131.11 14.6444
1131.20 17.7881
1131.28 21.9834
1131.37 27.8073
1131.46 36.1751
1131.54 48.8657
1131.63 68.5176
1131.71 100.506
1131.80 153.084
1131.90 243.553
1132.00 298.916
1132.10 235.189
1132.20 146.526
1132.26 107.524
1132.33 80.4143
1132.45 48.5314
1132.58 31.8910
1132.70 22.3833
1132.83 16.5164
1132.95 12.6670
1133.20 8.11448
1133.45 5.63177
1133.70 4.14537
1134.20 2.52545
1134.70 1.70838
1135.20 1.24133
1135.70 0.948455
1136.20 0.753367
1137.21 0.516634
1138.21 0.383658
1140.21 0.246415
1142.21 0.179601
1144.21 0.141431
1148.21 0.100494
1152.22 0.0791871
1156.22 0.0661601
1164.23 0.0510642
1180.24 0.0379136
1196.26 0.0343263
1212.27 0.0382286
1220.28 0.0448189
1228.28 0.0582133
1236.29 0.0879649
1240.29 0.117709
1244.30 0.171472
1246.30 0.216254
1247.30 0.246336
1247.80 0.264017
1248.30 0.283782
1248.80 0.306064
1249.05 0.318240
1249.30 0.331201
1249.80 0.359823
1250.30 0.392467
1250.80 0.430077
1251.30 0.473531
1251.80 0.524205
1252.30 0.583790
1252.81 0.654653
1253.31 0.739458
1253.81 0.842549
1254.31 0.969019
1254.81 1.12716
1255.31 1.32758
1255.81 1.58724
1256.31 1.93182
1256.81 2.40353
1257.31 3.06964
1257.81 4.05612
1258.31 5.59359
1258.81 8.17747
1259.06 10.1632
1259.31 12.9249
1259.56 16.8855
1259.81 22.7495
1260.06 31.6666
1260.31 45.2637
1260.66 72.6910
1261.00 91.3969
1261.35 73.2610
1261.69 45.6970
1261.98 30.3575
1262.26 20.9385
1262.55 15.0681
1262.84 11.2670
1263.41 6.89832
1263.98 4.62719
1264.55 3.30731
1265.13 2.47965
1266.27 1.54030
1267.42 1.04981
1268.56 0.762466
1269.71 0.580006
1270.85 0.457049
1273.14 0.306891
1275.43 0.222274
1277.72 0.170015
1280.01 0.135564
1284.59 0.0945259
1289.17 0.0721787
1298.33 0.0506712
1307.49 0.0422867
1316.65 0.0402378
1325.80 0.0451489
1328.09 0.0500100
1330.38 0.0626490
1331.53 0.0794305
1332.10 0.0959465
1332.67 0.125817
